|industry_group|industry_code|industry_name
0|A|0111|Trồng lúa
1|A|0112|Trồng ngô và cây lương thực có hạt khác
2|A|0113|Trồng cây lấy củ có chất bột
3|A|0114|Trồng cây mía
4|A|0115|Trồng cây thuốc lá, thuốc lào
5|A|0116|Trồng cây lấy sợi
6|A|0117|Trồng cây có hạt chứa dầu
7|A|0118|Trồng rau, đậu các loại và trồng hoa
8|A|0119|Trồng cây hàng năm khác
9|A|0121|Trồng cây ăn quả
10|A|0122|Trồng cây lấy quả chứa dầu
11|A|0123|Trồng cây điều
12|A|0124|Trồng cây hồ tiêu
13|A|0125|Trồng cây cao su
14|A|0126|Trồng cây cà phê
15|A|0127|Trồng cây chè
16|A|0128|Trồng cây gia vị, cây dược liệu, cây hương liệu lâu năm
17|A|0129|Trồng cây lâu năm khác
18|A|0131|Nhân và chăm sóc cây giống hàng năm
19|A|0132|Nhân và chăm sóc cây giống lâu năm
20|A|0141|Chăn nuôi trâu, bò và sản xuất giống trâu, bò
21|A|0142|Chăn nuôi ngựa, lừa, la và sản xuất giống ngựa, lừa
22|A|0144|Chăn nuôi dê, cừu và sản xuất giống dê, cừu, hươu, nai
23|A|0145|Chăn nuôi lợn và sản xuất giống lợn
24|A|0146|Chăn nuôi gia cầm
25|A|0149|Chăn nuôi khác
26|A|0150|Trồng trọt, chăn nuôi hỗn hợp
27|A|0161|Hoạt động dịch vụ trồng trọt
28|A|0162|Hoạt động dịch vụ chăn nuôi
29|A|0163|Hoạt động dịch vụ sau thu hoạch
30|A|0164|Xử lý hạt giống để nhân giống
31|A|0170|Săn bắt, đánh bẫy và hoạt động dịch vụ có liên quan
32|A|0210|Trồng rừng, chăm sóc rừng và ươm giống cây lâm nghiệp
33|A|0220|Khai thác gỗ
34|A|0231|Khai thác lâm sản khác trừ gỗ
35|A|0232|Thu nhặt lâm sản khác trừ gỗ
36|A|0240|Hoạt động dịch vụ lâm nghiệp
37|A|0311|Khai thác thủy sản biển
38|A|0312|Khai thác thủy sản nội địa
39|A|0321|Nuôi trồng thủy sản biển
40|A|0322|Nuôi trồng thủy sản nội địa
41|B|0510|Khai thác và thu gom than cứng
42|B|0520|Khai thác và thu gom than non
43|B|0610|Khai thác dầu thô
44|B|0620|Khai thác khí đốt tự nhiên
45|B|0710|Khai thác quặng sắt
46|B|0721|Khai thác quặng uranium và quặng thorium
47|B|0722|Khai thác quặng kim loại khác không chứa sắt
48|B|0730|Khai thác quặng kim loại quý hiếm
49|B|0810|Khai thác đá, cát, sỏi, đất sét
50|B|0891|Khai thác khoáng hoá chất và khoáng phân bón
51|B|0892|Khai thác và thu gom than bùn
