|code|name|exchange|cafef_url
0|BID|Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam|HSX|/du-lieu/hose/bid-ngnahngathngamiacaphnauatavaphatatrinavitanam.chn
1|BVH|Tập đoàn Bảo Việt|HSX|/du-lieu/hose/bvh-tpaonaboavit.chn
2|CTG|Ngân hàng Thương mại Cổ phần Công thương Việt Nam|HSX|/du-lieu/hose/ctg-ngnahngathngamiacaphnacngathngavitanam.chn
3|FPT|Công ty Cổ phần FPT|HSX|/du-lieu/hose/fpt-cngatyacaphnafpt.chn
4|GAS|Tổng Công ty Khí Việt Nam-CTCP|HSX|/du-lieu/hose/gas-tngacngatyakhavitanamctcp.chn
5|HDB|Ngân hàng TMCP Phát triển T.P Hồ Chí Minh|HSX|/du-lieu/hose/hdb-ngnahngatmcpaphatatrinatpahachaminh.chn
6|HPG|Công ty cổ phần Tập đoàn Hòa Phát|HSX|/du-lieu/hose/hpg-cngatyacaphnatpaonahaaphat.chn
7|KDH|Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền|HSX|/du-lieu/hose/kdh-cngatyacaphnauatavakinhadoanhanhakhangain.chn
8|MBB|Ngân hàng Thương mại cổ phần Quân đội|HSX|/du-lieu/hose/mbb-ngnahngathngamiacaphnaqunai.chn
9|MSN|Công ty Cổ phần Tập đoàn MaSan|HSX|/du-lieu/hose/msn-cngatyacaphnatpaonamasan.chn
10|MWG|Công ty cổ phần Đầu tư Thế giới Di động|HSX|/du-lieu/hose/mwg-cngatyacaphnauatathagiiadiang.chn
11|NVL|Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va|HSX|/du-lieu/hose/nvl-cngatyacaphnatpaonauataaacanoava.chn
12|PDR|Công ty cổ phần Phát triển Bất động sản Phát Đạt|HSX|/du-lieu/hose/pdr-cngatyacaphnaphatatrinabtangasnaphatat.chn
13|PLX|Tập đoàn Xăng dầu Việt Nam|HSX|/du-lieu/hose/plx-tpaonaxngaduavitanam.chn
14|PNJ|Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận|HSX|/du-lieu/hose/pnj-cngatyacaphnavngabcaaaquaphanhun.chn
15|POW|Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP|HSX|/du-lieu/hose/pow-tngacngatyainalcaduakhavitanamaactcp.chn
16|REE|Công ty Cổ phần Cơ điện lạnh|HSX|/du-lieu/hose/ree-cngatyacaphnacainalnh.chn
17|SBT|Công ty cổ phần Thành Thành Công - Biên Hòa|HSX|/du-lieu/hose/sbt-cngatyacaphnathnhathnhacngaabinaha.chn
18|SSI|Công ty cổ phần Chứng khoán SSI|HSX|/du-lieu/hose/ssi-cngatyacaphnachngakhoanassi.chn
19|STB|Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín|HSX|/du-lieu/hose/stb-ngnahngathngamiacaphnasiagnathngatn.chn
20|TCB|Ngân hàng TMCP Kỹ Thương Việt Nam (Techcombank)|HSX|/du-lieu/hose/tcb-ngnahngatmcpakathngavitanam.chn
21|TCH|Công ty cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy|HSX|/du-lieu/hose/tch-cngatyacaphnauatadchavatiachnhahongahuy.chn
22|TPB|Ngân hàng Thương mại cổ phần Tiên Phong|HSX|/du-lieu/hose/tpb-ngnahngathngamiacaphnatinaphong.chn
23|VCB|Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam|HSX|/du-lieu/hose/vcb-ngnahngathngamiacaphnangoiathngavitanam.chn
24|VHM|Công ty cổ phần Vinhomes|HSX|/du-lieu/hose/vhm-cngatyacaphnavinhomes.chn
25|VIC|Tập đoàn Vingroup - Công ty Cổ phần|HSX|/du-lieu/hose/vic-tpaonavingroupaacngatyacaphn.chn
26|VJC|Công ty cổ phần Hàng không VietJet|HSX|/du-lieu/hose/vjc-cngatyacaphnahngakhngavietet.chn
27|VNM|Công ty Cổ phần Sữa Việt Nam|HSX|/du-lieu/hose/vnm-cngatyacaphnasaavitanam.chn
28|VPB|Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng|HSX|/du-lieu/hose/vpb-ngnahngathngamiacaphnavitanamathnhavng.chn
29|VRE|Công ty Cổ phần Vincom Retail|HSX|/du-lieu/hose/vre-cngatyacaphnavincomaretail.chn
