|stock_code|comp_name|comp_type|charter_capital|contributed_capital|ownership_ratio
0|BID|Công ty TNHH MTV Quản lý nợ và Khai thác tài sản BIDV (BAMC)|sub|30|30|100%
1|BID|Công ty TNHH Đầu tư phát triển quốc tế|sub|n/a|n/a|100%
2|BID|Ngân hàng Đầu tư và Phát triển Campuchia (BIDC)|sub|n/a|n/a|98.5%
3|BID|Công ty Chứng khoán Campuchia - Việt Nam (CVS)|sub|n/a|n/a|98.5%
4|BID|Ngân hàng Liên doanh Lào-Việt (LVB)|sub|70|45.5|65%
5|BID|CTCP Chứng khoán MHB|sub|n/a|n/a|60%
6|BID|Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và phát triển Việt Nam|sub|1,172.77|598.19|51.01%
7|BID|Công ty Bảo hiểm Campuchia - Việt Nam (CVI)|sub|n/a|n/a|50.24%
8|BID|Công ty TNHH MTV Cho thuê Tài chính BIDV (BLC)|sub|447.8|n/a|50%
9|BID|Công ty Liên doanh bảo hiểm Lào Việt (LVI)|sub|3|n/a|33.15%
10|BID|Công ty Liên doanh Tháp BIDV|aff|262|144.1|55%
11|BID|Ngân hàng Liên doanh Việt – Nga|aff|n/a|n/a|50%
12|BID|Công ty TNHH Lương thực Campuchia - Việt Nam (Cavifoods)|aff|n/a|n/a|33%
13|BID|Công ty TNHH Bảo hiểm nhân thọ BIDV Metlife|aff|1,000|319.9|31.99%
14|BID|CTCP Cho thuê máy bay Việt Nam (VALC)|aff|n/a|n/a|18.52%
15|BVH|CTCP Đầu tư Bảo Việt|sub|200|200|100%
16|BVH|Tổng Công ty Bảo Việt Nhân thọ|sub|2,000|2,000|100%
17|BVH|Công ty TNHH Quản lý Quỹ Bảo Việt|sub|50|50|100%
18|BVH|Tổng Công ty Bảo hiểm Bảo Việt|sub|2,000|2,000|100%
19|BVH|Công ty TNHH Bảo Việt – Âu Lạc|sub|60.66|36|60%
20|BVH|Công ty Cổ phần Chứng khoán Bảo Việt|sub|722.34|432.81|59.92%
21|BVH|CTCP Đầu tư SCIC – Bảo Việt (Bảo Việt SCIC)|aff|140|70|50%
22|BVH|Ngân hàng TMCP Bảo Việt|aff|3,150|1,560|49.52%
23|BVH|CTCP Trung Nam Phú Quốc|aff|220|107.8|49%
24|BVH|Công ty Liên doanh Bảo hiểm Bảo Việt - Tokio Marine|aff|300|147|49%
