stock_code,transaction_date,closing_price,matched_volume,matched_value,foreign_net_volume,foreign_net_value,proprietary_net_volume,proprietary_net_value,buy_orders,buy_volume,sell_orders,sell_volume
CTG,2023-07-14,29.900000000000000000,7967000,237.250000000000000000,-988800,-29.44,,,4847,13594900,3108,16251400
VIC,2025-02-28,41.200000000000000000,2771000,114.090000000000000000,-57113,-2.30,,,2016,5198600,3412,5375300
CTG,2021-10-21,29.750000000000000000,7367500,220.320000000000000000,709100,21.26,,,7185,13755300,4960,13277100
VIC,2024-09-27,42.500000000000000000,2740700,116.890000000000000000,3900,0.18,,,2493,4670800,1832,5053300
CTG,2025-02-27,41.500000000000000000,6079700,250.760000000000000000,34736,1.50,,,4527,11191300,3668,10413100
CTG,2022-10-12,21.150000000000000000,4719200,98.100000000000000000,1312400,27.76,,,1891,11807400,2488,5284500
CTG,2022-10-11,19.800000000000000000,5492200,109.840000000000000000,823908,16.31,,,3602,8877300,2326,8868900
VIC,2024-04-02,47.800000000000000000,4818000,229.000000000000000000,-628800,-30.00,,,2276,6819200,3548,9012000
VIC,2024-04-01,47.850000000000000000,4451800,212.770000000000000000,-505000,-24.11,,,1737,5821500,5362,10151800
VIC,2024-03-29,47.650000000000000000,3524600,168.050000000000000000,-195600,-9.32,,,1806,4847000,4489,8628000
SAB,2022-10-05,189.000000000000000000,265100,50.260000000000000000,-32202,-6.09,,,423,369600,557,476000
SAB,2022-10-04,188.000000000000000000,206200,38.420000000000000000,-27328,-5.14,,,683,395600,522,404100
SAB,2024-09-06,56.700000000000000000,454100,25.830000000000000000,20400,1.16,,,710,1025700,580,1115300
SAB,2024-09-05,57.000000000000000000,824400,47.050000000000000000,-78300,-4.48,,,754,1589900,949,1745600
SAB,2024-09-04,57.200000000000000000,698100,39.990000000000000000,-70900,-4.06,,,595,1427200,958,1408000
SAB,2024-08-30,57.500000000000000000,1404900,81.300000000000000000,-173100,-9.94,,,1027,2030200,1497,2558900
VJC,2025-02-19,97.400000000000000000,544900,52.960000000000000000,-8200,-0.80,,,646,694700,707,918600
VJC,2025-02-18,97.400000000000000000,480300,46.710000000000000000,-1596,-0.16,,,615,651700,706,869200
VJC,2023-11-28,106.500000000000000000,728600,77.390000000000000000,72900,7.74,,,621,994500,519,913700
VJC,2023-11-27,106.000000000000000000,747700,78.250000000000000000,20900,2.19,,,940,1106800,518,895500
VJC,2023-11-24,106.300000000000000000,874800,92.660000000000000000,44800,4.75,,,714,1227000,646,1036100
VJC,2023-11-23,105.000000000000000000,835400,89.410000000000000000,-37400,-3.94,,,728,1152200,650,1076200
