|code|name|exchange|cafef_url|tax_code|address|phone_number|email|website|listing_date
0|BID|Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam|HSX|/du-lieu/hose/bid-ngnahngathngamiacaphnauatavaphatatrinavitanam.chn|0106000439|Tháp BIDV - Số 194 Trần Quang Khải - P. Lý Thái Tổ - Q. Hoàn Kiếm - Tp. Hà Nội|(84.242) 2205 544|Info@bidv.com.vn|https://bidv.com.vn/|24/01/2014
1|BVH|Tập đoàn Bảo Việt|HSX|/du-lieu/hose/bvh-tpaonaboavit.chn|0100111761|Số 8 - Phố Lê Thái Tổ - P. Hàng Trống - Q. Hoàn Kiếm - Tp. Hà Nội|(84.24) 3928 9999 - 3928 9898|thongtin@baoviet.com.vn|https://www.baoviet.com.vn|25/06/2009
2|CTG|Ngân hàng Thương mại Cổ phần Công thương Việt Nam|HSX|/du-lieu/hose/ctg-ngnahngathngamiacaphnacngathngavitanam.chn|0100111948|108 Trần Hưng Đạo - P. Cửa Nam - Q. Hoàn Kiếm - Tp. Hà Nội|(84.24) 3942 1030|Webmaster@vietinbank.vn|https://www.vietinbank.vn|16/07/2009
3|FPT|Công ty Cổ phần FPT|HSX|/du-lieu/hose/fpt-cngatyacaphnafpt.chn|0101248141|Số 10 - Phố Phạm Văn Bạch - P. Dịch Vọng Hậu - Q. Cầu Giấy - Tp. Hà Nội|(84.24) 7300 7300|Ir@fpt.com|https://fpt.com|13/12/2006
4|GAS|Tổng Công ty Khí Việt Nam-CTCP|HSX|/du-lieu/hose/gas-tngacngatyakhavitanamctcp.chn|3500102710|Tòa nhà PV Gas Tower - số 673 Nguyễn Hữu Thọ - P. Phước Kiển - H. Nhà Bè - Tp. HCM|(84.28) 3781 6777|pvgas@pvgas.com.vn|https://www.pvgas.com.vn/|21/05/2012
5|HDB|Ngân hàng TMCP Phát triển T.P Hồ Chí Minh|HSX|/du-lieu/hose/hdb-ngnahngatmcpaphatatrinatpahachaminh.chn|0300608092|Số 25Bis Nguyễn Thị Minh Khai - P. Bến Nghé - Q.1 - Tp. HCM|(84.28) 6291 5916|info@hdbank.com.vn|http://www.hdbank.com.vn/|05/01/2018
6|HPG|Công ty cổ phần Tập đoàn Hòa Phát|HSX|/du-lieu/hose/hpg-cngatyacaphnatpaonahaaphat.chn|0900189284|KCN Phố Nối A - X. Nguyễn Văn Linh - H. Yên Mỹ - T. Hưng Yên|(84.24) 6284 8666|hoaphatgroup@hoaphat.com.vn|http://www.hoaphat.com.vn|15/11/2007
7|KDH|Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền|HSX|/du-lieu/hose/kdh-cngatyacaphnauatavakinhadoanhanhakhangain.chn|0302588596|Phòng 1 và 2 Lầu 11 SaiGon Centre - 67 Lê Lợi - P. Bến Nghé - Q.1 - Tp. Hồ Chí Minh|(84.28) 3820 8858|info@khangdien.com.vn|http://www.khangdien.com.vn|01/02/2010
8|MBB|Ngân hàng Thương mại cổ phần Quân đội|HSX|/du-lieu/hose/mbb-ngnahngathngamiacaphnaqunai.chn|0100283873|Số 18 - Đường Lê Văn Lương - P. Trung Hòa - Q. Cầu Giấy - Tp. Hà Nội|(84.24) 6266 1088|info@mbbank.com.vn|https://www.mbbank.com.vn/|01/11/2011
9|MSN|Công ty Cổ phần Tập đoàn MaSan|HSX|/du-lieu/hose/msn-cngatyacaphnatpaonamasan.chn|0303576603|Lầu 18 - Masan Tower - Số 23 Lê Duẩn - P. Bến Nghé - Q.1 - Tp. Hồ Chí Minh|(84.28) 6256 3862|pr@msn.masangroup.com|https://masangroup.com/?lang_ui=vn|05/11/2009
