stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
BID,Q12006,,,1184.0,4576.0,16785.0,967.0,15818.0,,12809.0,12809.0,,,84009.0,86603.0,-2595.0,,,,,,,,410.0,,410.0,,,820.0,665.0,155.0,,,155.0,,,,4734.0,,1306.0,,3427.0,,,125327.0,,,17115.0,14934.0,2181.0,88193.0,,7992.0,3181.0,1917.0,1915.0,2.0,,,118399.0,6928.0,4634.0,3971.0,,,,,663.0,1652.0,,,642.0,,,125327.0
BID,Q12009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BID,Q12010,,,3188.0,1342.0,32624.0,28552.0,4387.0,-316.0,1412.0,1542.0,-130.0,0.0,209532.0,215742.0,-6209.0,,,,29999.0,27998.0,2155.0,-153.0,3232.0,0.0,1949.0,1374.0,-91.0,2198.0,1167.0,884.0,-190.0,337.0,694.0,0.0,0.0,0.0,11667.0,8947.0,2340.0,0.0,406.0,6.0,-26.0,295196.0,,20141.0,23382.0,3167.0,20214.0,190381.0,45.0,21467.0,8466.0,8891.0,2960.0,0.0,5667.0,263.0,272773.0,22423.0,16009.0,14093.0,1917.0,0.0,0.0,0.0,0.0,4144.0,344.0,0.0,1925.0,,0.0,295196.0
BID,Q12012,,,3568.0,11795.0,47264.0,33424.0,14137.0,-297.0,2810.0,2973.0,-163.0,28.0,295706.0,301585.0,-5880.0,,,,39636.0,38613.0,1550.0,-527.0,4018.0,0.0,3343.0,975.0,-299.0,3535.0,1450.0,2012.0,-323.0,396.0,1689.0,0.0,0.0,0.0,10750.0,3745.0,4216.0,0.0,2821.0,0.0,-32.0,419111.0,,30410.0,31006.0,12678.0,18328.0,248724.0,0.0,60705.0,8847.0,12112.0,5146.0,0.0,5871.0,1095.0,391804.0,27089.0,16400.0,14291.0,1911.0,0.0,-5.0,0.0,203.0,8819.0,276.0,0.0,1594.0,,218.0,419111.0
BID,Q12013,,,3883.0,9082.0,46666.0,19908.0,27070.0,-312.0,6887.0,6933.0,-46.0,,338146.0,344893.0,-6747.0,,,,55358.0,54009.0,1782.0,-433.0,4322.0,,3693.0,996.0,-368.0,4121.0,1693.0,2538.0,-378.0,269.0,2160.0,,,,17458.0,11436.0,5472.0,,606.0,,-56.0,485923.0,,8751.0,39764.0,4605.0,35159.0,320039.0,207.0,60900.0,16833.0,11558.0,6555.0,,4009.0,994.0,458051.0,27658.0,24430.0,23012.0,,30.0,,,1388.0,376.0,-32.0,,2885.0,,213.0,485923.0
BID,Q12014,,,4377.0,5223.0,58124.0,43629.0,14660.0,-165.0,6849.0,6875.0,-26.0,196.0,391709.0,398287.0,-6578.0,,,,73672.0,60212.0,13795.0,-335.0,4453.0,,3890.0,891.0,-328.0,5144.0,2635.0,2715.0,-437.0,231.0,2277.0,,,,22516.0,12792.0,7891.0,0.0,1938.0,,-105.0,572263.0,,13819.0,60533.0,28468.0,32064.0,357856.0,,62488.0,30279.0,13538.0,6862.0,,5703.0,973.0,538513.0,33450.0,28142.0,28112.0,,30.0,,,,379.0,-178.0,,5108.0,,299.0,572263.0
BID,Q12015,,,5688.0,13507.0,42726.0,28797.0,13989.0,-59.0,12475.0,12511.0,-36.0,82.0,457575.0,465175.0,-7600.0,0.0,0.0,0.0,95914.0,76405.0,21211.0,-1702.0,4601.0,0.0,4318.0,422.0,-139.0,6598.0,3391.0,3731.0,-524.0,0.0,3207.0,0.0,0.0,0.0,23040.0,11631.0,9130.0,0.0,2381.0,0.0,-102.0,662206.0,,14830.0,87986.0,27783.0,60204.0,463566.0,0.0,31403.0,15463.0,13706.0,7325.0,0.0,6381.0,0.0,626954.0,35251.0,28142.0,28112.0,0.0,30.0,0.0,0.0,0.0,1657.0,-10.0,0.0,5116.0,346.0,0.0,662206.0
BID,Q12016,,,6637.0,10485.0,59857.0,44461.0,15453.0,-56.0,8791.0,8817.0,-26.0,55.0,614995.0,623741.0,-8746.0,0.0,0.0,0.0,123415.0,87202.0,39276.0,-3063.0,4472.0,0.0,4099.0,533.0,-160.0,8460.0,4513.0,4682.0,-735.0,0.0,3947.0,0.0,0.0,0.0,21796.0,6198.0,10098.0,0.0,5645.0,0.0,-145.0,858962.0,,20688.0,86517.0,34424.0,52093.0,612339.0,0.0,30290.0,46368.0,18998.0,10334.0,5.0,8658.0,0.0,815199.0,43763.0,34272.0,34187.0,0.0,30.0,0.0,0.0,54.0,2464.0,0.0,0.0,5618.0,1410.0,0.0,858962.0
BID,Q12017,,,8442.0,25726.0,63946.0,41107.0,22898.0,-58.0,3757.0,3821.0,-64.0,24.0,746941.0,758530.0,-11589.0,,,,143448.0,113427.0,36982.0,-6961.0,4568.0,,4268.0,435.0,-135.0,9525.0,5216.0,5291.0,-982.0,,4309.0,,,,19875.0,6236.0,9510.0,11.0,4273.0,,-156.0,1026252.0,,40752.0,86690.0,22443.0,64246.0,762402.0,,11472.0,55491.0,23694.0,14808.0,107.0,8780.0,,980501.0,45751.0,34305.0,34187.0,,30.0,,,87.0,3377.0,68.0,,6369.0,1632.0,,1026252.0
BID,Q12018,,,9442.0,33804.0,119261.0,78724.0,40600.0,-63.0,15448.0,15465.0,-17.0,240.0,867290.0,878753.0,-11463.0,,,,144639.0,114362.0,37711.0,-7434.0,2617.0,,2448.0,253.0,-83.0,10158.0,5801.0,5560.0,-1203.0,,4357.0,,,,24044.0,9051.0,11203.0,36.0,4363.0,,-609.0,1226943.0,,81335.0,78920.0,18831.0,60089.0,910053.0,,11727.0,64809.0,29295.0,18457.0,93.0,10745.0,,1176139.0,50803.0,34370.0,34187.0,,30.0,,,152.0,4455.0,74.0,,8931.0,2974.0,,1226943.0
