stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),I.   Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,1.1. Phải thu về hợp đồng bảo hiểm,1.2. Phải thu khác của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu về cho vay ngắn hạn,5. Phải thu ngắn hạn khác,6. Dự phòng phải thu ngắn hạn khó đòi (*),7. Tài sản thiếu chờ xử lý,8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,1.1. Chi phí hoa hồng chưa phân bổ,1.2. Chi phí trả trước ngắn hạn khác,2. Thuế GTGT còn được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu Chính phủ,5. Tài sản ngắn hạn khác,VIII. Tài sản tái bảo hiểm,1. Dự phòng phí nhượng tái bảo hiểm,2. Dự phòng bồi thường nhượng tái bảo hiểm,B. TÀI SẢN DÀI HẠN (200=210+220+240+250+260+270),I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu dài hạn nội bộ,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,6.1 Ký quỹ bảo hiểm,6.2. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi,II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,1. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên kết, liên doanh",3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn,5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),VIII. Tài sản tài khoản riêng,TỔNG CỘNG TÀI SẢN (270=100+200),NGUỒN VỐN,A. NỢ PHẢI TRẢ (300=210+330),I. Nợ ngắn hạn,1. Vay và nợ ngắn hạn,2. Phải trả người bán ngắn hạn,2.1. Phải trả về hợp đồng bảo hiểm,2.2. Phải trả khác cho người bán,3. Người mua trả tiền trước ngắn hạn,4. Thuế và các khoản phải nộp Nhà nước,5. Phải trả công nhân viên,6. Chi phí phải trả ngắn hạn,7. Phải trả nội bộ ngắn hạn,8. Phải trả ngắn hạn khác,9. Doanh thu hoa hồng chưa được hưởng,10. Dự phòng phải trả ngắn hạn,11. Quỹ khen thưởng phúc lợi,12. Giao dịch mua bán lại trái phiếu Chính phủ,13. Dự phòng nghiệp vụ,13.1. Dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,13.2. Dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,13.3. Dự phòng dao động lớn,13.4 Dự phòng toán học,13.5. Dự phòng chia lãi,13.6. Dự phòng bảo đảm cân đối,14. Doanh thu chưa thực hiện ngắn hạn,15. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Phải trả nội bộ dài hạn,3. Phải trả dài hạn khác,4. Vay và nợ thuê tài chính dài hạn,5. Thuế thu nhập hoãn lại phải trả,6. Dự phòng trợ cấp mất việc làm,7. Dự phòng phải trả dài hạn,8. Doanh thu chưa thực hiện dài hạn,9. Quỹ phát triển khoa học và công nghệ,III. Công nợ tài khoản riêng,B. VỐN CHỦ SỞ HỮU (400=410+430),I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Vốn khác của chủ sở hữu,4. Cổ phiếu quỹ,5. Chênh lệch đánh giá lại tài sản,6. Chênh lệch tỷ giá hối đoái,7. Quỹ đầu tư phát triển,8. Quỹ dự phòng tài chính,9. Quỹ dự trữ bắt buộc,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Lợi ích cổ đông không kiểm soát,13. Nguồn vốn đầu tư XDCB,14. Quỹ hỗ trợ sắp xếp doanh nghiệp,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,TỔNG CỘNG NGUỒN VỐN (440=300+400+500)
BVH,Q12009,,,12286.0,2324.0,519.0,1805.0,7503.0,8317.0,-814.0,,2386.0,2012.0,,,65.0,0.0,,331.0,-22.0,,0.0,25.0,25.0,0.0,48.0,48.0,,,0.0,0.0,0.0,0.0,,,,15828.0,0.0,0.0,,0.0,0.0,,0.0,22.0,,0.0,1439.0,490.0,23.0,0.0,0.0,504.0,23.0,,445.0,14311.0,0.0,260.0,,-212.0,,14263.0,55.0,17.0,5.0,,11.0,0.0,,,28115.0,,18982.0,3038.0,424.0,1608.0,,,31.0,21.0,74.0,0.0,0.0,845.0,,0.0,36.0,0.0,15897.0,1908.0,935.0,123.0,12338.0,581.0,1.0,,0.0,47.0,0.0,0.0,22.0,0.0,1.0,25.0,0.0,0.0,0.0,,7893.0,7893.0,5730.0,,,1838.0,0.0,0.0,0.0,16.0,9.0,9.0,19.0,0.0,272.0,,,,0.0,0.0,0.0,0.0,0.0,1239.0,28115.0
BVH,Q12010,,,14813.0,3100.0,535.0,2565.0,8927.0,9352.0,-425.0,,2643.0,1331.0,,,25.0,39.0,,107.0,-48.0,,1188.0,109.0,109.0,0.0,34.0,17.0,,,1.0,9.0,0.0,7.0,,,,21142.0,3122.0,3146.0,,0.0,0.0,,0.0,6.0,,-24.0,1744.0,565.0,23.0,0.0,0.0,648.0,23.0,,532.0,16196.0,0.0,317.0,,-183.0,,16062.0,56.0,17.0,6.0,,26.0,0.0,,,35955.0,,23941.0,3256.0,275.0,1913.0,,,45.0,112.0,41.0,11.0,0.0,821.0,,0.0,37.0,0.0,17982.0,2222.0,1228.0,221.0,13466.0,826.0,1.0,,0.0,2703.0,2633.0,0.0,25.0,0.0,0.0,44.0,0.0,0.0,0.0,,10652.0,10652.0,6267.0,,,3180.0,0.0,0.0,0.0,20.0,10.0,12.0,52.0,0.0,1111.0,,,,0.0,0.0,0.0,0.0,0.0,1362.0,35955.0
BVH,Q12011,,,17143.0,3573.0,882.0,2690.0,9468.0,10369.0,-901.0,,3871.0,1881.0,,,35.0,37.0,,252.0,-78.0,,1743.0,124.0,124.0,0.0,108.0,97.0,,,2.0,6.0,0.0,3.0,,,,25775.0,5506.0,5550.0,,0.0,0.0,,0.0,29.0,,-45.0,1961.0,841.0,23.0,0.0,0.0,738.0,23.0,,382.0,18223.0,0.0,330.0,,-363.0,,18256.0,61.0,14.0,13.0,,5.0,0.0,,,42918.0,,30003.0,5290.0,1549.0,3122.0,,,50.0,81.0,80.0,25.0,0.0,331.0,,0.0,52.0,0.0,19509.0,2515.0,1586.0,354.0,14098.0,933.0,1.0,,0.0,5203.0,2096.0,3013.0,28.0,0.0,20.0,45.0,0.0,0.0,0.0,,11584.0,11584.0,6805.0,,,3184.0,0.0,0.0,0.0,16.0,14.0,18.0,88.0,104.0,1355.0,,,,0.0,0.0,0.0,0.0,0.0,1332.0,42918.0
BVH,Q12012,,,7590.0,2549.0,2549.0,0.0,1423.0,1423.0,0.0,,2608.0,630.0,,,0.0,0.0,,1978.0,0.0,,0.0,0.0,0.0,0.0,1010.0,1010.0,,,0.0,0.0,0.0,0.0,,,,35009.0,5709.0,5709.0,,0.0,0.0,,0.0,0.0,,0.0,1661.0,1023.0,23.0,0.0,0.0,638.0,23.0,,0.0,26237.0,0.0,387.0,,0.0,,25850.0,1378.0,1029.0,350.0,,0.0,0.0,,,42599.0,,29854.0,26826.0,0.0,1429.0,,,9.0,176.0,0.0,21148.0,760.0,3305.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3028.0,0.0,0.0,0.0,2990.0,8.0,30.0,0.0,0.0,0.0,,11405.0,11405.0,6805.0,,,3184.0,0.0,0.0,-66.0,16.0,17.0,24.0,131.0,104.0,1190.0,,,,0.0,0.0,0.0,0.0,0.0,1340.0,42599.0
BVH,Q12013,,,17136.0,4189.0,0.0,4189.0,0.0,0.0,0.0,,4338.0,3204.0,,,0.0,0.0,,1134.0,0.0,,0.0,0.0,0.0,0.0,8609.0,0.0,,,0.0,283.0,0.0,8326.0,,,,32154.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1680.0,1067.0,23.0,0.0,0.0,613.0,23.0,,0.0,30451.0,0.0,332.0,,0.0,,30120.0,0.0,0.0,0.0,,0.0,0.0,,,49290.0,,34858.0,34858.0,34858.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12406.0,12406.0,6805.0,,,3184.0,0.0,0.0,827.0,16.0,20.0,30.0,175.0,104.0,1246.0,,,,0.0,0.0,0.0,0.0,0.0,2026.0,49290.0
BVH,Q12014,,,26950.0,9115.0,1148.0,7967.0,12120.0,13590.0,-1470.0,,4158.0,1210.0,,,98.0,0.0,,3056.0,-206.0,,0.0,179.0,179.0,0.0,1378.0,74.0,,,5.0,0.0,0.0,1299.0,,,,33831.0,8230.0,8333.0,,0.0,0.0,,0.0,30.0,,-103.0,1961.0,877.0,23.0,0.0,0.0,757.0,23.0,,328.0,23505.0,0.0,378.0,,-47.0,,23174.0,111.0,51.0,20.0,,10.0,0.0,,,60781.0,,46136.0,6902.0,97.0,6065.0,,,8.0,106.0,135.0,46.0,0.0,323.0,,46.0,76.0,0.0,25134.0,2943.0,1341.0,29.0,19480.0,1297.0,45.0,,0.0,14100.0,0.0,0.0,50.0,14048.0,2.0,0.0,0.0,0.0,0.0,,12528.0,12528.0,6805.0,,,3184.0,0.0,0.0,0.0,16.0,23.0,36.0,217.0,104.0,2143.0,,,,0.0,0.0,0.0,0.0,0.0,2117.0,60781.0
BVH,Q12015,,,23829.0,1778.0,908.0,870.0,16392.0,1778.0,-438.0,15053.0,3779.0,1054.0,1054.0,0.0,34.0,0.0,2713.0,240.0,-263.0,0.0,0.0,192.0,192.0,0.0,381.0,311.0,275.0,36.0,2.0,0.0,0.0,68.0,1308.0,544.0,764.0,25705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581.0,803.0,23.0,0.0,0.0,778.0,23.0,317.0,317.0,23630.0,0.0,2034.0,366.0,-38.0,21269.0,0.0,154.0,67.0,25.0,0.0,24.0,0.0,,,49534.0,,36382.0,6171.0,3.0,1031.0,1031.0,0.0,24.0,90.0,222.0,50.0,0.0,87.0,0.0,115.0,4133.0,0.0,0.0,3047.0,1554.0,128.0,23911.0,1450.0,52.0,36.0,0.0,68.0,0.0,0.0,63.0,0.0,5.0,0.0,0.0,0.0,0.0,,12564.0,12564.0,6805.0,6805.0,0.0,3184.0,0.0,0.0,0.0,16.0,22.0,0.0,261.0,104.0,2172.0,1818.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,49534.0
BVH,Q12016,,,23787.0,4121.0,872.0,3249.0,14212.0,1831.0,-393.0,12774.0,3768.0,2885.0,1088.0,1798.0,19.0,0.0,978.0,267.0,-382.0,0.0,0.0,96.0,96.0,0.0,494.0,407.0,365.0,42.0,4.0,0.0,0.0,83.0,1096.0,555.0,541.0,38890.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,19.0,20.0,0.0,1654.0,825.0,23.0,0.0,0.0,829.0,23.0,216.0,216.0,36836.0,0.0,2291.0,828.0,-51.0,33768.0,0.0,122.0,64.0,35.0,0.0,23.0,0.0,,,62677.0,,49141.0,49058.0,26.0,1269.0,1075.0,194.0,16.0,143.0,256.0,81.0,0.0,452.0,127.0,0.0,136.0,10266.0,36237.0,3207.0,1426.0,185.0,29987.0,1371.0,61.0,49.0,0.0,83.0,0.0,0.0,79.0,1.0,3.0,0.0,0.0,0.0,0.0,,13536.0,13536.0,6805.0,6805.0,0.0,3184.0,0.0,0.0,0.0,16.0,143.0,0.0,307.0,104.0,2353.0,1984.0,369.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,62677.0
BVH,Q12017,,,30562.0,1462.0,900.0,562.0,22180.0,2248.0,-342.0,20274.0,4837.0,3491.0,1364.0,2127.0,40.0,0.0,1160.0,525.0,-379.0,0.0,0.0,144.0,144.0,0.0,453.0,441.0,408.0,34.0,5.0,0.0,0.0,7.0,1485.0,800.0,685.0,44546.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,63.0,0.0,1659.0,848.0,23.0,0.0,0.0,811.0,23.0,215.0,215.0,42169.0,0.0,2813.0,696.0,-41.0,38701.0,0.0,416.0,356.0,54.0,0.0,6.0,0.0,,,75108.0,,61039.0,60924.0,96.0,1493.0,1437.0,56.0,2.0,109.0,323.0,126.0,0.0,585.0,131.0,0.0,51.0,12578.0,45335.0,3726.0,1609.0,205.0,38268.0,1460.0,67.0,94.0,0.0,115.0,0.0,0.0,106.0,3.0,6.0,0.0,0.0,0.0,0.0,,14069.0,14069.0,6805.0,6805.0,0.0,3184.0,0.0,0.0,0.0,15.0,302.0,0.0,347.0,104.0,2643.0,2288.0,354.0,669.0,0.0,0.0,0.0,0.0,0.0,0.0,75108.0
BVH,Q12018,,,55324.0,11163.0,10682.0,481.0,34617.0,2739.0,-303.0,32181.0,6186.0,4237.0,1734.0,2503.0,34.0,0.0,1677.0,639.0,-401.0,0.0,0.0,154.0,154.0,0.0,609.0,570.0,515.0,55.0,31.0,0.0,0.0,8.0,2595.0,1160.0,1436.0,44311.0,75.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0,0.0,1628.0,826.0,45.0,0.0,0.0,802.0,45.0,447.0,447.0,41722.0,0.0,2951.0,368.0,-32.0,38436.0,0.0,394.0,342.0,40.0,0.0,12.0,0.0,,,99636.0,,84666.0,84512.0,2.0,2083.0,1971.0,112.0,24.0,133.0,378.0,92.0,0.0,4458.0,142.0,0.0,96.0,18272.0,58760.0,4657.0,2573.0,59.0,49938.0,1455.0,78.0,72.0,0.0,154.0,0.0,0.0,144.0,4.0,7.0,0.0,0.0,0.0,0.0,,14969.0,14969.0,6805.0,6805.0,0.0,3184.0,0.0,0.0,0.0,15.0,466.0,0.0,389.0,104.0,3286.0,2806.0,480.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,99636.0
