stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
CTG,Q12009,,,2406.0,2177.0,21982.0,21212.0,770.0,0.0,606.0,606.0,-1.0,60.0,122275.0,124739.0,-2464.0,,,,33193.0,31620.0,1573.0,0.0,939.0,0.0,780.0,159.0,0.0,1525.0,1228.0,431.0,-134.0,0.0,297.0,0.0,0.0,0.0,8119.0,4854.0,2547.0,0.0,729.0,0.0,-11.0,193281.0,,802.0,5216.0,4091.0,1125.0,128096.0,0.0,18181.0,1038.0,26577.0,2684.0,0.0,23893.0,0.0,179910.0,13371.0,8122.0,7722.0,286.0,0.0,0.0,0.0,113.0,2439.0,204.0,0.0,2606.0,,0.0,193281.0
CTG,Q12010,,,2443.0,1938.0,25282.0,23355.0,1927.0,0.0,478.0,482.0,-3.0,19.0,175033.0,176703.0,-1670.0,,,,45273.0,41482.0,3791.0,0.0,1174.0,0.0,1005.0,169.0,0.0,2800.0,1699.0,1768.0,-667.0,0.0,1101.0,0.0,0.0,0.0,9372.0,4589.0,3522.0,0.0,1262.0,17.0,-1.0,263812.0,,18394.0,12694.0,7805.0,4888.0,156691.0,0.0,25466.0,9214.0,23647.0,2209.0,0.0,21110.0,328.0,246106.0,17510.0,12218.0,11253.0,5.0,863.0,0.0,0.0,98.0,1743.0,-127.0,0.0,3676.0,,196.0,263812.0
CTG,Q12011,,,2752.0,1575.0,56963.0,54292.0,2680.0,-9.0,215.0,226.0,-11.0,32.0,247146.0,251443.0,-4296.0,,,,67140.0,66729.0,680.0,-269.0,1930.0,0.0,1619.0,311.0,0.0,3267.0,2165.0,1302.0,-200.0,0.0,1101.0,0.0,0.0,0.0,14824.0,6356.0,5893.0,0.0,2579.0,15.0,-5.0,395844.0,,45955.0,53493.0,43228.0,10265.0,192415.0,0.0,31266.0,18470.0,31426.0,3767.0,0.0,26533.0,1125.0,373025.0,22616.0,18806.0,16858.0,0.0,1944.0,0.0,0.0,4.0,596.0,0.0,0.0,3214.0,,203.0,395844.0
CTG,Q12012,,,2855.0,6444.0,21782.0,17532.0,4282.0,-32.0,506.0,512.0,-6.0,21.0,282099.0,285880.0,-3781.0,,,,70221.0,67623.0,2700.0,-102.0,2978.0,2655.0,25.0,298.0,0.0,3798.0,2446.0,1620.0,-269.0,0.0,1351.0,0.0,0.0,0.0,16149.0,6872.0,6892.0,0.0,2563.0,13.0,-177.0,406852.0,,10529.0,51481.0,37273.0,14209.0,241464.0,0.0,37595.0,8467.0,27096.0,3786.0,0.0,22701.0,609.0,376632.0,30006.0,22174.0,20230.0,0.0,1944.0,0.0,0.0,0.0,1476.0,300.0,0.0,6056.0,,214.0,406852.0
CTG,Q12013,,,3306.0,11643.0,51875.0,11804.0,40374.0,-303.0,409.0,415.0,-7.0,,319746.0,324626.0,-4880.0,,,,83587.0,81255.0,2450.0,-118.0,2942.0,,2620.0,322.0,-1.0,5199.0,2816.0,2748.0,-366.0,,2382.0,,,,21141.0,10157.0,8321.0,0.0,2673.0,11.0,-10.0,499847.0,,260.0,87413.0,19740.0,67673.0,302797.0,91.0,35220.0,18465.0,20736.0,4253.0,,15951.0,532.0,464981.0,34647.0,26220.0,26218.0,,2.0,,,,2436.0,302.0,,5689.0,,219.0,499847.0
CTG,Q12014,,,3730.0,6715.0,69042.0,63427.0,5658.0,-42.0,3577.0,3578.0,-1.0,83.0,349838.0,354223.0,-4385.0,,,,90709.0,88336.0,2587.0,-213.0,3152.0,,2834.0,321.0,-3.0,6716.0,3321.0,3891.0,-495.0,,3395.0,,,,25222.0,11437.0,10278.0,,3511.0,10.0,-6.0,558784.0,,348.0,72339.0,37701.0,34638.0,354302.0,,32731.0,7589.0,36066.0,4253.0,,31312.0,500.0,503375.0,55192.0,46206.0,37234.0,,8971.0,,,,3375.0,317.0,,5295.0,,217.0,558784.0
CTG,Q12015,,,4220.0,9765.0,56311.0,54095.0,2217.0,0.0,4586.0,4591.0,-5.0,0.0,444261.0,450057.0,-5796.0,0.0,0.0,0.0,87117.0,79575.0,8201.0,-659.0,3853.0,0.0,2880.0,1030.0,-58.0,8642.0,4465.0,4857.0,-680.0,0.0,4177.0,0.0,0.0,0.0,27080.0,11191.0,12482.0,0.0,3408.0,8.0,-1.0,645835.0,,1588.0,77750.0,32630.0,45120.0,428456.0,927.0,38351.0,5364.0,36864.0,5398.0,0.0,31393.0,72.0,589300.0,56535.0,46209.0,37234.0,0.0,8975.0,0.0,0.0,0.0,4251.0,361.0,0.0,5486.0,228.0,0.0,645835.0
CTG,Q12016,,,4891.0,19327.0,64102.0,61960.0,2143.0,0.0,212.0,239.0,-27.0,76.0,547866.0,553393.0,-5527.0,0.0,0.0,0.0,114700.0,104045.0,12929.0,-2274.0,3823.0,0.0,2723.0,1121.0,-22.0,8615.0,4344.0,5108.0,-837.0,0.0,4271.0,0.0,0.0,0.0,28126.0,11492.0,13132.0,0.0,3502.0,6.0,-1.0,791737.0,,4046.0,104462.0,59198.0,45264.0,503441.0,0.0,55146.0,16215.0,50409.0,6274.0,0.0,44007.0,129.0,733720.0,58018.0,46209.0,37234.0,0.0,8975.0,0.0,0.0,0.0,5275.0,411.0,0.0,5876.0,247.0,0.0,791737.0
CTG,Q12017,,,5918.0,21591.0,87317.0,85299.0,2019.0,,4592.0,4648.0,-56.0,311.0,690326.0,697742.0,-7417.0,,,,132936.0,125238.0,11713.0,-4015.0,3236.0,,2808.0,430.0,-3.0,10420.0,6264.0,5142.0,-985.0,,4157.0,,,,30735.0,13270.0,14401.0,,3065.0,4.0,-2.0,987383.0,,30979.0,110412.0,64067.0,46345.0,666328.0,,6418.0,23871.0,90912.0,10764.0,,79915.0,233.0,928919.0,58464.0,46209.0,37234.0,,8975.0,,,,6366.0,490.0,,5130.0,268.0,,987383.0
CTG,Q12018,,,6459.0,14179.0,104458.0,99423.0,5035.0,,4331.0,4355.0,-24.0,652.0,816310.0,826357.0,-10047.0,,,,118457.0,116258.0,2727.0,-528.0,3215.0,,2805.0,413.0,-3.0,11262.0,6254.0,6332.0,-1324.0,,5008.0,,,,34772.0,16817.0,14727.0,,3236.0,2.0,-8.0,1114095.0,,28085.0,111967.0,62391.0,49576.0,789273.0,,6501.0,22502.0,89596.0,13484.0,,75766.0,346.0,1047923.0,66172.0,46209.0,37234.0,,8975.0,,,,7484.0,569.0,,11603.0,306.0,,1114095.0
CTG,Q12019,,,7160.0,32079.0,110916.0,107952.0,2964.0,0.0,4874.0,4970.0,-96.0,318.0,845319.0,861590.0,-16271.0,0.0,0.0,0.0,96965.0,83506.0,16239.0,-2780.0,3572.0,0.0,3017.0,557.0,-2.0,10923.0,6031.0,6449.0,-1557.0,0.0,4892.0,0.0,0.0,0.0,34646.0,24286.0,6963.0,0.0,3405.0,454.0,-9.0,1146774.0,,58048.0,95782.0,81970.0,13813.0,824613.0,0.0,5907.0,46216.0,46082.0,16204.0,0.0,29434.0,444.0,1076648.0,70125.0,46416.0,37234.0,0.0,8975.0,0.0,0.0,207.0,8173.0,717.0,0.0,14513.0,307.0,0.0,1146774.0
CTG,Q12020,,,7358.0,25157.0,126351.0,121607.0,4744.0,,1063.0,1403.0,-340.0,,910544.0,923623.0,-13079.0,,,,104957.0,98084.0,12244.0,-5371.0,3444.0,,3204.0,241.0,,11009.0,6493.0,6302.0,-1785.0,,4516.0,,,,32767.0,22185.0,7069.0,,3524.0,,-11.0,1222652.0,,64984.0,91560.0,72273.0,19288.0,895751.0,151.0,5812.0,57066.0,28516.0,18701.0,,9338.0,478.0,1143840.0,78811.0,46725.0,37234.0,,8975.0,,,516.0,9606.0,642.0,,21288.0,552.0,,1222652.0
CTG,Q12021,,,8512.0,10213.0,139620.0,130670.0,8951.0,,1715.0,1795.0,-80.0,2494.0,1003228.0,1017140.0,-13912.0,,,,124272.0,122126.0,2617.0,-471.0,3470.0,,3254.0,241.0,-24.0,10594.0,6248.0,6394.0,-2049.0,,4346.0,,,,39865.0,27624.0,9122.0,,3191.0,,-72.0,1343985.0,,33117.0,123598.0,75672.0,47926.0,1003700.0,,2685.0,59876.0,29171.0,16267.0,45.0,12107.0,752.0,1252147.0,91837.0,46725.0,37234.0,,8975.0,,,516.0,11605.0,466.0,,32438.0,603.0,,1343985.0
CTG,Q12022,,,9732.0,19946.0,177089.0,153982.0,23108.0,,4169.0,4256.0,-87.0,3329.0,1199357.0,1229579.0,-30222.0,,,,182530.0,180142.0,2697.0,-309.0,3410.0,,3197.0,234.0,-21.0,10274.0,6035.0,6626.0,-2388.0,,4238.0,,,,53893.0,39960.0,10645.0,0.0,3358.0,,-71.0,1663730.0,,51245.0,194898.0,88860.0,106037.0,1212678.0,,2457.0,67897.0,36259.0,19083.0,,16088.0,1088.0,1565434.0,98296.0,57548.0,48058.0,,8975.0,,,516.0,13672.0,226.0,,26125.0,725.0,,1663730.0
CTG,Q12023,,,10510.0,22480.0,207791.0,189864.0,17927.0,,1146.0,1369.0,-223.0,2157.0,1303639.0,1333109.0,-29470.0,,,,200465.0,198828.0,1697.0,-60.0,3547.0,,3331.0,234.0,-18.0,10057.0,5967.0,6781.0,-2690.0,,4091.0,,,,62170.0,45417.0,13544.0,,3272.0,,-62.0,1823962.0,,100059.0,177279.0,122251.0,55028.0,1272350.0,,2319.0,111592.0,47418.0,25910.0,0.0,20449.0,1059.0,1711017.0,112945.0,57868.0,48058.0,,8975.0,,,836.0,16075.0,75.0,,38167.0,759.0,,1823962.0
CTG,Q12024,,,9408.0,17341.0,332707.0,314264.0,18443.0,,1935.0,2119.0,-184.0,265.0,1483622.0,1514398.0,-30775.0,,,,164156.0,158650.0,5865.0,-359.0,3530.0,,3310.0,234.0,-14.0,9921.0,5962.0,6836.0,-2877.0,,3959.0,,,,54728.0,36837.0,14510.0,,3489.0,,-107.0,2077615.0,,46137.0,325516.0,284967.0,40549.0,1427665.0,,2201.0,101544.0,43969.0,23927.0,0.0,18566.0,1477.0,1947033.0,130582.0,63511.0,53700.0,,8975.0,,,836.0,19048.0,125.0,,46998.0,900.0,,2077615.0
CTG,Q22010,,,2788.0,4526.0,33655.0,31376.0,2299.0,-20.0,301.0,325.0,-24.0,6.0,184807.0,187092.0,-2285.0,,,,54807.0,50580.0,4227.0,0.0,1477.0,0.0,1308.0,169.0,0.0,3464.0,1916.0,1800.0,-251.0,0.0,1548.0,0.0,0.0,0.0,8807.0,3329.0,3856.0,0.0,1622.0,16.0,-1.0,294638.0,,26911.0,19500.0,14169.0,5331.0,155131.0,0.0,25004.0,17875.0,33618.0,2853.0,0.0,30448.0,317.0,278040.0,16403.0,11447.0,11253.0,5.0,88.0,0.0,0.0,101.0,2972.0,188.0,0.0,1797.0,,195.0,294638.0
CTG,Q22011,,,3030.0,7014.0,39555.0,37125.0,2440.0,-9.0,758.0,773.0,-15.0,3.0,258917.0,263267.0,-4351.0,,,,67663.0,67503.0,429.0,-269.0,2054.0,0.0,1738.0,315.0,0.0,3156.0,2042.0,1331.0,-218.0,0.0,1113.0,0.0,0.0,0.0,12515.0,4683.0,5341.0,0.0,2495.0,15.0,-5.0,394665.0,,27691.0,46607.0,32844.0,13763.0,187357.0,0.0,45264.0,26262.0,38713.0,4049.0,0.0,34199.0,465.0,371894.0,22564.0,18806.0,16858.0,0.0,1944.0,0.0,0.0,4.0,600.0,0.0,0.0,3158.0,,207.0,394665.0
