stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN
GAS,Q12012,,,26601.0,10770.0,3372.0,7399.0,772.0,773.0,-1.0,,13021.0,11723.0,719.0,0.0,,,585.0,-7.0,,1313.0,1378.0,-65.0,725.0,96.0,198.0,31.0,0.0,399.0,25651.0,0.0,,,,,,0.0,,21190.0,16255.0,,,206.0,270.0,,,,4459.0,925.0,,102.0,,-25.0,,848.0,2818.0,2790.0,3.0,,25.0,,717.0,52253.0,,24728.0,14383.0,8227.0,153.0,752.0,123.0,1086.0,102.0,,,1476.0,2336.0,,127.0,,0.0,10345.0,,,,,44.0,532.0,276.0,8342.0,,,0.0,,1147.0,3.0,25758.0,25756.0,18950.0,,,11.0,,,,,-54.0,358.0,,214.0,5820.0,,,,,457.0,2.0,1.0,2.0,1766.0,52253.0
GAS,Q12013,,,23936.0,15956.0,2475.0,13480.0,59.0,59.0,,,6586.0,5637.0,540.0,,,,463.0,-54.0,,837.0,922.0,-84.0,499.0,85.0,167.0,16.0,,231.0,24166.0,,,,,,,,,20634.0,14617.0,,,160.0,344.0,,,,5513.0,868.0,,76.0,,-56.0,,848.0,2064.0,2038.0,3.0,,22.0,,600.0,48102.0,,14938.0,8251.0,2210.0,170.0,1177.0,152.0,1147.0,52.0,,,438.0,2869.0,,38.0,,,6687.0,,,,,44.0,548.0,265.0,5789.0,,,,34.0,7.0,,31456.0,31455.0,18950.0,,,,,33.0,,,,1549.0,,132.0,9335.0,,,,,1456.0,1.0,,1.0,1708.0,48102.0
GAS,Q12014,,,30397.0,21418.0,4185.0,17233.0,1114.0,1114.0,,,5787.0,5148.0,420.0,,,,293.0,-75.0,,1475.0,1559.0,-84.0,604.0,101.0,140.0,71.0,,291.0,21091.0,,,,,,,,,19083.0,16734.0,,,104.0,343.0,,,,1903.0,447.0,,80.0,,-75.0,,442.0,1007.0,977.0,5.0,,25.0,,554.0,51488.0,,14385.0,8721.0,2929.0,81.0,986.0,147.0,1522.0,59.0,,,419.0,2503.0,0.0,75.0,,,5664.0,,,,,,578.0,218.0,4770.0,,,,91.0,7.0,,35494.0,35492.0,18950.0,,,1.0,,33.0,,,,8548.0,,135.0,5141.0,,,,,2684.0,2.0,,2.0,1609.0,51488.0
GAS,Q12015,,,32882.0,24528.0,6023.0,18506.0,1737.0,0.0,0.0,1737.0,4935.0,3884.0,663.0,0.0,0.0,0.0,502.0,-113.0,0.0,1243.0,1308.0,-65.0,439.0,156.0,244.0,33.0,0.0,7.0,20086.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,14403.0,13919.0,0.0,0.0,84.0,400.0,0.0,4297.0,0.0,4297.0,88.0,0.0,78.0,85.0,-75.0,0.0,0.0,1274.0,775.0,39.0,0.0,2.0,,458.0,52969.0,,12595.0,6848.0,1617.0,169.0,849.0,195.0,1129.0,51.0,0.0,72.0,455.0,2065.0,45.0,199.0,0.0,0.0,5747.0,81.0,0.0,0.0,0.0,8.0,0.0,114.0,5172.0,0.0,0.0,0.0,342.0,31.0,0.0,40373.0,40373.0,18950.0,18950.0,0.0,1.0,0.0,99.0,-40.0,0.0,0.0,11646.0,0.0,135.0,7756.0,475.0,7281.0,0.0,1826.0,0.0,0.0,0.0,0.0,0.0,52969.0
GAS,Q12016,,,35618.0,17979.0,2559.0,15420.0,6086.0,,,6086.0,9584.0,3146.0,725.0,,,,5812.0,-99.0,,1385.0,1461.0,-75.0,584.0,109.0,440.0,35.0,,,24090.0,26.0,,,,,,26.0,,14243.0,13805.0,,,83.0,355.0,,8020.0,,8020.0,144.0,,134.0,85.0,-75.0,,,1658.0,902.0,47.0,,,,708.0,59709.0,,16097.0,9754.0,2065.0,131.0,526.0,179.0,5203.0,,,,430.0,1040.0,45.0,135.0,,,6343.0,,,,,,23.0,183.0,6011.0,,,45.0,49.0,31.0,,43612.0,43612.0,19140.0,19140.0,,190.0,,256.0,-40.0,,,11527.0,,135.0,10443.0,8868.0,1575.0,,1962.0,,,,,,59709.0
GAS,Q12017,,,37507.0,14217.0,3130.0,11086.0,10332.0,,,10332.0,11230.0,5557.0,238.0,,,,5597.0,-162.0,,1423.0,1511.0,-88.0,305.0,73.0,169.0,63.0,,,23506.0,146.0,,65.0,,,,81.0,,16459.0,15972.0,25.0,-1.0,53.0,434.0,24.0,5457.0,,5457.0,144.0,,132.0,87.0,-75.0,,,1277.0,941.0,49.0,,,287.0,,61013.0,,18529.0,10668.0,1948.0,145.0,602.0,229.0,5803.0,,,,545.0,1201.0,43.0,153.0,,,7861.0,,,,,,27.0,172.0,7509.0,,,93.0,11.0,49.0,,42484.0,42484.0,19140.0,19140.0,,190.0,,256.0,-40.0,,,13405.0,,6.0,7805.0,5625.0,2181.0,,1722.0,,,,,,61013.0
GAS,Q12018,,,42989.0,14666.0,2736.0,11931.0,15040.0,,,15040.0,10881.0,4984.0,144.0,,,,6019.0,-266.0,,2071.0,2169.0,-97.0,330.0,88.0,193.0,49.0,,0.0,23161.0,187.0,,64.0,,,,123.0,,20319.0,19816.0,26.0,-2.0,33.0,470.0,25.0,1149.0,,1149.0,92.0,,56.0,112.0,-75.0,,,1388.0,1115.0,56.0,,,217.0,,66150.0,,20371.0,12911.0,2244.0,187.0,781.0,224.0,6668.0,,,0.0,700.0,1728.0,2.0,377.0,,,7461.0,,,,,,25.0,210.0,7042.0,,,127.0,27.0,30.0,,45778.0,45778.0,19140.0,19140.0,,211.0,,256.0,,,,14850.0,,6.0,9528.0,6943.0,2585.0,,1788.0,,,,,,66150.0
GAS,Q12019,,,40888.0,7589.0,2181.0,5408.0,19845.0,,,19845.0,11513.0,5196.0,89.0,,,,6515.0,-289.0,1.0,1522.0,1592.0,-70.0,419.0,99.0,271.0,49.0,,,21121.0,111.0,,66.0,,,,45.0,,17962.0,17508.0,26.0,-3.0,18.0,437.0,24.0,1410.0,,1410.0,62.0,,52.0,85.0,-75.0,,,1553.0,1353.0,53.0,148.0,,,,62009.0,,16081.0,13054.0,2114.0,136.0,720.0,198.0,6938.0,,,0.0,953.0,1494.0,3.0,499.0,,,3027.0,,,,,,24.0,253.0,2495.0,,,189.0,46.0,20.0,,45928.0,45928.0,19140.0,19140.0,,210.0,,256.0,,,,17213.0,,6.0,7292.0,4329.0,2963.0,,1811.0,,,,,,62009.0
GAS,Q12020,,,45148.0,5277.0,1724.0,3553.0,25891.0,,,25891.0,11569.0,4702.0,901.0,,,,6277.0,-313.0,1.0,1902.0,1978.0,-76.0,509.0,64.0,418.0,27.0,,,20304.0,141.0,,81.0,,,,60.0,,15184.0,14772.0,26.0,-3.0,,412.0,23.0,3672.0,,3672.0,395.0,,385.0,35.0,-25.0,,,889.0,791.0,30.0,,,68.0,,65453.0,,13490.0,10840.0,1989.0,13.0,797.0,199.0,5862.0,,,10.0,379.0,1194.0,,398.0,,,2649.0,,,,,,23.0,84.0,1481.0,,,182.0,865.0,15.0,,51963.0,51963.0,19140.0,19140.0,,211.0,,197.0,,,,18844.0,,6.0,12455.0,10124.0,2331.0,,1111.0,,,,,,65453.0
GAS,Q12021,,,44230.0,6458.0,2050.0,4407.0,21594.0,,,21594.0,13439.0,7697.0,447.0,,,,5691.0,-396.0,,1977.0,2044.0,-67.0,762.0,112.0,592.0,58.0,,,24396.0,165.0,,72.0,,,,92.0,,19093.0,18661.0,26.0,-4.0,,432.0,22.0,3685.0,,3685.0,392.0,,382.0,35.0,-25.0,,,1039.0,981.0,50.0,,8.0,,,68626.0,,17050.0,11786.0,2661.0,138.0,710.0,233.0,5382.0,,,712.0,492.0,966.0,25.0,467.0,,,5264.0,,,,,,22.0,99.0,3281.0,,,172.0,1681.0,10.0,,51577.0,51577.0,19140.0,19140.0,,211.0,,197.0,,,,18854.0,,6.0,12080.0,10054.0,2027.0,,1089.0,,,,,,68626.0
