stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
HDB,Q12008,,,238.0,122.0,1612.0,1612.0,,,0.0,0.0,,,7145.0,7195.0,-49.0,,,,841.0,170.0,674.0,-2.0,254.0,,,254.0,,70.0,57.0,13.0,0.0,,13.0,,,,944.0,772.0,161.0,,11.0,,,11226.0,,69.0,4758.0,4534.0,223.0,4229.0,,,876.0,201.0,123.0,,75.0,3.0,10133.0,1093.0,1000.0,1000.0,,,,,,64.0,4.0,,25.0,,,11226.0
HDB,Q12013,,,496.0,856.0,5947.0,2135.0,3812.0,,207.0,207.0,,4.0,22638.0,22879.0,-241.0,,,,14936.0,13376.0,1682.0,-122.0,58.0,,,61.0,-4.0,308.0,246.0,88.0,-26.0,,62.0,,,,15285.0,12548.0,1601.0,,1143.0,,-7.0,60735.0,,152.0,6383.0,1533.0,4850.0,44788.0,,,2800.0,1164.0,660.0,0.0,496.0,9.0,55288.0,5447.0,5004.0,5000.0,,4.0,,,,52.0,-2.0,,393.0,,,60735.0
HDB,Q12014,,,609.0,596.0,6444.0,4986.0,1478.0,-20.0,918.0,919.0,-1.0,10.0,31465.0,32150.0,-686.0,,,,20923.0,20054.0,1055.0,-187.0,90.0,,,132.0,-42.0,588.0,369.0,307.0,-87.0,,219.0,,,,14639.0,11581.0,1701.0,21.0,1353.0,110.0,-19.0,76280.0,,186.0,7646.0,4905.0,2741.0,55477.0,,59.0,2505.0,1779.0,1121.0,,644.0,14.0,67653.0,8627.0,8105.0,8100.0,0.0,5.0,0.0,,,210.0,6.0,,307.0,,,76280.0
HDB,Q12015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12016,,,1393.0,946.0,15502.0,12119.0,3389.0,-6.0,986.0,995.0,-9.0,1.0,65556.0,66343.0,-787.0,,,,22354.0,17927.0,4966.0,-539.0,440.0,,,551.0,-111.0,780.0,508.0,416.0,-144.0,,272.0,62.0,63.0,0.0,10930.0,6617.0,2297.0,24.0,2036.0,44.0,-43.0,118950.0,,261.0,8095.0,4560.0,3535.0,86086.0,,2818.0,9097.0,2494.0,1901.0,,593.0,,108851.0,10099.0,8105.0,8100.0,0.0,5.0,0.0,,,378.0,-13.0,,1144.0,485.0,,118950.0
HDB,Q12017,,,1409.0,1329.0,24106.0,22586.0,1520.0,,705.0,708.0,-3.0,52.0,87143.0,88116.0,-974.0,5.0,9.0,-3.0,37077.0,27763.0,10367.0,-1053.0,374.0,,,486.0,-112.0,1336.0,505.0,998.0,-167.0,,831.0,90.0,90.0,0.0,9724.0,5285.0,2960.0,17.0,1496.0,28.0,-35.0,163349.0,,2051.0,20074.0,14414.0,5661.0,112877.0,,2868.0,11754.0,3478.0,2693.0,,785.0,,153102.0,10247.0,8105.0,8100.0,0.0,5.0,0.0,,,463.0,-2.0,,1014.0,668.0,,163349.0
HDB,Q12018,,,1650.0,2269.0,19681.0,18814.0,868.0,,2850.0,2853.0,-3.0,28.0,114673.0,115886.0,-1213.0,4.0,8.0,-4.0,39387.0,31738.0,8852.0,-1203.0,376.0,,,487.0,-112.0,1523.0,525.0,1182.0,-185.0,,997.0,52.0,52.0,0.0,7882.0,2726.0,3719.0,21.0,1477.0,32.0,-61.0,190374.0,,127.0,41011.0,21816.0,19195.0,117302.0,,2947.0,9446.0,3761.0,2632.0,,1129.0,,174595.0,15779.0,11852.0,9810.0,0.0,2042.0,0.0,,,452.0,38.0,,2527.0,910.0,,190374.0
HDB,Q12019,,,1998.0,3416.0,19600.0,18050.0,1550.0,0.0,1934.0,1937.0,-3.0,0.0,127556.0,128937.0,-1380.0,0.0,0.0,0.0,38843.0,22959.0,16794.0,-910.0,165.0,0.0,0.0,185.0,-20.0,1608.0,564.0,1240.0,-197.0,0.0,1043.0,52.0,52.0,0.0,7391.0,2231.0,3568.0,0.0,1630.0,26.0,-39.0,202563.0,,2181.0,34233.0,19309.0,14924.0,126694.0,2.0,3047.0,14130.0,4563.0,3273.0,2.0,1288.0,0.0,184849.0,17713.0,11852.0,9810.0,0.0,2042.0,0.0,0.0,0.0,774.0,8.0,0.0,3806.0,1273.0,0.0,202563.0
HDB,Q12020,,,1893.0,1892.0,18920.0,18720.0,200.0,,4813.0,4816.0,-4.0,,150733.0,152405.0,-1672.0,,,,40554.0,16118.0,25053.0,-617.0,161.0,,,185.0,-24.0,902.0,530.0,579.0,-207.0,,372.0,44.0,44.0,0.0,11863.0,6498.0,3400.0,2.0,2002.0,21.0,-40.0,231774.0,,603.0,43245.0,23269.0,19976.0,132822.0,23.0,3088.0,25174.0,5430.0,3806.0,,1624.0,,210386.0,21388.0,11382.0,9810.0,0.0,1985.0,-413.0,,,1246.0,19.0,,7019.0,1721.0,,231774.0
HDB,Q12021,,,2351.0,6209.0,50448.0,49851.0,596.0,,10977.0,10977.0,0.0,85.0,185334.0,187279.0,-1945.0,,,,53219.0,28694.0,24613.0,-87.0,154.0,,,185.0,-31.0,1198.0,605.0,833.0,-240.0,,593.0,21.0,21.0,0.0,15825.0,10475.0,3384.0,,2005.0,15.0,-40.0,325821.0,,130.0,69869.0,44790.0,25079.0,184988.0,,3030.0,34278.0,7115.0,4810.0,5.0,2301.0,,299410.0,26411.0,16211.0,16088.0,0.0,536.0,-413.0,,,1844.0,30.0,,6503.0,1823.0,,325821.0
