stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN
HPG,Q12007,,,1586.0,74.0,74.0,0.0,0.0,0.0,0.0,,520.0,417.0,70.0,0.0,0.0,,35.0,-2.0,,902.0,902.0,0.0,91.0,10.0,15.0,1.0,0.0,65.0,925.0,0.0,0.0,,0.0,0.0,,0.0,0.0,892.0,819.0,9.0,-1.0,38.0,26.0,8.0,,,9.0,0.0,0.0,0.0,,0.0,,0.0,25.0,18.0,7.0,,0.0,,0.0,2511.0,,1305.0,1211.0,216.0,53.0,50.0,6.0,6.0,0.0,0.0,,5.0,875.0,0.0,1.0,,0.0,94.0,0.0,,,,0.0,0.0,1.0,80.0,,,0.0,0.0,0.0,13.0,1202.0,1202.0,1100.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,0.0,,2.0,0.0,0.0,0.0,4.0,2511.0
HPG,Q12008,,,3921.0,405.0,236.0,170.0,169.0,169.0,0.0,,1418.0,717.0,694.0,0.0,0.0,,15.0,-8.0,,1813.0,1813.0,-1.0,116.0,12.0,33.0,0.0,0.0,71.0,1649.0,260.0,0.0,,0.0,0.0,,260.0,0.0,955.0,867.0,9.0,-3.0,15.0,41.0,7.0,,,33.0,392.0,0.0,192.0,,0.0,,200.0,35.0,20.0,14.0,,0.0,,0.0,5570.0,,1898.0,1633.0,294.0,58.0,102.0,11.0,18.0,0.0,0.0,,23.0,1121.0,0.0,5.0,,0.0,265.0,0.0,,,,0.0,0.0,202.0,46.0,,,0.0,0.0,0.0,16.0,3582.0,3582.0,1320.0,,,1315.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,910.0,,,0.0,,34.0,0.0,0.0,0.0,91.0,5570.0
HPG,Q12009,,,4038.0,423.0,247.0,176.0,733.0,733.0,0.0,,875.0,396.0,450.0,0.0,0.0,,36.0,-7.0,,1880.0,1949.0,-69.0,127.0,13.0,75.0,1.0,0.0,38.0,1953.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1339.0,852.0,23.0,-6.0,12.0,272.0,17.0,,,202.0,403.0,0.0,380.0,,0.0,,23.0,122.0,104.0,18.0,,0.0,,71.0,5991.0,,1392.0,1090.0,292.0,190.0,99.0,11.0,20.0,0.0,0.0,,20.0,435.0,0.0,22.0,,0.0,302.0,2.0,,,,0.0,0.0,0.0,268.0,,,1.0,12.0,0.0,19.0,4359.0,4359.0,1964.0,,,1621.0,,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,716.0,,,0.0,,76.0,0.0,0.0,0.0,239.0,5991.0
HPG,Q12010,,,5402.0,796.0,218.0,578.0,634.0,634.0,0.0,,1055.0,613.0,328.0,0.0,0.0,,120.0,-7.0,,2673.0,2680.0,-7.0,244.0,18.0,60.0,2.0,0.0,163.0,5339.0,0.0,0.0,,0.0,0.0,,0.0,0.0,3174.0,1319.0,29.0,-11.0,11.0,278.0,18.0,,,1566.0,1507.0,0.0,1311.0,,0.0,,196.0,157.0,125.0,29.0,,3.0,,481.0,10740.0,,5398.0,4744.0,99.0,244.0,5.0,204.0,18.0,62.0,0.0,,30.0,4031.0,10.0,40.0,,0.0,654.0,0.0,,,,0.0,0.0,33.0,593.0,,,0.0,2.0,0.0,26.0,5096.0,5096.0,1964.0,,,1621.0,,0.0,0.0,0.0,-63.0,0.0,0.0,0.0,1431.0,,,0.0,,144.0,0.0,0.0,0.0,245.0,10740.0
HPG,Q12011,,,9382.0,1599.0,199.0,1400.0,203.0,203.0,0.0,,2071.0,1302.0,683.0,0.0,0.0,,97.0,-10.0,,5271.0,5279.0,-9.0,238.0,55.0,152.0,2.0,0.0,30.0,7489.0,449.0,0.0,,0.0,0.0,,449.0,0.0,5047.0,4069.0,29.0,-15.0,10.0,123.0,14.0,,,844.0,623.0,0.0,518.0,,0.0,,105.0,316.0,238.0,55.0,,23.0,,1041.0,16871.0,,9583.0,6692.0,1011.0,69.0,234.0,25.0,196.0,0.0,0.0,,187.0,4916.0,14.0,40.0,,0.0,2890.0,0.0,,,,0.0,216.0,643.0,2005.0,,,0.0,0.0,0.0,25.0,6876.0,6876.0,3178.0,,,2258.0,,0.0,-44.0,0.0,-1.0,0.0,0.0,0.0,1278.0,,,0.0,,206.0,0.0,0.0,0.0,412.0,16871.0
HPG,Q12012,,,8644.0,720.0,218.0,502.0,20.0,20.0,,,1948.0,1439.0,459.0,,,,63.0,-13.0,,5783.0,5851.0,-67.0,173.0,70.0,64.0,12.0,0.0,27.0,8220.0,449.0,,,,,,449.0,,6111.0,4540.0,29.0,-19.0,9.0,163.0,10.0,,,1398.0,276.0,,184.0,,,,92.0,429.0,340.0,70.0,,19.0,,945.0,16864.0,,8703.0,5555.0,832.0,77.0,130.0,25.0,280.0,,,,352.0,3817.0,10.0,32.0,,0.0,3147.0,,,,,,,1171.0,1946.0,,,3.0,,,28.0,7609.0,7609.0,3492.0,,,2258.0,,,-151.0,,6.0,,,,1734.0,,,,,269.0,,,,552.0,16864.0
HPG,Q12013,,,9714.0,996.0,271.0,725.0,50.0,50.0,,,1770.0,1066.0,570.0,,,,313.0,-179.0,,6655.0,6686.0,-32.0,243.0,39.0,146.0,32.0,,26.0,9479.0,449.0,,,,,,449.0,,7737.0,4218.0,88.0,-23.0,,166.0,65.0,,,3353.0,26.0,,6.0,,,,20.0,382.0,315.0,49.0,,18.0,,819.0,19193.0,,10161.0,6247.0,1269.0,72.0,318.0,67.0,172.0,,,,128.0,4180.0,9.0,32.0,,,3913.0,,,,,,,2021.0,1893.0,,,0.0,,,,8517.0,8517.0,4191.0,,,2207.0,,,,,-2.0,,,,1830.0,,,,,290.0,,,,516.0,19193.0
HPG,Q12014,,,11110.0,2195.0,438.0,1757.0,405.0,405.0,,,1514.0,1190.0,302.0,,,,37.0,-15.0,,6771.0,6807.0,-35.0,225.0,46.0,99.0,65.0,,16.0,10559.0,450.0,,,,,,450.0,,9154.0,8720.0,88.0,-27.0,,188.0,61.0,,,246.0,21.0,,6.0,,,,16.0,373.0,311.0,54.0,,9.0,,500.0,21670.0,,11257.0,9164.0,1450.0,82.0,255.0,92.0,551.0,,,,938.0,5686.0,13.0,99.0,,,2093.0,,,,,,,531.0,1562.0,,,0.0,,,,10309.0,10309.0,4191.0,,,2207.0,,,,,,,,,3453.0,,,,,459.0,,,,104.0,21670.0
HPG,Q12015,,,11503.0,1453.0,676.0,778.0,847.0,0.0,0.0,847.0,1994.0,1199.0,797.0,0.0,0.0,0.0,35.0,-38.0,1.0,7097.0,7303.0,-206.0,111.0,25.0,73.0,12.0,0.0,2.0,10402.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,-2.0,8529.0,8349.0,232.0,-37.0,0.0,180.0,195.0,743.0,0.0,743.0,75.0,0.0,4.0,16.0,0.0,55.0,0.0,853.0,447.0,54.0,0.0,0.0,,352.0,21905.0,,9425.0,8212.0,1686.0,51.0,303.0,122.0,131.0,0.0,0.0,12.0,153.0,5528.0,16.0,210.0,0.0,0.0,1212.0,0.0,0.0,148.0,0.0,0.0,0.0,98.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,12359.0,12359.0,4886.0,4886.0,0.0,2140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,4658.0,4009.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,21905.0
HPG,Q12016,,,11643.0,2926.0,731.0,2195.0,831.0,,,831.0,1705.0,1237.0,458.0,,,,50.0,-41.0,1.0,6034.0,6275.0,-241.0,147.0,27.0,112.0,6.0,,2.0,13811.0,16.0,,,,,5.0,11.0,,11319.0,11155.0,249.0,-47.0,,163.0,202.0,1462.0,3.0,1459.0,114.0,,4.0,16.0,,94.0,,698.0,519.0,89.0,,0.0,90.0,,25454.0,,10002.0,9240.0,1874.0,265.0,354.0,171.0,106.0,,,33.0,125.0,5997.0,10.0,305.0,,,762.0,,,182.0,,,,113.0,450.0,,,0.0,17.0,,,15452.0,15452.0,7330.0,7330.0,,674.0,,,-1.0,,,891.0,,,6528.0,5506.0,1022.0,,29.0,,,,,,25454.0
