stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
LPB,Q12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPB,Q12015,,,503.0,1454.0,3535.0,1814.0,1721.0,,0.0,0.0,0.0,,47468.0,47962.0,-494.0,,,,36952.0,35556.0,1583.0,-187.0,325.0,,,325.0,,1098.0,741.0,402.0,-45.0,,357.0,,,,11855.0,7795.0,3536.0,,531.0,204.0,-6.0,103188.0,,230.0,11816.0,9659.0,2157.0,81303.0,2.0,1073.0,,1406.0,1095.0,,310.0,,95828.0,7360.0,6523.0,6460.0,,63.0,,,,663.0,,,174.0,,,103188.0
LPB,Q12016,,,855.0,972.0,5398.0,4128.0,1273.0,-2.0,,,,55.0,57950.0,58645.0,-695.0,,,,35112.0,32880.0,2680.0,-448.0,325.0,,,325.0,,1142.0,741.0,452.0,-51.0,,401.0,,,,11214.0,7270.0,3429.0,,522.0,363.0,-6.0,113023.0,,631.0,8360.0,5030.0,3330.0,91571.0,,1093.0,2000.0,1886.0,1446.0,,440.0,,105541.0,7482.0,6523.0,6460.0,,63.0,,,,713.0,,,246.0,,,113023.0
LPB,Q12017,,,819.0,2215.0,3564.0,1834.0,1735.0,-5.0,,,,64.0,87777.0,88869.0,-1092.0,,,,35029.0,34341.0,1553.0,-866.0,325.0,,,325.0,,1223.0,798.0,489.0,-65.0,,425.0,,,,7008.0,3405.0,2717.0,,938.0,139.0,-51.0,138023.0,,1094.0,8976.0,4657.0,4319.0,111494.0,,1114.0,4582.0,2396.0,1745.0,,651.0,,129657.0,8366.0,6523.0,6460.0,,63.0,,,,868.0,,,975.0,,,138023.0
LPB,Q12018,,,1561.0,6002.0,9930.0,7890.0,2045.0,-5.0,,,,,106930.0,108137.0,-1207.0,,,,36701.0,35813.0,1716.0,-828.0,325.0,,,325.0,,1427.0,975.0,534.0,-82.0,,452.0,,,,6922.0,3166.0,3115.0,,641.0,225.0,,169797.0,,2325.0,2714.0,1341.0,1372.0,144349.0,7.0,1123.0,6151.0,3469.0,2584.0,,885.0,,160139.0,9658.0,7500.0,7500.0,,,,,,1066.0,,,1092.0,,,169797.0
LPB,Q12019,,,2199.0,5870.0,6380.0,5230.0,1155.0,-5.0,278.0,278.0,,89.0,122187.0,123758.0,-1571.0,,,,36099.0,35650.0,1175.0,-727.0,325.0,,,325.0,,1443.0,970.0,579.0,-107.0,,472.0,,,,7032.0,2761.0,3599.0,,672.0,156.0,,181901.0,,2602.0,21092.0,15451.0,5641.0,125843.0,,1160.0,14887.0,4699.0,3737.0,,962.0,,170283.0,11618.0,8945.0,8881.0,,63.0,,,,1205.0,,,1468.0,,,181901.0
LPB,Q12020,,,1600.0,3353.0,9064.0,7664.0,1400.0,,,,,108.0,142800.0,144512.0,-1712.0,,,,36089.0,36138.0,359.0,-407.0,325.0,,,325.0,,1475.0,1010.0,596.0,-132.0,,464.0,,,,8116.0,2543.0,4980.0,,594.0,87.0,,202930.0,,279.0,10416.0,7745.0,2671.0,144001.0,,1179.0,28147.0,5843.0,4554.0,,1289.0,,189865.0,13065.0,9770.0,9769.0,,0.0,,,,1473.0,,,1823.0,,,202930.0
LPB,Q12021,,,1860.0,1984.0,18116.0,15741.0,2375.0,,277.0,277.0,,216.0,180264.0,182739.0,-2475.0,,,,31805.0,31819.0,,-14.0,316.0,,,316.0,,1589.0,1121.0,626.0,-158.0,,467.0,,,,8782.0,1287.0,6224.0,,1274.0,-17.0,-3.0,245208.0,,210.0,17312.0,13895.0,3417.0,176179.0,,,30117.0,6282.0,4481.0,,1802.0,,230100.0,15109.0,10746.0,10746.0,,0.0,,,,1753.0,,,2610.0,,,245208.0
LPB,Q12022,,,2173.0,10515.0,17309.0,16464.0,851.0,-5.0,233.0,233.0,,133.0,204272.0,207749.0,-3477.0,,,,41408.0,41425.0,,-17.0,316.0,,,316.0,,1609.0,1124.0,673.0,-188.0,,485.0,,,,6950.0,1473.0,4743.0,,739.0,,-5.0,284918.0,,154.0,42435.0,29143.0,13292.0,177460.0,,,38888.0,7759.0,5159.0,,2599.0,,266695.0,18223.0,12036.0,12036.0,,0.0,,,,2184.0,,,4003.0,,,284918.0
LPB,Q12023,,,2524.0,4043.0,31949.0,31749.0,258.0,-58.0,563.0,563.0,,360.0,238205.0,242116.0,-3911.0,53.0,54.0,-1.0,48420.0,48420.0,,,316.0,,,316.0,,1728.0,1208.0,717.0,-197.0,,520.0,,,,9035.0,4531.0,3884.0,,626.0,,-7.0,337197.0,,766.0,26405.0,24575.0,1830.0,227283.0,,,45301.0,12143.0,7593.0,,4550.0,,311898.0,25298.0,17291.0,17291.0,,0.0,,,,2860.0,,,5147.0,,,337197.0
