stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
MBB,Q12011,,,846.0,394.0,36580.0,36580.0,0.0,0.0,1980.0,2100.0,-121.0,0.0,52032.0,52874.0,-843.0,,,,14290.0,5578.0,8961.0,-249.0,2196.0,0.0,50.0,2259.0,-113.0,1230.0,272.0,1039.0,-80.0,0.0,958.0,492.0,493.0,0.0,8280.0,5733.0,1280.0,0.0,1376.0,0.0,-109.0,118320.0,,5811.0,16621.0,13170.0,3451.0,71703.0,0.0,177.0,4782.0,8982.0,826.0,0.0,8029.0,126.0,108075.0,9450.0,7554.0,7300.0,0.0,254.0,0.0,0.0,0.0,586.0,35.0,0.0,1275.0,,794.0,118320.0
MBB,Q12012,,,830.0,2559.0,42793.0,42793.0,0.0,0.0,820.0,1064.0,-244.0,0.0,59949.0,61319.0,-1370.0,,,,25162.0,20944.0,4804.0,-586.0,1689.0,0.0,155.0,1645.0,-111.0,1558.0,478.0,1219.0,-140.0,0.0,1079.0,147.0,147.0,0.0,9124.0,6307.0,2192.0,8.0,988.0,0.0,-371.0,144629.0,,0.0,23090.0,23090.0,0.0,94818.0,23.0,208.0,5530.0,7196.0,1085.0,223.0,5703.0,186.0,130865.0,13108.0,10332.0,10000.0,0.0,338.0,0.0,0.0,-6.0,870.0,-22.0,0.0,1928.0,,657.0,144629.0
MBB,Q12013,,,1026.0,6573.0,31972.0,31972.0,,,148.0,328.0,-180.0,,71980.0,73660.0,-1680.0,,,,47975.0,44532.0,4087.0,-644.0,1528.0,,287.0,1332.0,-92.0,1559.0,429.0,1348.0,-218.0,,1131.0,152.0,152.0,,7406.0,4253.0,2485.0,6.0,807.0,,-146.0,170318.0,,,24335.0,24335.0,,124453.0,8.0,172.0,2400.0,4179.0,1321.0,244.0,2404.0,211.0,155546.0,14102.0,10945.0,10625.0,,338.0,,,-18.0,1031.0,4.0,,2121.0,,670.0,170318.0
MBB,Q12014,,,996.0,4806.0,24217.0,24217.0,,,7553.0,7635.0,-82.0,,85950.0,88022.0,-2072.0,,,,47089.0,42050.0,5222.0,-182.0,1543.0,,343.0,1311.0,-110.0,1810.0,663.0,1419.0,-272.0,,1148.0,179.0,179.0,,8567.0,5657.0,2813.0,6.0,385.0,,-293.0,182711.0,,,15536.0,15536.0,,144979.0,21.0,189.0,2000.0,3676.0,1356.0,,2103.0,217.0,166401.0,15744.0,11595.0,11256.0,,338.0,,,,1433.0,,,2716.0,,567.0,182711.0
MBB,Q12015,,,1047.0,7510.0,12957.0,12957.0,0.0,0.0,12844.0,12927.0,-83.0,0.0,97826.0,100020.0,-2194.0,0.0,0.0,0.0,52974.0,46668.0,6857.0,-551.0,1505.0,0.0,362.0,1324.0,-181.0,1648.0,742.0,1227.0,-321.0,0.0,906.0,272.0,273.0,-1.0,8578.0,4711.0,3104.0,3.0,921.0,0.0,-161.0,197161.0,,0.0,10756.0,10756.0,0.0,162488.0,15.0,215.0,2145.0,3814.0,1724.0,0.0,2090.0,0.0,179434.0,17727.0,11932.0,11594.0,0.0,338.0,0.0,0.0,0.0,1852.0,0.0,0.0,3355.0,587.0,0.0,197161.0
MBB,Q12016,,,1303.0,7179.0,31444.0,31444.0,0.0,0.0,812.0,817.0,-5.0,28.0,122226.0,124363.0,-2136.0,0.0,0.0,0.0,52710.0,43386.0,10711.0,-1387.0,1417.0,0.0,362.0,1203.0,-148.0,1687.0,776.0,1302.0,-392.0,0.0,911.0,298.0,302.0,-4.0,9665.0,6059.0,2503.0,2.0,1413.0,0.0,-312.0,228771.0,,0.0,196707.0,16191.0,180516.0,0.0,0.0,296.0,2517.0,5253.0,1814.0,0.0,3439.0,0.0,204772.0,23998.0,17140.0,16312.0,0.0,828.0,0.0,0.0,0.0,2255.0,0.0,0.0,4012.0,591.0,0.0,228771.0
MBB,Q12017,,,1731.0,7061.0,21419.0,21419.0,0.0,0.0,686.0,830.0,-144.0,18.0,149350.0,151381.0,-2031.0,0.0,0.0,0.0,55037.0,47346.0,9542.0,-1851.0,929.0,0.0,109.0,959.0,-139.0,2509.0,1581.0,1409.0,-481.0,0.0,928.0,148.0,156.0,-7.0,11178.0,7622.0,2626.0,2.0,1555.0,75.0,-627.0,250066.0,,1034.0,30356.0,30356.0,0.0,182410.0,0.0,238.0,2623.0,7099.0,2054.0,0.0,5045.0,0.0,223759.0,26307.0,17956.0,17127.0,0.0,828.0,0.0,0.0,0.0,2671.0,0.0,0.0,4435.0,1246.0,0.0,250066.0
MBB,Q12018,,,2048.0,4827.0,37658.0,37658.0,0.0,0.0,3411.0,3462.0,-51.0,147.0,191262.0,193746.0,-2484.0,0.0,0.0,0.0,51338.0,47298.0,4373.0,-334.0,1238.0,0.0,50.0,1311.0,-123.0,2571.0,1552.0,1630.0,-611.0,0.0,1019.0,92.0,100.0,-8.0,21754.0,18644.0,2616.0,13.0,1385.0,66.0,-904.0,316345.0,,4436.0,36415.0,36415.0,0.0,227018.0,0.0,266.0,6124.0,11057.0,2703.0,0.0,8353.0,0.0,285316.0,31030.0,18983.0,18155.0,0.0,828.0,0.0,0.0,0.0,4163.0,0.0,0.0,6311.0,1572.0,0.0,316345.0
MBB,Q12019,,,2090.0,7597.0,43249.0,34501.0,8944.0,-196.0,675.0,754.0,-78.0,1.0,226051.0,229168.0,-3118.0,,,,80346.0,75845.0,4763.0,-262.0,886.0,,,1039.0,-153.0,2661.0,1549.0,1851.0,-739.0,,1112.0,31.0,31.0,,19632.0,14201.0,3508.0,9.0,2202.0,75.0,-288.0,383219.0,,3159.0,72809.0,51504.0,21305.0,242252.0,,289.0,15015.0,13564.0,3426.0,19.0,10120.0,,347088.0,36131.0,20596.0,21605.0,,,-1037.0,,28.0,4977.0,,,8956.0,1602.0,,383219.0
MBB,Q12020,,,2253.0,6763.0,47793.0,39044.0,8749.0,,1246.0,1319.0,-73.0,128.0,244072.0,247980.0,-3908.0,,,,81663.0,79264.0,2677.0,-279.0,877.0,,,1037.0,-160.0,2811.0,1645.0,2032.0,-866.0,,1166.0,31.0,31.0,,19165.0,13367.0,3584.0,4.0,2500.0,57.0,-289.0,406803.0,,51.0,69740.0,47411.0,22329.0,240737.0,,285.0,31374.0,20632.0,4760.0,18.0,15854.0,,362819.0,42009.0,25109.0,24370.0,,1178.0,-564.0,,125.0,4927.0,,,11973.0,,1975.0,406803.0
