stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN
MSN,Q12010,,,2514.0,485.0,485.0,0.0,1284.0,1284.0,0.0,,386.0,51.0,72.0,29.0,0.0,,236.0,-2.0,,281.0,316.0,-35.0,78.0,4.0,70.0,3.0,0.0,0.0,4676.0,0.0,0.0,,0.0,0.0,,0.0,0.0,693.0,499.0,0.0,0.0,13.0,69.0,0.0,,,111.0,3933.0,0.0,3933.0,,0.0,,0.0,46.0,12.0,26.0,,8.0,,4.0,7190.0,,1999.0,1213.0,240.0,8.0,39.0,13.0,252.0,0.0,0.0,,3.0,658.0,0.0,0.0,,0.0,787.0,0.0,,,,0.0,0.0,0.0,785.0,,,0.0,2.0,0.0,0.0,4856.0,4856.0,4854.0,,,1422.0,,-1947.0,0.0,0.0,0.0,0.0,0.0,-4.0,531.0,,,0.0,,0.0,0.0,0.0,0.0,334.0,7190.0
MSN,Q12011,,,5805.0,3703.0,3703.0,0.0,1261.0,1261.0,0.0,,462.0,79.0,164.0,0.0,0.0,,229.0,-10.0,,331.0,336.0,-5.0,49.0,9.0,31.0,0.0,0.0,9.0,17492.0,0.0,0.0,,0.0,0.0,,0.0,0.0,8397.0,556.0,0.0,0.0,0.0,71.0,0.0,,,7770.0,8966.0,0.0,8966.0,,0.0,,0.0,125.0,71.0,36.0,,19.0,,3.0,23297.0,,7917.0,2027.0,399.0,21.0,67.0,17.0,507.0,0.0,0.0,,6.0,1018.0,0.0,-7.0,,0.0,5890.0,0.0,,,,0.0,0.0,0.0,5134.0,,,751.0,0.0,0.0,4.0,12022.0,12022.0,5153.0,,,2166.0,,10463.0,0.0,0.0,-24.0,0.0,0.0,-8786.0,3050.0,,,0.0,,0.0,0.0,0.0,0.0,3359.0,23297.0
MSN,Q12012,,,17127.0,13467.0,1755.0,11712.0,1556.0,1556.0,,,1092.0,153.0,467.0,,,,473.0,-1.0,,802.0,817.0,-15.0,210.0,85.0,108.0,,0.0,17.0,22210.0,,,,,,,,,12238.0,911.0,,,,952.0,,,,10374.0,9413.0,,9413.0,,,,,289.0,227.0,28.0,,34.0,,270.0,39337.0,,17330.0,3252.0,470.0,28.0,202.0,3.0,928.0,,,,4.0,1616.0,,2.0,,0.0,14077.0,,,,,,,,13063.0,,,1006.0,,,8.0,16227.0,16227.0,5153.0,,,2166.0,,10463.0,,,-14.0,,,-6570.0,5030.0,,,,,,,,,5780.0,39337.0
MSN,Q12013,,,9315.0,6858.0,279.0,6579.0,287.0,287.0,,,1236.0,77.0,625.0,,,,534.0,0.0,,787.0,798.0,-11.0,147.0,43.0,87.0,,,17.0,31305.0,33.0,,,,,,33.0,,19098.0,1652.0,,,,851.0,,,,16595.0,11736.0,,10933.0,,,,803.0,197.0,92.0,71.0,,33.0,,242.0,40620.0,,18529.0,5551.0,965.0,14.0,636.0,43.0,1139.0,,,,57.0,2697.0,,,,,12977.0,,,,,,,844.0,11275.0,,,857.0,,,1.0,15527.0,15527.0,6873.0,,,7999.0,,1722.0,,,-22.0,,,,5926.0,,,,,-6971.0,,,,6564.0,40620.0
MSN,Q12014,,,10121.0,4608.0,316.0,4292.0,2634.0,2634.0,,,1343.0,502.0,429.0,,,,413.0,-2.0,,1294.0,1314.0,-20.0,241.0,42.0,138.0,,,62.0,36134.0,525.0,,,,,,525.0,,21438.0,16306.0,,,55.0,1520.0,,,,3557.0,10737.0,,10733.0,,,,4.0,3010.0,2815.0,128.0,,68.0,,424.0,46255.0,,22880.0,6658.0,1014.0,75.0,189.0,6.0,1799.0,,,,101.0,3475.0,,,,,16223.0,,,,,,,209.0,14820.0,,,1190.0,,,3.0,14790.0,14790.0,7349.0,,,9602.0,,-8415.0,,,3.0,,,,6251.0,,,,,,,,,8584.0,46255.0
MSN,Q12015,,,12321.0,4750.0,334.0,4416.0,1418.0,0.0,0.0,1418.0,3826.0,2801.0,478.0,0.0,0.0,0.0,549.0,-2.0,1.0,1980.0,2015.0,-35.0,347.0,97.0,230.0,20.0,0.0,0.0,36868.0,1477.0,0.0,0.0,0.0,0.0,0.0,1477.0,0.0,19989.0,18217.0,0.0,0.0,42.0,1730.0,0.0,4413.0,0.0,4413.0,8848.0,0.0,8704.0,0.0,0.0,144.0,0.0,2142.0,1078.0,133.0,0.0,0.0,931.0,,49190.0,,27210.0,8273.0,1161.0,90.0,219.0,55.0,1538.0,0.0,0.0,0.0,304.0,4905.0,0.0,0.0,0.0,0.0,18937.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,17327.0,0.0,0.0,920.0,611.0,0.0,0.0,21980.0,21980.0,7358.0,7358.0,0.0,9631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9045.0,7076.0,0.0,0.0,0.0,6960.0,0.0,0.0,0.0,0.0,0.0,49190.0
MSN,Q12016,,,18304.0,4687.0,641.0,4046.0,6992.0,,,6992.0,2323.0,974.0,467.0,,,,911.0,-29.0,0.0,3670.0,3675.0,-6.0,633.0,148.0,468.0,18.0,,,49200.0,2361.0,,,,,910.0,1452.0,,26989.0,20107.0,,,28.0,6854.0,,5672.0,,5672.0,10886.0,,9262.0,1625.0,-1.0,,,3291.0,2255.0,235.0,,,801.0,,67504.0,,43970.0,12211.0,1681.0,65.0,441.0,236.0,2709.0,,,,290.0,6752.0,,37.0,,,31758.0,68.0,,,,,,31.0,29368.0,,,1664.0,627.0,,,23534.0,23534.0,7467.0,7467.0,,9631.0,,-9251.0,,,,,,,7241.0,8561.0,-1321.0,,8447.0,,,,,,67504.0
MSN,Q12017,,,17279.0,7048.0,597.0,6451.0,1656.0,,,1656.0,2313.0,1109.0,452.0,,,,793.0,-41.0,,5884.0,5902.0,-18.0,379.0,114.0,255.0,10.0,,,50324.0,1975.0,,0.0,,,520.0,1455.0,,29293.0,22922.0,,,15.0,6357.0,,2611.0,,2611.0,12565.0,,12544.0,22.0,,,,3879.0,2843.0,320.0,,,716.0,,67604.0,,47028.0,12322.0,1796.0,281.0,247.0,98.0,2694.0,,,,157.0,7016.0,,31.0,,,34706.0,79.0,29.0,,,,,,32490.0,1546.0,,,563.0,,,20576.0,20576.0,11475.0,11475.0,,6856.0,,-9427.0,-641.0,,-2.0,,,,7253.0,7016.0,237.0,,5062.0,,,,,,67604.0
MSN,Q12018,,,13163.0,4391.0,514.0,3877.0,1154.0,,,1154.0,2109.0,1013.0,330.0,,,,876.0,-110.0,,4908.0,4920.0,-12.0,602.0,123.0,452.0,26.0,,,48645.0,1450.0,,,,,96.0,1353.0,,29273.0,23402.0,,,1.0,5870.0,,2183.0,,2183.0,11860.0,,11839.0,22.0,-7.0,6.0,,3880.0,3012.0,264.0,,,604.0,,61808.0,,42228.0,14565.0,2387.0,218.0,331.0,51.0,2320.0,,,,285.0,8942.0,,31.0,,,27663.0,34.0,,,,,,29.0,25655.0,,,1434.0,510.0,,,19580.0,19580.0,11574.0,11574.0,,6856.0,,-9427.0,-6518.0,,3.0,,,,12361.0,12350.0,11.0,,4731.0,,,,,,61808.0
MSN,Q12019,,,12298.0,3083.0,368.0,2715.0,383.0,,,383.0,2147.0,1022.0,773.0,,,350.0,114.0,-112.0,,5625.0,5668.0,-43.0,1060.0,146.0,893.0,21.0,,,52764.0,1385.0,,,,,,1385.0,,29105.0,23837.0,,,,5268.0,,2512.0,,2512.0,15794.0,,15775.0,22.0,-8.0,6.0,,3968.0,3190.0,287.0,,,491.0,,65062.0,,30148.0,15150.0,2280.0,360.0,342.0,67.0,1747.0,,,0.0,225.0,10097.0,,31.0,,,14997.0,31.0,,,,,,25.0,13133.0,,,1332.0,476.0,,,34914.0,34914.0,11631.0,11631.0,,11084.0,,-9427.0,,,6.0,,,,16912.0,16193.0,718.0,,4707.0,,,,,,65062.0
