stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN
MWG,Q12014,,,1771.0,173.0,143.0,30.0,,,,,238.0,25.0,28.0,,,,185.0,,,1317.0,1350.0,-34.0,43.0,30.0,10.0,,,3.0,316.0,,,,,,,,,265.0,250.0,,,,5.0,,,,10.0,,,,,,,,51.0,7.0,3.0,,41.0,,1.0,2087.0,,1085.0,1085.0,476.0,1.0,60.0,1.0,81.0,,,,17.0,449.0,,,,,,,,,,,,,,,,,,,,975.0,975.0,116.0,,,157.0,,,0.0,,,,1.0,,701.0,,,,,,,,,27.0,2087.0
MWG,Q12015,,,3031.0,235.0,232.0,3.0,0.0,0.0,0.0,0.0,339.0,41.0,103.0,0.0,0.0,0.0,196.0,0.0,0.0,2352.0,2402.0,-50.0,105.0,81.0,24.0,0.0,0.0,0.0,634.0,84.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,496.0,473.0,0.0,0.0,0.0,23.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,15.0,11.0,0.0,0.0,,20.0,3666.0,,1950.0,1950.0,938.0,7.0,71.0,1.0,69.0,0.0,0.0,0.0,65.0,781.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1705.0,1705.0,1120.0,1120.0,0.0,37.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,549.0,318.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3666.0
MWG,Q12016,,,6779.0,428.0,426.0,3.0,,,,,545.0,75.0,134.0,,,,336.0,,,5578.0,5667.0,-89.0,227.0,121.0,107.0,0.0,,,1186.0,120.0,,,,,,120.0,,912.0,890.0,,,,22.0,,49.0,,49.0,,,,,,,,104.0,76.0,18.0,,,10.0,,7965.0,,5063.0,5063.0,2156.0,24.0,115.0,55.0,357.0,,,,327.0,1999.0,26.0,5.0,,,,,,,,,,,,,,,,,,2901.0,2901.0,1469.0,1469.0,,37.0,,1.0,-3.0,,,,,,1395.0,978.0,418.0,,2.0,,,,,,7965.0
MWG,Q12017,,,11359.0,826.0,823.0,3.0,,,,,997.0,132.0,81.0,,,,784.0,,,9237.0,9399.0,-162.0,299.0,213.0,86.0,0.0,,,2748.0,192.0,,,,,,192.0,,2303.0,2276.0,,,,26.0,,69.0,,69.0,,,,,,,,184.0,97.0,88.0,,,,,14107.0,,9709.0,9709.0,2990.0,17.0,174.0,86.0,834.0,,,,257.0,5308.0,37.0,5.0,,,,,,,,,,,,,,,,,,4398.0,4398.0,1540.0,1540.0,,37.0,,1.0,0.0,,,,,,2820.0,2262.0,558.0,,2.0,,,,,,14107.0
MWG,Q12018,,,18988.0,2344.0,1393.0,951.0,3.0,,,3.0,1731.0,338.0,41.0,,,,1352.0,,,14417.0,14735.0,-318.0,493.0,293.0,198.0,1.0,,,4671.0,302.0,,,,,,302.0,,3500.0,3469.0,,,,31.0,,32.0,,32.0,,,,,,,,836.0,107.0,127.0,,,602.0,,23659.0,,16391.0,15029.0,5612.0,20.0,291.0,116.0,1349.0,,,,692.0,6894.0,50.0,5.0,,,1362.0,,,,,,,,1362.0,,,,,,,7268.0,7268.0,3232.0,3232.0,,551.0,,1.0,0.0,,0.0,,,,3479.0,2699.0,781.0,,5.0,,,,,,23659.0
MWG,Q12019,,,25629.0,2839.0,2791.0,48.0,3830.0,,,3830.0,1919.0,416.0,75.0,,,,1429.0,,,16613.0,16952.0,-340.0,428.0,290.0,137.0,2.0,,,4776.0,317.0,,,,,,317.0,,3633.0,3605.0,,,,28.0,,12.0,,12.0,60.0,,60.0,,,,,754.0,73.0,144.0,,,537.0,,30405.0,,20388.0,19213.0,7554.0,30.0,408.0,162.0,1387.0,,,2.0,989.0,8618.0,63.0,0.0,,,1175.0,,,,,,,,1175.0,,,,,,,10017.0,10017.0,4435.0,4435.0,,551.0,,1.0,-3.0,,0.0,,,,5025.0,3985.0,1040.0,,7.0,,,,,,30405.0
MWG,Q12020,,,30122.0,3273.0,3048.0,226.0,3800.0,,,3800.0,1443.0,204.0,306.0,,,8.0,926.0,,,20959.0,21463.0,-504.0,647.0,469.0,175.0,3.0,,,6748.0,385.0,,,,,,385.0,,5538.0,5509.0,,,,29.0,,17.0,,17.0,55.0,,55.0,,,,,753.0,87.0,190.0,,,476.0,,36870.0,,23491.0,22368.0,7701.0,59.0,959.0,195.0,1902.0,,,1.0,979.0,10495.0,76.0,0.0,,,1123.0,,,,,,,,1123.0,,,,,,,13379.0,13379.0,4532.0,4532.0,,558.0,,1.0,-4.0,,2.0,,,,8281.0,7150.0,1132.0,,8.0,,,,,,36870.0
MWG,Q12021,,,40807.0,2204.0,2060.0,144.0,12623.0,,,12623.0,1739.0,217.0,370.0,,,204.0,948.0,,,23253.0,23708.0,-455.0,989.0,597.0,386.0,6.0,,,9078.0,446.0,,,,,,446.0,,7745.0,7716.0,,,,28.0,,99.0,,99.0,50.0,,50.0,,,,,739.0,57.0,268.0,,,414.0,,49886.0,,32932.0,31804.0,9616.0,71.0,705.0,357.0,2548.0,,,0.0,973.0,17460.0,74.0,0.0,,,1128.0,,,,,,,,1128.0,,,,,,,16954.0,16954.0,4661.0,4661.0,,558.0,,,0.0,,-3.0,,,,11728.0,10390.0,1338.0,,10.0,,,,,,49886.0
MWG,Q12022,,,51377.0,3259.0,3249.0,10.0,11700.0,,,11700.0,2624.0,232.0,389.0,,,895.0,1109.0,,,32588.0,33234.0,-646.0,1206.0,529.0,635.0,41.0,,,10994.0,523.0,,,,,25.0,498.0,,9577.0,9499.0,,,,79.0,,66.0,,66.0,,,,,,,,827.0,128.0,346.0,,,353.0,,62371.0,,40560.0,40560.0,10708.0,95.0,868.0,283.0,2960.0,,,1.0,1080.0,24486.0,81.0,0.0,,,,,,,,,,,,,,,,,,21810.0,21810.0,7131.0,7131.0,,558.0,,,-2.0,,-8.0,,,,14119.0,12675.0,1444.0,,13.0,,,,,,62371.0
MWG,Q12023,,,43359.0,2781.0,2681.0,100.0,17028.0,,,17028.0,1916.0,114.0,317.0,,,17.0,1469.0,,,20957.0,21267.0,-310.0,676.0,507.0,141.0,28.0,,,10560.0,503.0,,,,,10.0,493.0,,9102.0,9029.0,,,,73.0,,84.0,,84.0,231.0,,181.0,,,50.0,,640.0,157.0,191.0,,,292.0,,53919.0,,29966.0,24064.0,7469.0,74.0,318.0,292.0,1256.0,,,1.0,3266.0,11313.0,76.0,,,,5901.0,,,,,,,,5901.0,,,,,,,23953.0,23953.0,14639.0,14639.0,,558.0,,,-6.0,,3.0,,,,8745.0,8724.0,21.0,,15.0,,,,,,53919.0
