stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN
SAB,Q12014,,,7651.0,1551.0,899.0,652.0,3451.0,3451.0,,,716.0,411.0,227.0,,,,123.0,-45.0,,1801.0,1847.0,-46.0,131.0,31.0,51.0,16.0,,33.0,10626.0,6.0,,,,,,6.0,,6773.0,4832.0,43.0,-11.0,,1644.0,32.0,,,296.0,2437.0,,1782.0,,-489.0,,1144.0,1378.0,1283.0,67.0,,28.0,,,18277.0,,6309.0,4731.0,1039.0,161.0,821.0,108.0,374.0,,,,1707.0,320.0,6.0,196.0,,,1578.0,,,,,,3.0,135.0,1216.0,,,58.0,56.0,58.0,53.0,11135.0,11135.0,6413.0,,,,,2.0,-33.0,,5.0,328.0,,5.0,3823.0,,,,,592.0,0.0,0.0,,834.0,18277.0
SAB,Q12015,,,10533.0,6946.0,1086.0,5860.0,516.0,,,516.0,1054.0,516.0,157.0,,,,427.0,-46.0,,1873.0,1913.0,-40.0,144.0,47.0,48.0,3.0,,46.0,10991.0,14.0,,,,,6.0,8.0,,7213.0,5096.0,43.0,-13.0,,2117.0,30.0,148.0,,148.0,2271.0,,1628.0,823.0,-450.0,271.0,,1314.0,1051.0,243.0,,19.0,,,21523.0,,7588.0,6501.0,1129.0,162.0,2180.0,122.0,410.0,,,,971.0,447.0,911.0,169.0,,,1087.0,,,,,,,45.0,886.0,,,43.0,56.0,58.0,,13936.0,13936.0,6413.0,6413.0,,,,3.0,-33.0,,8.0,1072.0,,6.0,5681.0,4742.0,940.0,,786.0,,0.0,0.0,,,21523.0
SAB,Q12016,,,12440.0,8848.0,1100.0,7747.0,954.0,,,954.0,1017.0,435.0,159.0,,,,450.0,-48.0,20.0,1472.0,1515.0,-44.0,150.0,95.0,39.0,14.0,,2.0,9474.0,366.0,,,,,4.0,374.0,-12.0,5708.0,4700.0,71.0,-26.0,,1008.0,45.0,101.0,,101.0,2145.0,,1827.0,759.0,-463.0,21.0,,1109.0,607.0,485.0,17.0,0.0,,,21914.0,,7003.0,5981.0,1159.0,120.0,732.0,152.0,358.0,,,1.0,1050.0,1220.0,992.0,196.0,,,1022.0,,,,,,1.0,393.0,557.0,,,15.0,1.0,55.0,,14912.0,14911.0,6413.0,6413.0,,,,3.0,-26.0,,-20.0,1100.0,,6.0,6440.0,5457.0,983.0,,995.0,,0.0,0.0,,,21914.0
SAB,Q12017,,,10422.0,4081.0,1443.0,2637.0,2566.0,,,2566.0,885.0,274.0,207.0,,,,434.0,-50.0,20.0,2205.0,2251.0,-46.0,685.0,74.0,111.0,500.0,,,8332.0,37.0,5.0,,,,4.0,45.0,-17.0,5329.0,4348.0,95.0,-29.0,,981.0,66.0,100.0,,100.0,1932.0,,1613.0,746.0,-448.0,21.0,,867.0,756.0,93.0,18.0,,,,18754.0,,5154.0,5010.0,1252.0,352.0,689.0,179.0,356.0,,,1.0,1070.0,921.0,,190.0,,,144.0,,0.0,,,,,54.0,21.0,,,14.0,1.0,54.0,,13600.0,13600.0,6413.0,6413.0,,,,3.0,-20.0,,15.0,1120.0,,5.0,4980.0,3857.0,1122.0,,1084.0,,0.0,0.0,,,18754.0
SAB,Q12018,,,12576.0,4873.0,923.0,3950.0,4606.0,,,4606.0,732.0,127.0,87.0,,,,552.0,-53.0,20.0,2209.0,2326.0,-117.0,156.0,70.0,80.0,6.0,,,8188.0,20.0,5.0,,,,4.0,49.0,-38.0,4882.0,3920.0,71.0,-16.0,,962.0,55.0,161.0,,161.0,2160.0,,1750.0,737.0,-347.0,21.0,,909.0,786.0,114.0,9.0,,,,20765.0,,5213.0,5006.0,1654.0,135.0,883.0,158.0,269.0,,,0.0,1013.0,808.0,15.0,71.0,,,208.0,,0.0,,,,,54.0,2.0,,,35.0,63.0,54.0,,15551.0,15551.0,6413.0,6413.0,,,,3.0,,,15.0,1119.0,,5.0,6934.0,,,,1061.0,,0.0,0.0,,,20765.0
SAB,Q12019,,,15516.0,4946.0,1215.0,3731.0,7496.0,,,7496.0,842.0,179.0,81.0,,,,610.0,-56.0,29.0,2084.0,2302.0,-218.0,147.0,99.0,44.0,3.0,,,7524.0,6.0,6.0,,,,4.0,36.0,-40.0,4433.0,3484.0,71.0,-17.0,,949.0,54.0,134.0,,134.0,2142.0,,1811.0,681.0,-371.0,21.0,,754.0,471.0,239.0,44.0,,,,23040.0,,5778.0,5451.0,1543.0,109.0,1136.0,249.0,672.0,,,1.0,1042.0,421.0,8.0,270.0,,,327.0,0.0,,53.0,,,,,12.0,,,31.0,146.0,84.0,,17262.0,17262.0,6413.0,6413.0,,3.0,,,,,20.0,1130.0,,5.0,8583.0,7447.0,1136.0,,1107.0,,0.0,0.0,,,23040.0
SAB,Q12020,,,16347.0,2447.0,936.0,1511.0,10825.0,,,10825.0,643.0,132.0,60.0,,,,795.0,-345.0,,2257.0,2456.0,-199.0,175.0,115.0,53.0,7.0,,,7840.0,8.0,6.0,,,,4.0,37.0,-39.0,4649.0,3709.0,93.0,-25.0,,940.0,67.0,396.0,,396.0,2157.0,,1875.0,666.0,-437.0,54.0,,563.0,324.0,211.0,29.0,,,,24187.0,,5700.0,4817.0,1280.0,39.0,687.0,339.0,486.0,,,0.0,1069.0,592.0,3.0,321.0,,,883.0,89.0,0.0,,,,,54.0,494.0,,,30.0,132.0,84.0,,18487.0,18487.0,6413.0,6413.0,,,,3.0,,,28.0,1130.0,,,9657.0,8997.0,660.0,,1255.0,,,,,,24187.0
SAB,Q12021,,,19225.0,2780.0,767.0,2013.0,13571.0,,,13571.0,595.0,93.0,121.0,,,,724.0,-342.0,,2047.0,2123.0,-77.0,232.0,152.0,43.0,37.0,,,7764.0,13.0,6.0,,,,4.0,42.0,-39.0,4740.0,3622.0,93.0,-28.0,177.0,940.0,65.0,253.0,,253.0,2187.0,,2101.0,449.0,-444.0,81.0,,507.0,298.0,184.0,25.0,,,,26989.0,,5808.0,4846.0,1323.0,67.0,1017.0,279.0,550.0,,,1.0,979.0,404.0,0.0,228.0,,,962.0,267.0,,,,,,55.0,478.0,,,35.0,125.0,1.0,,21181.0,21181.0,6413.0,6413.0,,,,3.0,,,29.0,1122.0,,,12283.0,7707.0,4576.0,,1330.0,,,,,,26989.0
SAB,Q12022,,,22424.0,3250.0,983.0,2267.0,16380.0,,,16380.0,685.0,125.0,62.0,,,,840.0,-342.0,,1961.0,2042.0,-81.0,148.0,93.0,28.0,28.0,,,7463.0,13.0,6.0,,,,4.0,42.0,-39.0,4306.0,3210.0,68.0,-27.0,166.0,931.0,41.0,576.0,,576.0,2052.0,,1996.0,434.0,-407.0,28.0,,474.0,274.0,178.0,23.0,,,,29887.0,,7065.0,6384.0,2364.0,307.0,1223.0,209.0,670.0,,,0.0,956.0,396.0,,259.0,,,680.0,121.0,,,,,,55.0,390.0,,,35.0,81.0,,,22822.0,22822.0,6413.0,6413.0,,,,3.0,,,27.0,1122.0,,,13836.0,12705.0,1131.0,,1421.0,,,,,,29887.0
SAB,Q12023,,,24036.0,2995.0,1022.0,1973.0,17367.0,,,17367.0,895.0,235.0,24.0,,,,932.0,-296.0,,2497.0,2573.0,-77.0,282.0,206.0,54.0,21.0,,,7444.0,40.0,6.0,,,,,48.0,-14.0,4332.0,3248.0,183.0,-31.0,161.0,923.0,152.0,131.0,,131.0,2251.0,,2221.0,434.0,-408.0,4.0,,539.0,361.0,154.0,24.0,,,,31480.0,,5907.0,5383.0,1774.0,26.0,1051.0,135.0,625.0,,,1.0,956.0,582.0,,233.0,,,525.0,0.0,,,,,,58.0,352.0,,,43.0,72.0,,,25573.0,25573.0,6413.0,6413.0,,,,3.0,,,37.0,1122.0,,,16515.0,15582.0,932.0,,1483.0,,,,,,31480.0
