stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
SSB,Q12017,,,725.0,2302.0,13661.0,10833.0,2828.0,,835.0,835.0,,,57998.0,58511.0,-513.0,50.0,64.0,-14.0,22121.0,17889.0,4897.0,-665.0,183.0,,,183.0,,352.0,246.0,193.0,-87.0,,106.0,290.0,294.0,-4.0,7040.0,1681.0,2953.0,,2412.0,,-6.0,105557.0,,3059.0,20678.0,13128.0,7550.0,71546.0,115.0,0.0,2900.0,1371.0,1249.0,,122.0,,99671.0,5886.0,5466.0,5466.0,0.0,,,,0.0,174.0,-47.0,,293.0,,,105557.0
SSB,Q12018,,,784.0,2154.0,10024.0,7776.0,2248.0,,5031.0,5031.0,,21.0,72413.0,73048.0,-634.0,42.0,42.0,,22889.0,19322.0,4702.0,-1135.0,179.0,,72.0,107.0,,373.0,225.0,252.0,-104.0,,148.0,261.0,266.0,-5.0,7010.0,1447.0,3260.0,,2312.0,,-9.0,121181.0,,306.0,25713.0,12140.0,13573.0,82931.0,,,3728.0,2234.0,2097.0,,136.0,,114912.0,6270.0,5466.0,5466.0,0.0,,,,0.0,219.0,-17.0,,601.0,,,121181.0
SSB,Q12019,,,963.0,2374.0,13701.0,13591.0,110.0,,9087.0,9139.0,-52.0,,84787.0,85700.0,-913.0,32.0,42.0,-10.0,21596.0,18948.0,3859.0,-1210.0,131.0,,,191.0,-60.0,770.0,218.0,676.0,-124.0,,552.0,240.0,246.0,-6.0,7616.0,1278.0,3783.0,,2571.0,676.0,-15.0,141298.0,,264.0,33684.0,19625.0,14059.0,87265.0,66.0,1.0,8735.0,2866.0,2717.0,,149.0,,132881.0,8417.0,7688.0,7688.0,,,,,,195.0,-35.0,,569.0,,,141298.0
SSB,Q12020,,,973.0,1552.0,16691.0,16250.0,441.0,,2105.0,2153.0,-48.0,,96205.0,97137.0,-932.0,,,,22409.0,22123.0,319.0,-33.0,121.0,,,148.0,-27.0,762.0,202.0,702.0,-143.0,,559.0,241.0,248.0,-7.0,7441.0,1284.0,3658.0,,2528.0,605.0,-29.0,148501.0,,233.0,19100.0,13166.0,5934.0,98611.0,44.0,1.0,15299.0,3949.0,3235.0,,714.0,,137236.0,11265.0,9369.0,9369.0,,,,,,232.0,31.0,,1633.0,,,148501.0
SSB,Q12021,,,1075.0,1276.0,30883.0,28583.0,2301.0,,6390.0,6400.0,-11.0,63.0,109786.0,111050.0,-1264.0,,,,25679.0,25400.0,319.0,-40.0,103.0,,,132.0,-29.0,853.0,278.0,744.0,-169.0,,575.0,241.0,250.0,-8.0,7971.0,1757.0,3286.0,,2963.0,534.0,-35.0,184321.0,,199.0,44399.0,34423.0,9976.0,115198.0,,1.0,6619.0,3679.0,3115.0,,564.0,,170095.0,14225.0,12087.0,12087.0,,,,,,456.0,0.0,,1682.0,,,184321.0
SSB,Q12022,,,1034.0,621.0,49720.0,45515.0,4205.0,,18552.0,18554.0,-3.0,,143777.0,145837.0,-2059.0,,,,9151.0,8472.0,686.0,-8.0,85.0,,,87.0,-1.0,898.0,302.0,767.0,-171.0,,596.0,65.0,71.0,-6.0,7318.0,1762.0,2791.0,,2805.0,463.0,-41.0,231222.0,,2193.0,77452.0,57260.0,20192.0,106117.0,310.0,1.0,18809.0,3749.0,2947.0,,803.0,,208631.0,22591.0,18315.0,16598.0,,1717.0,,,,856.0,159.0,,3261.0,,,231222.0
SSB,Q12023,,,963.0,1505.0,54926.0,49514.0,5412.0,0.0,4293.0,4293.0,0.0,0.0,156605.0,159281.0,-2676.0,0.0,0.0,0.0,12688.0,12333.0,374.0,-20.0,61.0,0.0,0.0,62.0,-1.0,1073.0,410.0,867.0,-205.0,0.0,662.0,58.0,64.0,-7.0,12997.0,6196.0,4088.0,0.0,2754.0,392.0,-40.0,245169.0,,2132.0,68338.0,47960.0,20378.0,117695.0,348.0,1.0,24764.0,4804.0,4228.0,0.0,576.0,0.0,218083.0,27086.0,21607.0,20403.0,0.0,1204.0,0.0,0.0,0.0,1156.0,0.0,0.0,4323.0,0.0,0.0,245169.0
SSB,Q12024,,,852.0,2115.0,60696.0,55354.0,5342.0,0.0,4830.0,4830.0,0.0,0.0,178163.0,181185.0,-3022.0,0.0,0.0,0.0,10191.0,10191.0,350.0,-350.0,62.0,0.0,0.0,62.0,-1.0,1237.0,530.0,956.0,-249.0,0.0,707.0,56.0,63.0,-8.0,13412.0,6747.0,3921.0,0.0,2774.0,320.0,-30.0,271614.0,,2094.0,65369.0,38846.0,26523.0,154372.0,106.0,1.0,14234.0,3872.0,3121.0,0.0,751.0,0.0,240048.0,31566.0,25063.0,24957.0,0.0,106.0,0.0,0.0,0.0,1715.0,67.0,0.0,4720.0,0.0,0.0,271614.0
SSB,Q22015,,,515.0,3909.0,9795.0,6630.0,3165.0,,9.0,9.0,,,35210.0,35692.0,-482.0,,,,15110.0,13832.0,1354.0,-75.0,183.0,,,183.0,,287.0,203.0,152.0,-68.0,,84.0,318.0,320.0,-2.0,8106.0,4629.0,2223.0,,1253.0,,,73441.0,,197.0,17710.0,9429.0,8281.0,45895.0,7.0,17.0,2900.0,938.0,659.0,,279.0,,67664.0,5777.0,5466.0,5466.0,0.0,,,,0.0,142.0,-4.0,,173.0,,,73441.0
SSB,Q22017,,,722.0,1527.0,9282.0,6220.0,3063.0,,2046.0,2046.0,,,63303.0,63839.0,-536.0,50.0,64.0,-14.0,22616.0,18620.0,4883.0,-887.0,183.0,,72.0,111.0,,399.0,237.0,252.0,-90.0,,162.0,252.0,256.0,-4.0,7194.0,1523.0,3332.0,,2345.0,,-6.0,107574.0,,801.0,19858.0,9432.0,10425.0,76412.0,27.0,0.0,2900.0,1658.0,1560.0,,98.0,,101656.0,5918.0,5466.0,5466.0,0.0,,,,0.0,174.0,-56.0,,334.0,,,107574.0
