stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tài sản tài chính ngắn hạn,1. Tiền và các khoản tương đương tiền,1.1. Tiền,1.2. Các khoản tương đương tiền,Các khoản đầu tư tài chính ngắn hạn,+Đầu tư ngắn hạn,+Đầu tư ngắn hạn của người ủy thác Đầu tư,Dự phòng giảm giá đầu tư ngắn hạn,2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),4. Các khoản cho vay,5. Các tài sản tài chính sẵn sàn để bán (AFS),6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,7. Các khoản phải thu ngắn hạn,7.1. Phải thu bán các tài sản tài chính,"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính","7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận","Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được","7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",Trả trước cho người bán,9. Phải thu các dịch vụ CTCK cung cấp,Phải thu hoạt động giao dịch chứng khoán,10. Phải thu nội bộ ngắn hạn,11. Phải thu về lỗi giao dịch chứng khoán,12. Các khoản phải thu khác,13. Dự phòng suy giảm giá trị các khoản phải thu,Dự phòng các khoản phải thu ngắn hạn khó đòi,Phải thu khách hàng,Hàng tồn kho,Hàng tồn kho (chi tiết),Dự phòng giảm giá hàng tồn kho,II. Tài sản ngắn hạn khác,1. Tạm ứng,"2. Vật tư văn phòng, công cụ, dụng cụ",3. Chi phí trả trước ngắn hạn,"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",8. Thuế GTGT còn được khấu trừ,Thuế và các khoản khác phải thu của nhà nước,Giao dịch mua bán lại trái phiếu Chính phủ (TS),5. Tài sản ngắn hạn khác,6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Tài sản tài chính dài hạn,1. Các khoản phải thu dài hạn,1.1. Phải thu dài hạn của khách hàng,1.2. Vốn kinh doanh ở các đơn vị trực thuộc,1.3.  Phải thu dài hạn nội bộ,1.4. Phải thu dài hạn khác,1.5. Dự phòng phải thu dài hạn khó đòi,2. Các khoản đầu tư,2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,2.2. Đầu tư vào công ty con,"2.3 Đầu tư vào công ty liên kết, liên doanh",2.4 Đầu tư chứng khoán dài hạn,- Chứng khoán sẵn sàng để bán,- Chứng khoán nắm giữ đến ngày đáo hạn,2.5 Đầu tư dài hạn khác,2.6 Dự phòng giảm giá đầu tư dài hạn,II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế,- Đánh giá TSCĐHH theo giá trị hợp lý,2. Tài sản cố định thuê tài chính,- Đánh giá TSCĐTTC theo giá trị hợp lý,3. Tài sản cố định vô hình,- Đánh giá TSCĐVH theo giá trị hợp lý,III. Bất động sản đầu tư,- Đánh giá BĐSĐT theo giá trị hợp lý,IV. Chi phí xây dựng cơ bản dở dang,V. Tài sản dài hạn khác,"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",2. Chi phí trả trước dài hạn,3. Tài sản thuế thu nhập hoãn lại,4. Tiền nộp Quỹ hỗ trợ thanh toán,5. Tài sản dài hạn khác,6. Lợi thế thương mại,VI. Dự phòng suy giảm giá trị tài sản dài hạn,TỔNG CỘNG TÀI SẢN (270=100+200),NGUỒN VỐN,A. NỢ PHẢI TRẢ (300=310+340),I. Nợ ngắn hạn,1. Vay và nợ thuê tài chính ngắn hạn,1.1. Vay ngắn hạn,1.2 Nợ thuê tài sản tài chính ngắn hạn,2. Vay tài sản tài chính ngắn hạn,3. Trái phiếu chuyển đổi ngắn hạn,4. Trái phiếu phát hành ngắn hạn,5. Vay quỹ hỗ trợ thanh toán,6. Phải trả hoạt động giao dịch chứng khoán,7. Phải trả về lỗi giao dịch các tài sản tài chính,8. Phải trả người bán ngắn hạn,9. Người mua trả tiền trước ngắn hạn,10. Thuế và các khoản phải nộp Nhà nước,11. Phải trả người lao động,12. Các khoản trích nộp phúc lợi nhân viên,13. Chi phí phải trả ngắn hạn,14. Phải trả nội bộ ngắn hạn,15. Doanh thu chưa thực hiện ngắn hạn,"16. Nhận ký quỹ, ký cược ngắn hạn","17. Các khoản phải trả, phải nộp khác ngắn hạn","Phải trả hộ cổ tức, gốc và lãi trái phiếu",Phải trả tổ chức phát hành chứng khoán,18. Dự phòng phải trả ngắn hạn,Giao dịch mua bán lại trái phiếu chính phủ,19. Quỹ khen thưởng phúc lợi,II. Nợ dài hạn,1. Vay và nợ thuê tài chính dài hạn,1.1. Vay dài hạn,1.2 Nợ thuê tài sản tài chính dài hạn,2. Vay tài sản tài chính dài hạn,3. Trái phiếu chuyển đổi dài hạn,4. Trái phiếu phát hành dài hạn,5. Phải trả người bán dài hạn,6. Người mua trả tiền trước dài hạn,7. Chi phí phải trả dài hạn,8. Phải trả nội bộ dài hạn,9. Doanh thu chưa thực hiện dài hạn,"10. Nhận ký quỹ, ký cược dài hạn","11. Phải trả, phải nộp khác dài hạn",Vốn nhận ủy thác đầu tư dài hạn,Dự phòng trợ cấp mất việc làm,12. Dự phòng phải trả dài hạn,13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,14. Thuế thu nhập hoãn lại phải trả,15. Quỹ phát triển khoa học và công nghệ,B. VỐN CHỦ SỞ HỮU (400=410+420),I. Vốn chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,1.1. Vốn góp của chủ sở hữu,a. Cổ phiếu phổ thông,b. Cổ phiếu ưu đãi,1.2. Thặng dư vốn cổ phần,1.3. Quyền chọn chuyển đổi trái phiếu,1.4. Vốn khác của chủ sở hữu,1.5. Cổ phiếu quỹ,2. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,3. Chênh lệch tỷ giá hối đoái,4. Quỹ dự trữ điều lệ,Quỹ đầu tư phát triển,5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,6. Quỹ khác thuộc vốn chủ sở hữu,7. Lợi nhuận sau thuế chưa phân phối,7.1. Lợi nhuận đã thực hiện,7.2. Lợi nhuận chưa thực hiện,Nguồn vốn đầu tư XDCB,Quỹ hỗ trợ sắp xếp doanh nghiệp,8. Lợi ích cổ đông không nắm quyền kiểm soát,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,TỔNG CỘNG NGUỒN VỐN  (440=300+400),LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm
SSI,Q12007,,,4908.0,,2160.0,2160.0,0.0,2419.0,2419.0,0.0,0.0,,,,,,302.0,,,,,,0.0,,302.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,27.0,,,0.0,,0.0,0.0,0.0,27.0,,177.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0,,155.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,,0.0,,1.0,,0.0,,0.0,9.0,,9.0,0.0,0.0,0.0,0.0,,5085.0,,3436.0,2575.0,2518.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,58.0,860.0,860.0,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1649.0,1649.0,,500.0,,,511.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,638.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5085.0,,
SSI,Q12008,,,3487.0,,1088.0,1088.0,0.0,1121.0,751.0,449.0,-79.0,,,,,,1263.0,,,,,,0.0,,1263.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,15.0,,,0.0,,0.0,0.0,0.0,15.0,,3074.0,,0.0,0.0,0.0,0.0,0.0,0.0,2888.0,,0.0,492.0,2420.0,2420.0,0.0,78.0,-103.0,164.0,39.0,0.0,0.0,,0.0,,125.0,,0.0,,0.0,22.0,,22.0,0.0,0.0,0.0,0.0,,6560.0,,2263.0,1331.0,1331.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,932.0,932.0,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4297.0,4297.0,,1367.0,,,1996.0,,0.0,0.0,0.0,0.0,,935.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6560.0,,
SSI,Q12009,,,2453.0,,1178.0,767.0,411.0,1043.0,1089.0,0.0,-46.0,,,,,,226.0,,,,,,3.0,,89.0,0.0,,10.0,,0.0,123.0,0.0,0.0,0.0,6.0,,,3.0,,0.0,0.0,0.0,3.0,,3043.0,,0.0,0.0,0.0,0.0,0.0,0.0,2863.0,,0.0,440.0,2535.0,2535.0,0.0,131.0,-244.0,162.0,37.0,0.0,0.0,,0.0,,124.0,,0.0,,0.0,18.0,,6.0,0.0,6.0,6.0,0.0,,5496.0,,1517.0,943.0,35.0,,,,,,,723.0,,63.0,2.0,19.0,0.0,,9.0,0.0,0.0,,5.0,3.0,1.0,0.0,0.0,83.0,573.0,222.0,,,,,,0.0,,,0.0,0.0,,0.0,346.0,5.0,0.0,0.0,0.0,0.0,3979.0,3979.0,,1533.0,,,1996.0,,0.0,-119.0,0.0,0.0,,0.0,115.0,0.0,454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5496.0,,
SSI,Q12010,,,6950.0,,4391.0,2605.0,1786.0,1561.0,1626.0,0.0,-65.0,,,,,,987.0,,,,,,7.0,,54.0,0.0,,130.0,,0.0,797.0,0.0,0.0,0.0,11.0,,,5.0,,0.0,0.0,0.0,6.0,,2244.0,,0.0,0.0,0.0,0.0,0.0,0.0,2039.0,,0.0,457.0,1499.0,1499.0,0.0,126.0,-43.0,166.0,35.0,0.0,0.0,,0.0,,130.0,,0.0,,1.0,39.0,,23.0,0.0,8.0,7.0,0.0,,9193.0,,3759.0,3742.0,2000.0,,,,,,,1292.0,,1.0,3.0,104.0,0.0,,13.0,0.0,0.0,,296.0,5.0,2.0,0.0,0.0,26.0,17.0,0.0,,,,,,0.0,,,0.0,0.0,,13.0,0.0,4.0,0.0,0.0,0.0,0.0,5435.0,5435.0,,3511.0,,,341.0,,122.0,0.0,0.0,0.0,,0.0,140.0,0.0,1320.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9193.0,,
SSI,Q12011,,,4120.0,,1642.0,979.0,663.0,1835.0,2179.0,0.0,-344.0,,,,,,625.0,,,,,,10.0,,0.0,0.0,,122.0,,0.0,494.0,0.0,0.0,0.0,17.0,,,13.0,,1.0,0.0,0.0,4.0,,2489.0,,0.0,0.0,0.0,0.0,0.0,0.0,2140.0,,0.0,515.0,1537.0,1537.0,0.0,226.0,-139.0,296.0,44.0,0.0,0.0,,118.0,,133.0,,0.0,,1.0,53.0,,33.0,0.0,13.0,7.0,0.0,,6608.0,,1254.0,1112.0,0.0,,,,,,,795.0,,5.0,75.0,10.0,0.0,,4.0,0.0,0.0,,174.0,4.0,2.0,0.0,0.0,43.0,142.0,0.0,,,,,,0.0,,,0.0,0.0,,13.0,124.0,4.0,0.0,0.0,1.0,0.0,5281.0,5281.0,,3511.0,,,341.0,,0.0,-89.0,0.0,0.0,,0.0,221.0,0.0,1297.0,,,0.0,0.0,73.0,0.0,0.0,0.0,6608.0,,
SSI,Q12012,,,3905.0,,2154.0,1112.0,1042.0,1109.0,1312.0,0.0,-202.0,,,,,,633.0,,,,,,7.0,,5.0,0.0,,113.0,,-18.0,526.0,0.0,0.0,0.0,9.0,,,7.0,,0.0,0.0,0.0,2.0,,3445.0,,0.0,0.0,0.0,0.0,0.0,0.0,2875.0,,0.0,1249.0,981.0,981.0,0.0,750.0,-105.0,158.0,31.0,282.0,-10.0,,0.0,,126.0,,273.0,,1.0,46.0,,17.0,8.0,15.0,6.0,92.0,,7350.0,,2009.0,1978.0,0.0,,,,,,,921.0,,2.0,155.0,40.0,0.0,,21.0,0.0,3.0,,753.0,5.0,1.0,0.0,0.0,77.0,31.0,0.0,,,,,,0.0,,,0.0,0.0,,1.0,0.0,3.0,0.0,0.0,27.0,0.0,5265.0,5265.0,,3526.0,,,341.0,,0.0,-89.0,0.0,0.0,,0.0,289.0,0.0,1197.0,,,0.0,0.0,77.0,0.0,0.0,0.0,7350.0,,
SSI,Q12013,,,5152.0,,2549.0,963.0,1586.0,1721.0,1889.0,,-168.0,,,,,,871.0,,,,,,7.0,,0.0,,,498.0,,-59.0,424.0,,,,11.0,,,8.0,,0.0,0.0,,3.0,,3299.0,,,,,,,,2810.0,,,1455.0,954.0,954.0,,549.0,-148.0,141.0,21.0,284.0,-16.0,,,,119.0,,267.0,,,81.0,,7.0,50.0,17.0,6.0,,,8451.0,,3001.0,2985.0,161.0,,,,,,,851.0,,10.0,99.0,41.0,0.0,,14.0,,1.0,,1734.0,7.0,1.0,,,66.0,15.0,,,,,,,,,,,,,0.0,,,,,15.0,,5367.0,5367.0,,3538.0,,,345.0,,-3.0,-89.0,,,,,289.0,,1287.0,,,,,83.0,,,,8451.0,,
SSI,Q12014,,,6407.0,,2482.0,1722.0,761.0,2052.0,2172.0,,-119.0,,,,,,1851.0,,,,,,8.0,,24.0,,,150.0,,-1.0,1671.0,,,,21.0,,,6.0,,0.0,,,15.0,,3241.0,,,,,,,,2770.0,,,1028.0,1370.0,1370.0,,539.0,-167.0,135.0,18.0,284.0,-25.0,,,,118.0,,259.0,,,77.0,,1.0,51.0,20.0,6.0,,,9648.0,,4148.0,4126.0,462.0,,,,,,,1468.0,,1.0,70.0,72.0,20.0,,32.0,,0.0,,1917.0,7.0,1.0,,,77.0,22.0,,,,,,,,,,,,,1.0,21.0,,,,,,5418.0,5418.0,,3538.0,,,345.0,,-5.0,-89.0,,,,,336.0,,1293.0,,,,,83.0,,,,9648.0,,
SSI,Q12015,,,7329.0,,2543.0,2158.0,386.0,2397.0,2471.0,,-73.0,,,,,,2366.0,,,,,,8.0,,0.0,,,39.0,,-3.0,2322.0,,,,22.0,,,9.0,,0.0,,,13.0,,2657.0,,,,,,,,2138.0,,,1089.0,843.0,843.0,,639.0,-433.0,137.0,18.0,297.0,-34.0,,,,119.0,,264.0,,,118.0,,2.0,90.0,20.0,6.0,,,9985.0,,4038.0,3505.0,1468.0,,,,,,,1490.0,,1.0,104.0,56.0,3.0,,18.0,,0.0,,202.0,74.0,7.0,,,82.0,533.0,500.0,,,,,,,,,,8.0,,1.0,,,,,24.0,,5865.0,5865.0,,4273.0,,,29.0,,-7.0,0.0,,13.0,,,373.0,,1183.0,,,,,83.0,,,,9985.0,,
SSI,Q12016,,,11075.0,10832.0,557.0,462.0,95.0,0.0,0.0,0.0,0.0,1254.0,4367.0,3772.0,853.0,-7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,16.0,-3.0,0.0,0.0,0.0,0.0,0.0,243.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,229.0,0.0,1447.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,300.0,0.0,655.0,0.0,0.0,0.0,0.0,0.0,135.0,15.0,308.0,-45.0,0.0,0.0,0.0,120.0,0.0,263.0,0.0,0.0,93.0,17.0,4.0,52.0,20.0,0.0,0.0,0.0,12521.0,,5661.0,4938.0,4302.0,4302.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,2.0,5.0,46.0,4.0,0.0,44.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,93.0,722.0,0.0,0.0,0.0,0.0,0.0,687.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6860.0,6860.0,4825.0,4801.0,4801.0,0.0,29.0,0.0,-5.0,0.0,-3.0,26.0,268.0,0.0,184.0,0.0,1480.0,1702.0,-222.0,0.0,0.0,81.0,0.0,0.0,0.0,12521.0,0.0,0.0
