stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
STB,Q12007,,,3500.0,746.0,5361.0,5311.0,50.0,0.0,1975.0,1975.0,,,17152.0,17251.0,-99.0,,,,,,,,958.0,,958.0,,,713.0,712.0,1.0,,,1.0,,,,1569.0,472.0,315.0,,797.0,,-15.0,31973.0,,129.0,1855.0,1837.0,18.0,23222.0,,397.0,2500.0,847.0,625.0,,222.0,,28951.0,3022.0,2249.0,2089.0,1.0,,,,159.0,218.0,,,556.0,,,31973.0
STB,Q12008,,,5681.0,1604.0,6617.0,6583.0,34.0,0.0,4823.0,4900.0,-77.0,26.0,42345.0,42552.0,-207.0,,,,9867.0,8081.0,1828.0,-42.0,1550.0,,164.0,1386.0,,1221.0,676.0,545.0,-25.0,24.0,520.0,,,,2552.0,1365.0,757.0,,430.0,,,76286.0,,146.0,5174.0,4311.0,862.0,52598.0,,1055.0,7281.0,3175.0,645.0,,2501.0,29.0,69430.0,6856.0,5662.0,4449.0,1.0,1213.0,,,0.0,650.0,-18.0,,562.0,,,76286.0
STB,Q12009,,,6010.0,3303.0,9137.0,9107.0,30.0,0.0,375.0,465.0,-90.0,0.0,40485.0,40759.0,-274.0,,,,9324.0,8584.0,892.0,-153.0,1147.0,0.0,135.0,1062.0,-50.0,1840.0,975.0,885.0,-42.0,22.0,843.0,0.0,0.0,0.0,2861.0,1982.0,690.0,0.0,189.0,0.0,0.0,74480.0,,53.0,1094.0,196.0,897.0,56871.0,145.0,1028.0,5924.0,2208.0,799.0,0.0,1374.0,36.0,67323.0,7157.0,5978.0,5116.0,1.0,1213.0,-352.0,0.0,0.0,784.0,-12.0,0.0,407.0,,0.0,74480.0
STB,Q12010,,,9651.0,2614.0,13303.0,12980.0,326.0,-3.0,705.0,842.0,-137.0,241.0,61783.0,62308.0,-525.0,,,,10971.0,9967.0,1040.0,-36.0,706.0,0.0,84.0,633.0,-12.0,2481.0,1364.0,1180.0,-71.0,8.0,1109.0,0.0,0.0,0.0,5267.0,6395.0,796.0,0.0,-1923.0,0.0,0.0,107722.0,,3543.0,3773.0,34.0,3738.0,62951.0,0.0,1946.0,21042.0,4599.0,906.0,0.0,3652.0,40.0,97853.0,9683.0,8078.0,6700.0,1.0,1377.0,0.0,0.0,0.0,1046.0,-62.0,0.0,620.0,,186.0,107722.0
STB,Q12011,,,14348.0,2228.0,16169.0,16016.0,155.0,-1.0,2634.0,2874.0,-240.0,26.0,82193.0,83181.0,-988.0,,,,20290.0,19236.0,1071.0,-16.0,647.0,0.0,0.0,654.0,-7.0,3200.0,1609.0,1719.0,-137.0,9.0,1582.0,0.0,0.0,0.0,6187.0,3480.0,1708.0,0.0,999.0,0.0,0.0,147923.0,,4569.0,12841.0,8180.0,4662.0,79804.0,0.0,2296.0,25942.0,7454.0,1340.0,0.0,6030.0,84.0,132907.0,14340.0,10931.0,9179.0,1.0,1751.0,0.0,0.0,0.0,1327.0,-224.0,0.0,2306.0,,676.0,147923.0
STB,Q12012,,,12101.0,3300.0,9211.0,8642.0,579.0,-10.0,582.0,661.0,-78.0,208.0,79985.0,80826.0,-840.0,,,,22339.0,21325.0,1031.0,-17.0,682.0,0.0,0.0,839.0,-157.0,3644.0,2072.0,1762.0,-192.0,2.0,1571.0,0.0,0.0,0.0,8797.0,4361.0,2215.0,0.0,2221.0,0.0,0.0,140850.0,,0.0,8766.0,2810.0,5956.0,80559.0,0.0,4778.0,15042.0,16416.0,1404.0,0.0,14882.0,130.0,125561.0,15290.0,10905.0,10740.0,1.0,1672.0,-1507.0,0.0,0.0,1518.0,143.0,0.0,2724.0,,0.0,140850.0
STB,Q12013,,,9170.0,3527.0,8707.0,3568.0,5202.0,-64.0,4698.0,4835.0,-137.0,369.0,96859.0,98476.0,-1617.0,,,,20682.0,20528.0,633.0,-478.0,241.0,,32.0,477.0,-268.0,5305.0,2868.0,2752.0,-316.0,1.0,2436.0,,,,8991.0,4408.0,2972.0,309.0,2015.0,17.0,-713.0,158548.0,,,3512.0,910.0,2602.0,117942.0,,4429.0,4469.0,13852.0,1643.0,,12117.0,91.0,144205.0,14343.0,10905.0,10740.0,1.0,1672.0,-1507.0,,0.0,1632.0,73.0,,1733.0,,0.0,158548.0
STB,Q12014,,,5565.0,3338.0,5715.0,3716.0,2013.0,-14.0,6227.0,6352.0,-125.0,5.0,113215.0,114549.0,-1334.0,,,,20734.0,19205.0,1764.0,-235.0,310.0,,,463.0,-153.0,5245.0,2863.0,2802.0,-421.0,1.0,2381.0,,,,8629.0,2864.0,4185.0,104.0,1873.0,17.0,-397.0,168982.0,,,3755.0,3229.0,526.0,141187.0,,4421.0,1.0,3067.0,1722.0,,1273.0,72.0,152431.0,16551.0,12591.0,12425.0,1.0,1672.0,-1507.0,,0.0,2005.0,80.0,,1876.0,,0.0,168982.0
STB,Q12015,,,6063.0,4166.0,4339.0,3229.0,1110.0,0.0,8840.0,8892.0,-53.0,0.0,132529.0,133987.0,-1459.0,0.0,0.0,0.0,26782.0,21355.0,5929.0,-502.0,264.0,0.0,0.0,400.0,-136.0,5657.0,2830.0,3354.0,-526.0,0.0,2827.0,0.0,0.0,0.0,10103.0,4032.0,5205.0,61.0,1238.0,15.0,-434.0,198742.0,,0.0,4283.0,1825.0,2458.0,171100.0,29.0,1072.0,1.0,3547.0,1927.0,1.0,1619.0,0.0,180033.0,18709.0,12591.0,12425.0,1.0,1672.0,-1507.0,0.0,0.0,1950.0,122.0,0.0,4046.0,0.0,0.0,198742.0
STB,Q12016,,,7296.0,7612.0,9440.0,9158.0,283.0,-1.0,1294.0,1325.0,-31.0,,188365.0,190701.0,-2336.0,,0.0,0.0,40171.0,25666.0,16039.0,-1534.0,309.0,,,442.0,-133.0,7901.0,4479.0,4098.0,-677.0,0.0,3422.0,,,,44127.0,16974.0,25564.0,60.0,1846.0,,-317.0,306515.0,,,3239.0,1996.0,1243.0,274328.0,67.0,1640.0,1.0,4555.0,3093.0,,1462.0,,283830.0,22685.0,18167.0,18852.0,1.0,64.0,-751.0,,1.0,2433.0,185.0,,1901.0,,,306515.0
