stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
TCB,Q12013,,,3669.0,3753.0,25109.0,22030.0,3113.0,-34.0,1454.0,1469.0,-16.0,107.0,66989.0,68436.0,-1448.0,,,,47467.0,45615.0,2146.0,-294.0,93.0,,,93.0,,1125.0,793.0,465.0,-132.0,,333.0,1321.0,1354.0,-33.0,24776.0,17084.0,5874.0,34.0,1826.0,,-43.0,175863.0,,,34203.0,14600.0,19603.0,114096.0,,111.0,7646.0,6131.0,1901.0,,4128.0,102.0,162188.0,13675.0,8848.0,8848.0,,,,,,3476.0,-4.0,,1355.0,,,175863.0
TCB,Q12014,,,2123.0,699.0,13972.0,8609.0,5393.0,-29.0,1337.0,1339.0,-1.0,0.0,70583.0,71858.0,-1275.0,0.0,0.0,0.0,56410.0,52854.0,3663.0,-106.0,125.0,0.0,0.0,129.0,-4.0,981.0,620.0,555.0,-194.0,0.0,361.0,1418.0,1490.0,-72.0,16486.0,10663.0,5508.0,28.0,338.0,0.0,-51.0,164135.0,,0.0,16198.0,6790.0,9407.0,124014.0,66.0,64.0,4659.0,4686.0,2309.0,0.0,2269.0,108.0,149686.0,14449.0,8878.0,8878.0,0.0,0.0,0.0,0.0,0.0,4372.0,4.0,0.0,1194.0,0.0,0.0,164135.0
TCB,Q12015,,,2495.0,4652.0,17543.0,7004.0,10549.0,-10.0,1127.0,1129.0,-2.0,,87613.0,88720.0,-1108.0,,,,49442.0,44328.0,6101.0,-987.0,639.0,,,643.0,-4.0,1011.0,645.0,631.0,-265.0,,366.0,1380.0,1490.0,-110.0,13197.0,10481.0,3278.0,26.0,688.0,98.0,-1277.0,179100.0,,203.0,26812.0,11564.0,15248.0,126886.0,59.0,62.0,6442.0,3342.0,1829.0,1513.0,,,163806.0,15294.0,8878.0,8878.0,,,,,,4550.0,8.0,,1858.0,,,179100.0
TCB,Q12016,,,2750.0,4217.0,17002.0,6042.0,10960.0,,3202.0,3211.0,-8.0,,112736.0,114024.0,-1288.0,371.0,375.0,-4.0,45512.0,40204.0,6574.0,-1266.0,597.0,,,601.0,-4.0,880.0,501.0,724.0,-345.0,,379.0,1301.0,1443.0,-142.0,10436.0,9191.0,3362.0,3.0,613.0,37.0,-2732.0,199003.0,,,20534.0,13031.0,7503.0,148817.0,64.0,445.0,8103.0,4083.0,2283.0,,1800.0,,182047.0,16957.0,8878.0,8878.0,,,,,,4745.0,23.0,,3310.0,,,199003.0
TCB,Q12017,,,3179.0,4127.0,21196.0,10918.0,10278.0,,5175.0,5182.0,-7.0,37.0,136175.0,137747.0,-1572.0,18.0,19.0,-1.0,49972.0,44038.0,7769.0,-1836.0,8.0,,,13.0,-5.0,1529.0,544.0,1431.0,-446.0,,985.0,1270.0,1447.0,-178.0,9837.0,6271.0,4440.0,28.0,657.0,27.0,-1557.0,232522.0,,432.0,16917.0,10572.0,6345.0,178623.0,,,10397.0,5500.0,2426.0,3074.0,,,211870.0,20653.0,8878.0,8878.0,,,,,,5219.0,7.0,,6548.0,,,232522.0
TCB,Q12018,,,3671.0,3524.0,31985.0,16918.0,15067.0,,3571.0,3579.0,-9.0,114.0,161611.0,163948.0,-2338.0,,2.0,-2.0,53510.0,47517.0,6205.0,-212.0,10.0,,,12.0,-2.0,1483.0,562.0,1453.0,-532.0,,921.0,1228.0,1442.0,-214.0,12448.0,7917.0,4400.0,,653.0,,-522.0,273153.0,,2000.0,25401.0,17873.0,7528.0,181391.0,,,20074.0,6671.0,2861.0,,3811.0,,235537.0,37616.0,18409.0,11655.0,,8265.0,-1512.0,,,6148.0,4.0,,13055.0,,,273153.0
TCB,Q12019,,,4785.0,5330.0,45810.0,33454.0,12356.0,,5449.0,5460.0,-11.0,,161272.0,163835.0,-2563.0,,2.0,-2.0,87619.0,72281.0,15806.0,-468.0,12.0,,,13.0,-1.0,3104.0,792.0,2953.0,-641.0,,2312.0,1187.0,1436.0,-248.0,11542.0,6049.0,4739.0,,819.0,,-65.0,326112.0,,2699.0,38643.0,31159.0,7484.0,207978.0,391.0,,12866.0,9660.0,3498.0,,6161.0,,272237.0,53875.0,35443.0,34966.0,,477.0,,,,3868.0,0.0,,14486.0,79.0,,326112.0
TCB,Q12020,,,4151.0,5284.0,30990.0,26564.0,4426.0,,10437.0,10446.0,-9.0,,229038.0,232021.0,-2983.0,,2.0,-2.0,85390.0,85177.0,700.0,-488.0,12.0,,,13.0,-1.0,3493.0,1072.0,3118.0,-697.0,,2421.0,1152.0,1436.0,-284.0,21862.0,14244.0,6614.0,,1245.0,,-241.0,391808.0,,1004.0,62926.0,36325.0,26601.0,235099.0,385.0,,17472.0,10331.0,3613.0,,6718.0,,327217.0,64591.0,40651.0,35001.0,,477.0,5173.0,,,,12.0,,23587.0,340.0,,391808.0
TCB,Q12021,,,4273.0,1764.0,38361.0,22454.0,15907.0,,5509.0,5522.0,-13.0,,293799.0,296290.0,-2491.0,,2.0,-2.0,85926.0,86274.0,200.0,-548.0,12.0,,,12.0,-1.0,4726.0,1592.0,3940.0,-806.0,,3134.0,1116.0,1436.0,-320.0,27336.0,20888.0,5664.0,,1280.0,,-497.0,462823.0,,2.0,59019.0,24610.0,34409.0,287446.0,77.0,,26035.0,11151.0,2897.0,,8254.0,,383730.0,79093.0,35526.0,35049.0,,477.0,,,,6790.0,2.0,,36213.0,563.0,,462823.0
TCB,Q12022,,,3277.0,8999.0,72530.0,58126.0,14405.0,,3699.0,3758.0,-59.0,339.0,361815.0,365743.0,-3927.0,131.0,134.0,-3.0,120301.0,121310.0,200.0,-1208.0,13.0,,,14.0,-1.0,7265.0,3614.0,4648.0,-997.0,,3651.0,1080.0,1436.0,-356.0,35820.0,26069.0,7253.0,17.0,3084.0,,-603.0,615270.0,,223.0,137999.0,60349.0,77649.0,328914.0,,,32731.0,16818.0,3369.0,,13448.0,,516684.0,98586.0,35586.0,35109.0,,476.0,,,,9156.0,3.0,,52958.0,884.0,,615270.0
