stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN
VJC,Q12016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,Q12017,,,12430.0,2794.0,217.0,2576.0,1.0,,,1.0,9276.0,2089.0,201.0,,,,6986.0,,,151.0,151.0,,208.0,146.0,5.0,57.0,,,10928.0,6474.0,,702.0,,,,5772.0,,1034.0,1028.0,,,,6.0,,209.0,,209.0,68.0,,60.0,8.0,,1.0,,3143.0,3143.0,,,,,,23358.0,,16484.0,11918.0,116.0,337.0,206.0,,922.0,,,1072.0,884.0,6829.0,1553.0,,,,4566.0,,,,,,,22.0,695.0,,,92.0,3757.0,,,6875.0,6875.0,3224.0,3224.0,,1536.0,,,,,34.0,,,,2079.0,,,,1.0,,,,,,23358.0
VJC,Q12018,,,18808.0,5705.0,1630.0,4075.0,991.0,990.0,,1.0,11448.0,2037.0,590.0,,,489.0,8332.0,,,331.0,331.0,,332.0,272.0,,60.0,,,13582.0,6541.0,,702.0,,,,5840.0,,1499.0,1494.0,,,,4.0,,216.0,,216.0,68.0,,60.0,8.0,,1.0,,5258.0,5258.0,,,,,,32390.0,,20869.0,13036.0,442.0,606.0,145.0,0.0,1871.0,,,1631.0,932.0,5869.0,1541.0,,,,7833.0,,,,,,,19.0,630.0,,,209.0,6975.0,,,11521.0,11521.0,4513.0,4513.0,,247.0,,,,,36.0,,,,6724.0,,,,2.0,,,,,,32390.0
VJC,Q12019,,,19002.0,5098.0,1169.0,3929.0,876.0,990.0,-315.0,201.0,12231.0,6713.0,732.0,,,500.0,4286.0,,,434.0,434.0,,363.0,307.0,1.0,55.0,,,22385.0,13503.0,,702.0,,,,12802.0,,1609.0,1606.0,,,,3.0,,1252.0,,1252.0,68.0,,60.0,8.0,,1.0,,5953.0,5953.0,,,,,,41387.0,,25880.0,15771.0,718.0,712.0,261.0,,2019.0,,,1708.0,1877.0,6470.0,2006.0,,,,10109.0,,,,,,,26.0,562.0,,,416.0,9105.0,,,15507.0,15507.0,5416.0,5416.0,,246.0,,,,,125.0,,,,9719.0,8256.0,1463.0,,2.0,,,,,,41387.0
VJC,Q12020,,,22233.0,2459.0,470.0,1990.0,300.0,990.0,-690.0,,18359.0,7660.0,154.0,,,509.0,10036.0,,,687.0,687.0,,427.0,313.0,66.0,48.0,,,24673.0,14656.0,,,,,,14656.0,,1282.0,1280.0,,,,2.0,,1355.0,,1355.0,216.0,,,209.0,,7.0,,7163.0,7163.0,,,,,,46905.0,,33151.0,17257.0,3047.0,786.0,304.0,,879.0,,,776.0,2698.0,6674.0,2095.0,,,,15894.0,,,,,,,68.0,3720.0,,,418.0,11688.0,,,13754.0,13754.0,5416.0,5416.0,,246.0,,,-2347.0,,-95.0,,,,10531.0,11521.0,-989.0,,2.0,,,,,,46905.0
VJC,Q12021,,,27353.0,2054.0,1513.0,541.0,1282.0,1553.0,-275.0,4.0,23070.0,8941.0,185.0,,,,13944.0,,,701.0,701.0,,246.0,219.0,3.0,24.0,,,20145.0,13356.0,,,,,798.0,12558.0,,834.0,832.0,,,,2.0,,831.0,,831.0,195.0,,39.0,149.0,,7.0,,4928.0,4928.0,,,,,,47498.0,,32868.0,22154.0,4630.0,605.0,331.0,62.0,457.0,,,582.0,3766.0,9452.0,1923.0,345.0,,,10714.0,,,,,,,60.0,1615.0,,,59.0,8980.0,,,14630.0,14630.0,5432.0,5432.0,,246.0,,,-2347.0,,-33.0,,,,11333.0,11333.0,,,-1.0,,,,,,47498.0
VJC,Q12022,,,34982.0,2998.0,796.0,2201.0,1459.0,990.0,-110.0,579.0,29665.0,13452.0,373.0,,,657.0,15182.0,,,818.0,818.0,,43.0,2.0,41.0,,,,26224.0,17335.0,,,,,790.0,16544.0,,1139.0,1132.0,,,,7.0,,508.0,,508.0,149.0,,,149.0,,,,7093.0,7093.0,,,,,,61206.0,,44095.0,20681.0,2942.0,517.0,297.0,98.0,1340.0,,,700.0,5307.0,7320.0,1875.0,285.0,,,23414.0,,,,,,,104.0,12220.0,,,159.0,10932.0,,0.0,17111.0,17111.0,5416.0,5416.0,,247.0,,,,,-98.0,,,,11526.0,11281.0,244.0,,20.0,,,,,,61206.0
VJC,Q12023,,,33805.0,1982.0,681.0,1301.0,510.0,990.0,-490.0,10.0,30054.0,12537.0,3005.0,,,657.0,13855.0,,,1028.0,1028.0,,231.0,161.0,53.0,17.0,,,35472.0,21259.0,3865.0,1133.0,,,869.0,15392.0,,6020.0,5609.0,,,360.0,51.0,,324.0,,324.0,149.0,,,149.0,,,,7720.0,7385.0,335.0,,,,,69277.0,,54128.0,29760.0,10643.0,2046.0,328.0,290.0,2330.0,,,2389.0,1752.0,8127.0,1735.0,120.0,,,24368.0,,,,,,,69.0,10677.0,,,,13622.0,,,15149.0,15149.0,5416.0,5416.0,,247.0,,,,,273.0,,,,9191.0,9019.0,172.0,,21.0,,,,,,69277.0
VJC,Q12024,,,38743.0,3041.0,1595.0,1445.0,799.0,990.0,-486.0,295.0,33766.0,11997.0,1752.0,,,476.0,19542.0,,,963.0,963.0,,175.0,116.0,8.0,51.0,,,47085.0,27077.0,2013.0,6223.0,,,904.0,17936.0,,10647.0,4552.0,,,6032.0,63.0,,437.0,,437.0,149.0,,,149.0,,,,8775.0,8775.0,,,,,,85828.0,,69776.0,35373.0,9495.0,2222.0,380.0,183.0,1888.0,,,2287.0,3670.0,13543.0,1698.0,6.0,,,34403.0,,,,,,,2.0,17284.0,,,104.0,17014.0,,,16052.0,16052.0,5416.0,5416.0,,247.0,,,,,578.0,,,,9786.0,9250.0,536.0,,24.0,,,,,,85828.0
VJC,Q22016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
