stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,1. Lợi nhuận trước thuế,Điều chỉnh cho các khoản:,"2. Khấu hao TSCĐ, bất động sản đầu tư","3. Dự phòng rủi ro tín dụng, giảm giá, đầu tư tăng thêm/(hoàn nhập) trong kỳ",4. Lãi và phí phải thu trong kỳ (thực tế chưa thu),5. Lãi và phí phải trả trong kỳ (thực tế chưa trả),6. (Lãi)/lỗ do thanh lý TSCĐ,"7. (Lãi)/lỗ do bán, thanh lý bất động sản đầu tư","8. (Lãi)/Lỗ do thanh lý những khoản đầu tư, góp vốn dài hạn vào đơn vị khác, cổ tức nhận được, lợi nhuận được chia từ hợp đồng đầu tư, góp vốn dài hạn",9. Chênh lệch tỷ giá hối đoái chưa thực hiện,10. Các điều chỉnh khác,Những thay đổi về tài sản và công nợ hoạt động,"11. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các tổ chức tín dụng khác",12. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,13. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,14. (Tăng)/Giảm các khoản cho vay khách hàng,"15. (Tăng)/Giảm lãi, phí phải thu",16. (Giảm)/Tăng nguồn dự phòng để bù đắp tổn thất các khoản,17. (Tăng)/Giảm khác về tài sản hoạt động,18. Tăng/Giảm các khoản nợ chính phủ và NHNN,19. Tăng/(Giảm) các khoản tiền gửi và vay các TCTD,20. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả kho bạc Nhà nước),21. Tăng/(Giảm) các công cụ TC phái sinh và các khoản nợ tài chính khác,"22. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD phải chịu rủi ro",23. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"24. Tăng/(Giảm) lãi, phí phải trả",25. Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập,26. Thuế TNDN đã nộp,27. Chi từ các quỹ của TCTD,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Mua sắm TSCĐ,"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",II. Lưu chuyển tiền từ hoạt động đầu tư,1. Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,III. Lưu chuyển tiền từ hoạt động tài chính,IV. Lưu chuyển tiền thuần trong kỳ,V. Tiến và các khoản tương đương tiền tại thời điểm đầu kỳ,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá
ACB,Q12007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12009,,,2673.0,-1638.0,130.0,294.0,20.0,1.0,-379.0,-229.0,874.0,,4207.0,1884.0,38.0,-2615.0,,-6442.0,,,-8196.0,10571.0,-29.0,-1204.0,34.0,866.0,-45.0,-58.0,,-90.0,,,,,,-95.0,,,-183.0,,,,,,,,-484.0,-725.0,25703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12010,,,3406.0,-2276.0,127.0,164.0,,,-503.0,-175.0,745.0,,1836.0,331.0,,3922.0,,-3469.0,,-866.0,882.0,3080.0,12.0,984.0,15.0,1059.0,-56.0,8475.0,,-108.0,,,,,,-89.0,,,-178.0,,,500.0,,,,,-667.0,7630.0,40311.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12011,,,5942.0,-3740.0,321.0,-61.0,-29.0,,-676.0,-258.0,1499.0,,5347.0,12617.0,-578.0,-4446.0,,6206.0,,-4732.0,6336.0,3359.0,107.0,2399.0,,-6199.0,-45.0,21871.0,,-97.0,,,,,,97.0,,,5.0,,,,,,,,,21876.0,38311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12012,,,5551.0,-4074.0,174.0,-80.0,-5.0,,-955.0,-292.0,318.0,,16495.0,-1412.0,93.0,-1897.0,,-2616.0,,-6530.0,-14932.0,2874.0,33.0,4726.0,,-1000.0,-107.0,-3954.0,,-896.0,,,,,,-29.0,,,-794.0,,,,,,,,-1875.0,-6624.0,58476.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12013,,,3353.0,-2720.0,171.0,-40.0,-3.0,,-973.0,-4.0,-215.0,,3260.0,1215.0,11.0,-4325.0,-31.0,-55.0,,,-2573.0,10072.0,-7512.0,-20.0,,-701.0,-14.0,-887.0,,-74.0,,,,,,,1.0,,-56.0,,,,,,,,,-942.0,16668.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12014,,,3285.0,-2253.0,201.0,-56.0,,1.0,-949.0,-4.0,225.0,,1042.0,-8678.0,-11.0,280.0,,-165.0,,-1583.0,1405.0,6299.0,100.0,-2.0,,414.0,-3.0,-679.0,,-34.0,,,,,,,,,-29.0,,,,,,,,-5.0,-713.0,9762.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12015,,,3987.0,-1797.0,168.0,98.0,3.0,10.0,-1160.0,-32.0,1278.0,,881.0,-3311.0,9.0,-2877.0,-2.0,-397.0,,200.0,4725.0,2120.0,,-16.0,,333.0,-4.0,2939.0,,-49.0,,,,,,,20.0,,211.0,,,,,,,,-1.0,3149.0,9641.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12016,,,4246.0,-1784.0,201.0,9.0,31.0,23.0,-1268.0,-30.0,1429.0,,973.0,-678.0,47.0,-10198.0,,1348.0,,-4664.0,6107.0,6144.0,305.0,15.0,,4.0,-2.0,830.0,,-84.0,,,,,,,70.0,,21.0,,,,,,,,,851.0,12190.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12017,,,5164.0,-2450.0,248.0,157.0,354.0,9.0,-1536.0,-26.0,1919.0,,-2168.0,-5133.0,-15.0,-14012.0,,-560.0,,655.0,2064.0,14194.0,-211.0,9.0,,521.0,-3.0,-2740.0,,-153.0,,,,,,,,,-149.0,,,,,,,,,-2889.0,14579.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12018,,,6469.0,-3053.0,353.0,228.0,122.0,201.0,-1750.0,-22.0,2549.0,,-5524.0,5704.0,-74.0,-13157.0,,34.0,,,-1276.0,16860.0,258.0,2.0,-10.0,1358.0,-3.0,6721.0,,-102.0,,,,,,,,,-65.0,,,,-3000.0,,,,-3000.0,3655.0,18699.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12019,,,7300.0,-3511.0,371.0,133.0,9.0,125.0,-1904.0,-152.0,2371.0,,1421.0,5284.0,-7.0,-6831.0,,-248.0,,-3074.0,2846.0,5072.0,-331.0,-8.0,-38.0,603.0,,7060.0,,-126.0,,,,,,,4.0,,-120.0,,,,,,,,,6940.0,29396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12020,,,8482.0,-3744.0,371.0,636.0,15.0,65.0,-2250.0,-45.0,3530.0,,1100.0,3861.0,88.0,-6093.0,,411.0,,,-5815.0,4524.0,2124.0,-13.0,19.0,254.0,,3989.0,,-100.0,,,,,,,,,-99.0,,,30.0,,,,,30.0,3920.0,35679.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12021,,,8882.0,-3631.0,625.0,244.0,-9.0,41.0,-2962.0,-334.0,2857.0,,2560.0,6368.0,-81.0,-12832.0,,-420.0,,,-3540.0,-978.0,-1670.0,-8.0,,9009.0,-1.0,1263.0,,-93.0,,,,,,,,,60.0,,,,,,,,,1323.0,46022.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,Q12022,,,9192.0,-3096.0,739.0,319.0,33.0,335.0,-3367.0,-562.0,3594.0,,2671.0,6534.0,134.0,-18070.0,,-685.0,,,-10070.0,6130.0,400.0,-7.0,,866.0,,-8504.0,,-83.0,,,,,,-11.0,,,-91.0,,,,,,,,,-8595.0,82602.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
