stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
BCM,Q12018,,,301.0,,38.0,3.0,,5.0,150.0,,,,,497.0,-388.0,-37.0,227.0,12.0,,-336.0,-55.0,339.0,-311.0,-52.0,,-27.0,,-53.0,54.0,-450.0,,48.0,,,,,-428.0,,-5.0,,1655.0,-1727.0,,-2.0,,,-79.0,-559.0,2968.0,,2409.0
BCM,Q12019,,,700.0,,54.0,,,-466.0,182.0,,,,-55.0,416.0,822.0,-630.0,12.0,11.0,,-138.0,-129.0,28.0,-405.0,-14.0,,-33.0,,-148.0,93.0,,,101.0,,,,,13.0,,32.0,,1246.0,-1167.0,,,,,111.0,110.0,2578.0,,2687.0
BCM,Q12020,,,364.0,,58.0,,,-4.0,132.0,,,,,550.0,401.0,-673.0,136.0,-4.0,,-213.0,-113.0,1.0,-22.0,64.0,,-33.0,,-95.0,86.0,,,48.0,,,,,7.0,,,,791.0,-957.0,,-1.0,,,-167.0,-96.0,417.0,,320.0
BCM,Q12021,,,508.0,,46.0,1.0,,-44.0,153.0,,,,,664.0,1169.0,-816.0,-34.0,12.0,,-372.0,-162.0,23.0,-28.0,457.0,,-56.0,,-30.0,,-30.0,,39.0,,,,,-77.0,,10.0,16.0,1126.0,-958.0,,,,,194.0,574.0,1776.0,,2349.0
BCM,Q12022,,,468.0,,44.0,,,-35.0,253.0,,,,,730.0,1255.0,-607.0,815.0,-6.0,,-408.0,-61.0,1.0,-35.0,1683.0,,-16.0,,-22.0,6.0,-59.0,,24.0,,,,,-67.0,,,,728.0,-1320.0,,-1.0,,,-594.0,1022.0,2985.0,,4007.0
BCM,Q12023,,,79.0,,51.0,,,-61.0,191.0,,,,,260.0,-350.0,-480.0,-90.0,-40.0,,-469.0,-50.0,,-18.0,-1238.0,,-29.0,,-37.0,71.0,,,3.0,,,,,8.0,,,,1334.0,-738.0,,,,,596.0,-634.0,1071.0,,436.0
BCM,Q12024,,,128.0,,66.0,,,-38.0,164.0,,,,,320.0,2061.0,-147.0,-334.0,-68.0,,-566.0,-322.0,,-69.0,876.0,,-22.0,1.0,-147.0,4.0,-1008.0,,140.0,,,,,-1031.0,,,,2295.0,-993.0,,,,,1303.0,1148.0,1332.0,,2480.0
BCM,Q22013,,,353.0,,23.0,,,-540.0,81.0,,,,,-83.0,-70.0,-1528.0,-345.0,1.0,,-282.0,-47.0,,-59.0,-2414.0,,-5.0,,-30.0,325.0,-8.0,,540.0,,,,,822.0,,,,2505.0,-1409.0,,,,,1096.0,-496.0,,,1095.0
BCM,Q22014,,,232.0,,26.0,,,-177.0,73.0,,,,,154.0,-1579.0,-1104.0,1184.0,16.0,,-321.0,-125.0,4.0,-36.0,-1807.0,,-6.0,,-59.0,20.0,,48.0,72.0,,,,,75.0,,,,4446.0,-5085.0,,,,,-639.0,-2371.0,,,2315.0
BCM,Q22015,,,102.0,,26.0,,,-116.0,120.0,,,,,131.0,-4109.0,-757.0,3475.0,19.0,,-516.0,-71.0,8.0,-53.0,-1874.0,,-5.0,,,,,29.0,187.0,,,,,211.0,,,,2617.0,-1829.0,,,,,788.0,-875.0,2549.0,,1674.0
