stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ
BID,Q12006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BID,Q12009,,,5179.0,-4194.0,283.0,32.0,-33.0,49.0,-1117.0,-341.0,-142.0,,540.0,-1622.0,,-10159.0,,-582.0,,-1329.0,-12.0,7146.0,-2280.0,-870.0,51.0,-257.0,-78.0,-9594.0,,-30.0,,,,,,,,57.0,27.0,,,,,,,,,-9566.0,40704.0,,31137.0
BID,Q12010,,,7932.0,-6059.0,364.0,-156.0,-97.0,58.0,-585.0,-212.0,1243.0,,-315.0,1016.0,,-9340.0,,-1871.0,,-2101.0,8839.0,2412.0,-7552.0,-6683.0,-158.0,-556.0,-173.0,-15239.0,,-4.0,,,,,,-4.0,,37.0,30.0,,3344.0,,,,,,3344.0,-11865.0,40365.0,,28501.0
BID,Q12012,,,12225.0,-9043.0,504.0,51.0,-56.0,77.0,-1608.0,-291.0,1858.0,,82.0,-9682.0,,-7648.0,,-1169.0,,4949.0,-4699.0,8221.0,-91.0,994.0,-1.0,1753.0,,-5432.0,,-12.0,,,,,,-318.0,,23.0,-307.0,,,,,,,,,-5739.0,48919.0,,43180.0
BID,Q12013,,,10152.0,-7132.0,515.0,96.0,-29.0,97.0,-852.0,-445.0,2403.0,,17458.0,-11085.0,,-4970.0,,-1051.0,,-1053.0,214.0,15354.0,-11223.0,-4434.0,190.0,14.0,,1817.0,,-283.0,1.0,,,,,-440.0,5.0,3.0,-713.0,,,,,,,,,1104.0,37887.0,,
BID,Q12014,,,10002.0,-7130.0,605.0,236.0,-45.0,210.0,-944.0,-574.0,2360.0,,-880.0,-9797.0,44.0,-7252.0,-238.0,-1680.0,,-2316.0,12734.0,18593.0,-2975.0,-4757.0,,79.0,,3916.0,,-370.0,,,,,,,28.0,3.0,-339.0,,,,,,,,,3577.0,41633.0,,
BID,Q12015,,,10569.0,-6736.0,456.0,-22.0,-112.0,334.0,-2377.0,-375.0,1737.0,,-315.0,-10122.0,-157.0,-19482.0,,-804.0,,644.0,1800.0,17160.0,-4614.0,-4042.0,,-533.0,,-18728.0,,-424.0,,,,,,,200.0,29.0,-195.0,,,,,,,,,-18923.0,50203.0,,31280.0
BID,Q12016,,,13906.0,-8078.0,502.0,173.0,-23.0,349.0,-3149.0,-212.0,3467.0,,427.0,-1823.0,47.0,-25306.0,-402.0,-822.0,,-27095.0,6759.0,50138.0,-19175.0,-5006.0,,-200.0,,-18992.0,,-503.0,1.0,,,,,,1683.0,3.0,1184.0,,,,,,,,,-17808.0,55969.0,,38161.0
BID,Q12017,,,17367.0,-9432.0,574.0,239.0,-44.0,256.0,-3783.0,-299.0,4879.0,,-4448.0,6337.0,-128.0,-34833.0,-18.0,-711.0,,6606.0,-5810.0,27134.0,-11151.0,110.0,,414.0,,-11617.0,,-422.0,1.0,-3.0,,,,,23.0,,-401.0,,,,,,,,,-12019.0,65522.0,,53503.0
BID,Q12018,,,20440.0,-11595.0,745.0,1257.0,-67.0,660.0,-4115.0,-291.0,7034.0,,-1980.0,-3046.0,-46.0,-11868.0,-9078.0,-488.0,,-210.0,-13059.0,54078.0,-18929.0,4.0,,762.0,,3173.0,,-330.0,5.0,,,,,,,6.0,-319.0,,,,,,,,,2854.0,100742.0,,103595.0
