stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Tiền thu phí và hoa hồng,2. Tiền thu từ các khoản nợ phí và hoa hồng,3. Tiền thu từ các khoản thu được giảm chi,4. Tiền thu từ các hoạt động kinh doanh khác,5. Trả tiền bồi thường bảo hiểm,6.Trả tiền hoa hồng và các khoản nợ khác của kinh doanh BH,"7. Trả tiền cho người bán, người cung cấp dịch vụ",8. Trả tiền cho cán bộ công nhân viên,9. Trả tiền nộp thuế và các khoản nợ nhà nước,10. Trả tiền cho các khoản nợ khác,11. Tiền tạm ứng cho CBCNV và ứng trước cho người bán,12. Tiền thu khác từ hoạt động kinh doanh,13. Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ HĐKD,II. Lưu chuyển tiền từ hoạt động đầu tư,1. Tiền thu từ các khoản đầu tư vào đơn vị khác,2. Tiền thu từ lãi các khoản đầu tư khác,3. Tiền thu do bán tài sản cố định,4. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,5. Tiền mua tài sản cố định,6. Tiền thu khác từ hoạt động đầu tư,7. Tiền chi khác từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu (tiền thu do các chủ sở hữu góp vốn)","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","3. Tiền vay ngắn hạn, dài hạn nhận được (Tiền thu do di vay)",4. Tiền thu từ lãi tiền gửi,5. Tiền chi trả nợ gốc vay,6. Tiền chi trả nợ thuê tài chính,"7. Cổ tức, lợi nhuận đã trả cho chủ sở hữu (Tiền lãi đã trả cho các nhà đầu tư vào doanh nghiệp)",8. Tiền thu khác từ hoạt dộng tài chính,9. Tiền chi khác từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản:,Khấu hao tài sản cố định,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,Khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được  chia",8. Tiền thu khác từ hoạt động đầu tư,9. Tiền chi khác từ hoat động đầu tư,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","3. Tiền vay ngắn hạn, dài hạn nhận được",4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác từ hoạt động tài chính
BVH,Q12009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVH,Q12010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVH,Q12011,,,13635.0,,,,,,-12774.0,-344.0,-83.0,,,407.0,-559.0,282.0,,3799.0,252.0,,-4509.0,-59.0,1925.0,-3963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVH,Q12012,,,3036.0,,,,,,-2228.0,-394.0,-122.0,,,2000.0,-2304.0,-11.0,,2739.0,,1.0,-4973.0,-45.0,218.0,,,,,,,,,,-859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVH,Q12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVH,Q12014,,,2528.0,,,,,,-1925.0,-487.0,-133.0,,,1811.0,-1880.0,-86.0,,6138.0,,,-4415.0,-20.0,139.0,,,,,,186.0,,,,,,-148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVH,Q12015,,,,,,,,,,,,,,,,,,,,,,,,,-1088.0,,,,,,,,,,,331.0,352.0,1425.0,1.0,1778.0,457.0,,33.0,1411.0,-4.0,-732.0,37.0,,1202.0,-49.0,-16.0,-284.0,20.0,23.0,,-77.0,15.0,275.0,1109.0,-6.0,,-5526.0,4355.0,,,88.0,,,,757.0,-425.0,,-1.0,,
BVH,Q12016,,,,,,,,,,,,,,,,,,,,,,,,,-766.0,,,,,,,,,,,2010.0,1862.0,2257.0,2.0,4121.0,480.0,,34.0,1842.0,12.0,-1032.0,105.0,,1441.0,-380.0,7.0,-145.0,-70.0,-75.0,-62.0,-69.0,,-28.0,619.0,-33.0,1.0,-6941.0,5731.0,-529.0,,1005.0,,,,4545.0,-2535.0,,,,
BVH,Q12017,,,,,,,,,,,,,,,,,,,,,,,,,-2399.0,,,,,,,,,,,-423.0,-1419.0,2883.0,-3.0,1462.0,486.0,,48.0,2408.0,-4.0,-1398.0,149.0,,1689.0,58.0,-25.0,-259.0,-333.0,474.0,-135.0,-39.0,,-27.0,1404.0,-35.0,,-9495.0,6170.0,-226.0,,1187.0,,,,7207.0,-7631.0,,,,
BVH,Q12018,,,,,,,,,,,,,,,,,,,,,,,,,1738.0,,,,,,,,,,,452.0,7368.0,3789.0,6.0,11163.0,602.0,,38.0,4282.0,-8.0,-2920.0,213.0,,2209.0,549.0,-10.0,2942.0,-200.0,-91.0,-134.0,-68.0,,-21.0,5177.0,-12.0,,-13808.0,12322.0,-1.0,,3237.0,,,,6809.0,-6356.0,,,,
BVH,Q12019,,,,,,,,,,,,,,,,,,,,,,,,,-548.0,,,,,,,,,,,-209.0,874.0,2160.0,,3033.0,521.0,,42.0,3099.0,2.0,-1808.0,244.0,,2101.0,-17.0,-17.0,-163.0,2.0,-83.0,-93.0,-35.0,,-64.0,1631.0,-32.0,,-9970.0,7842.0,,71.0,1540.0,,,,3453.0,-3642.0,,-20.0,,
BVH,Q12020,,,,,,,,,,,,,,,,,,,,,,,,,-5248.0,,,,,,,,,,,1438.0,-1842.0,4743.0,1.0,2901.0,180.0,,51.0,3805.0,4.0,-2097.0,185.0,,2128.0,39.0,-4.0,15.0,132.0,-143.0,-109.0,-49.0,,-42.0,1968.0,-15.0,,-15729.0,8945.0,,,1551.0,,,4104.0,,-2666.0,,,,
