stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ
CTG,Q12009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,Q12010,,,5088.0,-3189.0,317.0,131.0,-41.0,90.0,-1840.0,-656.0,-101.0,,-1597.0,-5197.0,56.0,-13532.0,112.0,-2115.0,,4675.0,-2318.0,8160.0,628.0,-9059.0,-220.0,12763.0,-183.0,-7927.0,,-72.0,,,,,,-23.0,31.0,1.0,-62.0,,,,,,,,,-7989.0,30326.0,5714.0,28052.0
CTG,Q12011,,,11042.0,-7639.0,387.0,156.0,-13.0,284.0,-1593.0,-318.0,2307.0,,-4679.0,-5546.0,-13.0,-17238.0,,-3689.0,,2734.0,18396.0,-13504.0,7742.0,-13469.0,,21905.0,-309.0,-5362.0,,-454.0,,,,,,,,67.0,-386.0,,3540.0,,,,,,3540.0,-2209.0,53161.0,530.0,51482.0
CTG,Q12012,,,14124.0,-11041.0,299.0,133.0,-6.0,197.0,-2226.0,-701.0,779.0,,32.0,764.0,,7554.0,,-382.0,,-16764.0,-22927.0,-15810.0,-2622.0,771.0,,3299.0,-2.0,-45308.0,,-1500.0,1.0,,,,,,,3.0,-1496.0,,,,,,,,,-46804.0,74294.0,-3.0,27487.0
CTG,Q12013,,,11242.0,-6338.0,300.0,69.0,-8.0,189.0,-2910.0,-542.0,2000.0,-9068.0,-3555.0,,74.0,8730.0,,-1014.0,,-2525.0,-9402.0,13692.0,-10204.0,1993.0,91.0,1802.0,,-7385.0,,-368.0,1.0,,,,,-80.0,5.0,,-442.0,,,,,,,,,-7828.0,59314.0,,
CTG,Q12014,,,10018.0,-6157.0,389.0,148.0,41.0,232.0,-3046.0,-202.0,1423.0,,8932.0,1050.0,81.0,21983.0,,-569.0,,200.0,-8125.0,-10195.0,-8976.0,306.0,,8839.0,,14950.0,,-986.0,1.0,,,,,,,,-984.0,,,,,,,,,13965.0,74216.0,-1.0,88180.0
CTG,Q12015,,,10552.0,-5965.0,236.0,249.0,-81.0,231.0,-2668.0,-185.0,2368.0,,6061.0,1836.0,,-11742.0,,-844.0,,-3143.0,-26020.0,4275.0,70.0,6329.0,511.0,2111.0,,-18187.0,,-411.0,,,,,,,,,-411.0,,,,,,,,,-18598.0,87065.0,24.0,68490.0
CTG,Q12016,,,12026.0,-6609.0,372.0,387.0,-97.0,513.0,-3002.0,-157.0,3433.0,,1516.0,8030.0,-76.0,-15313.0,-3.0,-505.0,,-9181.0,5293.0,10481.0,-4646.0,909.0,-118.0,7541.0,,7362.0,,-524.0,1.0,,,,,,10.0,5.0,-508.0,,,,,,,,,6853.0,80883.0,-19.0,87717.0
CTG,Q12017,,,14757.0,-7899.0,499.0,796.0,-81.0,310.0,-3727.0,-511.0,4144.0,,1679.0,-7359.0,371.0,-36875.0,560.0,-457.0,,26171.0,25260.0,11268.0,21.0,342.0,,-23859.0,-1.0,1266.0,,-327.0,,,,,,,,4.0,-323.0,,,,,-2606.0,,,-2606.0,-1664.0,113815.0,9.0,112161.0
CTG,Q12018,,,17422.0,-9277.0,664.0,-900.0,7.0,335.0,-3221.0,-155.0,4875.0,,401.0,7455.0,-123.0,-33196.0,-2474.0,-3748.0,,12878.0,-3192.0,36337.0,,136.0,,-31756.0,8.0,-12398.0,,-67.0,1.0,-4.0,,,,,,-1.0,-72.0,,,,,,,,,-12469.0,131707.0,19.0,119257.0
CTG,Q12019,,,19658.0,-11360.0,1041.0,1214.0,-124.0,221.0,-3020.0,-44.0,7587.0,,1360.0,3358.0,-37.0,3336.0,,-2714.0,,-4552.0,-15617.0,-1204.0,,-27.0,,-630.0,,-9140.0,,-188.0,1.0,,,,,,,3.0,-184.0,,,,,,,,,-9324.0,155545.0,117.0,146338.0
CTG,Q12020,,,20933.0,-12231.0,1091.0,1314.0,111.0,296.0,-4032.0,-630.0,6851.0,,1680.0,5720.0,470.0,14532.0,-6018.0,-3966.0,,-5619.0,-17923.0,2965.0,,36.0,151.0,-644.0,,-1766.0,,-276.0,,,,,,,24.0,2.0,-250.0,,,,,,,,,-2015.0,155047.0,17.0,153048.0
CTG,Q12021,,,19790.0,-10303.0,1122.0,914.0,77.0,368.0,-4183.0,-1306.0,6479.0,,954.0,-5553.0,-2357.0,-1807.0,,-4564.0,,-11480.0,-4921.0,13369.0,,-48.0,,-773.0,,-10701.0,,-57.0,1.0,,,,,,,12.0,-44.0,,,,,,,,,-10745.0,160175.0,-35.0,149395.0
CTG,Q12022,,,21360.0,-9778.0,4326.0,979.0,959.0,968.0,-4317.0,-707.0,13789.0,,-10270.0,-6897.0,-1874.0,-98911.0,,-5511.0,,17950.0,56064.0,50830.0,3400.0,-70.0,,-2122.0,,16376.0,,-77.0,2.0,,,,,,6.0,55.0,-14.0,,,,,-3845.0,,,-3845.0,12517.0,164377.0,-51.0,176843.0
CTG,Q12023,,,31538.0,-15692.0,1632.0,1213.0,130.0,642.0,-5059.0,-2953.0,11450.0,,28018.0,-17889.0,902.0,-58288.0,-7017.0,20605.0,,-4721.0,-32151.0,23174.0,20222.0,-73.0,,3414.0,,-12354.0,,-65.0,1.0,,,,,,,34.0,-30.0,,,,,,,,,-12384.0,244298.0,-43.0,231871.0
CTG,Q12024,,,31146.0,-19938.0,1753.0,1381.0,-97.0,654.0,-6616.0,-3142.0,5141.0,,7151.0,17299.0,-265.0,-41053.0,-5047.0,4838.0,,24323.0,21194.0,16766.0,-13832.0,-36.0,-556.0,448.0,,36370.0,,-202.0,1.0,,,,,,,,-201.0,,,,,,,,,36169.0,272304.0,37.0,308510.0
CTG,Q22010,,,12334.0,-8166.0,662.0,35.0,-62.0,231.0,-2655.0,-835.0,1545.0,,-2729.0,-15832.0,69.0,-23921.0,,-981.0,,13193.0,4488.0,6601.0,9290.0,-9521.0,-220.0,22090.0,-234.0,3837.0,,-481.0,,,,,,-53.0,81.0,61.0,-392.0,,,,,,,,,3444.0,30326.0,3197.0,36968.0
