stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
FPT,Q12007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,Q12008,,,303.0,,54.0,-1.0,8.0,1.0,22.0,,,,,387.0,-367.0,36.0,-85.0,-189.0,,-22.0,-50.0,7.0,-53.0,-337.0,,-56.0,,,,-19.0,,,,,,,-75.0,,1.0,,2465.0,-1494.0,,-2.0,,,970.0,558.0,896.0,2.0,1455.0
FPT,Q12009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,Q12010,,,455.0,,97.0,1.0,-13.0,-70.0,74.0,,,,,543.0,131.0,-708.0,-188.0,-25.0,,-10.0,-62.0,22.0,,-298.0,,-25.0,5.0,-401.0,,-91.0,,79.0,,,,,-433.0,,,-2.0,1459.0,-1696.0,,-5.0,,,-244.0,-975.0,2311.0,,1336.0
FPT,Q12011,,,516.0,,94.0,14.0,-22.0,-99.0,99.0,,,,,602.0,-62.0,-12.0,-172.0,-9.0,,-25.0,-84.0,-19.0,,219.0,,-145.0,6.0,224.0,77.0,8.0,,84.0,,,,,254.0,,,,3802.0,-3731.0,,,,,71.0,544.0,1436.0,,1980.0
FPT,Q12012,,,578.0,,104.0,10.0,-13.0,-99.0,55.0,,,,,635.0,222.0,-89.0,-247.0,-62.0,,-42.0,-146.0,,-78.0,193.0,,-78.0,7.0,-18.0,18.0,,,48.0,,,,,-23.0,,,,2479.0,-3136.0,,-237.0,,,-894.0,-725.0,2902.0,,2177.0
FPT,Q12013,,,574.0,,107.0,,-11.0,-56.0,36.0,,,,,650.0,442.0,-306.0,-518.0,-30.0,,-21.0,-135.0,,-43.0,38.0,,-270.0,2.0,-150.0,,,,9.0,,,,,-409.0,,,,2765.0,-2785.0,,,,,-20.0,-391.0,2319.0,,1928.0
FPT,Q12014,,,582.0,,125.0,6.0,2.0,-84.0,36.0,,,,-8.0,658.0,281.0,-151.0,-834.0,-17.0,,-60.0,-156.0,,-20.0,-300.0,,-210.0,,,582.0,,,25.0,,,,,396.0,,6.0,,4207.0,-3937.0,,,,,275.0,372.0,2751.0,,3123.0
FPT,Q12015,,,645.0,,162.0,1.0,26.0,-66.0,41.0,,,,-7.0,801.0,39.0,-253.0,-803.0,296.0,,-54.0,-153.0,,-14.0,-141.0,,-881.0,,,550.0,,,71.0,,,,,-258.0,,6.0,,5739.0,-5687.0,,,,,58.0,-341.0,4336.0,,3995.0
FPT,Q12016,,,563.0,,207.0,24.0,-15.0,-66.0,64.0,,,,,776.0,676.0,163.0,-814.0,24.0,,-91.0,-177.0,,-142.0,416.0,,-428.0,,380.0,,,66.0,64.0,,,,,82.0,,21.0,,5632.0,-6265.0,,-41.0,,,-653.0,-155.0,3585.0,,3430.0
