stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
GAS,Q12012,,,2946.0,,731.0,,,33.0,149.0,,,,,3859.0,-6657.0,-215.0,5709.0,244.0,,-156.0,-374.0,9592.0,-10633.0,1369.0,,-43.0,,-10727.0,10464.0,-140.0,9.0,255.0,,,,,-181.0,,332.0,-53.0,194.0,-282.0,-250.0,-110.0,,,-168.0,1019.0,9786.0,,10805.0
GAS,Q12013,,,5383.0,,761.0,1.0,25.0,-254.0,90.0,,,,,6005.0,-1233.0,776.0,-1233.0,311.0,,-90.0,-578.0,60.0,-103.0,3916.0,,-400.0,,-388.0,397.0,,,277.0,,,,,-113.0,,,,532.0,-1093.0,-40.0,,,,-601.0,3202.0,12753.0,,15956.0
GAS,Q12014,,,3997.0,,858.0,-4.0,1.0,-284.0,108.0,,,,,4676.0,94.0,981.0,-701.0,396.0,,-85.0,-579.0,403.0,-509.0,4676.0,,-381.0,,-300.0,,-89.0,5.0,332.0,,,,,-433.0,,89.0,,716.0,-892.0,-8.0,-1022.0,,,-1117.0,3126.0,18293.0,-1.0,21418.0
GAS,Q12015,,,3371.0,,927.0,210.0,26.0,-128.0,67.0,,,,,4473.0,734.0,767.0,-1520.0,105.0,,-64.0,-1293.0,519.0,-170.0,3551.0,,-434.0,,-313.0,,,97.0,276.0,,,,,-375.0,,,-40.0,1128.0,-1492.0,,-2323.0,,,-2728.0,448.0,24080.0,,24528.0
GAS,Q12016,,,1951.0,,731.0,-16.0,-34.0,-557.0,72.0,,,,,2148.0,-567.0,-153.0,-4.0,-49.0,,-77.0,-313.0,150.0,-175.0,961.0,,-983.0,,-54.0,169.0,-545.0,219.0,290.0,,,,,-904.0,,379.0,,2849.0,-1840.0,-20.0,-1481.0,,,-112.0,-56.0,18030.0,5.0,17979.0
GAS,Q12017,,,2785.0,,796.0,65.0,-1.0,-221.0,64.0,,,,,3488.0,638.0,-177.0,2251.0,268.0,,-117.0,-781.0,6.0,-95.0,5480.0,,-1078.0,5.0,-4420.0,1.0,,,179.0,,,,,-5312.0,,,,2210.0,-1047.0,-5.0,-702.0,,,456.0,625.0,13595.0,-4.0,14217.0
GAS,Q12018,,,3309.0,,586.0,50.0,56.0,-293.0,125.0,,,,,3834.0,-2127.0,-444.0,2786.0,-45.0,,-110.0,-979.0,-17.0,-2.0,2895.0,,-321.0,-42.0,-1996.0,600.0,,,254.0,,,,,-1505.0,,61.0,,630.0,-929.0,-4.0,,,,-242.0,1148.0,13518.0,,14666.0
GAS,Q12019,,,3817.0,,687.0,3.0,-3.0,-380.0,59.0,,,,,4183.0,-1447.0,368.0,963.0,-49.0,,-84.0,-816.0,22.0,-32.0,3108.0,,-229.0,1.0,-3510.0,5250.0,,23.0,436.0,,,,,1971.0,,,,575.0,-1469.0,-3.0,-3300.0,,,-4196.0,884.0,6706.0,,7589.0
GAS,Q12020,,,2968.0,,619.0,19.0,38.0,-382.0,34.0,,,,,3295.0,-1600.0,-359.0,2063.0,57.0,,-3.0,-734.0,440.0,-752.0,2408.0,,-754.0,,-7765.0,6669.0,,,417.0,,,,,-1433.0,,,,82.0,-245.0,,-12.0,,,-175.0,800.0,4476.0,1.0,5277.0
GAS,Q12021,,,2637.0,,791.0,-1.0,-6.0,-261.0,53.0,,,,,3214.0,-2741.0,-316.0,1776.0,-26.0,,-44.0,-461.0,89.0,-117.0,1375.0,,-1812.0,210.0,-10419.0,10340.0,,,260.0,,,,,-1422.0,,,,1424.0,-156.0,,,,,1268.0,1220.0,5237.0,,6458.0
