stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ,3. Tiền chi trả cho người lao động,4. Tiền chi trả lãi vay,5. Tiền chi nộp thuế thu nhập doanh nghiệp,6. Tiền thu khác từ hoạt động kinh doanh,7. Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tiền thu khác từ hoạt động đầu tư,9. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền chi trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",4. Tiền trả nợ gốc vay,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",Lưu chuyển tiền thuần từ hoạt động tài chính
GVR,Q12016,,,92.0,-31.0,-16.0,,,312.0,-165.0,191.0,,-15.0,,,83.0,-370.0,4.0,113.0,,,-184.0,,,,,-115.0,,,,,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,Q12017,,,89.0,-64.0,-22.0,,,49.0,-209.0,-158.0,,-3.0,,,113.0,-220.0,,334.0,,,223.0,,,,,-119.0,,,,,-119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,Q12018,,,71.0,-76.0,-22.0,,,1602.0,-291.0,1286.0,,,,,98.0,-223.0,,293.0,,,150.0,,,,,-3.0,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,Q12019,,,,,,,,,,,,,,-1764.0,,,,,,,,,,,1326.0,,,,,,,-1012.0,5160.0,1.0,4149.0,409.0,,522.0,-8.0,-1.0,36.0,130.0,,,,-45.0,1044.0,120.0,142.0,-352.0,-19.0,,-143.0,-404.0,973.0,-1581.0,-220.0,-361.0,419.0,1399.0,-344.0,3.0,209.0,,,,,-439.0,,,-1562.0,-116.0,-353.0
GVR,Q12020,,,,,,,,,,,,,,-1652.0,,,,,,,,,,,1231.0,,,,,,,-2299.0,7115.0,4.0,4820.0,402.0,,453.0,-19.0,-4.0,-247.0,155.0,,,,,739.0,227.0,182.0,-1152.0,-28.0,,-160.0,-339.0,934.0,-2604.0,-2200.0,-219.0,131.0,1456.0,-21.0,,338.0,,,,,32.0,,,-1296.0,-67.0,-132.0
GVR,Q12021,,,,,,,,,,,,,,-1318.0,,,,,,,,,,,1427.0,,,,,,,-869.0,5528.0,-1.0,4659.0,1304.0,,547.0,-7.0,1.0,-221.0,147.0,,,,,1771.0,277.0,-408.0,-983.0,78.0,,-132.0,-358.0,185.0,-933.0,-505.0,-187.0,127.0,1323.0,-18.0,,308.0,,,,,236.0,,,-1965.0,-61.0,-600.0
GVR,Q12022,,,,,,,,,,,,,,-1198.0,,,,,,,,,,,1368.0,,,,,,,-248.0,5304.0,-4.0,5052.0,1499.0,,625.0,64.0,4.0,-238.0,126.0,,,,,2081.0,-260.0,-469.0,-976.0,-469.0,,-101.0,-221.0,433.0,-455.0,-437.0,-171.0,128.0,1526.0,-19.0,,222.0,,,,,488.0,,,-1608.0,-59.0,-299.0
GVR,Q12023,,,,,,,,,,,,,,-1127.0,,,,,,,,,,,1197.0,,,,,,,-785.0,4370.0,-9.0,3577.0,948.0,,561.0,-12.0,9.0,-1255.0,491.0,,,,,742.0,41.0,106.0,-1197.0,-187.0,,-217.0,-377.0,892.0,-626.0,-824.0,-160.0,113.0,1381.0,-9.0,,226.0,,,,,424.0,,,-1544.0,-39.0,-386.0
GVR,Q12024,,,,,,,,,,,,,,-1064.0,,,,,,,,,,,1082.0,,,,,,,-964.0,5564.0,11.0,4612.0,778.0,,602.0,-8.0,-11.0,-1716.0,94.0,,,,,-261.0,88.0,278.0,-1023.0,-42.0,,-85.0,-622.0,746.0,-111.0,-1030.0,-123.0,101.0,1615.0,-3.0,,222.0,,,,,748.0,,,-1735.0,-29.0,-681.0
GVR,Q22016,,,-92.0,31.0,16.0,,,-312.0,165.0,-191.0,,15.0,,-2946.0,-83.0,370.0,-4.0,-113.0,,,184.0,,,,2452.0,115.0,,,,,115.0,-814.0,,3.0,4698.0,705.0,,558.0,41.0,6.0,-698.0,191.0,,,,,801.0,38.0,582.0,-620.0,-262.0,1.0,-194.0,-231.0,1926.0,-1481.0,560.0,-1456.0,579.0,2572.0,-178.0,59.0,397.0,,,,,-974.0,144.0,-21.0,-2709.0,-266.0,-400.0
GVR,Q22017,,,-89.0,64.0,22.0,,,-49.0,209.0,158.0,,3.0,,-3802.0,-113.0,220.0,,-334.0,,,-223.0,,,,2619.0,119.0,,,,,119.0,-265.0,,1.0,5792.0,1820.0,,723.0,55.0,-3.0,-854.0,290.0,,,,-145.0,1886.0,-47.0,-932.0,762.0,-260.0,21.0,-300.0,-307.0,1340.0,-2184.0,-22.0,-1170.0,1094.0,3384.0,-214.0,13.0,434.0,,,,,-262.0,,,-2571.0,-29.0,19.0
GVR,Q22019,,,,,,,,,,,,,,-1483.0,,,,,,,,,,,1404.0,,,,,,,640.0,4149.0,13.0,4802.0,896.0,,338.0,13.0,-13.0,-721.0,134.0,,,,45.0,693.0,633.0,73.0,-154.0,-441.0,,-219.0,-125.0,1664.0,-942.0,1182.0,-339.0,194.0,1516.0,269.0,,10.0,,,,,168.0,,,-2011.0,-103.0,-710.0
GVR,Q22020,,,,,,,,,,,,,,-1844.0,,,,,,,,,,,1248.0,,,,,,,-637.0,4820.0,,4182.0,568.0,,468.0,-78.0,,-335.0,142.0,,,,,766.0,161.0,-193.0,852.0,-165.0,,11.0,-9.0,371.0,-1238.0,555.0,-173.0,107.0,646.0,-24.0,,-63.0,,,,,-1352.0,,,-1034.0,-55.0,160.0
GVR,Q22021,,,,,,,,,,,,,,-1752.0,,,,,,,,,,,528.0,,,,,,,1905.0,4659.0,-6.0,6558.0,1264.0,,548.0,-5.0,6.0,-332.0,130.0,,,,,1611.0,256.0,-688.0,644.0,-110.0,,-102.0,309.0,1790.0,933.0,4643.0,-198.0,-5.0,728.0,-1.0,,-34.0,,,,,-1263.0,,,-2048.0,45.0,-1475.0
GVR,Q22022,,,,,,,,,,,,,,-1809.0,,,,,,,,,,,1214.0,,,,,,,903.0,5052.0,18.0,5973.0,1398.0,,569.0,-2.0,-18.0,-468.0,114.0,,,,,1592.0,701.0,-652.0,130.0,392.0,,-100.0,-167.0,285.0,455.0,2635.0,-217.0,7.0,498.0,-26.0,,32.0,,,,,-1515.0,,,-1478.0,46.0,-218.0
GVR,Q22023,,,,,,,,,,,,,,-1467.0,,,,,,,,,,,1126.0,,,,,,,753.0,3577.0,-28.0,4301.0,882.0,,579.0,-35.0,28.0,412.0,-248.0,,,,,1617.0,122.0,186.0,36.0,53.0,,-39.0,349.0,-851.0,626.0,2100.0,-339.0,65.0,703.0,2.0,,19.0,,,,,-1017.0,,,-1485.0,28.0,-331.0
GVR,Q22024,,,,,,,,,,,,,,-1251.0,,,,,,,,,,,883.0,,,,,,,-574.0,4612.0,166.0,4204.0,1124.0,,585.0,5.0,-166.0,954.0,91.0,,,,,2592.0,501.0,-247.0,135.0,-198.0,,-116.0,225.0,-709.0,-1140.0,1044.0,-129.0,67.0,393.0,-3.0,,-45.0,,,,,-969.0,,,-1547.0,15.0,-649.0
