stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,1. Lợi nhuận trước thuế,Điều chỉnh cho các khoản:,"2. Khấu hao TSCĐ, bất động sản đầu tư","3. Dự phòng rủi ro tín dụng, giảm giá, đầu tư tăng thêm/(hoàn nhập) trong kỳ",4. Lãi và phí phải thu trong kỳ (thực tế chưa thu),5. Lãi và phí phải trả trong kỳ (thực tế chưa trả),6. (Lãi)/lỗ do thanh lý TSCĐ,"7. (Lãi)/lỗ do bán, thanh lý bất động sản đầu tư","8. (Lãi)/Lỗ do thanh lý những khoản đầu tư, góp vốn dài hạn vào đơn vị khác, cổ tức nhận được, lợi nhuận được chia từ hợp đồng đầu tư, góp vốn dài hạn",9. Chênh lệch tỷ giá hối đoái chưa thực hiện,10. Các điều chỉnh khác,Những thay đổi về tài sản và công nợ hoạt động,"11. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các tổ chức tín dụng khác",12. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,13. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,14. (Tăng)/Giảm các khoản cho vay khách hàng,"15. (Tăng)/Giảm lãi, phí phải thu",16. (Giảm)/Tăng nguồn dự phòng để bù đắp tổn thất các khoản,17. (Tăng)/Giảm khác về tài sản hoạt động,18. Tăng/Giảm các khoản nợ chính phủ và NHNN,19. Tăng/(Giảm) các khoản tiền gửi và vay các TCTD,20. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả kho bạc Nhà nước),21. Tăng/(Giảm) các công cụ TC phái sinh và các khoản nợ tài chính khác,"22. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD phải chịu rủi ro",23. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"24. Tăng/(Giảm) lãi, phí phải trả",25. Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập,26. Thuế TNDN đã nộp,27. Chi từ các quỹ của TCTD,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Mua sắm TSCĐ,"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",II. Lưu chuyển tiền từ hoạt động đầu tư,1. Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,III. Lưu chuyển tiền từ hoạt động tài chính,IV. Lưu chuyển tiền thuần trong kỳ,V. Tiến và các khoản tương đương tiền tại thời điểm đầu kỳ,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá
HDB,Q12008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12013,,,897.0,-1094.0,7.0,-7.0,172.0,8.0,-157.0,,-173.0,,72.0,-3199.0,-4.0,-1731.0,,-4103.0,,-413.0,-1513.0,10526.0,-844.0,,,59.0,-1.0,-1325.0,,-189.0,,,,,,,,,-188.0,,,,,,,,,-1513.0,4858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12014,,,1352.0,-1028.0,42.0,429.0,6.0,10.0,-392.0,-20.0,399.0,,3612.0,-7993.0,-8.0,11880.0,21.0,394.0,,58.0,-3643.0,-6907.0,2.0,-57.0,,205.0,-2.0,-2038.0,,-85.0,,,,,,-271.0,299.0,,-55.0,,,,,,,,-175.0,-2268.0,8711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12015,,,1729.0,-1045.0,34.0,33.0,-13.0,2.0,-561.0,-117.0,63.0,,1329.0,-303.0,-26.0,971.0,-25.0,-1.0,,-1.0,-6647.0,-4417.0,251.0,-4.0,,-39.0,,-8848.0,,-43.0,,,,,,-14.0,48.0,,-6.0,,,,,,,,,-8855.0,15293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12016,,,1937.0,-1171.0,27.0,52.0,28.0,,-675.0,-87.0,112.0,,1255.0,-1162.0,38.0,-9776.0,-37.0,509.0,,-2227.0,1500.0,11543.0,1250.0,-4.0,,-83.0,-1.0,2919.0,,-14.0,,,,,,-21.0,5.0,,-31.0,,,,,,,,,2888.0,14069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12017,,,3455.0,-1734.0,26.0,110.0,40.0,4.0,-941.0,-91.0,868.0,,,-3204.0,-61.0,-5878.0,-128.0,35.0,,1873.0,383.0,9577.0,727.0,25.0,,-34.0,-3.0,4180.0,,-13.0,,,,,,-22.0,82.0,,61.0,,,,,,,,,4241.0,22605.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12018,,,3737.0,-2167.0,107.0,198.0,24.0,16.0,-985.0,-115.0,815.0,,106.0,8184.0,-98.0,-11389.0,-152.0,665.0,,-29.0,3793.0,-3235.0,-347.0,20.0,,5.0,-1.0,-1663.0,,-20.0,,,,,,,3.0,,37.0,,,,,,,,,-1627.0,25189.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12019,,,4502.0,-2226.0,141.0,156.0,15.0,32.0,-1206.0,-157.0,1258.0,,-1100.0,4489.0,208.0,-5805.0,-230.0,-230.0,,-5731.0,-6456.0,-1366.0,-797.0,1.0,2.0,-201.0,-2.0,-15959.0,,-42.0,,,,,,,,,-42.0,,,,,,,,,-16001.0,39457.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12020,,,5302.0,-1995.0,156.0,237.0,18.0,37.0,-1471.0,-305.0,1980.0,,610.0,-4951.0,,-6081.0,-209.0,329.0,,394.0,-6549.0,6804.0,161.0,45.0,9.0,-7.0,-2.0,-7468.0,,-97.0,,,,,,,,,-97.0,,,,,,,,-312.0,-7878.0,30363.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12021,,,6131.0,-2610.0,312.0,448.0,11.0,44.0,-1716.0,-270.0,2352.0,,-496.0,6442.0,-85.0,-8956.0,-427.0,309.0,,-13.0,-5307.0,10367.0,-54.0,-7.0,-215.0,-125.0,-3.0,3781.0,,-155.0,,,,,,,,,-155.0,,,,,,,,,3626.0,54756.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12022,,,7008.0,-3068.0,624.0,326.0,31.0,87.0,-1812.0,-404.0,2792.0,,-195.0,6125.0,,-21943.0,-434.0,910.0,,-11.0,-13769.0,18207.0,-657.0,-77.0,29.0,358.0,-3.0,-8667.0,,-6.0,,,,,,,1.0,,30.0,,,,,,,,,-8637.0,70131.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12023,,,9990.0,-4037.0,597.0,125.0,64.0,71.0,-2073.0,-1338.0,3399.0,,280.0,-9074.0,,-24672.0,-768.0,206.0,,-10785.0,4674.0,34006.0,12077.0,-69.0,-150.0,-561.0,-5.0,8559.0,,-25.0,,,,,,,,,-20.0,,,,,,,,,8540.0,54534.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q12024,,,14113.0,-8137.0,333.0,639.0,8.0,95.0,-2415.0,-1827.0,2810.0,,65.0,-5353.0,-14.0,-20045.0,-710.0,-3364.0,,-6.0,-5078.0,8011.0,-4636.0,-15.0,,696.0,-1.0,-27641.0,,-112.0,,,,,,,,,-112.0,,,,,,,,,-27753.0,132412.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q22008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q22013,,,1297.0,-1088.0,10.0,1102.0,-24.0,9.0,-71.0,,1236.0,,-239.0,647.0,4.0,248.0,,-332.0,,-22.0,1112.0,-1961.0,-847.0,,,-220.0,-2.0,-376.0,,174.0,,,,,,,,,290.0,,,,,,,,-281.0,-366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB,Q22015,,,1733.0,-1188.0,250.0,30.0,-15.0,1.0,-284.0,-35.0,490.0,,1854.0,506.0,7.0,-6265.0,-33.0,1418.0,,7.0,-137.0,4025.0,149.0,3.0,,-134.0,,1891.0,,-129.0,,,,,,-355.0,32.0,,-439.0,,,,,,,,,1452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
