stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
HPG,Q12007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,Q12008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,Q12009,,,359.0,,46.0,-110.0,-8.0,-18.0,6.0,,,,,274.0,33.0,51.0,-180.0,-5.0,,-10.0,-28.0,52.0,-100.0,88.0,,-185.0,4.0,-165.0,-1.0,,,16.0,104.0,,,,-228.0,,,,1069.0,-1014.0,-1.0,-2.0,,,53.0,-87.0,510.0,,423.0
HPG,Q12010,,,335.0,,73.0,-1.0,,-48.0,61.0,,,,,420.0,558.0,-118.0,-810.0,-10.0,,-69.0,-131.0,73.0,-37.0,-125.0,,-184.0,,-421.0,196.0,-374.0,,33.0,,,,,-749.0,,4.0,,1766.0,-1583.0,,,,,186.0,-688.0,1480.0,3.0,796.0
HPG,Q12011,,,633.0,,149.0,2.0,73.0,140.0,187.0,,,,,1184.0,-464.0,-701.0,365.0,-24.0,,-160.0,-87.0,2.0,-46.0,68.0,,-486.0,1.0,-508.0,223.0,-3.0,,28.0,,,,,-744.0,,,-44.0,4596.0,-3325.0,,,,,1227.0,551.0,1047.0,1.0,1599.0
HPG,Q12012,,,244.0,,148.0,30.0,,-9.0,176.0,,,,,578.0,36.0,579.0,-213.0,75.0,,-178.0,-162.0,3.0,-34.0,683.0,,-354.0,9.0,,,-26.0,,21.0,,,,,-351.0,,,,3745.0,-4421.0,,-1.0,,,-677.0,-345.0,1064.0,,720.0
HPG,Q12013,,,572.0,,152.0,5.0,,-133.0,81.0,,,27.0,,705.0,-127.0,162.0,219.0,11.0,,-103.0,-64.0,2.0,-46.0,758.0,,-981.0,5.0,-1.0,3.0,-7.0,125.0,34.0,,,,,-823.0,,,,3987.0,-4221.0,,,,,-234.0,-298.0,1294.0,,996.0
HPG,Q12014,,,1071.0,,269.0,72.0,-1.0,3.0,-34.0,,121.0,,,1502.0,124.0,1258.0,-1750.0,12.0,,-118.0,-297.0,1.0,-56.0,676.0,,-238.0,2.0,-17.0,,,,26.0,,,,,-227.0,,,,4716.0,-5044.0,,-50.0,,,-379.0,70.0,2125.0,,2195.0
HPG,Q12015,,,738.0,,285.0,-10.0,46.0,3.0,58.0,,,30.0,,1150.0,-858.0,879.0,-325.0,22.0,,-47.0,-234.0,1.0,-88.0,500.0,,-435.0,2.0,-360.0,,,,23.0,,,,,-769.0,,,,6536.0,-6790.0,,-50.0,,,-303.0,-573.0,2026.0,,1453.0
HPG,Q12016,,,1211.0,,354.0,-28.0,-4.0,-27.0,81.0,,,6.0,,1593.0,64.0,933.0,-360.0,23.0,,-116.0,-302.0,,-92.0,1744.0,,-671.0,1.0,-356.0,290.0,-73.0,,34.0,,,,,-775.0,,,,5959.0,-6374.0,,,,,-415.0,553.0,2373.0,,2926.0
HPG,Q12017,,,2243.0,,472.0,-5.0,1.0,-37.0,84.0,,,5.0,,2763.0,-225.0,-492.0,-843.0,-30.0,,-81.0,-743.0,4.0,-136.0,217.0,,-639.0,3.0,-4981.0,30.0,,,28.0,,,,,-5558.0,,,,3525.0,-360.0,,-1.0,,,3164.0,-2178.0,4559.0,-1.0,2380.0
HPG,Q12018,,,2608.0,,556.0,-7.0,38.0,-47.0,118.0,,,,,3267.0,82.0,544.0,-244.0,-269.0,,-112.0,-332.0,,-182.0,2755.0,,-2661.0,57.0,-2615.0,5440.0,-116.0,,345.0,,,,,450.0,,,,8465.0,-9271.0,,-1.0,,,-806.0,2398.0,4265.0,,6663.0
HPG,Q12019,,,2171.0,,583.0,-26.0,-14.0,-33.0,185.0,,,,,2865.0,-1145.0,2197.0,-1160.0,66.0,,-143.0,-375.0,,-171.0,2134.0,,-5336.0,2.0,-2810.0,3322.0,,,106.0,,,,,-4715.0,,,,19849.0,-13672.0,,,,,6177.0,3595.0,2516.0,,6111.0
HPG,Q12020,,,2657.0,,1092.0,22.0,281.0,-62.0,481.0,,,,,4472.0,-1577.0,53.0,-1212.0,37.0,,-375.0,-432.0,,-252.0,714.0,,-3448.0,16.0,-1035.0,800.0,,,69.0,,,,,-3597.0,,,,16924.0,-12425.0,,-5.0,,,4494.0,1612.0,4545.0,1.0,6158.0
HPG,Q12021,,,7690.0,,1455.0,28.0,-3.0,-723.0,622.0,,,,,9070.0,-3364.0,-1849.0,-759.0,-53.0,,-639.0,-495.0,,-318.0,1593.0,,-1399.0,2.0,-7952.0,5214.0,,827.0,267.0,,,,,-3042.0,,3.0,,30267.0,-28496.0,,-7.0,,,1768.0,319.0,13696.0,3.0,14019.0
HPG,Q12022,,,8922.0,,1678.0,-60.0,151.0,-951.0,597.0,,,,,10336.0,665.0,2157.0,-2994.0,-95.0,,-591.0,-579.0,,-513.0,8387.0,,-6027.0,4.0,-19319.0,9738.0,,,911.0,,,,,-14692.0,,1.0,,34801.0,-31900.0,,-9.0,,,2892.0,-3413.0,22471.0,2.0,19060.0
HPG,Q12023,,,532.0,,1648.0,-941.0,-70.0,-1918.0,990.0,,,,,241.0,-3813.0,1129.0,2853.0,118.0,,-1009.0,-407.0,,-215.0,-1103.0,,-2819.0,86.0,-11146.0,9916.0,,,1791.0,,,,,-2173.0,,1.0,,29747.0,-26927.0,,,,,2821.0,-455.0,8325.0,-1.0,7868.0
HPG,Q12024,,,3261.0,,1722.0,11.0,183.0,-1462.0,636.0,,,,,4350.0,-2550.0,-1850.0,3122.0,-450.0,,-622.0,-849.0,,-402.0,749.0,,-14798.0,1140.0,-8466.0,8375.0,,,1125.0,,,,,-12624.0,,40.0,,44109.0,-32100.0,,1.0,,,12050.0,175.0,12252.0,2.0,12429.0
HPG,Q22007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,Q22008,,,791.0,,35.0,,20.0,-24.0,14.0,,,,,837.0,-379.0,-257.0,-209.0,-1.0,,-12.0,-42.0,36.0,-31.0,-59.0,,-17.0,,-734.0,615.0,-689.0,,18.0,,,,,-807.0,,529.0,,698.0,-410.0,,,,,817.0,-49.0,,,119.0
HPG,Q22009,,,446.0,,48.0,-33.0,-18.0,-84.0,12.0,,,,,371.0,-254.0,474.0,126.0,-25.0,,-12.0,-7.0,112.0,-103.0,681.0,,-1308.0,2.0,-811.0,1289.0,-455.0,,40.0,-104.0,,,,-1346.0,,,,1513.0,-463.0,,-206.0,,,844.0,179.0,423.0,-1.0,602.0
HPG,Q22010,,,397.0,,61.0,14.0,-13.0,-32.0,84.0,,,,,512.0,-194.0,-801.0,289.0,-12.0,,-95.0,-38.0,43.0,-30.0,-325.0,,-195.0,168.0,421.0,-151.0,367.0,-634.0,46.0,,,,,21.0,,,,2862.0,-2485.0,,-3.0,,,375.0,71.0,796.0,-3.0,864.0
HPG,Q22011,,,530.0,,161.0,,-42.0,-248.0,209.0,,,,,610.0,50.0,-1286.0,-592.0,-21.0,,-188.0,-98.0,7.0,-37.0,-1556.0,,-494.0,7.0,485.0,-94.0,-28.0,285.0,97.0,,,,,258.0,,88.0,-107.0,4548.0,-3580.0,,-2.0,,,947.0,-351.0,1599.0,,1249.0
