stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ
LPB,Q12014,,,1198.0,-783.0,-65.0,13.0,,,-199.0,-51.0,114.0,,155.0,-6366.0,3.0,-2083.0,-97.0,-2847.0,,2.0,-934.0,6440.0,,5.0,-4.0,-160.0,-13.0,-5788.0,,-30.0,,,,,,,,,-30.0,,,,,-129.0,,,-129.0,-5947.0,17339.0,,11391.0
LPB,Q12015,,,1257.0,-1201.0,-62.0,-8.0,-11.0,,-200.0,-26.0,-251.0,,1963.0,-771.0,,-6673.0,,-910.0,,204.0,-1035.0,3483.0,,11.0,-43.0,37.0,-1.0,-3987.0,,-61.0,,,,,,,,,-61.0,,,,,-129.0,,,-129.0,-4177.0,7946.0,1.0,3771.0
LPB,Q12016,,,2062.0,-1163.0,-67.0,60.0,-53.0,,-198.0,-49.0,592.0,,-521.0,-3051.0,-21.0,-2480.0,,-776.0,,-5714.0,-2840.0,13942.0,,-2.0,,130.0,-43.0,-783.0,,11.0,,-1.0,,,,,,,11.0,,,,,-291.0,,,-291.0,-1063.0,7039.0,,5976.0
LPB,Q12017,,,4943.0,-3523.0,19.0,111.0,-116.0,,-426.0,-140.0,869.0,,-550.0,-1665.0,-45.0,-9560.0,1.0,-1485.0,,784.0,-5820.0,509.0,482.0,6.0,,656.0,-2.0,-15820.0,,-11.0,,,,,,,,,-11.0,,,,,-258.0,,,-258.0,-16089.0,20956.0,,4867.0
LPB,Q12018,,,2987.0,-1691.0,9.0,85.0,-119.0,,-623.0,-93.0,554.0,,-610.0,-4876.0,-42.0,-7516.0,-22.0,-442.0,,993.0,-10825.0,16074.0,-6.0,2.0,,-566.0,-1.0,-7282.0,,-26.0,,,,,,,,,-26.0,,1040.0,,,-1034.0,,,6.0,-7302.0,22755.0,,15453.0
LPB,Q12019,,,3966.0,-2675.0,37.0,8.0,-116.0,21.0,-753.0,-76.0,411.0,,-250.0,-748.0,-23.0,-4564.0,,-299.0,,-4743.0,4651.0,895.0,4767.0,-2.0,,104.0,,199.0,,-33.0,1.0,-2.0,,,,,,,-34.0,,1006.0,,,,,,1006.0,1171.0,12128.0,,13299.0
LPB,Q12020,,,3616.0,-2899.0,103.0,41.0,,16.0,-933.0,-111.0,-168.0,,1001.0,-1355.0,-20.0,-3989.0,,-243.0,,-8.0,-7117.0,7154.0,-9.0,20.0,,275.0,,-4460.0,,-21.0,1.0,-1.0,,,,,,,-21.0,,,,,,,,,-4481.0,17098.0,,12617.0
LPB,Q12021,,,4848.0,-3572.0,165.0,64.0,,63.0,-1125.0,-229.0,215.0,,-1959.0,1557.0,2.0,-6118.0,,-176.0,,-15.0,2567.0,3153.0,-3635.0,,,222.0,-2.0,-4188.0,,-28.0,2.0,-2.0,,,,,,,-28.0,,,,,,,,,-4216.0,23801.0,,19585.0
LPB,Q12022,,,6455.0,-3579.0,231.0,80.0,161.0,29.0,-938.0,-201.0,2238.0,,300.0,-2719.0,-48.0,1205.0,,-350.0,,-1549.0,-3846.0,-2813.0,2150.0,,812.0,-50.0,-50.0,-4670.0,,-85.0,2.0,-1.0,,,,,,,-84.0,,,,,,,,,-4754.0,33907.0,,29152.0
LPB,Q12023,,,10137.0,-3737.0,235.0,-70.0,1.0,12.0,-1527.0,-814.0,4237.0,,400.0,-6409.0,-360.0,-6403.0,-1185.0,-2302.0,,-2311.0,-13255.0,11395.0,10253.0,,-42.0,-274.0,-1.0,-6257.0,,-101.0,1.0,-1.0,,,,,,,-101.0,,,,,,,,,-6359.0,44675.0,,38316.0
LPB,Q12024,,,9295.0,-6964.0,820.0,60.0,-8.0,29.0,-1334.0,-987.0,910.0,,369.0,5871.0,,-32256.0,122.0,1508.0,,1000.0,5743.0,24603.0,-5412.0,,559.0,708.0,-46.0,3678.0,,-49.0,1.0,-2.0,,,,,18.0,,-32.0,,,,,,,,,3646.0,52020.0,,55667.0
LPB,Q22012,,,-762.0,,,,,,,,-762.0,,,,,,,,,,,,,,,,,-762.0,,-51.0,,,,,,,,,-51.0,,-194.0,,,,,,-194.0,-1007.0,6187.0,1.0,5181.0
LPB,Q22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
