stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,1. Lợi nhuận trước thuế,Điều chỉnh cho các khoản:,"2. Khấu hao TSCĐ, bất động sản đầu tư","3. Dự phòng rủi ro tín dụng, giảm giá, đầu tư tăng thêm/(hoàn nhập) trong kỳ",4. Lãi và phí phải thu trong kỳ (thực tế chưa thu),5. Lãi và phí phải trả trong kỳ (thực tế chưa trả),6. (Lãi)/lỗ do thanh lý TSCĐ,"7. (Lãi)/lỗ do bán, thanh lý bất động sản đầu tư","8. (Lãi)/Lỗ do thanh lý những khoản đầu tư, góp vốn dài hạn vào đơn vị khác, cổ tức nhận được, lợi nhuận được chia từ hợp đồng đầu tư, góp vốn dài hạn",9. Chênh lệch tỷ giá hối đoái chưa thực hiện,10. Các điều chỉnh khác,Những thay đổi về tài sản và công nợ hoạt động,"11. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các tổ chức tín dụng khác",12. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,13. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,14. (Tăng)/Giảm các khoản cho vay khách hàng,"15. (Tăng)/Giảm lãi, phí phải thu",16. (Giảm)/Tăng nguồn dự phòng để bù đắp tổn thất các khoản,17. (Tăng)/Giảm khác về tài sản hoạt động,18. Tăng/Giảm các khoản nợ chính phủ và NHNN,19. Tăng/(Giảm) các khoản tiền gửi và vay các TCTD,20. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả kho bạc Nhà nước),21. Tăng/(Giảm) các công cụ TC phái sinh và các khoản nợ tài chính khác,"22. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD phải chịu rủi ro",23. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"24. Tăng/(Giảm) lãi, phí phải trả",25. Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập,26. Thuế TNDN đã nộp,27. Chi từ các quỹ của TCTD,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Mua sắm TSCĐ,"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",II. Lưu chuyển tiền từ hoạt động đầu tư,1. Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,III. Lưu chuyển tiền từ hoạt động tài chính,IV. Lưu chuyển tiền thuần trong kỳ,V. Tiến và các khoản tương đương tiền tại thời điểm đầu kỳ,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá
MBB,Q12011,,,3200.0,-1862.0,176.0,-184.0,238.0,6.0,-399.0,-269.0,906.0,,1593.0,,,-4113.0,9.0,-2184.0,,-2957.0,-296.0,5962.0,-629.0,60.0,,6303.0,-123.0,4530.0,,-48.0,,,,,,-279.0,478.0,,-237.0,,,,,,,,-147.0,4146.0,29204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12012,,,3593.0,-2455.0,208.0,-18.0,-33.0,-225.0,-218.0,-414.0,438.0,,-5369.0,,,-2366.0,-9.0,-3702.0,,,-3583.0,5269.0,,185.0,,5490.0,25.0,-3622.0,,-44.0,,,,,,147.0,,,-5673.0,,2785.0,,,,,,3004.0,-6291.0,43561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12013,,,3699.0,-2178.0,237.0,-89.0,-253.0,14.0,-259.0,-18.0,1154.0,,11487.0,-12081.0,,818.0,81.0,52.0,,-488.0,-6177.0,6705.0,-1020.0,-18.0,-19.0,-5697.0,-14.0,-5218.0,,-121.0,,,,,,80.0,,,-39.0,,625.0,,,,,,625.0,-4632.0,27905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12014,,,3666.0,-1794.0,205.0,71.0,-217.0,29.0,-405.0,-82.0,1473.0,,1885.0,-1146.0,,-279.0,-79.0,441.0,,,-5887.0,8890.0,11.0,,3.0,-1216.0,-30.0,4066.0,,-40.0,,,,,,,73.0,,38.0,,,,,,,,,4104.0,12541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12015,,,4000.0,-1779.0,111.0,53.0,-241.0,97.0,-470.0,-156.0,1617.0,,241.0,-5593.0,5.0,549.0,-803.0,-223.0,,,6152.0,-5120.0,145.0,-10.0,15.0,-4843.0,-47.0,-7915.0,,-70.0,,,,,,-53.0,,,163.0,,,,,,,,,-7753.0,20134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12016,,,3803.0,-1675.0,118.0,282.0,-403.0,108.0,-520.0,-19.0,1693.0,,-6777.0,-3269.0,68.0,-3014.0,50.0,-692.0,,-1412.0,8681.0,-1049.0,67.0,-22.0,,291.0,-29.0,-5414.0,,-137.0,,,,,,,262.0,,442.0,,421.0,,,,,,420.0,-4552.0,26002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12017,,,4759.0,-2341.0,233.0,-122.0,-455.0,123.0,-834.0,-63.0,1300.0,,4106.0,-1750.0,35.0,-643.0,,-219.0,,1034.0,5643.0,-12402.0,256.0,-21.0,,-201.0,-38.0,-2901.0,,-141.0,,,,,,-92.0,,,-227.0,,,,,,,,-1032.0,-4159.0,22849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12018,,,5842.0,-2376.0,315.0,341.0,-400.0,153.0,-1041.0,-224.0,2609.0,,5496.0,-1257.0,-25.0,-9558.0,-345.0,-9124.0,,2588.0,-9686.0,6842.0,102.0,-31.0,,1082.0,697.0,-10609.0,,-60.0,,,,,,-247.0,,,-296.0,,,,,,,,-1089.0,-11994.0,46554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12019,,,7198.0,-2439.0,759.0,204.0,20.0,239.0,-2475.0,-313.0,3192.0,,950.0,-6689.0,-1.0,-14482.0,-1118.0,-4013.0,,,12338.0,2813.0,3858.0,-31.0,-6.0,772.0,-28.0,-2445.0,,-70.0,,,,,,,90.0,,21.0,,,,,,,,-1037.0,-3461.0,47648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12020,,,16060.0,-3287.0,745.0,629.0,54.0,186.0,-2206.0,491.0,12672.0,,1801.0,3857.0,-113.0,2351.0,-1594.0,-9395.0,,,19426.0,-31938.0,5085.0,-17.0,,-2091.0,-16.0,26.0,,-289.0,,,,,,,,,-288.0,,1821.0,,,,,,2293.0,2031.0,46012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12021,,,8799.0,-3169.0,1066.0,997.0,109.0,1107.0,-3188.0,-548.0,5173.0,,-2838.0,469.0,37.0,-27456.0,-815.0,-3974.0,,-5738.0,17044.0,-694.0,,476.0,127.0,1440.0,-30.0,-16779.0,,-295.0,,,,,,3.0,,,-261.0,,,,,,,,,-17040.0,62326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12022,,,11223.0,-3009.0,1117.0,1775.0,189.0,348.0,-4199.0,-908.0,6538.0,,-102.0,-5370.0,-8.0,-51995.0,-544.0,5202.0,,,26842.0,5548.0,5150.0,-302.0,,328.0,-142.0,-8856.0,,-192.0,,,,,,49.0,,,-141.0,,,,,,,,,-8997.0,65671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12023,,,15774.0,-4835.0,690.0,582.0,131.0,333.0,-4277.0,-3144.0,5254.0,,-131.0,-33039.0,70.0,-21997.0,-2171.0,2567.0,,2516.0,11628.0,8809.0,8447.0,-965.0,31.0,-2751.0,-34.0,-21765.0,,-357.0,,,,,,-45.0,,,-396.0,,,,,,,,,-22161.0,68224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q12024,,,17474.0,-8831.0,945.0,1450.0,101.0,264.0,-3567.0,-3350.0,4485.0,,-2506.0,22121.0,141.0,-4045.0,-1970.0,1782.0,,3892.0,-16905.0,-8707.0,-25030.0,656.0,382.0,-139.0,-44.0,-25887.0,,-567.0,,,,,,24.0,,,-542.0,,,1050.0,,,,,1050.0,-25379.0,109095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,Q22011,,,6794.0,-4031.0,328.0,-199.0,446.0,6.0,-876.0,-400.0,2067.0,,5061.0,,,-4700.0,372.0,-2453.0,,-8269.0,2364.0,6694.0,-352.0,216.0,,8727.0,-195.0,9532.0,,-285.0,,,,,,-2492.0,,,-3171.0,,,,,,,,-322.0,6040.0,29204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
