stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
MSN,Q12010,,,141.0,,82.0,-3.0,,-112.0,44.0,,,,,151.0,-93.0,-78.0,27.0,,,-20.0,-57.0,,-3.0,-74.0,,-125.0,18.0,-1106.0,600.0,,,27.0,,,,,-586.0,,,,374.0,-353.0,,,,,22.0,-639.0,1124.0,,485.0
MSN,Q12011,,,434.0,,30.0,,12.0,-173.0,84.0,,,,,387.0,-247.0,-39.0,-896.0,-1.0,,-38.0,-115.0,,-4.0,-954.0,,-164.0,,-771.0,,-17.0,,110.0,,,,,-842.0,,2103.0,,383.0,-405.0,,,,,2080.0,285.0,3395.0,24.0,3703.0
MSN,Q12012,,,554.0,-349.0,84.0,2.0,3.0,-92.0,112.0,,,,,314.0,-108.0,-192.0,50.0,,,-33.0,-161.0,,2.0,-128.0,,-1169.0,1.0,-1413.0,1095.0,-48.0,33.0,286.0,,,,,-1216.0,,,,6120.0,-883.0,,,,,5237.0,3894.0,9574.0,,13467.0
MSN,Q12013,,,117.0,,105.0,4.0,,,65.0,,-99.0,,15.0,207.0,-408.0,-227.0,-285.0,,,-36.0,-86.0,,-5.0,-839.0,,-1449.0,,,,-645.0,,214.0,1554.0,,,,-327.0,,2783.0,,1172.0,-1649.0,,,,,2306.0,1140.0,5719.0,,6858.0
MSN,Q12014,,,138.0,,284.0,6.0,,-39.0,256.0,3.0,-136.0,,,510.0,-440.0,-230.0,723.0,,,-651.0,-374.0,,,-463.0,,-1002.0,,-63.0,6506.0,,,163.0,-5853.0,,,,-248.0,,29.0,,4668.0,-5076.0,,,,,-379.0,-1090.0,5699.0,-1.0,4608.0
MSN,Q12015,,,158.0,,347.0,31.0,49.0,,400.0,,-136.0,,-103.0,745.0,-79.0,-406.0,79.0,112.0,,-856.0,-724.0,,-1.0,-1129.0,,-492.0,,,2625.0,,-372.0,120.0,,,,,1881.0,,,,4163.0,-5332.0,,,,,-1169.0,-417.0,5166.0,1.0,4750.0
MSN,Q12016,,,515.0,,533.0,12.0,2.0,-336.0,688.0,,,,,1415.0,-191.0,748.0,-1120.0,-190.0,,-494.0,-306.0,,-7.0,-144.0,,-813.0,,-27098.0,28816.0,-19724.0,85.0,609.0,,,,,-18124.0,,14370.0,-267.0,6769.0,-6210.0,-3.0,-26.0,,,14632.0,-3636.0,8324.0,-1.0,4687.0
MSN,Q12017,,,351.0,,639.0,1.0,3.0,-439.0,892.0,,,,,1448.0,-28.0,-495.0,-1727.0,38.0,,-583.0,-230.0,,,-1578.0,,-526.0,1.0,-2031.0,1996.0,,,113.0,,,,,-446.0,,,,6105.0,-7728.0,-4.0,-2449.0,,,-4076.0,-6100.0,13149.0,-1.0,7048.0
MSN,Q12018,,,1172.0,,661.0,15.0,8.0,-592.0,757.0,,,,,2021.0,114.0,-579.0,-52.0,-27.0,,-756.0,-154.0,,,566.0,,-676.0,4.0,-1027.0,507.0,-1613.0,380.0,66.0,,,,,-2359.0,,,,4574.0,-4815.0,-3.0,-990.0,,,-1233.0,-3026.0,7417.0,,4391.0
MSN,Q12019,,,1141.0,,681.0,23.0,4.0,-502.0,488.0,,,,,1835.0,464.0,-1292.0,-1260.0,-63.0,,-670.0,-195.0,,-2.0,-1182.0,,-1044.0,1.0,-727.0,370.0,-168.0,,69.0,,,,,-1499.0,,,,6599.0,-5399.0,,-24.0,,,1175.0,-1506.0,4586.0,2.0,3083.0
