stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
MWG,Q12014,,,215.0,,22.0,18.0,,-2.0,10.0,,,,,265.0,-16.0,-46.0,-279.0,-9.0,,-10.0,-69.0,,,-165.0,,-5.0,,,,,,2.0,,,,,-3.0,,12.0,,1171.0,-1143.0,,-3.0,,,37.0,-132.0,305.0,,173.0
MWG,Q12015,,,300.0,,39.0,-6.0,,,12.0,,,,,345.0,-11.0,-149.0,-148.0,7.0,,-11.0,-56.0,,-9.0,-33.0,,-107.0,,,,,,,,,,,-107.0,,,-1.0,1867.0,-1705.0,,,,,161.0,22.0,213.0,,235.0
MWG,Q12016,,,525.0,,70.0,14.0,-1.0,,30.0,,,,,637.0,131.0,-657.0,421.0,-30.0,,-29.0,-173.0,,,300.0,,-161.0,,,,,,,,,,,-161.0,,,,4401.0,-4455.0,,,,,-54.0,85.0,344.0,,428.0
MWG,Q12017,,,706.0,,143.0,20.0,,,65.0,,,,,934.0,617.0,114.0,-1864.0,22.0,,-61.0,,,-138.0,-376.0,,-314.0,,,,,,,,,,,-314.0,,,,9330.0,-8811.0,,,,,519.0,-171.0,997.0,,826.0
MWG,Q12018,,,1043.0,,275.0,61.0,3.0,-4.0,113.0,,,,,1491.0,1157.0,-1587.0,-2691.0,91.0,,-83.0,-99.0,,,-1721.0,,-532.0,,-3.0,,,-805.0,3.0,,,,,-1336.0,,577.0,,8709.0,-7295.0,,,,,1990.0,-1067.0,3411.0,,2344.0
MWG,Q12019,,,1341.0,,311.0,-29.0,,-34.0,133.0,,,,,1723.0,-218.0,869.0,-1638.0,,,-96.0,-191.0,,-10.0,440.0,,-357.0,6.0,-3793.0,14.0,,,35.0,,,,,-4095.0,,,-2.0,11469.0,-8721.0,,-1.0,,,2745.0,-910.0,3750.0,,2839.0
MWG,Q12020,,,1544.0,,471.0,58.0,,-67.0,178.0,,,,,2184.0,879.0,4733.0,-3640.0,31.0,,-189.0,-161.0,,,3837.0,,-668.0,,-2362.0,1691.0,,,95.0,,,,,-1243.0,,105.0,-4.0,12236.0,-14773.0,,,,,-2435.0,158.0,3115.0,,3273.0
MWG,Q12021,,,1828.0,,656.0,-51.0,,-206.0,153.0,,,,,2379.0,-199.0,-3782.0,304.0,-13.0,,-101.0,-447.0,,,-1859.0,,-890.0,2.0,-5884.0,1194.0,,,322.0,,,,,-5256.0,,135.0,,12982.0,-11146.0,,,,,1971.0,-5144.0,7348.0,,2204.0
MWG,Q12022,,,2003.0,,858.0,-33.0,-1.0,-210.0,200.0,,,,,2817.0,103.0,-3384.0,-2148.0,-10.0,,-207.0,-553.0,,,-3382.0,,-662.0,1.0,-8616.0,11194.0,,,551.0,,,,,2469.0,,192.0,,20044.0,-20207.0,,,,,29.0,-884.0,4142.0,1.0,3259.0
MWG,Q12023,,,159.0,,876.0,-52.0,,-312.0,296.0,,,,,967.0,1127.0,4791.0,-2055.0,76.0,,-271.0,-561.0,,,4074.0,,-310.0,2.0,-11461.0,4502.0,,,288.0,,,,,-6978.0,,,-1.0,11252.0,-10627.0,,,,,624.0,-2280.0,5061.0,,2781.0
