stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
PLX,Q12013,,,334.0,,414.0,114.0,6.0,-225.0,159.0,,,,,802.0,-2969.0,2663.0,6859.0,37.0,,-127.0,-82.0,409.0,-404.0,7188.0,,-299.0,101.0,-566.0,432.0,,1.0,114.0,,,,,-216.0,,,,17841.0,-21368.0,,,,,-3527.0,3445.0,4982.0,,8427.0
PLX,Q12014,,,337.0,,410.0,21.0,,-100.0,182.0,,,,,851.0,-2828.0,-3619.0,1476.0,49.0,,-177.0,-137.0,101.0,-136.0,-4419.0,,-236.0,44.0,-585.0,853.0,,1.0,101.0,,,,,179.0,,,,30028.0,-23892.0,,,,,6136.0,1895.0,6152.0,-3.0,8045.0
PLX,Q12015,,,576.0,,424.0,29.0,104.0,-95.0,155.0,,,,,1194.0,-797.0,1385.0,-2980.0,58.0,,-134.0,-133.0,112.0,-211.0,-1506.0,,-263.0,25.0,-425.0,449.0,,8.0,97.0,,,,,-108.0,,,,23429.0,-21503.0,,,,,1926.0,311.0,9794.0,-1.0,10104.0
PLX,Q12016,,,1371.0,,462.0,13.0,-51.0,-103.0,156.0,,,,,1848.0,-1721.0,1455.0,436.0,30.0,2.0,-146.0,-201.0,135.0,-127.0,1711.0,,-519.0,2.0,-703.0,728.0,-2.0,4.0,91.0,,,,,-399.0,,,,18425.0,-19345.0,,,,,-920.0,392.0,11289.0,-3.0,11678.0
PLX,Q12017,,,1350.0,,516.0,-13.0,-17.0,-42.0,142.0,,,,176.0,2112.0,-402.0,-2980.0,190.0,,15.0,-120.0,-466.0,182.0,-342.0,-1810.0,,-606.0,2.0,-474.0,430.0,-2.0,,29.0,,,,,-621.0,,,,19744.0,-16577.0,,,,,3167.0,736.0,11354.0,16.0,12106.0
PLX,Q12018,,,1206.0,,506.0,43.0,7.0,-174.0,206.0,,,,-307.0,1488.0,-452.0,-1759.0,-2661.0,40.0,,-187.0,-227.0,6.0,-100.0,-3853.0,,-453.0,6.0,-978.0,1414.0,,2.0,92.0,,,,,84.0,,,,27579.0,-22869.0,,,,,4710.0,941.0,14223.0,1.0,15165.0
PLX,Q12019,,,1567.0,,488.0,-629.0,1.0,-336.0,185.0,,,,-1835.0,-559.0,624.0,-668.0,2239.0,117.0,,-185.0,-245.0,2.0,-120.0,1205.0,,-409.0,50.0,-5065.0,2573.0,-30.0,23.0,101.0,,,,,-2758.0,,713.0,-3.0,15041.0,-15854.0,,,,,-102.0,-1655.0,10221.0,-2.0,8564.0
PLX,Q12020,,,-1702.0,,542.0,1670.0,82.0,-377.0,201.0,,,,1001.0,1416.0,-270.0,3410.0,-6582.0,-27.0,,-174.0,314.0,5.0,-63.0,-1971.0,,-413.0,3.0,-2870.0,3885.0,-234.0,,185.0,,,,,556.0,,,,20752.0,-19954.0,,,,,798.0,-617.0,11275.0,8.0,10666.0
PLX,Q12021,,,1013.0,,526.0,86.0,-10.0,-323.0,144.0,,,,-1674.0,-239.0,-2322.0,-1135.0,3348.0,80.0,,-150.0,-47.0,3.0,-111.0,-572.0,,-483.0,16.0,-4244.0,3575.0,,1.0,156.0,,,,,-978.0,,1424.0,,15951.0,-16791.0,,,,,585.0,-965.0,10612.0,-9.0,9637.0
PLX,Q12022,,,571.0,,529.0,295.0,22.0,-433.0,155.0,,,,-230.0,910.0,-4747.0,-11390.0,15891.0,-19.0,,-155.0,-191.0,-1.0,-142.0,156.0,,-165.0,4.0,-7326.0,5419.0,,4.0,202.0,,,,,-1862.0,,,,23693.0,-21500.0,,,,,2193.0,487.0,6192.0,-12.0,6668.0
PLX,Q12023,,,838.0,,530.0,43.0,-6.0,-377.0,233.0,,,,477.0,1737.0,632.0,2654.0,-7035.0,94.0,,-233.0,-243.0,-36.0,-249.0,-2678.0,,-158.0,3.0,-3934.0,4039.0,,,227.0,,,,,178.0,,,,27674.0,-27742.0,,,,,-68.0,-2569.0,11606.0,-26.0,9012.0
