stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
SAB,Q12014,,,1104.0,,138.0,,,-120.0,32.0,,,,,1154.0,30.0,-114.0,-1306.0,-126.0,,-31.0,-288.0,6.0,-10.0,-686.0,,-279.0,6.0,603.0,,-4.0,5.0,329.0,,,,,661.0,,,,181.0,-314.0,,-140.0,,,-273.0,-297.0,1848.0,,1551.0
SAB,Q12015,,,1252.0,,156.0,,,-123.0,21.0,,,,,1306.0,-92.0,-4.0,-968.0,42.0,,-18.0,-305.0,16.0,-10.0,-33.0,,-81.0,,266.0,,,13.0,118.0,,,,,317.0,,,,704.0,-798.0,,,,,-93.0,191.0,6755.0,,6946.0
SAB,Q12016,,,1226.0,,141.0,7.0,,-107.0,16.0,,,,,1283.0,238.0,457.0,-594.0,52.0,,-18.0,-247.0,20.0,-17.0,1175.0,,-43.0,47.0,-636.0,250.0,,4.0,44.0,,,,,-334.0,,,,972.0,-901.0,,,,,71.0,912.0,7936.0,,8848.0
SAB,Q12017,,,1448.0,,157.0,1.0,,-173.0,11.0,,,,,1444.0,237.0,-80.0,-681.0,-6.0,,-13.0,-70.0,,-109.0,722.0,,-39.0,,-358.0,1067.0,-4.0,37.0,103.0,,,,,806.0,,,11.0,483.0,-1187.0,,-199.0,,,-892.0,636.0,3445.0,,4081.0
SAB,Q12018,,,1409.0,,157.0,-1.0,,-227.0,10.0,,,,,1348.0,234.0,-205.0,-786.0,-14.0,,-10.0,-412.0,,-207.0,-52.0,,-100.0,,-133.0,2086.0,,,156.0,,,,,2009.0,,,,868.0,-784.0,-1436.0,,,,-1352.0,605.0,4269.0,,4873.0
SAB,Q12019,,,1584.0,,159.0,-20.0,,-248.0,8.0,,,,,1483.0,18.0,-263.0,-554.0,68.0,,-8.0,-325.0,,-40.0,378.0,,-27.0,2.0,-1008.0,1056.0,,,103.0,,,,,126.0,,,,836.0,-836.0,-26.0,,,,-26.0,478.0,4467.0,,4946.0
SAB,Q12020,,,945.0,,149.0,-1.0,-2.0,-284.0,18.0,,,,,826.0,-39.0,-285.0,-1268.0,-13.0,,-19.0,-288.0,,-11.0,-1097.0,,-131.0,1.0,-1857.0,3426.0,,,212.0,,,,,1650.0,,,,678.0,-647.0,-2254.0,,,,-2223.0,-1670.0,4116.0,1.0,2447.0
SAB,Q12021,,,1231.0,,144.0,-2.0,-13.0,-461.0,14.0,,-73.0,,,840.0,-99.0,-595.0,-218.0,24.0,,-7.0,-348.0,,-4.0,-407.0,,-61.0,1.0,-1917.0,2893.0,,410.0,206.0,,,,,1533.0,,,,945.0,-1042.0,,-975.0,,,-1072.0,54.0,2726.0,,2780.0
SAB,Q12022,,,1532.0,,135.0,-8.0,-5.0,-274.0,11.0,,,,,1391.0,-56.0,-291.0,452.0,-15.0,,-10.0,-381.0,,-2.0,1089.0,,-68.0,1.0,-2132.0,2805.0,,,137.0,,,,,744.0,,,,813.0,-747.0,,-2256.0,,,-2189.0,-357.0,3606.0,,3250.0
SAB,Q12023,,,1252.0,,141.0,-2.0,1.0,-381.0,18.0,,,,,1028.0,173.0,-307.0,-1388.0,-3.0,,-14.0,-367.0,,-3.0,-881.0,,-92.0,,-1270.0,3312.0,,,206.0,,,,,2156.0,,,,968.0,-1068.0,,-2251.0,,,-2350.0,-1075.0,4069.0,,2995.0
