stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,1. Lợi nhuận trước thuế,Điều chỉnh cho các khoản:,"2. Khấu hao TSCĐ, bất động sản đầu tư","3. Dự phòng rủi ro tín dụng, giảm giá, đầu tư tăng thêm/(hoàn nhập) trong kỳ",4. Lãi và phí phải thu trong kỳ (thực tế chưa thu),5. Lãi và phí phải trả trong kỳ (thực tế chưa trả),6. (Lãi)/lỗ do thanh lý TSCĐ,"7. (Lãi)/lỗ do bán, thanh lý bất động sản đầu tư","8. (Lãi)/Lỗ do thanh lý những khoản đầu tư, góp vốn dài hạn vào đơn vị khác, cổ tức nhận được, lợi nhuận được chia từ hợp đồng đầu tư, góp vốn dài hạn",9. Chênh lệch tỷ giá hối đoái chưa thực hiện,10. Các điều chỉnh khác,Những thay đổi về tài sản và công nợ hoạt động,"11. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các tổ chức tín dụng khác",12. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,13. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,14. (Tăng)/Giảm các khoản cho vay khách hàng,"15. (Tăng)/Giảm lãi, phí phải thu",16. (Giảm)/Tăng nguồn dự phòng để bù đắp tổn thất các khoản,17. (Tăng)/Giảm khác về tài sản hoạt động,18. Tăng/Giảm các khoản nợ chính phủ và NHNN,19. Tăng/(Giảm) các khoản tiền gửi và vay các TCTD,20. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả kho bạc Nhà nước),21. Tăng/(Giảm) các công cụ TC phái sinh và các khoản nợ tài chính khác,"22. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD phải chịu rủi ro",23. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"24. Tăng/(Giảm) lãi, phí phải trả",25. Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập,26. Thuế TNDN đã nộp,27. Chi từ các quỹ của TCTD,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Mua sắm TSCĐ,"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",II. Lưu chuyển tiền từ hoạt động đầu tư,1. Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,III. Lưu chuyển tiền từ hoạt động tài chính,IV. Lưu chuyển tiền thuần trong kỳ,V. Tiến và các khoản tương đương tiền tại thời điểm đầu kỳ,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá
SHB,Q12009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.0,81.0,,3.0,,-183.0,184.0,,,,8.0,,,-7.0,100.0,,368.0,124.0,,-285.0,,-1459.0,700.0,,,,-133.0,-66.0,-566.0,-43.0,-1.0,-611.0,-6.0,,,-6.0,,,,,-617.0,2775.0,
SHB,Q12010,,,520.0,-477.0,46.0,28.0,1.0,,-121.0,-69.0,-73.0,,463.0,330.0,2.0,-633.0,,-1058.0,,209.0,-4671.0,806.0,239.0,13.0,,794.0,-3.0,-3582.0,,-34.0,,,,,,,,,-34.0,,,,,,,,,-3616.0,6422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12011,,,1249.0,-1208.0,38.0,4.0,4.0,,-220.0,-118.0,-251.0,,515.0,-287.0,-12.0,-711.0,,-1022.0,,-204.0,4033.0,2146.0,-1644.0,3.0,-3.0,374.0,,2935.0,,-15.0,,,,,,-5.0,,,-19.0,,,,,,,,,2916.0,9502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12012,,,1975.0,-1574.0,72.0,20.0,,,-279.0,-110.0,104.0,,-4796.0,1924.0,1.0,-2399.0,,-215.0,,-1785.0,4203.0,7094.0,-6577.0,9.0,,-28.0,,-2465.0,,-27.0,,,,,,,,,-26.0,,,,,,,,-1.0,-2492.0,20213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12013,,,2143.0,-2615.0,34.0,53.0,15.0,,-428.0,,-798.0,,10624.0,2019.0,-34.0,1913.0,,-1164.0,,,-10501.0,813.0,-2199.0,38.0,,193.0,,903.0,,-30.0,,,,,,,,,-47.0,,,,,,,,,855.0,11667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12014,,,2065.0,-1674.0,27.0,53.0,8.0,,-352.0,-71.0,55.0,,11020.0,2863.0,-7.0,-5782.0,-12.0,-742.0,,-1616.0,-17505.0,7321.0,-4552.0,17.0,-6.0,263.0,,-8683.0,,-20.0,,,,,,,21.0,,1.0,,,,,,,,,-8682.0,16177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12015,,,1784.0,-1903.0,23.0,39.0,-1.0,2.0,-429.0,-45.0,-530.0,,3453.0,52.0,6.0,-7805.0,,-852.0,,-761.0,-15986.0,11374.0,1690.0,10.0,,263.0,,-9088.0,,-20.0,,,,,,,15.0,,-5.0,,,,,,,,,-9093.0,28625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12016,,,2967.0,-2586.0,27.0,21.0,1.0,39.0,-477.0,-82.0,-91.0,,-157.0,-941.0,,-6219.0,,952.0,,-3707.0,-3683.0,5988.0,180.0,-4.0,-63.0,87.0,,-7660.0,,-9.0,,,,,,,15.0,,7.0,,,,,,,,,-7653.0,33761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12017,,,3446.0,-2710.0,78.0,214.0,-32.0,54.0,-522.0,-56.0,470.0,,9623.0,-3198.0,45.0,-9714.0,,-653.0,,-424.0,2552.0,9432.0,-255.0,2087.0,41.0,13.0,,10020.0,,-20.0,,,,,,,-13.0,,-33.0,,,,,,,,,9987.0,26342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12018,,,4735.0,-3165.0,55.0,-82.0,48.0,2.0,-593.0,-150.0,848.0,,1196.0,-395.0,96.0,-4197.0,-8.0,-1243.0,,168.0,-16407.0,13554.0,1954.0,612.0,,-35.0,,-3858.0,,-66.0,,,,,,,9.0,,-57.0,,839.0,,,,,,839.0,-3076.0,33049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12019,,,6172.0,-3955.0,76.0,-762.0,16.0,7.0,-771.0,-192.0,592.0,,47.0,-2627.0,3.0,-9026.0,-96.0,-1461.0,,-10980.0,8440.0,7716.0,3797.0,22.0,,-412.0,,-3985.0,,-44.0,,,,,,,8.0,,-35.0,,,,,,,,,-4020.0,34966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12020,,,5967.0,-5645.0,119.0,58.0,3.0,10.0,-1068.0,-16.0,-573.0,,-5196.0,-74.0,173.0,-17105.0,-36.0,223.0,,-27.0,-1141.0,3303.0,-1253.0,275.0,16.0,1943.0,,-19472.0,,-147.0,,,,,,,,,-145.0,,,,,,,,,-19617.0,50822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12021,,,5517.0,-6556.0,169.0,54.0,25.0,70.0,-887.0,-222.0,-1830.0,,81.0,-13888.0,72.0,-5053.0,-49.0,5523.0,,-23.0,8877.0,-2927.0,184.0,180.0,,-847.0,,-9700.0,,-27.0,,,,,,,,,-25.0,,,,,,,,,-9726.0,47580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12022,,,6803.0,-4625.0,125.0,94.0,52.0,158.0,-1016.0,-643.0,948.0,,3153.0,-10952.0,-8.0,-9371.0,-7.0,1980.0,,-26.0,-3823.0,6442.0,3280.0,-46.0,,317.0,,-8114.0,,-10.0,,,,,,,6.0,,6.0,,,,,,,,,-8109.0,71809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12023,,,16985.0,-6883.0,158.0,76.0,19.0,51.0,-1181.0,-1705.0,7519.0,,65.0,-5907.0,-120.0,-22896.0,,1878.0,,-8321.0,-7589.0,29806.0,2400.0,-100.0,,-1074.0,,-4339.0,,-61.0,,,,,,,,,-60.0,,,,,,,,,-4398.0,69500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,Q12024,,,7817.0,-8854.0,-222.0,42.0,144.0,12.0,-1096.0,-369.0,-2525.0,,-12214.0,-29007.0,,798.0,-891.0,3450.0,,-25.0,-2167.0,-3206.0,-6878.0,-36.0,74.0,212.0,,-52416.0,,203.0,,,,,,,,,202.0,,,,,,,,,-52214.0,110860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
