stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,1. Lợi nhuận trước thuế,Điều chỉnh cho các khoản:,"2. Khấu hao TSCĐ, bất động sản đầu tư","3. Dự phòng rủi ro tín dụng, giảm giá, đầu tư tăng thêm/(hoàn nhập) trong kỳ",4. Lãi và phí phải thu trong kỳ (thực tế chưa thu),5. Lãi và phí phải trả trong kỳ (thực tế chưa trả),6. (Lãi)/lỗ do thanh lý TSCĐ,"7. (Lãi)/lỗ do bán, thanh lý bất động sản đầu tư","8. (Lãi)/Lỗ do thanh lý những khoản đầu tư, góp vốn dài hạn vào đơn vị khác, cổ tức nhận được, lợi nhuận được chia từ hợp đồng đầu tư, góp vốn dài hạn",9. Chênh lệch tỷ giá hối đoái chưa thực hiện,10. Các điều chỉnh khác,Những thay đổi về tài sản và công nợ hoạt động,"11. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các tổ chức tín dụng khác",12. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,13. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,14. (Tăng)/Giảm các khoản cho vay khách hàng,"15. (Tăng)/Giảm lãi, phí phải thu",16. (Giảm)/Tăng nguồn dự phòng để bù đắp tổn thất các khoản,17. (Tăng)/Giảm khác về tài sản hoạt động,18. Tăng/Giảm các khoản nợ chính phủ và NHNN,19. Tăng/(Giảm) các khoản tiền gửi và vay các TCTD,20. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả kho bạc Nhà nước),21. Tăng/(Giảm) các công cụ TC phái sinh và các khoản nợ tài chính khác,"22. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD phải chịu rủi ro",23. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"24. Tăng/(Giảm) lãi, phí phải trả",25. Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập,26. Thuế TNDN đã nộp,27. Chi từ các quỹ của TCTD,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Mua sắm TSCĐ,"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",II. Lưu chuyển tiền từ hoạt động đầu tư,1. Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,III. Lưu chuyển tiền từ hoạt động tài chính,IV. Lưu chuyển tiền thuần trong kỳ,V. Tiến và các khoản tương đương tiền tại thời điểm đầu kỳ,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá
SSB,Q12017,,,920.0,-1190.0,16.0,19.0,,,-271.0,-18.0,-524.0,,1632.0,-3277.0,,444.0,,-366.0,,2711.0,-101.0,-584.0,,,49.0,66.0,,49.0,,-18.0,,,,,,,,,-18.0,,,,,,,,,31.0,13829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q12018,,,1368.0,-1274.0,23.0,46.0,,,-367.0,-48.0,-251.0,,-186.0,-1295.0,-10.0,-2700.0,,32.0,,-5.0,-6889.0,2892.0,,,,-173.0,,-8586.0,,-13.0,,,,,,,,,-13.0,,,,,,,,,-8598.0,19313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q12019,,,1443.0,-1779.0,47.0,-21.0,5.0,,-441.0,-111.0,-859.0,,2653.0,-3688.0,,-1042.0,-1.0,-162.0,,-7018.0,4435.0,2920.0,630.0,,-4.0,-108.0,,-2243.0,,-9.0,,,,,,,77.0,,70.0,,,,,,,,,-2173.0,19102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q12020,,,2313.0,-1735.0,58.0,116.0,147.0,12.0,-499.0,-169.0,241.0,,823.0,-2597.0,,1477.0,-347.0,-224.0,,-6.0,-12369.0,2883.0,-381.0,,77.0,545.0,,-9876.0,,-6.0,,,,,,,,,-5.0,,,,,,,,,-9882.0,28657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q12021,,,2125.0,-1657.0,123.0,160.0,27.0,22.0,-567.0,-176.0,57.0,,-2201.0,2807.0,81.0,-2181.0,,-1190.0,,-7.0,1883.0,1922.0,-446.0,,,190.0,,915.0,,-9.0,,,,,,,,,-9.0,,,,,,,,,905.0,30028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q12022,,,2151.0,-1700.0,274.0,392.0,11.0,36.0,-638.0,-271.0,255.0,,3152.0,2244.0,262.0,-18249.0,-80.0,409.0,,20.0,19086.0,-3668.0,-244.0,,,189.0,,3377.0,,-35.0,,,,,,,,,-35.0,,2720.0,,,,,,2720.0,6062.0,41109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q12023,,,3415.0,-2585.0,119.0,304.0,23.0,14.0,-803.0,-412.0,75.0,,-1806.0,-4347.0,333.0,-5325.0,-120.0,-1375.0,,-1707.0,8619.0,2148.0,3259.0,,,-93.0,,-337.0,,-15.0,,,,,,,,,-7.0,,,,,,,,,-344.0,52327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q12024,,,4186.0,-3409.0,140.0,805.0,-2.0,12.0,-877.0,-555.0,300.0,,-2452.0,7367.0,-1.0,-1433.0,-245.0,228.0,,-445.0,-1329.0,9532.0,-2612.0,,,-49.0,,8862.0,,-2.0,,,,,,,,,-1.0,,,,,,,,,8861.0,49459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q22015,,,1543.0,-1488.0,18.0,2.0,1.0,,-385.0,-18.0,-327.0,,8395.0,-2498.0,,-6219.0,-29.0,126.0,,197.0,-7886.0,731.0,,-2.0,7.0,57.0,,-7449.0,,-3.0,,,,,,,,,,,,,,,,,-125.0,-7574.0,18628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q22017,,,1469.0,-1135.0,22.0,36.0,,,-289.0,-3.0,102.0,,-235.0,-1928.0,,-5294.0,,346.0,,-2259.0,-820.0,4866.0,,,-89.0,-57.0,,-5368.0,,-63.0,,,,,,,,,-24.0,,,,,,,,,-5392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q22018,,,1845.0,-987.0,26.0,109.0,1.0,2.0,-401.0,-2.0,591.0,,-1226.0,423.0,17.0,-2265.0,-152.0,-277.0,,-9.0,-1351.0,5703.0,3500.0,,,-22.0,,4931.0,,-13.0,,,,,,,,,-7.0,,,,,,,,,4924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q22019,,,3041.0,-1882.0,103.0,79.0,,,-462.0,-32.0,847.0,,-621.0,-1815.0,-159.0,-3015.0,-268.0,194.0,,-9.0,1473.0,2516.0,3622.0,,4.0,100.0,,2868.0,,-20.0,,,,,,,6.0,,-13.0,,,,,,,,,2855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q22020,,,2825.0,-2174.0,93.0,54.0,174.0,5.0,-512.0,,465.0,,337.0,-2739.0,-198.0,-867.0,-68.0,46.0,,-8.0,16984.0,1623.0,-5505.0,,-77.0,-130.0,,9862.0,,-48.0,,,,,,-1.0,9.0,,-40.0,,,,,,,,,9822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q22021,,,3760.0,-1939.0,346.0,105.0,37.0,12.0,-618.0,-81.0,1622.0,,1447.0,609.0,91.0,-528.0,-115.0,28.0,,-8.0,7663.0,-7214.0,1561.0,,,-55.0,,5101.0,,-33.0,,,,,,,7.0,,150.0,,,,,,,,,5251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q22022,,,3690.0,-1269.0,490.0,454.0,26.0,6.0,-848.0,-195.0,2354.0,,-233.0,8447.0,-487.0,-947.0,-149.0,-451.0,,-37.0,-14330.0,10612.0,1012.0,,,-146.0,,5645.0,,-58.0,,,,,,,,,-44.0,,,,,,,,,5601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,Q22023,,,5532.0,-3517.0,246.0,125.0,69.0,20.0,-821.0,-173.0,1482.0,,2157.0,-3361.0,-425.0,-2608.0,-67.0,-1545.0,,-5.0,-2549.0,5537.0,-3209.0,,,-53.0,,-4646.0,,-134.0,,,,,,,,,-133.0,,,,,,,,,-4780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
