stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,1. Lợi nhuận trước thuế,Điều chỉnh cho các khoản:,"2. Khấu hao TSCĐ, bất động sản đầu tư","3. Dự phòng rủi ro tín dụng, giảm giá, đầu tư tăng thêm/(hoàn nhập) trong kỳ",4. Lãi và phí phải thu trong kỳ (thực tế chưa thu),5. Lãi và phí phải trả trong kỳ (thực tế chưa trả),6. (Lãi)/lỗ do thanh lý TSCĐ,"7. (Lãi)/lỗ do bán, thanh lý bất động sản đầu tư","8. (Lãi)/Lỗ do thanh lý những khoản đầu tư, góp vốn dài hạn vào đơn vị khác, cổ tức nhận được, lợi nhuận được chia từ hợp đồng đầu tư, góp vốn dài hạn",9. Chênh lệch tỷ giá hối đoái chưa thực hiện,10. Các điều chỉnh khác,Những thay đổi về tài sản và công nợ hoạt động,"11. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các tổ chức tín dụng khác",12. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,13. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,14. (Tăng)/Giảm các khoản cho vay khách hàng,"15. (Tăng)/Giảm lãi, phí phải thu",16. (Giảm)/Tăng nguồn dự phòng để bù đắp tổn thất các khoản,17. (Tăng)/Giảm khác về tài sản hoạt động,18. Tăng/Giảm các khoản nợ chính phủ và NHNN,19. Tăng/(Giảm) các khoản tiền gửi và vay các TCTD,20. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả kho bạc Nhà nước),21. Tăng/(Giảm) các công cụ TC phái sinh và các khoản nợ tài chính khác,"22. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD phải chịu rủi ro",23. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"24. Tăng/(Giảm) lãi, phí phải trả",25. Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập,26. Thuế TNDN đã nộp,27. Chi từ các quỹ của TCTD,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Mua sắm TSCĐ,"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",II. Lưu chuyển tiền từ hoạt động đầu tư,1. Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,III. Lưu chuyển tiền từ hoạt động tài chính,IV. Lưu chuyển tiền thuần trong kỳ,V. Tiến và các khoản tương đương tiền tại thời điểm đầu kỳ,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá
STB,Q12007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,-3.0,,,,,,19.0,,,,,,,,,,,,,12816.0,412.0,,17.0,132.0,-514.0,300.0,-1.0,,-64.0,,,,2097.0,-1476.0,-21.0,-7174.0,462.0,,-802.0,-604.0,662.0,8366.0,,52.0,2084.0,-245.0,937.0,4620.0,-85.0,-165.0,4369.0,-251.0,-69.0,61.0,-240.0,,,,,4129.0,8688.0,
STB,Q12009,,,1654.0,-1257.0,96.0,319.0,-7.0,,-379.0,-67.0,360.0,,31.0,-285.0,7.0,-5750.0,,-177.0,,,-3395.0,10742.0,-1735.0,14.0,145.0,96.0,-120.0,-67.0,,-197.0,,,,,,,8.0,,-182.0,,,,,,,,,-250.0,18050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12010,,,1979.0,-1683.0,313.0,107.0,27.0,,-447.0,-163.0,131.0,,2176.0,-941.0,369.0,-2652.0,,-589.0,,-72.0,1032.0,2435.0,-1336.0,-29.0,,1253.0,-214.0,1563.0,,-360.0,,,,,,-112.0,23.0,,-405.0,,,,,,,,,1159.0,23620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12011,,,4264.0,-2806.0,404.0,-101.0,-13.0,,-598.0,-207.0,943.0,,3801.0,1021.0,-19.0,-697.0,,-351.0,,-251.0,-2568.0,1469.0,-2635.0,194.0,,-1132.0,-29.0,-254.0,,-320.0,,,,,,,3.0,,-304.0,,,,,,,,,-558.0,27677.0,-223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12012,,,4413.0,-2744.0,215.0,43.0,23.0,,-1067.0,-156.0,726.0,,2929.0,1643.0,-205.0,-1369.0,,1076.0,,-2130.0,-4058.0,5467.0,-2575.0,64.0,,2046.0,-64.0,3551.0,,-231.0,,,,,,,,,-195.0,,,,,,,,-97.0,3259.0,19524.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12013,,,3463.0,-2099.0,257.0,121.0,5.0,,-987.0,-71.0,688.0,,-749.0,-235.0,15.0,-2141.0,,11.0,,,-1218.0,10484.0,-3308.0,-116.0,,-596.0,-16.0,2818.0,,-158.0,,,,,,,,,-126.0,,,,,,,,,2692.0,17134.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12014,,,3971.0,-2321.0,260.0,22.0,9.0,,-907.0,-67.0,967.0,,493.0,-2253.0,39.0,-4161.0,,-689.0,,,-1252.0,9543.0,-500.0,16.0,,322.0,-202.0,2321.0,,-161.0,,,,,,,,,-148.0,,,,,,,,-33.0,2140.0,15300.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12015,,,3996.0,-2047.0,265.0,49.0,17.0,,-1214.0,-40.0,1025.0,,-374.0,-1130.0,12.0,-5972.0,-1.0,674.0,,,-127.0,8043.0,,-43.0,29.0,475.0,,2611.0,,-25.0,,,,,,,1.0,,-11.0,,,,,,,,,2600.0,19566.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12016,,,4219.0,-3253.0,327.0,67.0,74.0,11.0,-1055.0,-8.0,381.0,,-282.0,-496.0,,-4785.0,,602.0,,,288.0,13331.0,,-153.0,45.0,194.0,,9124.0,,-111.0,,,,,,,,,-106.0,,,,,,,,,9018.0,16292.0,-43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12017,,,5182.0,-3623.0,391.0,171.0,23.0,8.0,-885.0,-15.0,1252.0,,,-4300.0,15.0,-8088.0,-29.0,954.0,,-1348.0,-2698.0,11678.0,2772.0,-26.0,,335.0,-6.0,510.0,,-122.0,,,,,,,,,-101.0,,,,,,,,,409.0,17213.0,-49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12018,,,6715.0,-4272.0,547.0,74.0,23.0,14.0,-2057.0,-10.0,1036.0,,278.0,-2800.0,10.0,-6466.0,-7.0,1689.0,,13.0,-7261.0,19375.0,-37.0,,,540.0,,6370.0,,-205.0,,,,,,,,,-178.0,,,,,,,,,6192.0,16144.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12019,,,8202.0,-4990.0,980.0,125.0,244.0,60.0,-2653.0,-42.0,1925.0,,71.0,575.0,2.0,-14367.0,-7.0,2303.0,,-5043.0,-4085.0,27834.0,-8.0,,,-72.0,-4.0,9122.0,,-200.0,,,,,,,,,-197.0,,,,,,,,,8925.0,20439.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12020,,,9349.0,-5618.0,1150.0,229.0,207.0,13.0,-2261.0,-225.0,2844.0,,114.0,-895.0,24.0,-10239.0,,931.0,,-29.0,290.0,4865.0,-5.0,78.0,82.0,-335.0,-8.0,-2283.0,,-135.0,,,,,,,,,-31.0,,,,,,,,,-2314.0,33096.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12021,,,9133.0,-4779.0,988.0,226.0,22.0,26.0,-3091.0,-463.0,2062.0,,-105.0,2454.0,-3.0,-16707.0,-22.0,848.0,,-19.0,448.0,3165.0,1723.0,16.0,,-335.0,-1.0,-6473.0,,-104.0,,,,,,,,,-87.0,,,,,,,,,-6560.0,35375.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,Q12022,,,9847.0,-4789.0,1638.0,139.0,202.0,298.0,-3459.0,-14.0,3862.0,,54.0,-4483.0,,-25068.0,,3024.0,,-464.0,1050.0,30405.0,-67.0,-19.0,-17.0,-915.0,,7361.0,,-116.0,,,,,,,,,-96.0,,,,-448.0,,,,-448.0,6816.0,28071.0,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
