stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,1. Lợi nhuận trước thuế,Điều chỉnh cho các khoản:,"2. Khấu hao TSCĐ, bất động sản đầu tư","3. Dự phòng rủi ro tín dụng, giảm giá, đầu tư tăng thêm/(hoàn nhập) trong kỳ",4. Lãi và phí phải thu trong kỳ (thực tế chưa thu),5. Lãi và phí phải trả trong kỳ (thực tế chưa trả),6. (Lãi)/lỗ do thanh lý TSCĐ,"7. (Lãi)/lỗ do bán, thanh lý bất động sản đầu tư","8. (Lãi)/Lỗ do thanh lý những khoản đầu tư, góp vốn dài hạn vào đơn vị khác, cổ tức nhận được, lợi nhuận được chia từ hợp đồng đầu tư, góp vốn dài hạn",9. Chênh lệch tỷ giá hối đoái chưa thực hiện,10. Các điều chỉnh khác,Những thay đổi về tài sản và công nợ hoạt động,"11. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các tổ chức tín dụng khác",12. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,13. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,14. (Tăng)/Giảm các khoản cho vay khách hàng,"15. (Tăng)/Giảm lãi, phí phải thu",16. (Giảm)/Tăng nguồn dự phòng để bù đắp tổn thất các khoản,17. (Tăng)/Giảm khác về tài sản hoạt động,18. Tăng/Giảm các khoản nợ chính phủ và NHNN,19. Tăng/(Giảm) các khoản tiền gửi và vay các TCTD,20. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả kho bạc Nhà nước),21. Tăng/(Giảm) các công cụ TC phái sinh và các khoản nợ tài chính khác,"22. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD phải chịu rủi ro",23. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"24. Tăng/(Giảm) lãi, phí phải trả",25. Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập,26. Thuế TNDN đã nộp,27. Chi từ các quỹ của TCTD,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Mua sắm TSCĐ,"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",II. Lưu chuyển tiền từ hoạt động đầu tư,1. Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,III. Lưu chuyển tiền từ hoạt động tài chính,IV. Lưu chuyển tiền thuần trong kỳ,V. Tiến và các khoản tương đương tiền tại thời điểm đầu kỳ,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá
TCB,Q12013,,,3802.0,-2660.0,122.0,76.0,-691.0,4.0,137.0,-7.0,785.0,,7715.0,-1497.0,-66.0,-175.0,-31.0,-3438.0,,,-4967.0,2634.0,-2804.0,-17.0,,709.0,,-1153.0,,-35.0,,,,,,,,,-29.0,,,,,,,,,-1181.0,22622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q12014,,,2923.0,-1433.0,435.0,91.0,-657.0,14.0,-475.0,-1.0,898.0,,1374.0,-4963.0,,-1583.0,,-316.0,,,973.0,4036.0,-985.0,,-7.0,224.0,,-350.0,,-5.0,,,,,,,,,-11.0,,,,,,,,,-361.0,17197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q12015,,,3563.0,-1717.0,219.0,219.0,327.0,229.0,629.0,-87.0,3382.0,,-6047.0,2462.0,,-7718.0,-752.0,-2442.0,,203.0,7340.0,-4803.0,188.0,-5.0,40.0,-8.0,-1.0,-8160.0,,-33.0,,,,,,,,,-33.0,,,,,,,,,-8193.0,18067.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q12016,,,3452.0,-1555.0,328.0,220.0,577.0,24.0,-977.0,-184.0,1885.0,,-5454.0,-7162.0,,-2398.0,-1223.0,1109.0,,,-212.0,6577.0,-31.0,109.0,-21.0,-30.0,,-6851.0,,-56.0,,,,,,,,,-57.0,,,,,,,,,-6908.0,19607.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q12017,,,3954.0,-1985.0,522.0,370.0,145.0,88.0,-857.0,-307.0,1930.0,,3887.0,-1818.0,-37.0,4869.0,-783.0,545.0,,-1016.0,-8556.0,5174.0,-9.0,,-68.0,267.0,,4385.0,,-9.0,,,,,,,925.0,,917.0,,,-8.0,,,,,-8.0,5293.0,12816.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q12018,,,4457.0,-2337.0,492.0,510.0,68.0,161.0,-1542.0,-851.0,958.0,,-1044.0,1208.0,-78.0,-3099.0,-1132.0,1354.0,,,-20923.0,11420.0,2434.0,,,738.0,,-8163.0,,-15.0,,,,,,,894.0,,884.0,,,,,,,,8632.0,1352.0,22681.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q12019,,,6859.0,-2558.0,752.0,277.0,88.0,158.0,-1717.0,-908.0,2950.0,,-881.0,898.0,,-3896.0,,3458.0,,-3326.0,2217.0,6564.0,-312.0,,81.0,-1499.0,,6253.0,,-10.0,,,,,,,,,11.0,,,58.0,,,,,58.0,6323.0,37199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q12020,,,5607.0,-2636.0,1187.0,782.0,207.0,136.0,-2261.0,-850.0,2173.0,,4613.0,-5243.0,,-1219.0,-693.0,-1977.0,,1004.0,1659.0,3802.0,11.0,,-49.0,-198.0,,3884.0,,-195.0,,,,,,,,,-194.0,,,,,,,,,3690.0,46514.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q12021,,,7398.0,-2397.0,1568.0,977.0,274.0,442.0,-2636.0,-1275.0,4352.0,,-7960.0,573.0,,-18766.0,-268.0,-4722.0,,,11534.0,9989.0,-1864.0,,-190.0,367.0,,-6954.0,,-143.0,,,,,,,,,-143.0,,,,,,,,,-7097.0,35596.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q12022,,,8329.0,-2356.0,2702.0,277.0,198.0,320.0,-3389.0,-1211.0,4870.0,,16660.0,-20138.0,-45.0,-18401.0,-104.0,-40.0,,,25540.0,14384.0,-949.0,,,2632.0,,24408.0,,-113.0,,,,,,,,,-111.0,,2.0,,,,,,-73.0,24224.0,47604.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q12023,,,12873.0,-4863.0,2159.0,-245.0,734.0,119.0,-3632.0,-4099.0,3045.0,,2802.0,-5895.0,,-44902.0,-151.0,1303.0,,,-16369.0,29008.0,12722.0,,-877.0,-2560.0,-2.0,-21875.0,,-73.0,,,,,,,,,260.0,,1.0,,,,,,1.0,-21614.0,5.0,101306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q12024,,,12786.0,-7334.0,2101.0,1611.0,-1033.0,144.0,-3274.0,-3660.0,1343.0,,6572.0,4867.0,-586.0,-40635.0,-965.0,8344.0,,,19720.0,4319.0,9073.0,,,992.0,,13043.0,,-79.0,,,,,,,,,657.0,,,,,,,,,13700.0,110500.0,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q22012,,,9004.0,-6385.0,375.0,-25.0,-493.0,10.0,-811.0,-925.0,750.0,,-290.0,1132.0,54.0,802.0,-92.0,-5379.0,,-418.0,-8135.0,8091.0,-2275.0,-55.0,37.0,-293.0,-3.0,-6072.0,,-143.0,,,,,,-15.0,,,-136.0,,,,,,,,,-6208.0,34299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q22013,,,2112.0,-2053.0,244.0,81.0,49.0,31.0,-806.0,-5.0,-347.0,,413.0,3563.0,-7.0,-1428.0,-521.0,4984.0,,,-213.0,-2505.0,-977.0,-15.0,,-939.0,,2008.0,,-25.0,,,,,,,,,-16.0,,,,,,,,,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCB,Q22014,,,3165.0,-1848.0,215.0,-9.0,726.0,5.0,-1271.0,-145.0,839.0,,-1528.0,-2111.0,,-2164.0,-307.0,514.0,,,5309.0,729.0,-40.0,6.0,-6.0,1049.0,,2291.0,,-28.0,,,,,,,,,-19.0,,,,,,,,,2272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
