stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ
TPB,Q12010,,,208.0,-190.0,6.0,9.0,9.0,,-34.0,-25.0,-16.0,,-197.0,206.0,,-677.0,-1.0,-992.0,,79.0,425.0,1968.0,,202.0,13.0,-363.0,,647.0,,-6.0,,,,,,-7.0,,3.0,-10.0,,500.0,,,-100.0,,,400.0,1037.0,943.0,-4.0,1976.0
TPB,Q12011,,,462.0,-484.0,6.0,-37.0,186.0,,-52.0,,80.0,,772.0,-835.0,,921.0,,-1318.0,,111.0,2545.0,1105.0,899.0,-231.0,40.0,134.0,-1.0,4221.0,,-4.0,,,,,,,,,-4.0,,,-60.0,,,-3.0,,-63.0,4154.0,2943.0,-9.0,7088.0
TPB,Q12014,,,459.0,-289.0,8.0,53.0,2.0,,-124.0,,109.0,,,195.0,4.0,-1371.0,-3.0,-433.0,,29.0,-3717.0,1177.0,-116.0,,,20.0,,-4106.0,,-4.0,,,,,,,,,-4.0,,,,,,,,,-4110.0,6522.0,4.0,
TPB,Q12015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPB,Q12016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPB,Q12017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPB,Q12018,,,2058.0,-1113.0,75.0,212.0,22.0,,-642.0,-146.0,465.0,,900.0,-326.0,,-6345.0,,662.0,,-23.0,-7253.0,2828.0,1035.0,-728.0,-54.0,619.0,,-8219.0,,-11.0,,,,,,,,,-11.0,,,,,,,,,-8230.0,24330.0,68.0,16168.0
TPB,Q12019,,,2819.0,-1401.0,217.0,451.0,,22.0,-828.0,-363.0,916.0,,500.0,6203.0,-21.0,-7462.0,,-1009.0,,-3828.0,3837.0,1775.0,2239.0,7.0,-109.0,451.0,,3500.0,,-56.0,,,,,,,,,-56.0,,,,,,,,,3444.0,21206.0,39.0,24688.0
TPB,Q12020,,,3132.0,-1658.0,157.0,246.0,293.0,12.0,-1038.0,-302.0,843.0,,-1945.0,-10121.0,-73.0,-3746.0,-102.0,-271.0,,647.0,11274.0,-2753.0,1223.0,22.0,,641.0,,-4360.0,,-73.0,,,,,,-40.0,,,-113.0,,,851.0,,,-225.0,,626.0,-3847.0,29199.0,205.0,25557.0
TPB,Q12021,,,4150.0,-1806.0,282.0,211.0,-87.0,72.0,-914.0,-395.0,1512.0,,-1849.0,-930.0,-76.0,-4357.0,-310.0,-180.0,,-30.0,6470.0,4133.0,-2888.0,-9.0,,-343.0,,1145.0,,-84.0,,,,,,,,,-84.0,,,,-106.0,,,,-106.0,954.0,20009.0,67.0,21030.0
TPB,Q12022,,,4681.0,-1860.0,511.0,154.0,44.0,116.0,-1467.0,-278.0,1901.0,,4249.0,-15068.0,,-8436.0,-370.0,-840.0,,-32.0,-7473.0,12976.0,1899.0,8.0,-26.0,360.0,,-10852.0,,-76.0,,,,,,,,,-76.0,,,,-84.0,,,,-84.0,-11012.0,56461.0,98.0,45547.0
TPB,Q12023,,,6593.0,-2862.0,696.0,137.0,-4.0,46.0,-1694.0,-1289.0,1623.0,,-1029.0,-5295.0,-79.0,-10806.0,-54.0,-2413.0,,-20.0,12890.0,6038.0,-918.0,-11.0,,-521.0,,-594.0,,-109.0,,,,,,,,,-109.0,,,,-426.0,,,,-426.0,-1130.0,52302.0,10.0,51182.0
TPB,Q12024,,,6837.0,-3778.0,715.0,463.0,-104.0,88.0,-1772.0,-713.0,1737.0,,3437.0,3188.0,,3714.0,-1150.0,-596.0,,2.0,8337.0,-17434.0,7600.0,1.0,202.0,199.0,,9238.0,,-72.0,,,,,,-22.0,,,-94.0,,,,-5.0,,,,-5.0,9139.0,45442.0,7.0,54588.0
TPB,Q22010,,,246.0,-215.0,5.0,-1.0,33.0,,-36.0,-13.0,19.0,,13.0,-360.0,,60.0,-2.0,418.0,,-261.0,-1465.0,-588.0,,-11.0,,9.0,,-2169.0,,-2.0,,,,,,,,1.0,-1.0,,,1166.0,,,,,1166.0,-1004.0,1976.0,4.0,976.0
TPB,Q22011,,,513.0,-560.0,-29.0,-34.0,296.0,,-48.0,-8.0,129.0,,,706.0,,-461.0,,-1956.0,,-627.0,2688.0,-958.0,-500.0,913.0,-17.0,-48.0,,-131.0,,-6.0,,,,,,,,,-6.0,,,,,-150.0,,,-150.0,-287.0,7088.0,2.0,6802.0
TPB,Q22016,,,2241.0,-1283.0,40.0,32.0,-4.0,,-571.0,-68.0,387.0,,640.0,-1925.0,11.0,-6982.0,-23.0,-1272.0,,-1010.0,-490.0,7343.0,,547.0,68.0,221.0,,-2485.0,,-13.0,,,,,,,,,-13.0,,,,,,,,,-2498.0,19224.0,,16726.0
TPB,Q22017,,,3470.0,-2032.0,79.0,5.0,5.0,2.0,-764.0,-116.0,648.0,,720.0,339.0,29.0,-6368.0,-10.0,45.0,,-347.0,6992.0,1989.0,1.0,426.0,101.0,52.0,,4617.0,,-80.0,,,,,,,,,-80.0,,,,,,,,,4537.0,22292.0,,26829.0
TPB,Q22018,,,2454.0,-1258.0,170.0,128.0,95.0,,-644.0,-35.0,910.0,,395.0,4398.0,-4.0,-3857.0,-104.0,-385.0,,-29.0,-794.0,2044.0,2291.0,-54.0,-30.0,-953.0,,3828.0,,-58.0,,,,,,,,,-58.0,,2190.0,,,-51.0,,,2140.0,5910.0,101.0,-68.0,5943.0
TPB,Q22019,,,2727.0,-1441.0,269.0,241.0,13.0,6.0,-798.0,-107.0,911.0,,660.0,-3239.0,-36.0,-3759.0,-357.0,1023.0,,680.0,-1088.0,2961.0,2139.0,226.0,,358.0,,479.0,,-75.0,,,,,,,,,-75.0,,,,,-7.0,-628.0,,-635.0,-231.0,,-39.0,-269.0
TPB,Q22020,,,3637.0,-1833.0,159.0,497.0,58.0,17.0,-925.0,62.0,1672.0,,-468.0,360.0,26.0,-834.0,-208.0,267.0,,-704.0,-5945.0,6528.0,2782.0,-17.0,,-86.0,,3372.0,,-105.0,,,,,,40.0,,,-66.0,,,-851.0,,,,1212.0,360.0,3667.0,,-205.0,3462.0
TPB,Q22021,,,4207.0,-2028.0,413.0,479.0,-14.0,71.0,-1042.0,,2085.0,,-4816.0,-99.0,-42.0,-7289.0,-452.0,98.0,,-41.0,4923.0,12026.0,4225.0,-15.0,,59.0,,10662.0,,-196.0,,,,,,,,,-196.0,,,,-34.0,,,1135.0,1101.0,11567.0,,-67.0,11499.0
TPB,Q22022,,,5223.0,-2340.0,681.0,351.0,24.0,194.0,-1570.0,-250.0,2312.0,,-5580.0,1138.0,,-1700.0,-725.0,222.0,,-39.0,3586.0,3798.0,-5841.0,4.0,-44.0,671.0,,-2199.0,,-189.0,,,,,,,,,-189.0,,,,-112.0,,,,-112.0,-2500.0,,-98.0,-2598.0
TPB,Q22023,,,7210.0,-4225.0,804.0,389.0,-70.0,54.0,-1841.0,-200.0,2121.0,,241.0,5235.0,-13.0,-4345.0,-80.0,259.0,,2564.0,3227.0,-1871.0,-3698.0,-52.0,,117.0,,3704.0,,-41.0,,,,,,,,,-41.0,,,,-122.0,-3954.0,,,-4076.0,-413.0,,-10.0,-423.0
