stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,1. Lợi nhuận trước thuế,Điều chỉnh cho các khoản:,"2. Khấu hao TSCĐ, bất động sản đầu tư","3. Dự phòng rủi ro tín dụng, giảm giá, đầu tư tăng thêm/(hoàn nhập) trong kỳ",4. Lãi và phí phải thu trong kỳ (thực tế chưa thu),5. Lãi và phí phải trả trong kỳ (thực tế chưa trả),6. (Lãi)/lỗ do thanh lý TSCĐ,"7. (Lãi)/lỗ do bán, thanh lý bất động sản đầu tư","8. (Lãi)/Lỗ do thanh lý những khoản đầu tư, góp vốn dài hạn vào đơn vị khác, cổ tức nhận được, lợi nhuận được chia từ hợp đồng đầu tư, góp vốn dài hạn",9. Chênh lệch tỷ giá hối đoái chưa thực hiện,10. Các điều chỉnh khác,Những thay đổi về tài sản và công nợ hoạt động,"11. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các tổ chức tín dụng khác",12. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,13. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,14. (Tăng)/Giảm các khoản cho vay khách hàng,"15. (Tăng)/Giảm lãi, phí phải thu",16. (Giảm)/Tăng nguồn dự phòng để bù đắp tổn thất các khoản,17. (Tăng)/Giảm khác về tài sản hoạt động,18. Tăng/Giảm các khoản nợ chính phủ và NHNN,19. Tăng/(Giảm) các khoản tiền gửi và vay các TCTD,20. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả kho bạc Nhà nước),21. Tăng/(Giảm) các công cụ TC phái sinh và các khoản nợ tài chính khác,"22. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD phải chịu rủi ro",23. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"24. Tăng/(Giảm) lãi, phí phải trả",25. Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập,26. Thuế TNDN đã nộp,27. Chi từ các quỹ của TCTD,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Mua sắm TSCĐ,"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",II. Lưu chuyển tiền từ hoạt động đầu tư,1. Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,III. Lưu chuyển tiền từ hoạt động tài chính,IV. Lưu chuyển tiền thuần trong kỳ,V. Tiến và các khoản tương đương tiền tại thời điểm đầu kỳ,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá
VCB,Q12009,,,3992.0,-2230.0,222.0,297.0,1.0,43.0,-816.0,-11.0,1498.0,,-2126.0,-2264.0,,-4652.0,,-1034.0,,-1866.0,10919.0,-12088.0,-484.0,-555.0,,1401.0,-25.0,-11276.0,,-25.0,,,,,,37.0,,,13.0,,,,,,,,,-11263.0,63458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12011,,,7600.0,-4992.0,245.0,509.0,-39.0,74.0,-958.0,-293.0,2147.0,,-2224.0,-6896.0,-4.0,-21117.0,,-127.0,,4403.0,11453.0,469.0,-940.0,45.0,,3087.0,-21.0,-9727.0,,-17.0,,,,,,-12.0,81.0,,69.0,,4364.0,,,,,,4364.0,-5294.0,96678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12012,,,9600.0,-5845.0,170.0,368.0,18.0,55.0,-1233.0,-376.0,2757.0,,-1786.0,1607.0,-65.0,1204.0,-9.0,-4558.0,,-19722.0,1596.0,-2538.0,-4.0,,,-16.0,-17.0,-21551.0,,-119.0,,,,,,-176.0,10.0,,-110.0,,3476.0,8343.0,,,,,11819.0,-9842.0,124705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12013,,,7770.0,-4814.0,383.0,694.0,-15.0,34.0,-1393.0,-209.0,2448.0,,-2500.0,-7045.0,,1988.0,,-2919.0,,-12152.0,3708.0,13344.0,-7.0,,344.0,2306.0,-28.0,-511.0,,-11.0,,,,,,-49.0,5.0,,27.0,,,,,,,,-2781.0,-3264.0,120708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12014,,,7431.0,-4789.0,424.0,156.0,13.0,227.0,-1530.0,-254.0,1678.0,,-3368.0,2484.0,137.0,-4835.0,-2.0,-857.0,,-19497.0,-18647.0,10752.0,-3.0,,58.0,4730.0,-27.0,-27397.0,,-8.0,,,,,,,1.0,,-6.0,,,,,,,,,-27402.0,137140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12015,,,7441.0,-4385.0,338.0,602.0,4.0,190.0,-1629.0,-347.0,2214.0,,4767.0,-1678.0,,-7450.0,,-1567.0,,-40199.0,-11470.0,14116.0,300.0,,203.0,-459.0,-139.0,-41363.0,,-50.0,,,,,,,12.0,,-30.0,,,,,,,,,-41392.0,175013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12016,,,8878.0,-4753.0,539.0,726.0,-13.0,298.0,-2319.0,-181.0,3175.0,,-3715.0,701.0,-35.0,-24482.0,,-1031.0,,-19919.0,-6960.0,13469.0,-6.0,,,241.0,-388.0,-38951.0,,-49.0,,,,,,,1.0,,-28.0,,,,,,,,,-38979.0,164413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12017,,,10991.0,-5324.0,650.0,879.0,-14.0,577.0,-2998.0,-417.0,4344.0,,-6843.0,7818.0,-472.0,-38779.0,,-744.0,,-3785.0,-14700.0,18863.0,-231.0,,,4225.0,-484.0,-30789.0,,-75.0,,,,,,,,,9.0,,,,,,,,,-30780.0,179889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12018,,,12377.0,-6515.0,881.0,1090.0,16.0,1586.0,-3825.0,-282.0,5328.0,,142614.0,-120769.0,-113.0,-34180.0,,20.0,,-40004.0,-26352.0,22467.0,80.0,4.0,,8753.0,-496.0,-42649.0,,-98.0,,,,,,,418.0,,408.0,,,,,,,,,-42241.0,305534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12019,,,15533.0,-6755.0,1069.0,1011.0,20.0,1145.0,-3476.0,-1342.0,7206.0,,5267.0,-7842.0,181.0,-41155.0,,-5727.0,,-11572.0,-37260.0,36348.0,-112.0,,,183.0,-575.0,-55058.0,,-24.0,,,,,,,,,-13.0,,1111.0,4995.0,,,,,6106.0,-48965.0,244014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12020,,,17709.0,-8622.0,1127.0,923.0,80.0,958.0,-3369.0,-1512.0,7295.0,,5300.0,3400.0,98.0,-19798.0,,2053.0,,-59913.0,-29975.0,5597.0,-12.0,-1.0,366.0,969.0,-839.0,-85460.0,,-45.0,,,,,,,,,-33.0,,,,,,,,,-85493.0,272271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12021,,,15985.0,-7497.0,1759.0,1027.0,-100.0,1111.0,-4404.0,-1912.0,5969.0,,18663.0,5090.0,,-32150.0,,-3261.0,,-22639.0,-22825.0,-6566.0,168.0,-4.0,12.0,1702.0,-1009.0,-56850.0,,-64.0,,,,,,,,,-54.0,,,,,,,,-748.0,-57651.0,292583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12022,,,18271.0,-6592.0,1032.0,1638.0,-62.0,546.0,-4491.0,-643.0,9698.0,,-201.0,-1897.0,303.0,-68150.0,-60.0,-277.0,,26842.0,-28480.0,44345.0,-7.0,-1.0,5.0,1567.0,-1069.0,-17381.0,,-22.0,,,,,,,2.0,,-17.0,,,,,,,,-3329.0,-20728.0,232554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Q12023,,,26870.0,-10245.0,1037.0,1661.0,684.0,396.0,-5388.0,-5577.0,9438.0,,17257.0,-8026.0,-68.0,-29015.0,-30.0,33421.0,,-5147.0,22824.0,38019.0,2000.0,-1.0,,-31994.0,-1093.0,47586.0,,-74.0,,,,,,,,,-49.0,,,,,,,,,47537.0,412235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
