stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
VHM,Q12016,,,381.0,,81.0,1.0,,-507.0,97.0,,,,,53.0,-229.0,-284.0,2668.0,-307.0,,-29.0,-65.0,,,1808.0,,-685.0,,-583.0,2456.0,-3239.0,,21.0,,,,,-2031.0,,,,2289.0,-1752.0,,,,,537.0,314.0,557.0,,871.0
VHM,Q12017,,,923.0,,117.0,-2.0,,-136.0,152.0,,,,,1053.0,10.0,7313.0,-328.0,-27.0,,-34.0,382.0,,,8369.0,,-6751.0,,-2828.0,731.0,-18.0,6.0,17.0,,,,,-8843.0,,,,3175.0,-2374.0,,,,,802.0,328.0,2802.0,,3131.0
VHM,Q12018,,,4869.0,,56.0,-93.0,,-1201.0,293.0,,,,,3923.0,747.0,2446.0,-6309.0,437.0,-533.0,,-89.0,,,622.0,,-201.0,,-8962.0,9503.0,-29323.0,13977.0,353.0,,,,,-14652.0,,12000.0,,10955.0,-7518.0,,-907.0,,,14530.0,501.0,1562.0,,2062.0
VHM,Q12019,,,3358.0,,83.0,-97.0,,-1946.0,495.0,,,,,1895.0,-2297.0,55.0,15178.0,-726.0,,-819.0,-2066.0,,,11220.0,,-2370.0,,-376.0,1889.0,-13479.0,7603.0,4.0,,,,,-6729.0,,,,2018.0,-7637.0,,,,,-5619.0,-1128.0,3515.0,,2387.0
VHM,Q12020,,,10124.0,,92.0,-7.0,,-8171.0,618.0,,,,,2656.0,-1212.0,-4809.0,3271.0,-410.0,,-548.0,-1620.0,,,-2672.0,,-2431.0,97.0,-5441.0,7240.0,-6518.0,694.0,53.0,,,,,-6305.0,,,,104.0,-19.0,,,,,85.0,-8892.0,13332.0,,4440.0
VHM,Q12021,,,7085.0,,261.0,-229.0,,-2325.0,595.0,,,,,5387.0,-514.0,2895.0,-6063.0,344.0,359.0,-439.0,-4222.0,,,-2253.0,,-2483.0,,-1415.0,1956.0,,,121.0,,,,,-1821.0,,,,1482.0,-3375.0,,,,,-1893.0,-5967.0,13714.0,,7746.0
VHM,Q12022,,,5886.0,,196.0,88.0,,-3826.0,476.0,,,,,2819.0,1552.0,4127.0,-2743.0,212.0,2327.0,-267.0,-3282.0,,,4745.0,,-6155.0,,-320.0,5454.0,-10587.0,8436.0,120.0,,,,,-3052.0,,,,643.0,-1333.0,,,,,-690.0,1003.0,4626.0,,5628.0
VHM,Q12023,,,15074.0,,313.0,182.0,,-10572.0,683.0,,,,,5680.0,-6162.0,563.0,-5957.0,1551.0,-200.0,-569.0,-305.0,,,-5398.0,,-4293.0,,-11162.0,1949.0,-1081.0,6105.0,1492.0,,,,,-6991.0,,1.0,,7604.0,-4143.0,,,,,3462.0,-8927.0,10817.0,,1890.0
VHM,Q12024,,,1416.0,,421.0,-38.0,,-1866.0,1066.0,,,,,999.0,-1303.0,-3343.0,1583.0,-534.0,-2.0,-651.0,-1324.0,,,-4574.0,,-10005.0,886.0,-10089.0,2198.0,-5047.0,14761.0,1370.0,,,,,-5926.0,,2.0,,16035.0,-9516.0,,-600.0,,,5921.0,-4579.0,14103.0,,9525.0
VHM,Q22016,,,-371.0,,92.0,4.0,1.0,13.0,73.0,,,,,-188.0,863.0,-1672.0,2405.0,186.0,,-10.0,-24.0,,,1560.0,,-517.0,,583.0,95.0,-280.0,124.0,174.0,,,,,179.0,,158.0,,243.0,-2757.0,,,,,-2356.0,-618.0,871.0,,253.0
