stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
VIC,Q12008,,,45.0,,-5.0,,,-44.0,,,,,,-4.0,-87.0,,118.0,-40.0,,,52.0,,-422.0,-383.0,,259.0,,-640.0,60.0,-125.0,5.0,44.0,,,,,-396.0,,400.0,,,,,,,,400.0,-379.0,497.0,,118.0
VIC,Q12009,,,16.0,,5.0,,-53.0,-12.0,62.0,,,,,19.0,5.0,14.0,-16.0,-1.0,,-33.0,-9.0,,7.0,-14.0,,-168.0,38.0,-59.0,177.0,-21.0,,4.0,,,,-60.0,-90.0,,,-11.0,754.0,-622.0,,,,,121.0,16.0,27.0,,43.0
VIC,Q12010,,,56.0,,10.0,1.0,12.0,2.0,-1.0,,,,,80.0,169.0,8.0,-376.0,,,-125.0,-18.0,,10.0,-253.0,,-1292.0,65.0,-757.0,840.0,-289.0,,182.0,,,,,-1252.0,,287.0,,,-142.0,,,182.0,,326.0,-1179.0,1427.0,,248.0
VIC,Q12011,,,176.0,,32.0,1.0,50.0,20.0,44.0,,,,,323.0,35.0,-510.0,697.0,-60.0,,-79.0,-439.0,,14.0,-17.0,,-1327.0,255.0,-182.0,236.0,,,19.0,,,,-70.0,-1068.0,,498.0,,,-279.0,,,,,219.0,-866.0,1515.0,,649.0
VIC,Q12012,,,993.0,,108.0,-3.0,,-80.0,311.0,,,,,1329.0,-142.0,-900.0,3325.0,-178.0,,-474.0,-108.0,,5.0,2857.0,,-579.0,1176.0,,698.0,-67.0,-3661.0,329.0,,,22.0,,-2082.0,,1106.0,200.0,,-2306.0,,,,,-1000.0,-225.0,1232.0,,1007.0
VIC,Q12013,,,433.0,,283.0,-2.0,40.0,-573.0,426.0,-1.0,-139.0,-16.0,,450.0,-14.0,-1837.0,415.0,50.0,,-451.0,-239.0,,,-1626.0,,-646.0,1221.0,,306.0,53.0,,-811.0,,,,2763.0,2885.0,,2025.0,,,-726.0,,,,,1299.0,2558.0,1617.0,,4175.0
VIC,Q12014,,,1547.0,,209.0,-1.0,,,512.0,1.0,-247.0,135.0,-2.0,2156.0,101.0,2200.0,-3462.0,86.0,,-537.0,-384.0,,-2.0,157.0,,-807.0,16.0,-16.0,33.0,-400.0,,61.0,-764.0,-712.0,1067.0,-1340.0,-2862.0,,4500.0,,,-1195.0,,,,,3305.0,600.0,7534.0,,8134.0
VIC,Q12015,,,692.0,,278.0,40.0,112.0,-1084.0,501.0,200.0,,,,739.0,-1539.0,815.0,2249.0,80.0,,-427.0,-543.0,,,1375.0,,-3787.0,944.0,-2368.0,1473.0,-3564.0,161.0,194.0,,,,,-6947.0,,148.0,,12830.0,-9612.0,,,,,3365.0,-2207.0,7608.0,-1.0,5400.0
VIC,Q12016,,,2165.0,,812.0,119.0,-221.0,-312.0,776.0,,,,,3339.0,-1813.0,2460.0,-1869.0,35.0,-630.0,-719.0,-791.0,,,13.0,,-2442.0,33.0,-1462.0,1924.0,-4940.0,772.0,312.0,,,,,-5802.0,,446.0,,5947.0,-2658.0,,-205.0,,,3529.0,-2259.0,6938.0,1.0,4681.0
VIC,Q12017,,,1244.0,,1103.0,-160.0,2.0,-364.0,1506.0,,,,,3330.0,135.0,-6828.0,5327.0,-1143.0,,-709.0,-1300.0,,,-1188.0,,-2345.0,70.0,-1473.0,1030.0,-986.0,4062.0,51.0,,,,,408.0,,,,6048.0,-1093.0,,-309.0,,,4646.0,3866.0,9833.0,,13700.0
