stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
VJC,Q12016,,,584.0,,4.0,35.0,-4.0,-7.0,35.0,,,,-3.0,644.0,-429.0,-6.0,63.0,205.0,,-35.0,,,,442.0,,-472.0,,,180.0,-9.0,,17.0,,,,,-284.0,,,,4652.0,-4213.0,,,,,439.0,597.0,924.0,-2.0,1519.0
VJC,Q12017,,,418.0,,16.0,10.0,3.0,-2.0,60.0,,,,66.0,571.0,-713.0,-14.0,234.0,309.0,,-52.0,-31.0,,,305.0,,-2883.0,,,,,,4.0,,,,,-2879.0,,1894.0,,5397.0,-4660.0,,,,,2631.0,57.0,2741.0,-5.0,2794.0
VJC,Q12018,,,1481.0,,32.0,140.0,72.0,-26.0,56.0,,,,,1755.0,-359.0,-64.0,60.0,251.0,,-45.0,-39.0,,,1559.0,,-278.0,,,,-990.0,,25.0,,,,,-1243.0,,,,7518.0,-8538.0,,-451.0,,,-1472.0,-1156.0,6862.0,-1.0,5705.0
VJC,Q12019,,,1648.0,,39.0,294.0,246.0,-24.0,58.0,,,,,2262.0,-2913.0,35.0,-864.0,521.0,,-43.0,-106.0,,,-1108.0,,-2302.0,,-200.0,,,,34.0,,,,,-2467.0,,,,6448.0,-4937.0,,,,,1511.0,-2064.0,7165.0,-2.0,5098.0
VJC,Q12020,,,-966.0,,23.0,135.0,82.0,10.0,122.0,,,,,-594.0,-2136.0,61.0,734.0,199.0,,-94.0,-179.0,,,-2009.0,,-37.0,,,710.0,,,-12.0,,,,,661.0,,,,6761.0,-8288.0,,,,,-1527.0,-2875.0,5364.0,-30.0,2459.0
VJC,Q12021,,,115.0,,18.0,-112.0,-94.0,-13.0,119.0,,,,3.0,38.0,-3037.0,11.0,2611.0,57.0,,-85.0,,,,-406.0,,-25.0,,,,,,-3.0,,,,,-29.0,,15.0,,3496.0,-4202.0,,,307.0,,-384.0,-818.0,2926.0,-54.0,2054.0
VJC,Q12022,,,250.0,,18.0,535.0,113.0,-18.0,339.0,,,,,1237.0,-7017.0,-7.0,4723.0,-990.0,,-339.0,,,,-2393.0,,,,-575.0,,,,18.0,,,,,-557.0,,,2877.0,4285.0,-3095.0,,,,,4066.0,1117.0,1868.0,13.0,2998.0
VJC,Q12023,,,243.0,,94.0,1250.0,83.0,-58.0,375.0,,,,,1987.0,-274.0,-45.0,-634.0,-742.0,,-249.0,,,-26.0,17.0,,-49.0,,178.0,,,,76.0,,,,,206.0,,,,7718.0,-7847.0,,,,,-130.0,93.0,1858.0,31.0,1982.0
VJC,Q12024,,,676.0,,192.0,253.0,-123.0,-297.0,719.0,,,,,1419.0,2484.0,-259.0,-2650.0,305.0,,-480.0,-1.0,1.0,,818.0,,-2828.0,,-323.0,118.0,,,278.0,,,,,-2754.0,,,,10848.0,-10978.0,,,,,-130.0,-2066.0,5051.0,56.0,3041.0
VJC,Q22016,,,729.0,,5.0,35.0,9.0,-19.0,1.0,39.0,,,,800.0,-34.0,22.0,69.0,22.0,,-48.0,-10.0,,,822.0,,-1781.0,,,90.0,-51.0,,59.0,,,,,-1683.0,,72.0,,5220.0,-3323.0,,,,,1968.0,1107.0,1519.0,-4.0,2622.0
