stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
VNM,Q12005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,Q12006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,Q12007,,,323.0,,28.0,26.0,,-21.0,2.0,,,,,358.0,24.0,61.0,-14.0,8.0,,-2.0,,73.0,-109.0,399.0,,-145.0,,-1300.0,120.0,-3.0,,4.0,,,,,-1324.0,,1183.0,,,-3.0,,-207.0,,,974.0,49.0,157.0,,206.0
VNM,Q12008,,,345.0,,34.0,83.0,,-52.0,8.0,,,,,418.0,-10.0,37.0,-293.0,-1.0,,-1.0,,1.0,-102.0,49.0,,-74.0,1.0,-376.0,57.0,-144.0,,4.0,,,,,-532.0,,5.0,,524.0,3.0,,,,,531.0,48.0,118.0,,166.0
VNM,Q12009,,,573.0,,54.0,15.0,-10.0,-148.0,2.0,,,,,485.0,-46.0,427.0,-82.0,-2.0,,-2.0,-44.0,,-87.0,650.0,,-132.0,2.0,-55.0,218.0,,134.0,13.0,,,,,180.0,,,,,-181.0,,,,,-181.0,650.0,339.0,12.0,1000.0
VNM,Q12010,,,968.0,,65.0,-10.0,-11.0,-59.0,1.0,,,,,954.0,-114.0,-433.0,117.0,-17.0,,,-31.0,21.0,-155.0,342.0,,-182.0,1.0,-88.0,17.0,,,42.0,,,,,-211.0,,18.0,,1.0,-2.0,,-353.0,,,-337.0,-205.0,426.0,,221.0
VNM,Q12011,,,1186.0,,94.0,24.0,35.0,-94.0,4.0,,,,,1249.0,-330.0,-886.0,254.0,-7.0,,-3.0,-179.0,,-165.0,-67.0,,-285.0,7.0,-18.0,,,,74.0,,,,-205.0,-426.0,,35.0,,418.0,,,,,,453.0,-40.0,263.0,,223.0
VNM,Q12012,,,1540.0,,120.0,-39.0,9.0,-122.0,,,,,,1508.0,-254.0,-633.0,-15.0,10.0,,,-189.0,,-287.0,141.0,,-939.0,4.0,,,18.0,90.0,99.0,,,,,-728.0,,,-1.0,417.0,,,,,,416.0,-170.0,3157.0,-3.0,2983.0
VNM,Q12013,,,1868.0,,153.0,7.0,-11.0,3.0,,1.0,-79.0,,,1944.0,-56.0,-314.0,-245.0,-16.0,,,-264.0,,-367.0,682.0,,-354.0,3.0,-50.0,2.0,,30.0,70.0,,,,,-298.0,,,,,,,,,,,383.0,1252.0,-2.0,1633.0
VNM,Q12014,,,1743.0,,252.0,-7.0,-2.0,-6.0,11.0,2.0,-122.0,,,1871.0,222.0,-614.0,84.0,46.0,,-11.0,-370.0,,-379.0,848.0,,-168.0,3.0,,,,1.0,25.0,-1600.0,,,,-1740.0,,1.0,,12.0,-6.0,,-667.0,,,-660.0,-1552.0,2746.0,,1193.0
