stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,1. Lợi nhuận trước thuế,Điều chỉnh cho các khoản:,"2. Khấu hao TSCĐ, bất động sản đầu tư","3. Dự phòng rủi ro tín dụng, giảm giá, đầu tư tăng thêm/(hoàn nhập) trong kỳ",4. Lãi và phí phải thu trong kỳ (thực tế chưa thu),5. Lãi và phí phải trả trong kỳ (thực tế chưa trả),6. (Lãi)/lỗ do thanh lý TSCĐ,"7. (Lãi)/lỗ do bán, thanh lý bất động sản đầu tư","8. (Lãi)/Lỗ do thanh lý những khoản đầu tư, góp vốn dài hạn vào đơn vị khác, cổ tức nhận được, lợi nhuận được chia từ hợp đồng đầu tư, góp vốn dài hạn",9. Chênh lệch tỷ giá hối đoái chưa thực hiện,10. Các điều chỉnh khác,Những thay đổi về tài sản và công nợ hoạt động,"11. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các tổ chức tín dụng khác",12. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,13. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,14. (Tăng)/Giảm các khoản cho vay khách hàng,"15. (Tăng)/Giảm lãi, phí phải thu",16. (Giảm)/Tăng nguồn dự phòng để bù đắp tổn thất các khoản,17. (Tăng)/Giảm khác về tài sản hoạt động,18. Tăng/Giảm các khoản nợ chính phủ và NHNN,19. Tăng/(Giảm) các khoản tiền gửi và vay các TCTD,20. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả kho bạc Nhà nước),21. Tăng/(Giảm) các công cụ TC phái sinh và các khoản nợ tài chính khác,"22. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD phải chịu rủi ro",23. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"24. Tăng/(Giảm) lãi, phí phải trả",25. Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập,26. Thuế TNDN đã nộp,27. Chi từ các quỹ của TCTD,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Mua sắm TSCĐ,"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",II. Lưu chuyển tiền từ hoạt động đầu tư,1. Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,III. Lưu chuyển tiền từ hoạt động tài chính,IV. Lưu chuyển tiền thuần trong kỳ,V. Tiến và các khoản tương đương tiền tại thời điểm đầu kỳ,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá
VPB,Q12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q12014,,,2593.0,-1718.0,103.0,54.0,4.0,,-723.0,-225.0,89.0,,2972.0,-2412.0,,-1810.0,-41.0,132.0,,-1885.0,4750.0,5183.0,,16.0,85.0,582.0,,7658.0,,-12.0,,,,,,,,,-12.0,,,,,,,,,7646.0,5468.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q12015,,,3988.0,-1786.0,146.0,30.0,23.0,,-1100.0,-79.0,1222.0,,3753.0,2103.0,,-6613.0,-756.0,-640.0,,-833.0,-3732.0,3336.0,1858.0,25.0,-4.0,240.0,,-39.0,,-41.0,,,,,,,43.0,,2.0,,,,,,,,,-38.0,9292.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q12016,,,5601.0,-2435.0,180.0,-85.0,19.0,92.0,-1444.0,-274.0,1654.0,,-898.0,-6846.0,,1554.0,-1123.0,-435.0,,-4813.0,5748.0,-1060.0,8913.0,-16.0,111.0,223.0,,3011.0,,-195.0,,,,,,,1.0,,-6.0,,,,,,,,,3005.0,12624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q12017,,,8182.0,-2594.0,298.0,137.0,23.0,183.0,-2000.0,-468.0,3760.0,,4340.0,2809.0,,-7390.0,-1047.0,-683.0,,-1076.0,-14616.0,5712.0,8255.0,886.0,9.0,166.0,,1123.0,,-79.0,,,,,,,,,-79.0,,,,,,,,,1044.0,8799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q12018,,,9613.0,-3276.0,304.0,178.0,841.0,290.0,-2720.0,-656.0,4574.0,,-440.0,765.0,,-6895.0,-2113.0,816.0,,2000.0,-8481.0,9570.0,702.0,-122.0,-15.0,989.0,,1350.0,,-27.0,,,,,,,,,-27.0,,,,,,,,,1323.0,24254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q12019,,,11386.0,-4321.0,732.0,94.0,73.0,225.0,-3074.0,-688.0,4428.0,,-135.0,-3510.0,-23.0,-8513.0,-3221.0,-1294.0,,-3760.0,-14376.0,17266.0,-1796.0,-4.0,-19.0,250.0,,-14706.0,,-16.0,,,,,,,,,-16.0,,,,,,,,,-14721.0,28022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q12020,,,13684.0,-5613.0,682.0,857.0,-9.0,453.0,-3146.0,-520.0,6387.0,,355.0,-10026.0,-252.0,-6564.0,-3642.0,1015.0,,-1.0,12867.0,1766.0,-1257.0,-16.0,-46.0,697.0,,1284.0,,-7.0,,,,,,,,,4.0,,,,,,,,,1288.0,21396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q12021,,,13224.0,-4258.0,1005.0,339.0,84.0,705.0,-2861.0,-1170.0,7068.0,,545.0,-8650.0,,-10347.0,-4379.0,-1839.0,,15.0,14411.0,-1001.0,2110.0,-23.0,-75.0,-591.0,,-2757.0,,-25.0,,,,,,,,,-25.0,,,,,,,,,-2782.0,22891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q12022,,,13764.0,-4159.0,1242.0,409.0,6397.0,714.0,-3179.0,-4698.0,10489.0,,4502.0,-13985.0,70.0,-19160.0,-2593.0,3237.0,,-7154.0,-10865.0,32312.0,-4514.0,-17.0,,448.0,,-7230.0,,-2.0,,,,,,-118.0,,,-120.0,,,,,,,,,-7349.0,53778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q12023,,,17485.0,-6112.0,1423.0,-281.0,818.0,559.0,-3089.0,-3158.0,7644.0,,342.0,816.0,,-25103.0,-6736.0,-580.0,,-963.0,-319.0,28033.0,18785.0,-8.0,810.0,-1585.0,,21135.0,,-5.0,,,,,,,,,-4.0,,,,,,,,,21130.0,54045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q12024,,,19087.0,-9775.0,1566.0,355.0,-149.0,373.0,-3073.0,-1549.0,6835.0,,-8634.0,11870.0,-583.0,-16422.0,-5265.0,2890.0,,-4006.0,-2510.0,13449.0,-1443.0,-4.0,,-1534.0,,-5359.0,,-1.0,,,,,,,,,,,,,,,,,,-5359.0,93667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q22012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q22014,,,3022.0,-1550.0,111.0,-122.0,191.0,22.0,-722.0,-44.0,908.0,,3718.0,-5652.0,,-8014.0,-59.0,-880.0,,,1432.0,2540.0,240.0,45.0,-3.0,283.0,,-5443.0,,-155.0,,,,,,,,,-152.0,,,,,,,,,-5594.0,,-36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q22015,,,4567.0,-1349.0,183.0,-49.0,152.0,83.0,-1076.0,-89.0,2423.0,,2278.0,-3579.0,,-12260.0,-233.0,1829.0,,,-265.0,8740.0,3811.0,44.0,-76.0,-907.0,,1805.0,,-40.0,,,,,,,1.0,,-14.0,,2020.0,,,,,,2020.0,3811.0,,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,Q22016,,,6142.0,-2324.0,166.0,-15.0,268.0,173.0,-1670.0,-166.0,2575.0,,708.0,-1688.0,,-2130.0,-2054.0,-450.0,,16.0,4276.0,-10612.0,3216.0,-41.0,49.0,224.0,,-5911.0,,135.0,,,,,,,,,-7.0,,,,,,,,,-5919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
