stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
VRE,Q12017,,,765.0,,184.0,5.0,,-277.0,132.0,,,,,809.0,-30.0,162.0,149.0,-100.0,,-54.0,-57.0,,,879.0,,-723.0,,,1500.0,,,379.0,,,,,1156.0,,,,2986.0,-2664.0,,,,,322.0,2356.0,1698.0,,4054.0
VRE,Q12018,,,702.0,,259.0,3.0,,-187.0,131.0,,,,,909.0,345.0,-153.0,-612.0,-51.0,,-122.0,-193.0,,,123.0,,-155.0,,,,,,15.0,,,,,-140.0,,,,,,,,,,,-17.0,1422.0,,1405.0
VRE,Q12019,,,778.0,,351.0,2.0,,-80.0,72.0,,,,,1123.0,86.0,83.0,-58.0,24.0,,-127.0,-215.0,,,916.0,,-2255.0,,,,,,20.0,,,,,-2235.0,,,,,,,,,,,-1319.0,2431.0,,1113.0
VRE,Q12020,,,619.0,,369.0,1.0,,-47.0,79.0,,,,,1022.0,-23.0,17.0,581.0,-32.0,,-131.0,-145.0,,,1288.0,,-386.0,,-1050.0,800.0,,,14.0,,,,,-622.0,,,,,,,,,,,666.0,1388.0,,2054.0
VRE,Q12021,,,980.0,,375.0,17.0,,-99.0,153.0,,,,,1426.0,-482.0,234.0,-438.0,72.0,,-206.0,-299.0,,,307.0,,-381.0,,-1850.0,,,1386.0,85.0,,,466.0,,-294.0,,,,,-50.0,,,,,-50.0,-37.0,3051.0,,3013.0
VRE,Q12022,,,501.0,,348.0,22.0,,-103.0,90.0,,,,,857.0,206.0,52.0,-136.0,13.0,,-87.0,-101.0,,,804.0,,-435.0,,-102.0,295.0,,,30.0,,,,,-212.0,,,,,,,,,,,591.0,3297.0,,3889.0
VRE,Q12023,,,1249.0,,371.0,1.0,,-224.0,100.0,,,,,1497.0,93.0,-249.0,263.0,-35.0,,-84.0,-2.0,,,1483.0,,-1926.0,1.0,,,,,179.0,,,544.0,,-1202.0,,,,,,-5.0,,,,-5.0,276.0,7020.0,,7295.0
VRE,Q12024,,,1367.0,,332.0,52.0,,-439.0,140.0,,,,,1453.0,-9.0,129.0,154.0,-16.0,,-110.0,-61.0,,,1541.0,,-464.0,8.0,-2908.0,612.0,,,37.0,,,,,-2716.0,,,,,,-5.0,,,,-5.0,-1180.0,4102.0,,2921.0
VRE,Q22017,,,272.0,,233.0,11.0,,80.0,132.0,,,,,728.0,33.0,-409.0,117.0,109.0,,-172.0,-50.0,,,356.0,,-97.0,10.0,-59.0,85.0,,34.0,159.0,,,,,132.0,,,,2.0,-1.0,,,,,1.0,489.0,4054.0,,4543.0
VRE,Q22018,,,772.0,,276.0,14.0,,-147.0,100.0,,,,,1016.0,-108.0,-336.0,233.0,-25.0,,-102.0,-121.0,132.0,,690.0,,-941.0,2.0,,2659.0,,137.0,297.0,,,,,2154.0,,,,,-3200.0,,,484.0,,-2716.0,128.0,1405.0,,1532.0
