stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,1. Thu nhập lãi và các khoản thu nhập tương tự,2. Chi phí lãi và các chi phí tương tự,I. Thu nhập lãi thuần,3. Thu nhập từ hoạt động dịch vụ,4. Chi phí hoạt động dịch vụ,II. Lãi/lỗ thuần từ hoạt động dịch vụ,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,5. Thu nhập từ hoạt động khác,6. Chi phí hoạt động khác,VI. Lãi/lỗ thuần từ hoạt động khác,"VII. Thu nhập từ góp vốn, mua cổ phần",VIII. Chi phí hoạt động,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),X. Chi phí dự phòng rủi ro tín dụng,XI. Tổng lợi nhuận trước thuế (IX-X),7. Chi phí thuế TNDN hiện hành,8. Chi phí thuế TNDN hoãn lại,XII. Chi phí thuế TNDN,XIII. Lợi nhuận sau thuế (XI-XII),XIV. Lợi ích của cổ đông thiểu số,XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),Lãi cơ bản trên cổ phiếu (BCTC)
ACB,Q12007,,,6286.0,0.0,32950.0,19203.0,13747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,9227.0,590.0,8463.0,175.0,0.0,401.0,383.0,34.0,-17.0,0.0,18.0,0.0,0.0,0.0,1493.0,1151.0,266.0,0.0,76.0,0.0,0.0,50356.0,,43735.0,1931.0,1931.0,0.0,0.0,0.0,0.0,0.0,2677.0,2677.0,0.0,0.0,0.0,48344.0,2012.0,1103.0,1103.0,0.0,0.0,0.0,0.0,0.0,489.0,0.0,0.0,420.0,,0.0,50356.0,873.0,633.0,240.0,306.0,0.0,306.0,0.0,0.0,0.0,41.0,22.0,20.0,0.0,153.0,413.0,0.0,413.0,54.0,0.0,54.0,360.0,0.0,360.0,0.0
ACB,Q12008,,,4532.0,5182.0,31419.0,31305.0,115.0,-1.0,,,,,40449.0,40694.0,-245.0,,,,11479.0,3231.0,8268.0,,837.0,0.0,,641.0,,653.0,604.0,48.0,0.0,,48.0,,,,4292.0,2545.0,1373.0,,373.0,,,99409.0,,49.0,2812.0,2812.0,,61958.0,,323.0,15921.0,11682.0,995.0,,10658.0,29.0,92746.0,6663.0,2630.0,2630.0,0.0,,,,,3581.0,,,450.0,,,99409.0,1821.0,1265.0,556.0,151.0,16.0,135.0,129.0,-1.0,10.0,26.0,0.0,25.0,4.0,273.0,586.0,73.0,513.0,74.0,0.0,74.0,438.0,0.0,438.0,0.0
ACB,Q12009,,,5848.0,1917.0,24921.0,24921.0,1.0,0.0,,,,,37086.0,37447.0,-361.0,,,,22573.0,722.0,,,1296.0,,149.0,,,840.0,789.0,,,,,,,,41871.0,39272.0,1634.0,,965.0,,,136562.0,,10257.0,1706.0,1706.0,,74788.0,,269.0,15552.0,36681.0,898.0,,14.0,,129029.0,7532.0,6356.0,6356.0,,,,,,668.0,-36.0,,498.0,,,136562.0,1980.0,1463.0,517.0,152.0,22.0,130.0,311.0,0.0,17.0,21.0,0.0,21.0,15.0,416.0,561.0,98.0,463.0,103.0,,103.0,360.0,,360.0,
ACB,Q12010,,,10205.0,1944.0,27606.0,27601.0,5.0,0.0,620.0,721.0,-100.0,0.0,57918.0,58436.0,-518.0,,,,43119.0,2372.0,40862.0,-115.0,1287.0,0.0,1.0,1307.0,-21.0,935.0,885.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,29008.0,0.0,2090.0,5.0,26912.0,0.0,0.0,172641.0,,9390.0,11332.0,11332.0,0.0,89999.0,38.0,282.0,28067.0,24190.0,1138.0,0.0,23029.0,23.0,163299.0,9343.0,7814.0,7814.0,0.0,0.0,0.0,0.0,0.0,897.0,26.0,0.0,606.0,,0.0,172641.0,3024.0,2299.0,725.0,158.0,31.0,127.0,105.0,4.0,56.0,21.0,20.0,0.0,20.0,442.0,595.0,17.0,578.0,140.0,0.0,140.0,439.0,0.0,439.0,0.0
ACB,Q12011,,,12475.0,2366.0,55493.0,55074.0,422.0,-3.0,1133.0,1352.0,-219.0,656.0,90858.0,91641.0,-782.0,,,,29343.0,507.0,28967.0,-131.0,2908.0,0.0,1.0,2939.0,-33.0,1097.0,1059.0,38.0,0.0,0.0,38.0,0.0,0.0,0.0,10515.0,0.0,3495.0,5.0,7014.0,0.0,0.0,206844.0,,4720.0,34466.0,34466.0,0.0,110296.0,0.0,487.0,40633.0,4275.0,1690.0,2543.0,0.0,42.0,194876.0,11968.0,9377.0,9377.0,0.0,0.0,0.0,0.0,0.0,1165.0,0.0,0.0,1426.0,,0.0,206844.0,5116.0,3848.0,1269.0,360.0,39.0,321.0,-30.0,-21.0,-11.0,66.0,95.0,-29.0,5.0,565.0,939.0,76.0,863.0,227.0,0.0,227.0,636.0,0.0,636.0,0.0
ACB,Q12012,,,10468.0,2029.0,54369.0,53093.0,1285.0,-10.0,1001.0,1044.0,-42.0,923.0,103598.0,104706.0,-1108.0,,,,32759.0,5578.0,27202.0,-21.0,3583.0,0.0,1.0,3631.0,-49.0,1320.0,1295.0,118.0,-93.0,0.0,25.0,0.0,0.0,0.0,55505.0,0.0,6459.0,8.0,49039.0,0.0,0.0,265556.0,,0.0,19782.0,19782.0,0.0,145092.0,0.0,365.0,55435.0,32190.0,5509.0,0.0,26632.0,-49.0,252865.0,12691.0,9377.0,9377.0,0.0,0.0,0.0,0.0,0.0,2469.0,2.0,0.0,843.0,,0.0,265556.0,6389.0,4777.0,1612.0,221.0,47.0,174.0,67.0,170.0,14.0,25.0,30.0,-5.0,42.0,851.0,1222.0,119.0,1102.0,265.0,0.0,265.0,837.0,0.0,837.0,0.0
ACB,Q12013,,,5807.0,2092.0,17601.0,15581.0,2036.0,-15.0,937.0,1177.0,-239.0,1.0,105467.0,107140.0,-1672.0,,,,28132.0,8130.0,20300.0,-298.0,1414.0,2.0,1463.0,-50.0,-80.0,1678.0,1643.0,142.0,-108.0,,34.0,,,,12781.0,3493.0,4925.0,5.0,8032.0,,-181.0,175910.0,,,11176.0,7198.0,3978.0,135305.0,,296.0,12689.0,3519.0,2041.0,1909.0,1428.0,50.0,162986.0,12924.0,9377.0,9377.0,,,-228.0,,,2568.0,7.0,,972.0,,,175910.0,4183.0,2952.0,1232.0,221.0,50.0,171.0,-84.0,30.0,50.0,15.0,17.0,-3.0,45.0,844.0,597.0,202.0,395.0,88.0,,88.0,307.0,,307.0,
ACB,Q12014,,,2258.0,3078.0,7267.0,5621.0,2093.0,-447.0,2396.0,2426.0,-30.0,12.0,105250.0,106910.0,-1660.0,,,,38768.0,9600.0,29395.0,-226.0,928.0,,2.0,1009.0,-83.0,2507.0,2236.0,393.0,-122.0,,271.0,9.0,9.0,0.0,10918.0,7134.0,3789.0,12.0,417.0,,-433.0,173391.0,,0.0,9198.0,6131.0,3067.0,144409.0,,362.0,3600.0,3059.0,1621.0,2.0,1373.0,63.0,160629.0,12762.0,11145.0,9377.0,,,-264.0,,2033.0,2040.0,16.0,,1601.0,,,173391.0,3384.0,2329.0,1055.0,257.0,56.0,201.0,51.0,106.0,10.0,16.0,3.0,13.0,5.0,951.0,489.0,170.0,318.0,80.0,-12.0,68.0,250.0,,250.0,
ACB,Q12015,,,2599.0,5317.0,3974.0,4271.0,500.0,-797.0,2451.0,2476.0,-25.0,5.0,117525.0,119201.0,-1676.0,,,,42217.0,25644.0,17070.0,-496.0,884.0,1.0,2.0,928.0,-45.0,2560.0,2123.0,582.0,-145.0,,437.0,9.0,9.0,0.0,9770.0,7076.0,2666.0,5.0,565.0,,-543.0,187311.0,,200.0,10871.0,8857.0,2014.0,156734.0,,172.0,3078.0,3577.0,1950.0,,1627.0,,174631.0,12680.0,8711.0,9377.0,,,-666.0,,,2208.0,2.0,,1759.0,,,187311.0,3400.0,2010.0,1390.0,222.0,54.0,168.0,21.0,38.0,-30.0,20.0,1.0,19.0,5.0,1003.0,607.0,247.0,359.0,79.0,,79.0,281.0,,281.0,
ACB,Q12016,,,3057.0,5004.0,9360.0,6182.0,,-200.0,459.0,466.0,-7.0,1.0,142520.0,144229.0,-1710.0,,,,38727.0,8758.0,32320.0,-2351.0,190.0,,0.0,200.0,-11.0,2481.0,2052.0,610.0,-181.0,,429.0,43.0,44.0,-1.0,8027.0,5547.0,2288.0,3.0,731.0,,-541.0,209868.0,,,8540.0,6890.0,1650.0,181063.0,,177.0,3380.0,3089.0,2111.0,,978.0,,196764.0,13103.0,8711.0,9377.0,,,-666.0,,,2374.0,,,2012.0,,,209868.0,3735.0,2154.0,1582.0,269.0,67.0,201.0,43.0,-4.0,-184.0,61.0,1.0,60.0,0.0,1075.0,623.0,233.0,389.0,79.0,,79.0,310.0,,310.0,
