stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,6.Doanh thu hoạt động tài chính,7. Chi phí tài chính,Trong đó :Chi phí lãi vay,"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh,12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác,Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,15. Tổng lợi nhuận kế toán trước thuế,16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,19. Lãi cơ bản trên cổ phiếu (*),20. Lãi suy giảm trên cổ phiếu (*)
BCM,Q12018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0,67.0,1907.0,1249.0,658.0,9.0,179.0,168.0,204.0,110.0,86.0,496.0,10.0,2.0,7.0,,504.0,20.0,0.0,484.0,27.0,457.0,,
BCM,Q12019,,,30275.0,2687.0,1745.0,942.0,479.0,5.0,,474.0,4894.0,3732.0,437.0,,,26.0,715.0,-17.0,2.0,22123.0,22123.0,0.0,92.0,28.0,33.0,31.0,,,14319.0,450.0,421.0,,,,,29.0,,1706.0,1557.0,718.0,-72.0,,149.0,646.0,2128.0,2061.0,67.0,8652.0,,8357.0,250.0,,44.0,,737.0,339.0,398.0,,,0.0,,44594.0,,30706.0,19678.0,485.0,2769.0,120.0,62.0,6863.0,,,1.0,246.0,8967.0,7.0,157.0,,,11029.0,,71.0,,,,237.0,25.0,10651.0,,,,1.0,44.0,,13888.0,13888.0,10126.0,10126.0,,12.0,,19.0,,-290.0,,290.0,,,2510.0,1853.0,1151.0,,1220.0,,,,,,44594.0,1920.0,582.0,1338.0,846.0,492.0,466.0,193.0,181.0,183.0,168.0,83.0,696.0,15.0,11.0,4.0,,700.0,87.0,0.0,613.0,16.0,598.0,530.0,530.0
BCM,Q12020,,,28342.0,320.0,222.0,99.0,335.0,,,335.0,4080.0,3207.0,289.0,,,6.0,595.0,-17.0,0.0,23555.0,23568.0,-13.0,51.0,29.0,17.0,5.0,,,15683.0,313.0,285.0,,,,,27.0,,1813.0,1682.0,750.0,-91.0,,131.0,659.0,2069.0,1961.0,109.0,10175.0,,9867.0,250.0,,58.0,,654.0,301.0,353.0,,,0.0,,44025.0,,27972.0,21929.0,838.0,2249.0,131.0,52.0,8242.0,,,2.0,1106.0,9102.0,7.0,201.0,,,6042.0,38.0,99.0,,,,553.0,20.0,5284.0,,,,1.0,85.0,,16053.0,16053.0,10350.0,10350.0,,12.0,,12.0,,-185.0,,307.0,,,4438.0,4128.0,311.0,,1119.0,,,,,,44025.0,1323.0,94.0,1229.0,665.0,564.0,4.0,147.0,147.0,186.0,164.0,82.0,362.0,8.0,6.0,2.0,,364.0,60.0,-27.0,332.0,22.0,311.0,288.0,288.0
BCM,Q12021,,,27111.0,2349.0,880.0,1470.0,86.0,,,86.0,2609.0,1820.0,106.0,,,6.0,717.0,-39.0,0.0,22003.0,22023.0,-20.0,64.0,19.0,4.0,41.0,,,19254.0,314.0,279.0,,,,,34.0,,1206.0,1084.0,533.0,-78.0,,122.0,455.0,2502.0,2449.0,53.0,14192.0,,13930.0,248.0,,13.0,,586.0,248.0,339.0,,,,,46365.0,,29332.0,20219.0,764.0,2554.0,33.0,47.0,9561.0,,,189.0,1436.0,5336.0,0.0,299.0,,,9113.0,,95.0,,,,155.0,7.0,8702.0,,,,,139.0,,17033.0,17033.0,10350.0,10350.0,,12.0,,8.0,,-185.0,,886.0,,,5198.0,4742.0,456.0,,764.0,,,,,,46365.0,1409.0,10.0,1399.0,819.0,580.0,31.0,153.0,153.0,275.0,127.0,96.0,509.0,8.0,9.0,-1.0,,508.0,68.0,-28.0,468.0,11.0,457.0,351.0,351.0
BCM,Q12022,,,29524.0,4007.0,1358.0,2649.0,230.0,,,230.0,3695.0,2734.0,146.0,,,6.0,866.0,-57.0,1.0,21538.0,21548.0,-10.0,55.0,18.0,26.0,11.0,,,19979.0,310.0,299.0,,,,,11.0,,1206.0,1051.0,529.0,-92.0,,156.0,437.0,2300.0,2242.0,58.0,15278.0,,14684.0,592.0,,1.0,,448.0,226.0,222.0,,,,,49504.0,,31974.0,18748.0,860.0,4294.0,37.0,57.0,8307.0,,,,1400.0,3365.0,0.0,427.0,,,13226.0,95.0,5.0,,,,593.0,7.0,12387.0,,,,,139.0,,17530.0,17530.0,10350.0,10350.0,,12.0,,8.0,,-185.0,,1200.0,,,5165.0,4740.0,425.0,,981.0,,,,,,49504.0,1437.0,4.0,1433.0,613.0,821.0,22.0,266.0,266.0,170.0,165.0,111.0,472.0,15.0,19.0,-4.0,,468.0,77.0,,391.0,-34.0,425.0,274.0,274.0
BCM,Q12023,,,28069.0,436.0,90.0,346.0,404.0,,,404.0,5598.0,3284.0,333.0,,,5.0,2024.0,-49.0,1.0,21356.0,21358.0,-2.0,276.0,87.0,81.0,109.0,,,20520.0,619.0,233.0,,,,,386.0,,1241.0,1091.0,529.0,-108.0,,150.0,421.0,1894.0,1820.0,73.0,15929.0,,15337.0,592.0,,,,416.0,194.0,222.0,,,,,48589.0,,30627.0,19011.0,643.0,3637.0,103.0,63.0,7645.0,,,,825.0,5639.0,4.0,451.0,,,11616.0,16.0,10.0,,,,594.0,5.0,10849.0,,,,3.0,139.0,,17962.0,17962.0,10350.0,10350.0,,12.0,,8.0,,-185.0,,1586.0,,,5196.0,5104.0,92.0,,996.0,,,,,,48589.0,792.0,0.0,791.0,385.0,406.0,52.0,191.0,191.0,55.0,146.0,95.0,81.0,6.0,8.0,-2.0,,79.0,5.0,,74.0,-17.0,92.0,88.0,88.0
BCM,Q12024,,,28161.0,2480.0,1106.0,1374.0,230.0,,,230.0,4869.0,3113.0,254.0,,,5.0,1555.0,-58.0,,20348.0,20349.0,-1.0,234.0,131.0,93.0,10.0,,,25909.0,517.0,127.0,,,,,390.0,,1126.0,992.0,2731.0,-206.0,,134.0,2525.0,3150.0,2295.0,856.0,18265.0,,17673.0,592.0,,,,326.0,162.0,164.0,,,,,54069.0,,34543.0,22551.0,574.0,1416.0,19.0,59.0,9481.0,,,,935.0,9638.0,6.0,426.0,,,11991.0,2.0,0.0,,,,475.0,5.0,11370.0,,,,,139.0,,19526.0,19526.0,10350.0,10350.0,,12.0,,8.0,,-185.0,,2075.0,,,6355.0,6237.0,118.0,,913.0,,,,,,54069.0,812.0,0.0,812.0,237.0,574.0,3.0,164.0,164.0,60.0,203.0,146.0,123.0,11.0,7.0,5.0,,128.0,9.0,,119.0,1.0,118.0,114.0,114.0
BCM,Q22013,,,23604.0,2315.0,292.0,2024.0,95.0,95.0,,70.0,6760.0,2930.0,1064.0,,,26.0,2766.0,0.0,1.0,14386.0,14386.0,-3.0,48.0,1.0,1.0,6.0,,39.0,9507.0,484.0,484.0,,,,,2.0,,270.0,268.0,44.0,-1.0,,2.0,43.0,131.0,1698.0,131.0,8573.0,4348.0,4205.0,76.0,-129.0,0.0,149.0,6.0,5.0,1.0,,,0.0,,33111.0,,25512.0,16038.0,452.0,1139.0,233.0,21.0,9446.0,,,42.0,498.0,4043.0,9.0,208.0,,,9474.0,44.0,90.0,,,,24.0,3.0,9430.0,,,,6.0,18.0,,7599.0,7599.0,6135.0,6135.0,,19.0,,27.0,,,,1229.0,5.0,,234.0,19.0,95.0,,1158.0,,,,,,33111.0,53.0,,53.0,26.0,27.0,489.0,88.0,49.0,,66.0,34.0,329.0,1.0,1.0,0.0,,329.0,,,329.0,,329.0,,
BCM,Q22014,,,26412.0,1674.0,336.0,1338.0,70.0,5.0,,317.0,9049.0,5302.0,574.0,,,26.0,3173.0,-18.0,1.0,15334.0,15334.0,,286.0,6.0,0.0,279.0,,,10716.0,1844.0,1844.0,,,,,,,266.0,235.0,221.0,-2.0,,30.0,219.0,5.0,,5.0,8377.0,4239.0,4160.0,53.0,-98.0,,,5.0,5.0,474.0,,,,,37129.0,,28979.0,19994.0,337.0,1164.0,304.0,20.0,12556.0,,,11.0,520.0,4980.0,,70.0,,,8986.0,14.0,,,,,49.0,2.0,8923.0,,,,,17.0,,8149.0,8149.0,8030.0,8030.0,,,,,,,,338.0,1242.0,,115.0,,3.0,,,,,,,,37129.0,1689.0,,1689.0,1436.0,253.0,146.0,48.0,45.0,,79.0,43.0,228.0,4.0,0.0,4.0,,232.0,17.0,,215.0,,215.0,,
BCM,Q22015,,,33224.0,2326.0,235.0,2090.0,317.0,,,598.0,11802.0,6970.0,1019.0,,,,3787.0,,,18723.0,18723.0,,57.0,49.0,5.0,4.0,,,9479.0,1682.0,1682.0,,,,,,,230.0,200.0,419.0,-25.0,,31.0,395.0,12.0,,12.0,7157.0,3057.0,4171.0,113.0,-124.0,,,3.0,3.0,,,,,,42703.0,,33169.0,19699.0,677.0,1625.0,10.0,25.0,12904.0,,,,506.0,3948.0,,4.0,,,13470.0,1093.0,,,,,47.0,12.0,13394.0,,,,,,,9535.0,9535.0,7952.0,7952.0,,,,,,,,704.0,1362.0,,3.0,,,,,,,,,,42703.0,3905.0,10.0,3896.0,3630.0,266.0,39.0,89.0,89.0,,96.0,45.0,74.0,2.0,1.0,1.0,,75.0,7.0,,69.0,,69.0,,
