stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,6.Doanh thu hoạt động tài chính,7. Chi phí tài chính,Trong đó :Chi phí lãi vay,"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh,12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác,Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,15. Tổng lợi nhuận kế toán trước thuế,16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,19. Lãi cơ bản trên cổ phiếu (*),20. Lãi suy giảm trên cổ phiếu (*)
FPT,Q12007,,,2948.0,511.0,511.0,0.0,0.0,0.0,0.0,,1466.0,1175.0,182.0,33.0,0.0,,75.0,0.0,,838.0,838.0,0.0,133.0,12.0,106.0,1.0,0.0,13.0,361.0,0.0,0.0,,0.0,0.0,,0.0,0.0,324.0,248.0,0.0,0.0,0.0,19.0,0.0,,,57.0,18.0,0.0,1.0,,0.0,,17.0,19.0,18.0,0.0,,1.0,,0.0,3309.0,,1486.0,1371.0,444.0,132.0,121.0,0.0,25.0,0.0,0.0,,78.0,562.0,0.0,8.0,,0.0,115.0,0.0,,,,0.0,0.0,10.0,105.0,,,0.0,0.0,0.0,0.0,1679.0,1676.0,608.0,,,525.0,,0.0,0.0,0.0,0.0,13.0,0.0,0.0,494.0,,,0.0,,36.0,3.0,3.0,0.0,144.0,3309.0,5664.0,0.0,5664.0,5261.0,403.0,10.0,14.0,10.0,,110.0,127.0,162.0,51.0,7.0,45.0,0.0,207.0,27.0,0.0,179.0,24.0,155.0,0.0,
FPT,Q12008,,,5221.0,1455.0,1435.0,20.0,0.0,0.0,0.0,,2200.0,1564.0,366.0,12.0,66.0,,197.0,-6.0,,1392.0,1394.0,-2.0,173.0,29.0,142.0,0.0,0.0,2.0,1231.0,6.0,0.0,,0.0,0.0,,6.0,0.0,643.0,593.0,0.0,0.0,0.0,34.0,0.0,,,15.0,341.0,0.0,298.0,,-1.0,,44.0,240.0,237.0,0.0,,3.0,,0.0,6451.0,,3895.0,3820.0,989.0,197.0,205.0,0.0,145.0,0.0,13.0,,46.0,2218.0,0.0,7.0,,0.0,76.0,0.0,,,,0.0,0.0,10.0,65.0,,,0.0,0.0,0.0,0.0,2138.0,2136.0,924.0,,,525.0,,0.0,0.0,0.0,0.0,79.0,0.0,0.0,608.0,,,0.0,,0.0,3.0,3.0,0.0,418.0,6451.0,8404.0,0.0,8404.0,7714.0,690.0,42.0,47.0,22.0,,225.0,171.0,288.0,21.0,5.0,16.0,-1.0,303.0,57.0,0.0,246.0,60.0,186.0,2015.0,
FPT,Q12009,,,4531.0,906.0,906.0,0.0,6.0,6.0,0.0,,1922.0,1922.0,0.0,0.0,0.0,,0.0,0.0,,1429.0,1429.0,0.0,267.0,267.0,0.0,0.0,0.0,0.0,1436.0,5.0,5.0,,0.0,0.0,,0.0,0.0,930.0,672.0,0.0,0.0,0.0,44.0,0.0,,,213.0,294.0,294.0,0.0,,0.0,,0.0,200.0,200.0,0.0,,0.0,,6.0,5966.0,,2760.0,2595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2586.0,0.0,10.0,,0.0,165.0,9.0,,,,0.0,0.0,156.0,0.0,,,0.0,0.0,0.0,0.0,2591.0,2591.0,1412.0,,,55.0,,0.0,-2.0,0.0,0.0,108.0,0.0,0.0,1018.0,,,0.0,,0.0,0.0,0.0,0.0,615.0,5966.0,7439.0,0.0,7439.0,6563.0,876.0,26.0,72.0,13.0,,211.0,239.0,381.0,31.0,27.0,4.0,7.0,392.0,73.0,2.0,317.0,98.0,220.0,1557.0,
FPT,Q12010,,,7661.0,1336.0,983.0,352.0,1021.0,1021.0,0.0,,2376.0,1553.0,490.0,0.0,140.0,,217.0,-23.0,,2134.0,2143.0,-9.0,794.0,101.0,266.0,6.0,0.0,421.0,2762.0,1.0,0.0,,0.0,0.0,,1.0,0.0,1567.0,932.0,0.0,0.0,0.0,226.0,0.0,,,408.0,1001.0,0.0,478.0,,-32.0,,555.0,181.0,100.0,60.0,,21.0,,12.0,10423.0,,6325.0,4410.0,1053.0,442.0,383.0,11.0,233.0,0.0,8.0,,72.0,1996.0,203.0,7.0,,0.0,1915.0,0.0,,,,0.0,0.0,20.0,1892.0,,,0.0,2.0,0.0,1.0,3294.0,3291.0,1438.0,,,55.0,,0.0,-3.0,0.0,7.0,0.0,0.0,0.0,1681.0,,,0.0,,112.0,3.0,3.0,0.0,805.0,10423.0,8018.0,0.0,8018.0,7008.0,1009.0,116.0,148.0,7.0,,225.0,332.0,420.0,55.0,40.0,15.0,20.0,455.0,70.0,0.0,384.0,94.0,290.0,2021.0,
FPT,Q12011,,,9284.0,1980.0,813.0,1166.0,339.0,342.0,-3.0,,3346.0,2643.0,265.0,0.0,151.0,,349.0,-63.0,,2462.0,2472.0,-10.0,1158.0,82.0,322.0,9.0,0.0,744.0,3427.0,2.0,0.0,,0.0,0.0,,2.0,0.0,2030.0,1401.0,0.0,0.0,1.0,247.0,0.0,,,381.0,900.0,0.0,724.0,,-21.0,,197.0,274.0,154.0,83.0,,36.0,,222.0,12711.0,,7257.0,5165.0,1243.0,282.0,277.0,34.0,341.0,0.0,9.0,,292.0,2630.0,29.0,27.0,,0.0,2093.0,0.0,,,,0.0,161.0,10.0,1917.0,,,0.0,3.0,0.0,2.0,4275.0,4272.0,1935.0,,,60.0,,0.0,-1.0,0.0,12.0,0.0,0.0,113.0,2153.0,,,0.0,,0.0,3.0,3.0,0.0,1179.0,12711.0,10199.0,0.0,10199.0,9038.0,1161.0,131.0,304.0,99.0,,146.0,367.0,475.0,54.0,38.0,16.0,25.0,516.0,107.0,-7.0,416.0,120.0,297.0,1534.0,
FPT,Q12012,,,10657.0,2177.0,815.0,1362.0,880.0,880.0,0.0,,3522.0,2636.0,422.0,0.0,206.0,,373.0,-115.0,,3362.0,3384.0,-22.0,716.0,95.0,440.0,25.0,0.0,156.0,3616.0,1.0,0.0,,0.0,0.0,,1.0,0.0,2160.0,1443.0,0.0,0.0,1.0,273.0,0.0,,,443.0,862.0,0.0,222.0,,-15.0,,655.0,377.0,273.0,65.0,,39.0,,216.0,14273.0,,7515.0,7258.0,1443.0,339.0,222.0,90.0,317.0,0.0,24.0,,486.0,4017.0,20.0,75.0,,0.0,258.0,0.0,,,,0.0,0.0,221.0,0.0,,,2.0,1.0,33.0,1.0,5858.0,5856.0,2161.0,,,50.0,,0.0,-1.0,0.0,16.0,0.0,0.0,115.0,3514.0,,,0.0,,0.0,3.0,3.0,0.0,899.0,14273.0,8937.0,0.0,8937.0,7820.0,1117.0,110.0,123.0,55.0,,166.0,378.0,560.0,29.0,24.0,5.0,13.0,578.0,110.0,8.0,460.0,120.0,341.0,1577.0,
FPT,Q12013,,,9907.0,1928.0,829.0,1099.0,812.0,828.0,-16.0,,3378.0,2697.0,324.0,,247.0,,307.0,-198.0,,3007.0,3016.0,-9.0,781.0,123.0,616.0,11.0,,30.0,4152.0,1.0,,,,,,1.0,,2745.0,1928.0,,,1.0,265.0,,,,551.0,710.0,,210.0,,-163.0,,663.0,480.0,352.0,80.0,,47.0,,216.0,14059.0,,6524.0,6285.0,1521.0,380.0,238.0,118.0,304.0,,5.0,401.0,360.0,2831.0,24.0,102.0,,,239.0,,,,,,,207.0,31.0,,,,0.0,1.0,,6529.0,6526.0,2738.0,,,49.0,,,-1.0,,17.0,67.0,,,3540.0,,,,,115.0,3.0,3.0,,1006.0,14059.0,8611.0,,8611.0,7418.0,1193.0,63.0,63.0,,,255.0,387.0,552.0,56.0,35.0,21.0,1.0,574.0,105.0,-6.0,475.0,116.0,358.0,1309.0,
FPT,Q12014,,,12668.0,3123.0,1327.0,1796.0,862.0,871.0,-9.0,,4149.0,3360.0,329.0,,333.0,,381.0,-253.0,,3511.0,3528.0,-18.0,1024.0,196.0,779.0,10.0,,40.0,4778.0,1.0,,,,,,1.0,,3159.0,2318.0,,,1.0,269.0,,,,571.0,714.0,,234.0,,-182.0,,663.0,672.0,507.0,109.0,,56.0,,232.0,17446.0,,8710.0,8413.0,1706.0,504.0,134.0,173.0,397.0,,9.0,688.0,225.0,4388.0,39.0,149.0,,,297.0,,,,,,,193.0,104.0,,,0.0,0.0,0.0,,7574.0,7571.0,2752.0,,,49.0,,,-1.0,,6.0,83.0,,87.0,4567.0,,,,,0.0,3.0,3.0,,1162.0,17446.0,10867.0,,10867.0,9522.0,1345.0,84.0,61.0,351.0,,344.0,456.0,567.0,38.0,21.0,17.0,10.0,595.0,106.0,-5.0,494.0,119.0,375.0,1314.0,
FPT,Q12015,,,16320.0,3995.0,1883.0,2112.0,900.0,0.0,0.0,900.0,4907.0,3553.0,738.0,0.0,521.0,0.0,349.0,-254.0,0.0,4837.0,4904.0,-67.0,1681.0,627.0,974.0,47.0,0.0,33.0,5886.0,13.0,3.0,0.0,0.0,0.0,0.0,65.0,-55.0,3457.0,3157.0,0.0,0.0,2.0,298.0,0.0,536.0,0.0,536.0,798.0,0.0,258.0,698.0,-158.0,0.0,0.0,1082.0,534.0,158.0,0.0,63.0,,327.0,22206.0,,12363.0,11843.0,2410.0,607.0,158.0,179.0,431.0,0.0,13.0,926.0,211.0,6745.0,37.0,127.0,0.0,0.0,519.0,0.0,54.0,2.0,0.0,0.0,58.0,211.0,172.0,0.0,0.0,22.0,0.0,0.0,0.0,8381.0,8378.0,3440.0,3440.0,0.0,49.0,0.0,0.0,-1.0,0.0,13.0,81.0,0.0,87.0,4708.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1463.0,22206.0,14713.0,,14713.0,13023.0,1690.0,89.0,121.0,41.0,,523.0,507.0,629.0,38.0,17.0,21.0,-5.0,645.0,102.0,-4.0,547.0,123.0,425.0,1235.0,
FPT,Q12016,,,17462.0,3430.0,1523.0,1907.0,2223.0,,,,4955.0,3821.0,239.0,,494.0,,692.0,-291.0,,5089.0,5168.0,-79.0,1765.0,751.0,990.0,24.0,,,7234.0,,,,,,,,,4386.0,4080.0,,,2.0,304.0,,777.0,,762.0,688.0,,277.0,,-175.0,,,1028.0,863.0,165.0,,,,,24695.0,,14052.0,12948.0,2573.0,448.0,173.0,343.0,504.0,,,1023.0,322.0,7381.0,17.0,148.0,,,1104.0,,,,,,,168.0,792.0,,,,6.0,0.0,,10643.0,10640.0,3975.0,3975.0,,49.0,,,-1.0,,8.0,79.0,,,4733.0,,,,1708.0,,3.0,3.0,,,24695.0,8703.0,236.0,8467.0,6780.0,1686.0,161.0,124.0,64.0,7.0,598.0,578.0,555.0,19.0,11.0,8.0,,563.0,86.0,31.0,447.0,101.0,346.0,870.0,870.0
