stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,6.Doanh thu hoạt động tài chính,7. Chi phí tài chính,Trong đó :Chi phí lãi vay,"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh,12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác,Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,15. Tổng lợi nhuận kế toán trước thuế,16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,19. Lãi cơ bản trên cổ phiếu (*),20. Lãi suy giảm trên cổ phiếu (*)
GVR,Q12016,,,1472.0,983.0,310.0,673.0,156.0,157.0,-735.0,734.0,271.0,10.0,6.0,,,189.0,213.0,-147.0,,1.0,1.0,,61.0,2.0,43.0,15.0,,,34661.0,1626.0,,,,,1424.0,747.0,-546.0,165.0,151.0,,,,14.0,,4.0,,4.0,32862.0,27905.0,4841.0,352.0,-406.0,170.0,,5.0,5.0,,,,,,36134.0,,730.0,462.0,43.0,16.0,67.0,14.0,43.0,,,0.0,203.0,32.0,,46.0,,,268.0,,,,,,,15.0,252.0,,,,,1.0,,35403.0,35403.0,26166.0,26166.0,,,,,,,,4396.0,36.0,151.0,5.0,,5.0,4649.0,,,,,,,36134.0,42.0,,42.0,42.0,1.0,18.0,4.0,0.0,,0.0,29.0,-15.0,1.0,,1.0,,-14.0,,,-14.0,,-14.0,,
GVR,Q12017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,96.0,87.0,9.0,32.0,2.0,,,0.0,31.0,9.0,1.0,,1.0,,10.0,1.0,,10.0,,10.0,,
GVR,Q12018,,,16751.0,3759.0,1175.0,2585.0,5482.0,12.0,-8.0,5478.0,2417.0,1177.0,698.0,,,14.0,1024.0,-517.0,,4124.0,4128.0,,969.0,228.0,436.0,305.0,,,58251.0,1360.0,,,,,1044.0,270.0,-28.0,24696.0,24572.0,,,,123.0,,25491.0,,25342.0,3370.0,,2375.0,320.0,-25.0,700.0,,2167.0,2116.0,,,,,,75002.0,,27032.0,9648.0,837.0,969.0,412.0,930.0,282.0,,,181.0,1483.0,3381.0,,1173.0,,,17384.0,,,,,,,51.0,10202.0,,,,,191.0,,47970.0,47855.0,40000.0,40000.0,,,,,,,,2396.0,,24.0,1016.0,,370.0,23.0,,,,,,,75002.0,65.0,,65.0,58.0,7.0,8.0,0.0,0.0,,0.0,41.0,-27.0,1.0,,1.0,,-25.0,,,-25.0,,-25.0,,
GVR,Q12019,,,17374.0,4149.0,1549.0,2600.0,5712.0,12.0,-8.0,5708.0,3354.0,1194.0,611.0,,,12.0,1669.0,-153.0,21.0,3147.0,3201.0,-54.0,1012.0,160.0,437.0,415.0,,,59192.0,937.0,,77.0,,,1017.0,337.0,-494.0,27639.0,27517.0,1598.0,-412.0,,123.0,1187.0,23147.0,154.0,22992.0,3873.0,,2568.0,269.0,-18.0,1053.0,,2410.0,2229.0,142.0,10.0,,29.0,,76566.0,,26477.0,7887.0,684.0,856.0,261.0,571.0,343.0,,,219.0,1181.0,2953.0,,820.0,,,18590.0,8.0,179.0,59.0,,,7634.0,291.0,10227.0,,,,,192.0,,50089.0,49975.0,40000.0,40000.0,,136.0,,11.0,-107.0,-1490.0,1453.0,2462.0,,4.0,2793.0,2584.0,209.0,,4713.0,,114.0,-59.0,173.0,,76566.0,3416.0,2.0,3414.0,2781.0,633.0,102.0,135.0,130.0,45.0,80.0,283.0,280.0,144.0,15.0,129.0,,409.0,109.0,-14.0,315.0,106.0,209.0,52.0,52.0
GVR,Q12020,,,19871.0,4820.0,1023.0,3797.0,8047.0,7.0,-5.0,8045.0,2715.0,1023.0,624.0,,,8.0,1246.0,-206.0,21.0,3313.0,3392.0,-79.0,977.0,126.0,464.0,387.0,,,57055.0,720.0,,76.0,,,938.0,196.0,-490.0,30171.0,30054.0,1867.0,-503.0,1.0,117.0,1364.0,19252.0,110.0,19142.0,3067.0,,2617.0,268.0,-21.0,203.0,,2482.0,2341.0,117.0,11.0,,13.0,,76926.0,,26328.0,7697.0,773.0,651.0,164.0,419.0,337.0,,,246.0,1792.0,2616.0,18.0,700.0,,,18630.0,,99.0,94.0,,,8879.0,175.0,9182.0,,,,,202.0,,50599.0,50537.0,40000.0,40000.0,,130.0,,11.0,-108.0,-1598.0,1204.0,2918.0,,5.0,4084.0,3858.0,226.0,,3892.0,,61.0,-97.0,159.0,,76926.0,2752.0,8.0,2745.0,2232.0,513.0,240.0,152.0,155.0,70.0,63.0,258.0,350.0,71.0,19.0,52.0,,402.0,126.0,-60.0,337.0,110.0,226.0,57.0,57.0
GVR,Q12021,,,21914.0,4659.0,2068.0,2591.0,11291.0,1.0,0.0,11290.0,2624.0,901.0,531.0,,,11.0,1357.0,-236.0,61.0,2488.0,2502.0,-14.0,852.0,122.0,483.0,247.0,,,57131.0,787.0,,75.0,,,880.0,295.0,-463.0,32803.0,32689.0,2059.0,-608.0,,113.0,1451.0,15320.0,96.0,15224.0,2859.0,,2381.0,355.0,-26.0,150.0,,3912.0,3661.0,214.0,33.0,,5.0,,79045.0,,26908.0,8879.0,618.0,709.0,276.0,698.0,499.0,,,263.0,1689.0,3388.0,,720.0,,,18029.0,,80.0,74.0,,,9063.0,224.0,8181.0,,,,,407.0,,52137.0,52092.0,40000.0,40000.0,,128.0,,11.0,-72.0,-1578.0,860.0,3375.0,,1.0,5074.0,4256.0,818.0,,4292.0,,45.0,-97.0,141.0,,79045.0,4855.0,5.0,4850.0,3453.0,1396.0,186.0,47.0,147.0,115.0,94.0,310.0,1247.0,117.0,60.0,57.0,,1304.0,137.0,-50.0,1216.0,398.0,818.0,204.0,204.0
GVR,Q12022,,,22790.0,5052.0,2153.0,2899.0,9859.0,1.0,0.0,9857.0,3066.0,1247.0,665.0,,,11.0,1307.0,-194.0,32.0,3966.0,4002.0,-36.0,847.0,62.0,503.0,282.0,,,56550.0,642.0,,75.0,,,827.0,311.0,-571.0,33935.0,33815.0,2166.0,-715.0,1.0,119.0,1450.0,12711.0,190.0,12521.0,3386.0,,2381.0,355.0,-22.0,673.0,,4426.0,4144.0,203.0,77.0,,1.0,,79340.0,,25422.0,9397.0,749.0,599.0,447.0,898.0,570.0,,,319.0,2046.0,2685.0,24.0,1060.0,,,16025.0,,113.0,75.0,,,9143.0,216.0,6081.0,,,,,397.0,,53918.0,53827.0,40000.0,40000.0,,153.0,,11.0,-1.0,-1578.0,256.0,4136.0,,1.0,6619.0,5564.0,1055.0,,4228.0,,91.0,-34.0,125.0,,79340.0,4905.0,11.0,4893.0,3423.0,1470.0,178.0,145.0,126.0,53.0,113.0,345.0,1097.0,451.0,49.0,402.0,,1499.0,195.0,-11.0,1316.0,261.0,1055.0,264.0,
GVR,Q12023,,,22406.0,3577.0,1579.0,1998.0,11013.0,1.0,0.0,11012.0,2766.0,1185.0,573.0,,,11.0,1187.0,-226.0,38.0,4024.0,4110.0,-87.0,1027.0,103.0,525.0,399.0,,,54637.0,607.0,,1.0,,,777.0,249.0,-419.0,34466.0,34348.0,2229.0,-847.0,1.0,116.0,1383.0,11194.0,196.0,10998.0,2864.0,,2401.0,394.0,-54.0,124.0,,4124.0,3852.0,121.0,115.0,,36.0,,77043.0,,22752.0,8401.0,767.0,547.0,384.0,613.0,472.0,,,305.0,1575.0,2622.0,13.0,1104.0,,,14351.0,,83.0,246.0,,,9161.0,136.0,4444.0,,,4.0,,277.0,,54291.0,54217.0,40000.0,40000.0,,199.0,,11.0,-1.0,-1574.0,259.0,5090.0,,0.0,5646.0,5096.0,550.0,,4588.0,,74.0,-35.0,109.0,,77043.0,4142.0,7.0,4135.0,3129.0,1006.0,231.0,143.0,121.0,-11.0,109.0,362.0,612.0,378.0,42.0,336.0,,948.0,146.0,47.0,756.0,206.0,550.0,137.0,
GVR,Q12024,,,22975.0,4612.0,1871.0,2740.0,11744.0,1.0,0.0,11743.0,2455.0,1110.0,576.0,,,8.0,997.0,-303.0,67.0,3085.0,3110.0,-25.0,1080.0,141.0,541.0,398.0,,,53938.0,671.0,,2.0,,,798.0,238.0,-366.0,34903.0,34793.0,2271.0,-962.0,1.0,110.0,1309.0,10102.0,196.0,9906.0,2957.0,,2147.0,361.0,-47.0,497.0,,3995.0,3608.0,94.0,108.0,,185.0,,76913.0,,20895.0,7723.0,822.0,782.0,356.0,675.0,512.0,,,319.0,990.0,2445.0,6.0,815.0,,,13172.0,,79.0,105.0,,,8964.0,185.0,3482.0,,,4.0,,354.0,,56018.0,55978.0,40000.0,40000.0,,326.0,,11.0,-1.0,-1574.0,692.0,5409.0,,0.0,5897.0,5421.0,476.0,,5218.0,,40.0,-23.0,63.0,,76913.0,4590.0,5.0,4585.0,3509.0,1076.0,227.0,111.0,94.0,-6.0,113.0,363.0,709.0,123.0,53.0,70.0,,778.0,134.0,-6.0,650.0,174.0,476.0,119.0,
GVR,Q22016,,,1556.0,845.0,317.0,528.0,141.0,137.0,-131.0,134.0,517.0,2.0,4.0,,,722.0,490.0,-701.0,,1.0,1.0,,52.0,0.0,3.0,49.0,,,34931.0,1727.0,,,,,1449.0,860.0,-582.0,162.0,148.0,,,,14.0,,3.0,,3.0,33035.0,27988.0,4912.0,352.0,-386.0,170.0,,4.0,4.0,,,,,,36487.0,,937.0,668.0,46.0,10.0,351.0,27.0,32.0,,,0.0,116.0,16.0,,70.0,,,269.0,,,,,,,15.0,252.0,,,,,1.0,,35550.0,35550.0,26141.0,26141.0,,,,,,,,4367.0,28.0,204.0,161.0,,161.0,4649.0,,,,,,,36487.0,55.0,,55.0,33.0,21.0,250.0,8.0,8.0,,0.0,42.0,220.0,1.0,,1.0,,221.0,9.0,,212.0,,212.0,,
