stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,6.Doanh thu hoạt động tài chính,7. Chi phí tài chính,Trong đó :Chi phí lãi vay,"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh,12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác,Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,15. Tổng lợi nhuận kế toán trước thuế,16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,19. Lãi cơ bản trên cổ phiếu (*),20. Lãi suy giảm trên cổ phiếu (*)
PLX,Q12013,,,38154.0,8427.0,2839.0,5588.0,716.0,764.0,-48.0,,14177.0,10877.0,437.0,,2.0,,3046.0,-185.0,,13227.0,13246.0,-19.0,1606.0,89.0,1193.0,98.0,,226.0,20726.0,0.0,0.0,,,,,0.0,0.0,16806.0,12667.0,164.0,-20.0,5.0,2665.0,143.0,1130.0,,1469.0,2531.0,,2185.0,,-176.0,,521.0,1222.0,1203.0,4.0,,15.0,,24.0,58879.0,,44345.0,38963.0,16934.0,238.0,3551.0,337.0,373.0,,,,252.0,17161.0,83.0,34.0,,,5382.0,,,,,,17.0,154.0,4165.0,,,3.0,1199.0,-158.0,,11896.0,11896.0,10700.0,10700.0,,,,749.0,,-1224.0,-29.0,458.0,,31.0,1066.0,,,,,146.0,,,,2638.0,58879.0,52452.0,1372.0,51080.0,49419.0,1661.0,172.0,323.0,159.0,,1265.0,207.0,38.0,292.0,126.0,166.0,130.0,334.0,88.0,1.0,245.0,28.0,217.0,203.0,
PLX,Q12014,,,44739.0,8045.0,3691.0,4354.0,1208.0,1234.0,-27.0,,13757.0,9675.0,372.0,,,,3957.0,-246.0,,18936.0,18949.0,-13.0,2793.0,78.0,1465.0,507.0,,743.0,20525.0,8.0,0.0,,,,,9.0,0.0,16662.0,12605.0,233.0,-26.0,4.0,2893.0,207.0,1086.0,,1160.0,2343.0,,2062.0,,-187.0,,467.0,1288.0,1270.0,3.0,,15.0,,17.0,65263.0,,49423.0,43109.0,14970.0,343.0,1485.0,361.0,378.0,,,,315.0,25115.0,95.0,48.0,,,6314.0,,,,,,12.0,1976.0,3678.0,,,0.0,11.0,647.0,,13118.0,13118.0,10700.0,10700.0,,,,792.0,,-1224.0,-37.0,558.0,,39.0,2122.0,,,,,169.0,,,,2722.0,65263.0,51818.0,1328.0,50490.0,48692.0,1798.0,145.0,222.0,182.0,,1324.0,195.0,201.0,55.0,34.0,21.0,115.0,337.0,81.0,0.0,256.0,36.0,220.0,206.0,
PLX,Q12015,,,34123.0,10104.0,5232.0,4872.0,2136.0,2168.0,-32.0,2228.0,9857.0,7472.0,474.0,,,,2287.0,-375.0,1.0,8772.0,8799.0,-26.0,3253.0,258.0,209.0,1233.0,,1553.0,20775.0,3.0,0.0,,,,,3.0,0.0,15763.0,12726.0,233.0,-34.0,,3037.0,198.0,880.0,,880.0,2583.0,,2230.0,373.0,-124.0,138.0,477.0,1347.0,1252.0,2.0,,84.0,5.0,10.0,54899.0,,40370.0,34937.0,11411.0,513.0,1788.0,429.0,233.0,,,62.0,461.0,17443.0,2571.0,87.0,2377.0,,5434.0,10.0,12.0,,,,16.0,181.0,3299.0,,,0.0,1.0,1927.0,,11676.0,11676.0,10700.0,10700.0,,4.0,,739.0,,-1325.0,-28.0,633.0,,40.0,787.0,-382.0,2802.0,,2882.0,126.0,,,,2852.0,54899.0,39397.0,1460.0,37937.0,35155.0,2782.0,133.0,705.0,155.0,,1576.0,219.0,415.0,82.0,61.0,21.0,140.0,576.0,114.0,1.0,461.0,73.0,388.0,362.0,
PLX,Q12016,,,30033.0,11678.0,4906.0,6772.0,1936.0,71.0,-27.0,,8472.0,6215.0,566.0,,,,2115.0,-425.0,,6181.0,6292.0,-111.0,1765.0,223.0,277.0,388.0,,877.0,20713.0,35.0,22.0,,,,,43.0,-30.0,15180.0,12940.0,270.0,-45.0,,2240.0,225.0,773.0,,773.0,3131.0,,2425.0,,-119.0,,,1368.0,1355.0,2.0,,7.0,,,50745.0,,33320.0,30054.0,8376.0,713.0,2553.0,480.0,375.0,,,,701.0,11692.0,2588.0,137.0,,,3266.0,,,,,,4.0,171.0,3066.0,,,3.0,1.0,8.0,,17425.0,17425.0,10700.0,10700.0,,0.0,,866.0,,-1317.0,-54.0,765.0,,42.0,3357.0,,,,,,,,,,50745.0,27553.0,12.0,27541.0,24588.0,2952.0,180.0,186.0,156.0,155.0,1703.0,233.0,1167.0,235.0,31.0,204.0,0.0,1371.0,234.0,2.0,1134.0,105.0,1029.0,994.0,0.0
PLX,Q12017,,,37546.0,12106.0,4162.0,7945.0,2681.0,64.0,-20.0,2637.0,8301.0,7624.0,401.0,,,,703.0,-427.0,1.0,11599.0,11624.0,-25.0,2859.0,306.0,509.0,1034.0,,1010.0,20990.0,65.0,49.0,,,,,57.0,-41.0,15532.0,13653.0,318.0,-61.0,,1879.0,257.0,684.0,,684.0,2556.0,,2199.0,358.0,-115.0,114.0,,1896.0,1878.0,10.0,0.0,8.0,,,58536.0,,34435.0,31252.0,11780.0,528.0,2178.0,626.0,308.0,,,82.0,487.0,10120.0,2922.0,212.0,2009.0,,3184.0,,11.0,1.0,,,7.0,192.0,2937.0,,,5.0,18.0,13.0,,24101.0,24101.0,12939.0,12939.0,,3004.0,,990.0,-1351.0,-1317.0,-74.0,856.0,,81.0,5976.0,4987.0,989.0,,3198.0,,,,,,58536.0,35811.0,9.0,35801.0,32619.0,3182.0,254.0,233.0,142.0,172.0,1800.0,239.0,1336.0,33.0,19.0,14.0,,1350.0,243.0,1.0,1106.0,117.0,989.0,868.0,
PLX,Q12018,,,43674.0,15165.0,5908.0,9257.0,2070.0,6.0,-2.0,2066.0,8953.0,8113.0,483.0,,,,670.0,-315.0,2.0,14627.0,14649.0,-22.0,2859.0,232.0,484.0,2107.0,,36.0,21130.0,85.0,73.0,,,,,39.0,-27.0,15020.0,13080.0,228.0,-60.0,,1941.0,168.0,834.0,2.0,831.0,3023.0,,2819.0,313.0,-110.0,2.0,,1999.0,1964.0,32.0,0.0,3.0,,,64803.0,,40551.0,37922.0,12742.0,157.0,2339.0,470.0,369.0,,,22.0,357.0,18472.0,66.0,192.0,2737.0,,2629.0,,11.0,1.0,,,16.0,164.0,2391.0,,,6.0,38.0,3.0,,24252.0,24252.0,12939.0,12939.0,,2247.0,,1132.0,-1351.0,-1317.0,7.0,953.0,,1333.0,5391.0,4493.0,898.0,,2917.0,,,,,,64803.0,45442.0,11.0,45430.0,42220.0,3211.0,163.0,268.0,206.0,184.0,1957.0,150.0,1183.0,32.0,8.0,24.0,,1206.0,202.0,1.0,1003.0,105.0,898.0,775.0,
PLX,Q12019,,,37894.0,8564.0,5450.0,3114.0,7463.0,5.0,-3.0,7460.0,8910.0,8273.0,414.0,,,,553.0,-332.0,1.0,11516.0,11554.0,-38.0,1442.0,132.0,461.0,826.0,,23.0,21572.0,20.0,1.0,,,,,50.0,-31.0,14969.0,12924.0,266.0,-72.0,,2046.0,194.0,883.0,,883.0,3278.0,,3081.0,311.0,-117.0,3.0,,2227.0,2198.0,26.0,0.0,3.0,,,59466.0,,34465.0,32832.0,15020.0,122.0,3267.0,453.0,743.0,,,6.0,382.0,12485.0,72.0,195.0,89.0,,1633.0,,12.0,,,,1.0,156.0,1385.0,,,7.0,73.0,,,25000.0,25000.0,12939.0,12939.0,,2840.0,,1094.0,-1231.0,-1295.0,14.0,974.0,,1337.0,5538.0,4337.0,1201.0,,2790.0,,,,,,59466.0,41972.0,11.0,41961.0,38183.0,3778.0,167.0,206.0,185.0,166.0,2254.0,135.0,1517.0,60.0,8.0,52.0,,1568.0,260.0,14.0,1294.0,94.0,1201.0,1036.0,
PLX,Q12020,,,31940.0,10666.0,4394.0,6272.0,4387.0,9.0,-3.0,4380.0,8379.0,7842.0,324.0,,,,672.0,-460.0,1.0,6759.0,8418.0,-1659.0,1748.0,204.0,264.0,1257.0,,23.0,23139.0,26.0,5.0,,,,,50.0,-30.0,15449.0,13323.0,312.0,-95.0,,2126.0,217.0,946.0,,946.0,3993.0,,3002.0,315.0,-124.0,800.0,,2509.0,2454.0,51.0,0.0,4.0,,,55079.0,,33119.0,31387.0,7445.0,209.0,2662.0,408.0,466.0,,,39.0,2853.0,14742.0,81.0,185.0,2297.0,,1731.0,1.0,25.0,15.0,,,36.0,133.0,1455.0,,,11.0,57.0,,,21960.0,21960.0,12939.0,12939.0,,3926.0,,1101.0,-1031.0,-1295.0,19.0,1193.0,,91.0,1847.0,3740.0,-1893.0,,3170.0,,,,,,55079.0,38495.0,17.0,38478.0,38028.0,450.0,230.0,352.0,201.0,134.0,2016.0,149.0,-1703.0,26.0,25.0,1.0,,-1702.0,111.0,0.0,-1813.0,80.0,-1893.0,-1590.0,
PLX,Q12021,,,41150.0,9637.0,5444.0,4193.0,9228.0,9.0,-3.0,9221.0,9821.0,9454.0,344.0,,,,535.0,-512.0,0.0,10412.0,10557.0,-145.0,2051.0,148.0,568.0,1313.0,,23.0,23363.0,31.0,1.0,,,,,59.0,-29.0,15418.0,13210.0,312.0,-105.0,,2208.0,207.0,710.0,,710.0,4418.0,,3215.0,310.0,-107.0,1000.0,,2579.0,2519.0,56.0,0.0,4.0,,,64512.0,,38035.0,36442.0,15341.0,200.0,3063.0,482.0,667.0,,,42.0,279.0,13874.0,183.0,323.0,1989.0,,1593.0,,17.0,16.0,,,26.0,123.0,1307.0,,,30.0,74.0,,,26478.0,26478.0,12939.0,12939.0,,6163.0,,1128.0,-501.0,-1295.0,12.0,1305.0,,114.0,3588.0,2927.0,661.0,,3024.0,,,,,,64512.0,38269.0,22.0,38247.0,34853.0,3394.0,210.0,186.0,144.0,170.0,2422.0,181.0,984.0,36.0,6.0,29.0,,1013.0,216.0,60.0,736.0,75.0,661.0,602.0,
PLX,Q12022,,,58388.0,6668.0,3637.0,3030.0,12350.0,7.0,-1.0,12344.0,12175.0,11700.0,380.0,,,,601.0,-507.0,1.0,24254.0,24777.0,-523.0,2942.0,261.0,1666.0,1012.0,,3.0,24824.0,32.0,27.0,,,,,40.0,-35.0,14424.0,12146.0,198.0,-72.0,,2278.0,126.0,637.0,,637.0,6920.0,,3369.0,263.0,-114.0,3401.0,,2686.0,2619.0,63.0,0.0,4.0,,,83212.0,,54536.0,53294.0,31881.0,248.0,3291.0,522.0,506.0,,,37.0,238.0,16522.0,230.0,234.0,-415.0,,1241.0,,17.0,11.0,,,25.0,86.0,1040.0,,,12.0,51.0,,,28676.0,28676.0,12939.0,12939.0,,7359.0,,1102.0,-233.0,-1295.0,30.0,1639.0,,119.0,3845.0,3474.0,371.0,,3172.0,,,,,,83212.0,67044.0,24.0,67020.0,64242.0,2777.0,321.0,300.0,155.0,234.0,2298.0,182.0,553.0,26.0,8.0,18.0,,571.0,131.0,-3.0,442.0,199.0,243.0,208.0,
