stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,1. Thu nhập lãi và các khoản thu nhập tương tự,2. Chi phí lãi và các chi phí tương tự,I. Thu nhập lãi thuần,3. Thu nhập từ hoạt động dịch vụ,4. Chi phí hoạt động dịch vụ,II. Lãi/lỗ thuần từ hoạt động dịch vụ,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,5. Thu nhập từ hoạt động khác,6. Chi phí hoạt động khác,VI. Lãi/lỗ thuần từ hoạt động khác,"VII. Thu nhập từ góp vốn, mua cổ phần",VIII. Chi phí hoạt động,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),X. Chi phí dự phòng rủi ro tín dụng,XI. Tổng lợi nhuận trước thuế (IX-X),7. Chi phí thuế TNDN hiện hành,8. Chi phí thuế TNDN hoãn lại,XII. Chi phí thuế TNDN,XIII. Lợi nhuận sau thuế (XI-XII),XIV. Lợi ích của cổ đông thiểu số,XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),Lãi cơ bản trên cổ phiếu (BCTC)
TPB,Q12010,,,84.0,190.0,2329.0,2329.0,0.0,0.0,200.0,207.0,-7.0,0.0,3838.0,3870.0,-32.0,,,,4563.0,4563.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,108.0,84.0,32.0,-8.0,0.0,24.0,0.0,0.0,0.0,2144.0,668.0,224.0,0.0,1253.0,0.0,0.0,13465.0,,497.0,4177.0,4177.0,0.0,6198.0,22.0,367.0,0.0,150.0,80.0,0.0,70.0,0.0,11411.0,2054.0,1989.0,1750.0,0.0,239.0,0.0,0.0,0.0,28.0,-4.0,0.0,42.0,,0.0,13465.0,430.0,379.0,50.0,9.0,3.0,6.0,7.0,0.0,3.0,9.0,1.0,9.0,3.0,39.0,39.0,11.0,29.0,8.0,0.0,8.0,21.0,0.0,21.0,0.0
TPB,Q12011,,,152.0,176.0,6760.0,6760.0,0.0,0.0,114.0,121.0,-7.0,0.0,4265.0,4333.0,-69.0,,,,7719.0,7719.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,111.0,92.0,33.0,-14.0,0.0,18.0,0.0,0.0,0.0,6263.0,297.0,357.0,0.0,5609.0,0.0,0.0,25570.0,,627.0,9750.0,9750.0,0.0,8662.0,86.0,120.0,2651.0,423.0,149.0,0.0,274.0,0.0,22320.0,3250.0,2997.0,3000.0,0.0,0.0,-3.0,0.0,0.0,42.0,-9.0,0.0,219.0,,0.0,25570.0,499.0,524.0,-24.0,9.0,4.0,6.0,-40.0,0.0,3.0,189.0,3.0,185.0,0.0,51.0,78.0,0.0,78.0,20.0,0.0,20.0,59.0,0.0,59.0,0.0
TPB,Q12014,,,314.0,36.0,1936.0,1338.0,765.0,-168.0,184.0,210.0,-26.0,4.0,13161.0,13309.0,-149.0,,,,11955.0,11583.0,438.0,-66.0,9.0,,,10.0,-1.0,66.0,53.0,48.0,-36.0,,12.0,,,,2026.0,1280.0,640.0,,1081.0,,-974.0,29690.0,,29.0,7676.0,3387.0,4289.0,15507.0,28.0,182.0,2226.0,424.0,317.0,,98.0,9.0,25862.0,3828.0,4527.0,5550.0,,-1020.0,-3.0,,,42.0,4.0,,-746.0,,,29690.0,562.0,345.0,217.0,13.0,4.0,8.0,10.0,13.0,6.0,17.0,1.0,16.0,,114.0,156.0,35.0,120.0,,,,120.0,,120.0,
TPB,Q12015,,,493.0,103.0,4840.0,3710.0,1148.0,-18.0,145.0,145.0,,,20103.0,20305.0,-202.0,,,,17588.0,17362.0,476.0,-251.0,9.0,,,10.0,-1.0,78.0,58.0,61.0,-41.0,,20.0,,,,1557.0,1019.0,741.0,,683.0,,-886.0,44916.0,,668.0,15981.0,8993.0,6988.0,23967.0,92.0,180.0,,398.0,259.0,,139.0,,40556.0,4360.0,4527.0,5550.0,,-1020.0,-3.0,,,42.0,-10.0,,-199.0,,,44916.0,738.0,433.0,305.0,19.0,7.0,12.0,-7.0,,23.0,3.0,5.0,-2.0,,175.0,156.0,,156.0,22.0,,22.0,134.0,,134.0,
TPB,Q12016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.0,717.0,408.0,28.0,9.0,18.0,-19.0,,1.0,0.0,2.0,-2.0,,239.0,167.0,74.0,93.0,,,,93.0,,93.0,
TPB,Q12017,,,816.0,1080.0,27883.0,25523.0,2360.0,,,,,,52559.0,53074.0,-515.0,,,,29406.0,28837.0,1002.0,-433.0,,,,,,196.0,115.0,,,,,,,,3104.0,1450.0,1273.0,,1270.0,,-889.0,115678.0,,1153.0,48238.0,35461.0,12777.0,57072.0,,1637.0,,1317.0,844.0,,473.0,,109519.0,6159.0,5521.0,5842.0,,-238.0,-83.0,,,161.0,,,478.0,,,115678.0,1612.0,999.0,613.0,51.0,23.0,28.0,-20.0,,103.0,2.0,3.0,-1.0,,431.0,291.0,75.0,215.0,,,,215.0,,215.0,
TPB,Q12018,,,1319.0,1092.0,14556.0,14256.0,300.0,,,,,,69053.0,69795.0,-742.0,554.0,559.0,-4.0,28882.0,28369.0,993.0,-480.0,,,,,,243.0,164.0,171.0,-93.0,,79.0,,,,5515.0,2974.0,1335.0,,1245.0,,-39.0,121214.0,,1060.0,31264.0,24318.0,6946.0,73127.0,30.0,1900.0,4516.0,2039.0,1251.0,,789.0,,113936.0,7278.0,5552.0,5842.0,,-234.0,-55.0,,,161.0,75.0,,1497.0,,,121214.0,2161.0,1228.0,933.0,103.0,28.0,75.0,-16.0,,174.0,23.0,1.0,22.0,,608.0,580.0,67.0,513.0,,,,513.0,,513.0,
TPB,Q12019,,,1315.0,4912.0,19121.0,18461.0,660.0,,,,,56.0,83680.0,84724.0,-1044.0,1187.0,1197.0,-10.0,20973.0,20738.0,801.0,-567.0,,,,,,358.0,256.0,230.0,-128.0,,102.0,,,,8377.0,4670.0,1169.0,,2538.0,,,139944.0,,925.0,36198.0,22891.0,13307.0,77913.0,,254.0,10954.0,2358.0,1371.0,,988.0,,128602.0,11342.0,8510.0,8566.0,,0.0,-55.0,,,305.0,,,2488.0,,,139944.0,2709.0,1425.0,1284.0,275.0,58.0,217.0,-14.0,,397.0,25.0,3.0,22.0,,898.0,1008.0,155.0,853.0,171.0,,171.0,682.0,,682.0,
TPB,Q12020,,,1608.0,3250.0,23885.0,20491.0,3394.0,,,,,86.0,99077.0,100509.0,-1432.0,1021.0,1029.0,-8.0,37789.0,37870.0,45.0,-126.0,40.0,,,40.0,,627.0,405.0,412.0,-190.0,,222.0,,,,9250.0,6091.0,1670.0,,1504.0,,-15.0,176632.0,,1475.0,50977.0,34380.0,16597.0,89687.0,,728.0,16500.0,3402.0,2138.0,,1264.0,,162769.0,13863.0,7657.0,8566.0,,0.0,-909.0,,,576.0,205.0,,5424.0,,,176632.0,3484.0,1756.0,1728.0,292.0,135.0,157.0,-83.0,,323.0,414.0,108.0,306.0,,1096.0,1334.0,324.0,1009.0,200.0,,200.0,809.0,,809.0,
TPB,Q12021,,,1829.0,10467.0,14595.0,8734.0,5861.0,,,,,154.0,122399.0,124387.0,-1988.0,1000.0,1008.0,-8.0,49335.0,49427.0,45.0,-136.0,,,,,,780.0,538.0,513.0,-272.0,,241.0,,,,15593.0,12428.0,1643.0,,1576.0,,-54.0,216153.0,,668.0,48712.0,28483.0,20229.0,120037.0,,680.0,24444.0,3662.0,2643.0,,1019.0,,198203.0,17950.0,9859.0,10717.0,,51.0,-909.0,,,862.0,,,7161.0,,,216153.0,4093.0,1830.0,2263.0,445.0,163.0,282.0,-2.0,,270.0,142.0,158.0,-16.0,,985.0,1813.0,391.0,1422.0,284.0,,284.0,1138.0,,1138.0,
TPB,Q12022,,,2477.0,14077.0,37628.0,28993.0,8636.0,,,,,,147720.0,149875.0,-2155.0,354.0,356.0,-3.0,77405.0,77804.0,45.0,-443.0,,,,,,741.0,479.0,632.0,-369.0,,262.0,,,,22220.0,18293.0,2276.0,,1655.0,,-4.0,302623.0,,532.0,80248.0,45450.0,34798.0,152539.0,,409.0,37220.0,4242.0,2897.0,,1345.0,,275242.0,27380.0,18379.0,15818.0,,2561.0,,,,1389.0,,,7515.0,,,302623.0,5031.0,2199.0,2831.0,744.0,232.0,511.0,32.0,,81.0,275.0,115.0,160.0,,1238.0,2378.0,755.0,1623.0,324.0,,324.0,1299.0,,1299.0,
