stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,1. Thu nhập lãi và các khoản thu nhập tương tự,2. Chi phí lãi và các chi phí tương tự,I. Thu nhập lãi thuần,3. Thu nhập từ hoạt động dịch vụ,4. Chi phí hoạt động dịch vụ,II. Lãi/lỗ thuần từ hoạt động dịch vụ,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,5. Thu nhập từ hoạt động khác,6. Chi phí hoạt động khác,VI. Lãi/lỗ thuần từ hoạt động khác,"VII. Thu nhập từ góp vốn, mua cổ phần",VIII. Chi phí hoạt động,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),X. Chi phí dự phòng rủi ro tín dụng,XI. Tổng lợi nhuận trước thuế (IX-X),7. Chi phí thuế TNDN hiện hành,8. Chi phí thuế TNDN hoãn lại,XII. Chi phí thuế TNDN,XIII. Lợi nhuận sau thuế (XI-XII),XIV. Lợi ích của cổ đông thiểu số,XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),Lãi cơ bản trên cổ phiếu (BCTC)
VCB,Q12009,,,3512.0,27925.0,25216.0,23971.0,1254.0,-9.0,256.0,392.0,-136.0,0.0,113136.0,117445.0,-4309.0,,,,42581.0,30666.0,12140.0,-225.0,2997.0,0.0,1215.0,1972.0,-190.0,1287.0,975.0,468.0,-155.0,0.0,313.0,0.0,0.0,0.0,3583.0,1349.0,1423.0,0.0,812.0,0.0,0.0,220493.0,,5104.0,34820.0,33124.0,1695.0,147524.0,0.0,2547.0,2438.0,13069.0,3067.0,1.0,9290.0,711.0,205502.0,14884.0,12177.0,12101.0,0.0,0.0,0.0,0.0,76.0,643.0,129.0,10.0,1924.0,,108.0,220493.0,3845.0,2457.0,1388.0,289.0,67.0,222.0,270.0,26.0,0.0,55.0,11.0,44.0,36.0,528.0,1460.0,0.0,1460.0,345.0,0.0,345.0,1115.0,4.0,1111.0,0.0
VCB,Q12010,,,4317.0,12803.0,33283.0,32059.0,1235.0,-11.0,,,,,146446.0,151441.0,-4996.0,,,,32300.0,20521.0,12205.0,-426.0,3688.0,0.0,1326.0,2466.0,-103.0,1467.0,1115.0,536.0,-184.0,,352.0,,,,4739.0,2658.0,1543.0,,538.0,,,239127.0,,10966.0,31392.0,26756.0,4636.0,166890.0,0.0,0.0,307.0,11955.0,2234.0,0.0,,840.0,221509.0,17497.0,12146.0,12101.0,,,,,,1000.0,170.0,,4171.0,,,239127.0,4192.0,2435.0,1757.0,372.0,88.0,284.0,201.0,165.0,0.0,96.0,48.0,48.0,27.0,711.0,1771.0,353.0,1418.0,345.0,0.0,345.0,1073.0,5.0,1068.0,0.0
VCB,Q12011,,,5009.0,22494.0,71158.0,69159.0,2005.0,-6.0,,,,39.0,191824.0,197931.0,-6107.0,,,,31099.0,27530.0,3869.0,-299.0,4062.0,0.0,1762.0,2419.0,-120.0,1521.0,1120.0,,,0.0,,,,,5261.0,2236.0,2601.0,,423.0,,,332477.0,,14480.0,70989.0,62285.0,8704.0,205225.0,,45.0,2624.0,12415.0,2691.0,,8712.0,1010.0,305777.0,26562.0,18620.0,17588.0,,,,,,1457.0,364.0,,6086.0,,,332477.0,7852.0,5045.0,2806.0,403.0,157.0,245.0,399.0,-3.0,0.0,88.0,52.0,36.0,81.0,1270.0,2295.0,400.0,1895.0,454.0,0.0,454.0,1441.0,6.0,1435.0,816.0
VCB,Q12012,,,5394.0,19159.0,91762.0,50427.0,41665.0,-330.0,106.0,107.0,0.0,54.0,202260.0,208214.0,-5954.0,,,,24896.0,21467.0,3751.0,-321.0,2857.0,0.0,736.0,2324.0,-203.0,2596.0,1462.0,1392.0,-258.0,0.0,1134.0,0.0,0.0,0.0,9824.0,5672.0,2529.0,0.0,1622.0,0.0,0.0,358908.0,,19144.0,49558.0,18939.0,30619.0,224479.0,0.0,0.0,2067.0,21867.0,2555.0,7.0,18408.0,898.0,317117.0,41644.0,32421.0,23174.0,0.0,9201.0,0.0,0.0,45.0,2117.0,173.0,70.0,6863.0,,148.0,358908.0,8750.0,5450.0,3300.0,351.0,181.0,170.0,353.0,22.0,0.0,103.0,30.0,74.0,185.0,1419.0,2685.0,950.0,1735.0,388.0,0.0,388.0,1347.0,5.0,1342.0,584.0
VCB,Q12013,,,5029.0,17381.0,70351.0,59109.0,11363.0,-121.0,142.0,142.0,0.0,,233166.0,239174.0,-6009.0,,,,79487.0,74148.0,5650.0,-311.0,3067.0,,15.0,2369.0,-37.0,3519.0,2188.0,1676.0,-345.0,,1331.0,,,,8338.0,4971.0,3047.0,,319.0,,,420480.0,,12655.0,37775.0,21850.0,15925.0,297759.0,350.0,,2021.0,27283.0,3431.0,55.0,23229.0,568.0,377842.0,42482.0,32421.0,23174.0,,9201.0,,,45.0,2794.0,-59.0,71.0,7255.0,,157.0,420480.0,7381.0,4790.0,2591.0,616.0,233.0,383.0,476.0,6.0,51.0,45.0,27.0,19.0,80.0,1333.0,2273.0,808.0,1465.0,348.0,,348.0,1117.0,5.0,1112.0,482.0
VCB,Q12014,,,6222.0,16693.0,51874.0,41649.0,10319.0,-94.0,162.0,163.0,-1.0,137.0,271486.0,279149.0,-7663.0,,,,85801.0,69195.0,16634.0,-28.0,3057.0,700.0,16.0,2374.0,-36.0,3954.0,2447.0,1948.0,-441.0,,1507.0,,,,6868.0,2755.0,3094.0,3.0,1016.0,,,446118.0,,13125.0,25398.0,19191.0,6207.0,342998.0,,,2011.0,18417.0,3540.0,17.0,14273.0,586.0,402006.0,43959.0,32421.0,23174.0,,9201.0,,,45.0,3468.0,532.0,82.0,7455.0,,153.0,446118.0,6702.0,3936.0,2766.0,736.0,312.0,424.0,442.0,66.0,180.0,255.0,14.0,241.0,0.0,1420.0,2699.0,1198.0,1501.0,331.0,,331.0,1170.0,4.0,1166.0,503.0
VCB,Q12015,,,6773.0,17144.0,95725.0,43100.0,52922.0,-297.0,11598.0,11603.0,-5.0,0.0,322490.0,330782.0,-8292.0,0.0,0.0,0.0,68872.0,51797.0,17368.0,-293.0,3534.0,0.0,699.0,2858.0,-23.0,4345.0,2721.0,2142.0,-518.0,0.0,1624.0,0.0,0.0,0.0,9275.0,3509.0,3503.0,2.0,2261.0,0.0,0.0,539757.0,,13894.0,31768.0,27814.0,3954.0,436320.0,278.0,0.0,2509.0,10355.0,4314.0,18.0,6023.0,0.0,495123.0,44634.0,32421.0,26650.0,0.0,5725.0,0.0,0.0,45.0,4152.0,67.0,83.0,7760.0,151.0,0.0,539757.0,7386.0,3890.0,3496.0,684.0,347.0,338.0,471.0,96.0,44.0,204.0,10.0,194.0,1.0,1667.0,2973.0,1517.0,1456.0,321.0,,321.0,1135.0,3.0,1132.0,425.0
VCB,Q12016,,,7642.0,13421.0,106096.0,70089.0,36007.0,0.0,8234.0,8247.0,-14.0,36.0,401741.0,411634.0,-9893.0,0.0,0.0,0.0,105918.0,38714.0,67904.0,-700.0,3568.0,0.0,775.0,2829.0,-36.0,4914.0,3248.0,2231.0,-566.0,0.0,1665.0,0.0,0.0,0.0,10755.0,3400.0,4759.0,3.0,2594.0,0.0,-1.0,662324.0,,21561.0,65175.0,45591.0,19585.0,513997.0,0.0,0.0,2473.0,11970.0,4508.0,19.0,7442.0,0.0,615176.0,47148.0,32421.0,26650.0,0.0,5725.0,0.0,0.0,45.0,4941.0,238.0,89.0,9314.0,145.0,0.0,662324.0,8806.0,4273.0,4533.0,955.0,416.0,539.0,564.0,40.0,0.0,357.0,71.0,286.0,11.0,2367.0,3605.0,1305.0,2299.0,459.0,-1.0,458.0,1841.0,4.0,1837.0,689.0
VCB,Q12017,,,8867.0,24077.0,116799.0,87542.0,29258.0,0.0,10472.0,10497.0,-25.0,703.0,490076.0,499587.0,-9511.0,,,,122950.0,35087.0,88061.0,-198.0,3647.0,,11.0,2829.0,-14.0,5551.0,3639.0,2519.0,-607.0,,1912.0,,,,11138.0,3570.0,5563.0,2.0,2004.0,,-1.0,794279.0,,50367.0,57539.0,41045.0,16494.0,609314.0,,,10056.0,16691.0,6626.0,19.0,10046.0,,743966.0,50313.0,36023.0,35978.0,,,,,45.0,5937.0,86.0,83.0,8037.0,147.0,,794279.0,10772.0,5496.0,5276.0,1211.0,561.0,650.0,642.0,104.0,-50.0,598.0,35.0,563.0,103.0,3150.0,4138.0,1401.0,2737.0,527.0,,527.0,2210.0,4.0,2206.0,613.0
VCB,Q12018,,,9656.0,27849.0,157074.0,107376.0,49698.0,,12497.0,12565.0,-68.0,945.0,568031.0,577615.0,-9583.0,,,,205137.0,99847.0,105458.0,-168.0,3398.0,,887.0,2536.0,-25.0,6077.0,4128.0,2607.0,-658.0,,1949.0,,,,13240.0,4602.0,6387.0,6.0,2248.0,,-2.0,1003906.0,,131381.0,40590.0,35261.0,5329.0,730987.0,,27.0,18295.0,26560.0,8487.0,20.0,18054.0,,947840.0,56066.0,36322.0,35978.0,,,,,344.0,7254.0,96.0,83.0,12217.0,93.0,,1003906.0,12728.0,6531.0,6197.0,1579.0,698.0,881.0,615.0,277.0,,1630.0,27.0,1603.0,351.0,4067.0,5857.0,1498.0,4359.0,851.0,0.0,851.0,3508.0,4.0,3504.0,974.0
