stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,6.Doanh thu hoạt động tài chính,7. Chi phí tài chính,Trong đó :Chi phí lãi vay,"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh,12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác,Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,15. Tổng lợi nhuận kế toán trước thuế,16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,19. Lãi cơ bản trên cổ phiếu (*),20. Lãi suy giảm trên cổ phiếu (*)
VHM,Q12016,,,10521.0,253.0,251.0,2.0,53.0,,,53.0,1206.0,139.0,575.0,,,362.0,138.0,-7.0,0.0,8100.0,8103.0,-3.0,908.0,589.0,60.0,0.0,,260.0,17722.0,21.0,,,,,8.0,13.0,,3199.0,3160.0,245.0,-25.0,,39.0,219.0,1562.0,,1562.0,12252.0,,10681.0,1571.0,,50.0,,469.0,59.0,5.0,,,404.0,,28243.0,,21561.0,21120.0,1190.0,11686.0,40.0,14.0,1223.0,,,11.0,4334.0,2622.0,,0.0,,,441.0,,,,,,28.0,4.0,376.0,,,3.0,29.0,,,6682.0,6682.0,2000.0,2000.0,,,,,,,,,,-41.0,1344.0,1446.0,-102.0,,3379.0,,,,,,28243.0,367.0,,367.0,278.0,89.0,171.0,98.0,98.0,480.0,100.0,164.0,378.0,3.0,0.0,3.0,,381.0,,,381.0,-37.0,418.0,,
VHM,Q12017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3378.0,,3378.0,1947.0,1431.0,99.0,155.0,152.0,82.0,400.0,139.0,918.0,10.0,6.0,4.0,,923.0,154.0,,768.0,28.0,740.0,,
VHM,Q12018,,,79163.0,4710.0,1057.0,3653.0,1194.0,,,1194.0,19369.0,6339.0,6054.0,,,16425.0,2318.0,-112.0,,36189.0,36289.0,-100.0,17702.0,1590.0,246.0,36.0,,15831.0,38104.0,136.0,,,,,3.0,133.0,,708.0,687.0,5749.0,-404.0,,22.0,5344.0,19086.0,,19086.0,189.0,,,139.0,,50.0,,12640.0,510.0,102.0,,2608.0,1135.0,,117268.0,,75305.0,61808.0,2857.0,19237.0,1585.0,0.0,4688.0,,,523.0,10577.0,22313.0,,,,,13496.0,,,,,,1800.0,4639.0,6851.0,,,,180.0,,,41963.0,41963.0,26796.0,26796.0,,,,,,,,,,1835.0,8820.0,93.0,8727.0,,4453.0,,,,,,117268.0,10535.0,,10535.0,7676.0,2859.0,1196.0,301.0,300.0,0.0,531.0,198.0,3025.0,1862.0,19.0,1843.0,,4869.0,910.0,-27.0,3986.0,80.0,3906.0,1994.0,1994.0
VHM,Q12019,,,96614.0,2387.0,1381.0,1006.0,831.0,,,831.0,47304.0,9370.0,3954.0,,,2847.0,31250.0,-117.0,,36887.0,37010.0,-124.0,9206.0,1792.0,763.0,139.0,,6512.0,31858.0,40.0,,,,,1302.0,40.0,,218.0,172.0,6041.0,-208.0,,45.0,5833.0,18377.0,,18377.0,478.0,,,379.0,,100.0,,6911.0,495.0,188.0,,5178.0,1050.0,,128472.0,,77716.0,54862.0,2745.0,21845.0,2134.0,,5786.0,,,498.0,15528.0,6326.0,,,,,22854.0,,,324.0,,,1671.0,129.0,20011.0,,,549.0,170.0,,,50756.0,50756.0,33495.0,33495.0,,295.0,,,,,,,,1816.0,10167.0,7627.0,2540.0,,4982.0,,,,,,128472.0,5853.0,,5853.0,4524.0,1329.0,2940.0,507.0,495.0,,233.0,194.0,3335.0,32.0,9.0,23.0,,3358.0,574.0,97.0,2687.0,147.0,2540.0,758.0,758.0
VHM,Q12020,,,141421.0,4440.0,993.0,3447.0,354.0,756.0,,354.0,53058.0,9964.0,9339.0,,,16910.0,16964.0,-119.0,,61642.0,61649.0,-7.0,21928.0,2496.0,1012.0,22.0,6533.0,18398.0,61586.0,6156.0,,,,,5746.0,410.0,,621.0,562.0,6681.0,-372.0,,60.0,6310.0,28997.0,,28997.0,2953.0,,2591.0,2738.0,-109.0,215.0,,16549.0,2515.0,190.0,,12921.0,923.0,,203007.0,,130669.0,121112.0,7242.0,41222.0,2835.0,,8887.0,,,504.0,40753.0,19669.0,513.0,,,,9557.0,,,651.0,,,1462.0,79.0,6958.0,,,270.0,138.0,,,72339.0,72339.0,33495.0,33495.0,,295.0,,,-5550.0,,,,,1799.0,32884.0,26040.0,6844.0,,9416.0,,,,,,203007.0,6519.0,,6519.0,3570.0,2949.0,8591.0,634.0,618.0,,245.0,533.0,10128.0,24.0,28.0,-4.0,,10124.0,2337.0,141.0,7645.0,801.0,6844.0,2080.0,2080.0
VHM,Q12021,,,94043.0,7746.0,3309.0,4437.0,1796.0,,,1796.0,34312.0,11034.0,9226.0,,,7760.0,6342.0,-51.0,,41596.0,41633.0,-38.0,8594.0,1392.0,331.0,38.0,,,113671.0,11041.0,,,,,4000.0,7041.0,,5840.0,5620.0,9246.0,-609.0,,220.0,8636.0,33351.0,,33351.0,9992.0,,,6362.0,,185.0,,44811.0,2337.0,361.0,,39512.0,2602.0,,207715.0,,113110.0,93267.0,11280.0,25293.0,1822.0,,12741.0,,,579.0,31673.0,9365.0,,,,,19843.0,,,1133.0,,,1412.0,2990.0,13731.0,,,199.0,379.0,,,94605.0,94605.0,33495.0,33495.0,,295.0,,,-5550.0,,,,,1201.0,61656.0,56259.0,5396.0,,3508.0,,,,,,207715.0,12986.0,,12986.0,6774.0,6212.0,2307.0,361.0,595.0,21.0,457.0,668.0,7054.0,44.0,13.0,31.0,,7085.0,1238.0,369.0,5478.0,82.0,5396.0,1640.0,1640.0
VHM,Q12022,,,94889.0,5628.0,2553.0,3075.0,2621.0,2212.0,,2621.0,44041.0,17338.0,9439.0,,,4061.0,13346.0,-144.0,,29743.0,29817.0,-74.0,12856.0,1365.0,527.0,37.0,,10926.0,139074.0,20178.0,,,,,,20178.0,,7432.0,6213.0,18323.0,-1000.0,,1218.0,17323.0,45540.0,,45540.0,11833.0,,3624.0,8090.0,,120.0,,36768.0,1699.0,515.0,,33195.0,1359.0,,233963.0,,97891.0,70673.0,13318.0,5810.0,1467.0,,16105.0,,,493.0,26167.0,6114.0,1198.0,,,,27218.0,,,1812.0,,,1249.0,3706.0,19353.0,,,695.0,403.0,,,136072.0,136072.0,43544.0,43544.0,,1260.0,,,,,,,,524.0,83893.0,79413.0,4480.0,,6851.0,,,,,,233963.0,8923.0,,8923.0,5058.0,3866.0,3829.0,477.0,476.0,11.0,327.0,1077.0,5824.0,76.0,15.0,62.0,,5886.0,1054.0,107.0,4725.0,185.0,4540.0,1043.0,
VHM,Q12023,,,205328.0,1890.0,1643.0,247.0,6722.0,352.0,,4169.0,117199.0,24773.0,14783.0,,,14010.0,63868.0,-236.0,,60947.0,61005.0,-58.0,18571.0,3705.0,625.0,37.0,,14203.0,172294.0,23362.0,,,,,1276.0,22086.0,,9163.0,8068.0,18633.0,-1532.0,,1095.0,17100.0,55865.0,,55865.0,7603.0,,236.0,7094.0,-398.0,671.0,,59200.0,2015.0,1245.0,,54787.0,1153.0,,377622.0,,217204.0,190748.0,17607.0,56810.0,21163.0,,27580.0,,,603.0,48509.0,18379.0,97.0,,,,26455.0,,,632.0,,,1000.0,274.0,21320.0,,,991.0,2239.0,,,160418.0,160418.0,43544.0,43544.0,,1260.0,,,,,,,,474.0,111915.0,99997.0,11917.0,,3226.0,,,,,,377622.0,29299.0,,29299.0,22655.0,6643.0,11294.0,877.0,683.0,1.0,1014.0,544.0,15503.0,97.0,525.0,-428.0,,15074.0,3034.0,117.0,11923.0,6.0,11917.0,2737.0,
VHM,Q12024,,,255296.0,9525.0,8904.0,620.0,3629.0,,,3629.0,152937.0,19156.0,16572.0,,,17774.0,99658.0,-223.0,,58756.0,58809.0,-52.0,30449.0,1869.0,919.0,41.0,,27620.0,209189.0,33582.0,,,,,240.0,33342.0,,10973.0,9938.0,19532.0,-1899.0,51.0,1035.0,17633.0,67386.0,,67386.0,8021.0,,188.0,7832.0,,27.0,,71594.0,1864.0,1049.0,,68083.0,598.0,,464485.0,,268268.0,214975.0,19210.0,43551.0,14306.0,,31213.0,,,323.0,81586.0,24401.0,386.0,,,,53294.0,,,441.0,,,910.0,8984.0,39496.0,,,1225.0,2237.0,,,196216.0,196216.0,43544.0,43544.0,,1260.0,,,,,,,,1106.0,136336.0,133392.0,2944.0,,13970.0,,,,,,464485.0,8211.0,,8211.0,6437.0,1774.0,1956.0,1369.0,1066.0,1.0,387.0,525.0,1451.0,404.0,438.0,-34.0,,1416.0,510.0,2.0,904.0,20.0,885.0,203.0,203.0
VHM,Q22016,,,16984.0,756.0,756.0,1861.0,,,,,7233.0,173.0,1023.0,,,361.0,5684.0,-8.0,,8021.0,8025.0,-4.0,973.0,641.0,72.0,3.0,,260.0,16797.0,54.0,,,,,8.0,46.0,,5088.0,5046.0,281.0,-37.0,,42.0,244.0,3169.0,,3169.0,7759.0,,6140.0,1618.0,,50.0,,482.0,89.0,0.0,,,393.0,,33781.0,,29380.0,28957.0,1168.0,12691.0,93.0,19.0,1291.0,,,56.0,4972.0,8667.0,,0.0,,,424.0,,,,,,21.0,5.0,365.0,,,3.0,29.0,,,4401.0,4401.0,2000.0,2000.0,,,,,,,,,,-2824.0,1859.0,1446.0,413.0,,3365.0,,,,,,33781.0,437.0,,437.0,328.0,108.0,45.0,338.0,72.0,63.0,101.0,205.0,-427.0,75.0,19.0,56.0,,-371.0,2.0,1.0,-374.0,-28.0,-346.0,-1730.0,-1730.0
