stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,6.Doanh thu hoạt động tài chính,7. Chi phí tài chính,Trong đó :Chi phí lãi vay,"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh,12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác,Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,15. Tổng lợi nhuận kế toán trước thuế,16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,19. Lãi cơ bản trên cổ phiếu (*),20. Lãi suy giảm trên cổ phiếu (*)
VIC,Q12008,,,2827.0,118.0,118.0,0.0,2330.0,2330.0,0.0,,373.0,20.0,40.0,53.0,0.0,,259.0,0.0,,1.0,1.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,987.0,0.0,0.0,,0.0,0.0,,0.0,0.0,382.0,17.0,298.0,-43.0,0.0,2.0,255.0,,,363.0,196.0,45.0,0.0,,0.0,,152.0,153.0,24.0,0.0,,129.0,,0.0,3814.0,,1365.0,310.0,3.0,1.0,8.0,2.0,49.0,0.0,0.0,,52.0,195.0,0.0,0.0,,0.0,1054.0,0.0,,,,0.0,0.0,54.0,1000.0,,,0.0,0.0,0.0,1.0,2282.0,2282.0,1200.0,,,773.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,,,0.0,,0.0,0.0,0.0,0.0,168.0,3814.0,63.0,0.0,63.0,15.0,48.0,44.0,28.0,0.0,,3.0,18.0,44.0,2.0,1.0,1.0,0.0,45.0,7.0,0.0,38.0,0.0,38.0,0.0,
VIC,Q12009,,,2263.0,43.0,43.0,0.0,1489.0,1506.0,-16.0,,527.0,12.0,109.0,162.0,0.0,,244.0,0.0,,12.0,12.0,0.0,192.0,6.0,26.0,0.0,0.0,160.0,3962.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2486.0,26.0,298.0,-57.0,0.0,99.0,242.0,,,2362.0,1018.0,0.0,722.0,,0.0,,296.0,216.0,166.0,0.0,,50.0,,0.0,6226.0,,4603.0,499.0,11.0,0.0,6.0,3.0,372.0,0.0,0.0,,106.0,0.0,0.0,0.0,,0.0,4105.0,0.0,,,,0.0,0.0,183.0,3920.0,,,0.0,0.0,0.0,2.0,1499.0,1499.0,1200.0,,,773.0,,0.0,-880.0,0.0,0.0,0.0,0.0,0.0,406.0,,,0.0,,0.0,0.0,0.0,0.0,124.0,6226.0,61.0,0.0,61.0,13.0,48.0,67.0,65.0,0.0,,2.0,32.0,16.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,10.0,-1.0,12.0,0.0,
VIC,Q12010,,,6085.0,248.0,248.0,0.0,4768.0,4799.0,-30.0,,862.0,57.0,482.0,189.0,0.0,,134.0,0.0,,6.0,6.0,0.0,200.0,2.0,46.0,0.0,0.0,152.0,8451.0,0.0,0.0,,0.0,0.0,,0.0,0.0,5779.0,36.0,600.0,-75.0,0.0,474.0,525.0,,,5269.0,1730.0,0.0,879.0,,-105.0,,957.0,331.0,323.0,8.0,,0.0,,85.0,14536.0,,10616.0,1009.0,60.0,2.0,251.0,5.0,410.0,232.0,0.0,,39.0,10.0,0.0,0.0,,0.0,9607.0,0.0,,,,0.0,0.0,108.0,9361.0,,,137.0,0.0,0.0,2.0,2112.0,2112.0,1996.0,,,773.0,,0.0,-1898.0,0.0,0.0,2.0,0.0,0.0,1238.0,,,0.0,,2.0,0.0,0.0,0.0,1807.0,14536.0,104.0,0.0,104.0,27.0,77.0,178.0,151.0,0.0,,7.0,38.0,59.0,64.0,59.0,6.0,-8.0,56.0,18.0,0.0,38.0,5.0,33.0,185.0,
VIC,Q12011,,,13535.0,649.0,566.0,83.0,4366.0,4377.0,-11.0,,5683.0,2726.0,1940.0,617.0,0.0,,399.0,0.0,,2774.0,2774.0,0.0,65.0,30.0,28.0,0.0,0.0,6.0,14083.0,0.0,0.0,,0.0,0.0,,0.0,0.0,6057.0,78.0,3795.0,-143.0,0.0,173.0,3652.0,,,5806.0,3728.0,0.0,3172.0,,-1.0,,558.0,410.0,394.0,15.0,,0.0,,236.0,27619.0,,17132.0,6080.0,89.0,2026.0,367.0,9.0,727.0,80.0,0.0,,2263.0,520.0,0.0,0.0,,0.0,11052.0,0.0,,,,0.0,0.0,249.0,10782.0,,,18.0,0.0,0.0,2.0,7473.0,7473.0,3816.0,,,1970.0,,0.0,-720.0,0.0,0.0,0.0,0.0,0.0,2406.0,,,0.0,,1.0,0.0,0.0,0.0,3014.0,27619.0,474.0,0.0,474.0,154.0,320.0,203.0,296.0,0.0,,18.0,46.0,163.0,39.0,62.0,-23.0,37.0,176.0,47.0,-1.0,130.0,34.0,97.0,397.0,
VIC,Q12012,,,21339.0,1007.0,930.0,77.0,3498.0,3516.0,-18.0,,5463.0,1284.0,2183.0,0.0,0.0,,2000.0,-4.0,,11055.0,11067.0,-12.0,316.0,63.0,78.0,5.0,0.0,170.0,22073.0,0.0,0.0,,0.0,0.0,,0.0,0.0,11600.0,4585.0,4100.0,-214.0,0.0,589.0,3886.0,,,6426.0,1663.0,0.0,188.0,,0.0,,1475.0,983.0,938.0,39.0,,5.0,,3941.0,43412.0,,34957.0,25591.0,690.0,16919.0,702.0,12.0,2157.0,0.0,0.0,,1250.0,3861.0,0.0,0.0,,0.0,9365.0,0.0,,,,0.0,0.0,273.0,8966.0,,,126.0,0.0,0.0,0.0,8863.0,8863.0,5494.0,,,16329.0,,0.0,-2063.0,0.0,0.0,0.0,0.0,-12524.0,1619.0,,,0.0,,8.0,0.0,0.0,0.0,-407.0,43412.0,1883.0,0.0,1883.0,434.0,1449.0,171.0,342.0,311.0,,45.0,200.0,1033.0,10.0,46.0,-36.0,-4.0,993.0,321.0,-4.0,676.0,-37.0,712.0,1469.0,
VIC,Q12013,,,31360.0,4175.0,327.0,3848.0,1616.0,1632.0,-16.0,,3635.0,1191.0,1957.0,,,,501.0,-14.0,,19870.0,19879.0,-9.0,2063.0,112.0,407.0,9.0,,1535.0,27489.0,,,,,,,,,11413.0,4463.0,6964.0,-369.0,,590.0,6595.0,,,6360.0,3164.0,,1628.0,,,,1536.0,1141.0,1097.0,44.0,,0.0,,5176.0,58849.0,,47302.0,29600.0,1493.0,18692.0,227.0,38.0,1748.0,,,,1284.0,6118.0,,,,,17701.0,,,,,,,467.0,17133.0,,,102.0,,,,10846.0,10846.0,9281.0,,,1700.0,,,-1398.0,,,,,,1250.0,,,,,13.0,,,,702.0,58849.0,984.0,0.0,984.0,459.0,525.0,722.0,517.0,426.0,,46.0,286.0,397.0,23.0,2.0,21.0,16.0,433.0,169.0,-1.0,265.0,-22.0,287.0,328.0,
VIC,Q12014,,,40149.0,8134.0,2224.0,5910.0,6295.0,6338.0,-43.0,,3085.0,799.0,1256.0,,,,1069.0,-39.0,,16831.0,16840.0,-9.0,5803.0,107.0,171.0,31.0,,5494.0,38158.0,,,,,,,,,15723.0,5855.0,14016.0,-613.0,,503.0,13403.0,,,9366.0,3185.0,,745.0,,-3.0,,2442.0,1158.0,1116.0,37.0,,5.0,,4689.0,78306.0,,57162.0,23648.0,1342.0,13386.0,1047.0,9.0,3132.0,,,,947.0,3786.0,,,,,33515.0,,,,,,,6477.0,26945.0,,,93.0,,,,15550.0,15550.0,9296.0,,,1783.0,,,-4352.0,,,,,,8804.0,,,,,18.0,,,,5594.0,78306.0,6176.0,1.0,6175.0,3765.0,2410.0,248.0,565.0,512.0,,126.0,438.0,1528.0,39.0,22.0,17.0,2.0,1547.0,478.0,1.0,1068.0,-7.0,1076.0,1285.0,
VIC,Q12015,,,38940.0,5400.0,2730.0,2669.0,6138.0,106.0,-15.0,6047.0,6727.0,1108.0,2614.0,0.0,0.0,2325.0,785.0,-109.0,5.0,16027.0,16113.0,-86.0,4649.0,146.0,614.0,27.0,0.0,3862.0,57117.0,1135.0,0.0,0.0,0.0,0.0,936.0,199.0,0.0,10961.0,10449.0,16601.0,-1014.0,0.0,512.0,15587.0,14372.0,0.0,14372.0,2852.0,0.0,1038.0,1813.0,0.0,0.0,0.0,12211.0,1126.0,66.0,0.0,5005.0,6014.0,,96057.0,,68107.0,29085.0,1551.0,5858.0,433.0,54.0,3118.0,0.0,0.0,589.0,13650.0,3714.0,120.0,0.0,0.0,0.0,39022.0,0.0,0.0,0.0,0.0,0.0,1472.0,4971.0,29020.0,3392.0,0.0,168.0,0.0,0.0,0.0,27950.0,27950.0,14546.0,14546.0,0.0,4583.0,0.0,0.0,-2975.0,0.0,0.0,23.0,0.0,0.0,4652.0,0.0,0.0,0.0,7122.0,0.0,0.0,0.0,0.0,0.0,96057.0,6398.0,4.0,6394.0,4151.0,2243.0,324.0,773.0,501.0,,342.0,652.0,800.0,42.0,158.0,-116.0,8.0,692.0,344.0,-10.0,357.0,-71.0,428.0,317.0,
VIC,Q12016,,,68546.0,4681.0,3520.0,1160.0,11012.0,980.0,-15.0,10047.0,16299.0,3002.0,7162.0,,,2379.0,3978.0,-221.0,,25331.0,25419.0,-88.0,11223.0,1434.0,865.0,81.0,,8843.0,80375.0,489.0,,,,,63.0,426.0,,21109.0,20349.0,18537.0,-1529.0,,760.0,17008.0,18791.0,,18791.0,10124.0,,6724.0,3487.0,,,,12853.0,1415.0,153.0,,3000.0,8285.0,,148922.0,,107943.0,64876.0,4313.0,20483.0,1219.0,204.0,6225.0,,,890.0,28394.0,3031.0,117.0,,,,43066.0,,,,,,1822.0,4408.0,36382.0,,,454.0,,,,40979.0,40979.0,19399.0,19399.0,,7306.0,,,-2975.0,,,,,28.0,2148.0,1571.0,577.0,,15074.0,,,,,,148922.0,14740.0,3.0,14737.0,9958.0,4778.0,549.0,887.0,740.0,9.0,1056.0,1113.0,2281.0,56.0,171.0,-115.0,,2165.0,895.0,-19.0,1289.0,511.0,779.0,398.0,398.0
VIC,Q12017,,,90043.0,13700.0,8140.0,5560.0,197.0,32.0,-18.0,182.0,17639.0,3405.0,6235.0,,,2874.0,5294.0,-169.0,,50760.0,50842.0,-82.0,7748.0,4300.0,1216.0,94.0,,2138.0,97212.0,1721.0,,,,,1151.0,569.0,,26504.0,25688.0,19623.0,-2029.0,,816.0,17595.0,36762.0,,36762.0,4134.0,,2271.0,1820.0,-28.0,,,10497.0,2218.0,325.0,,,7953.0,,187256.0,,144098.0,102353.0,5949.0,53135.0,1002.0,105.0,9294.0,,,1816.0,24164.0,6798.0,90.0,,,,41745.0,,,,,,2771.0,634.0,37983.0,,,358.0,,,,43158.0,43158.0,26377.0,26377.0,,2505.0,,,-2975.0,,,,,33.0,299.0,942.0,-644.0,,16919.0,,,,,,187256.0,15851.0,59.0,15791.0,10218.0,5573.0,380.0,1477.0,1506.0,0.0,2041.0,1226.0,1209.0,70.0,35.0,35.0,,1244.0,660.0,-9.0,593.0,-322.0,915.0,506.0,
