stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,6.Doanh thu hoạt động tài chính,7. Chi phí tài chính,Trong đó :Chi phí lãi vay,"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh,12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác,Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,15. Tổng lợi nhuận kế toán trước thuế,16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,19. Lãi cơ bản trên cổ phiếu (*),20. Lãi suy giảm trên cổ phiếu (*)
VNM,Q12005,,,2485.0,489.0,99.0,390.0,22.0,22.0,0.0,,769.0,369.0,129.0,0.0,0.0,,273.0,-2.0,,1153.0,1153.0,0.0,52.0,28.0,0.0,24.0,0.0,0.0,1521.0,4.0,0.0,,0.0,0.0,,4.0,0.0,787.0,672.0,0.0,0.0,0.0,9.0,0.0,,,106.0,609.0,0.0,16.0,,-11.0,,604.0,121.0,118.0,3.0,,0.0,,0.0,4006.0,,1676.0,1582.0,221.0,2.0,22.0,100.0,147.0,0.0,0.0,,999.0,9.0,0.0,82.0,,0.0,93.0,67.0,,,,0.0,0.0,0.0,26.0,,,0.0,0.0,0.0,0.0,2330.0,2330.0,1590.0,,,54.0,,0.0,0.0,0.0,0.0,413.0,0.0,0.0,206.0,,,0.0,,66.0,0.0,0.0,0.0,0.0,4006.0,1021.0,6.0,1015.0,769.0,246.0,14.0,1.0,1.0,,110.0,16.0,132.0,38.0,2.0,37.0,,169.0,,,169.0,,169.0,1064.0,
VNM,Q12006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1291.0,7.0,1285.0,948.0,337.0,45.0,13.0,1.0,,158.0,21.0,191.0,4.0,0.0,4.0,0.0,195.0,0.0,0.0,195.0,0.0,195.0,1226.0,
VNM,Q12007,,,1956.0,206.0,175.0,31.0,314.0,314.0,0.0,,475.0,381.0,80.0,0.0,0.0,,32.0,-19.0,,908.0,921.0,-12.0,54.0,15.0,11.0,24.0,0.0,3.0,2845.0,1.0,0.0,,0.0,0.0,,1.0,0.0,1082.0,749.0,0.0,0.0,0.0,19.0,0.0,,,314.0,1645.0,55.0,134.0,,-13.0,,1469.0,117.0,117.0,0.0,,0.0,,0.0,4801.0,,906.0,758.0,305.0,9.0,32.0,0.0,147.0,0.0,0.0,,184.0,17.0,0.0,64.0,,0.0,148.0,103.0,,,,0.0,0.0,2.0,40.0,,,0.0,0.0,0.0,3.0,3894.0,3894.0,1670.0,,,1075.0,,0.0,0.0,0.0,0.0,674.0,0.0,0.0,367.0,,,0.0,,109.0,0.0,0.0,0.0,0.0,4801.0,1384.0,4.0,1380.0,989.0,391.0,162.0,14.0,2.0,,210.0,56.0,273.0,55.0,5.0,50.0,0.0,323.0,0.0,0.0,323.0,0.0,323.0,1968.0,
VNM,Q12008,,,3322.0,152.0,152.0,140.0,786.0,787.0,-80.0,,716.0,581.0,82.0,0.0,0.0,,54.0,-1.0,,1638.0,1645.0,-7.0,30.0,18.0,4.0,1.0,0.0,7.0,2701.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1047.0,1028.0,0.0,0.0,0.0,19.0,0.0,,,700.0,752.0,14.0,107.0,,-13.0,,526.0,201.0,192.0,19.0,,1.0,,0.0,6022.0,,1338.0,1208.0,318.0,2.0,36.0,7.0,163.0,0.0,0.0,,146.0,535.0,0.0,105.0,,0.0,130.0,73.0,,,,0.0,0.0,0.0,30.0,,,0.0,0.0,0.0,28.0,4631.0,4603.0,1753.0,,,1065.0,,0.0,0.0,0.0,0.0,774.0,0.0,0.0,860.0,,,0.0,,151.0,28.0,28.0,0.0,44.0,6005.0,1841.0,32.0,1808.0,1254.0,554.0,129.0,87.0,,,204.0,58.0,334.0,26.0,2.0,24.0,-14.0,345.0,36.0,,309.0,0.0,309.0,,
VNM,Q12009,,,3302.0,1000.0,161.0,839.0,221.0,349.0,-128.0,,691.0,540.0,117.0,0.0,0.0,,34.0,0.0,,1346.0,1359.0,-12.0,44.0,34.0,7.0,0.0,0.0,3.0,2804.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1960.0,1522.0,27.0,0.0,0.0,47.0,27.0,,,391.0,556.0,0.0,24.0,,-11.0,,544.0,260.0,195.0,64.0,,1.0,,0.0,6105.0,,948.0,752.0,265.0,9.0,152.0,37.0,148.0,0.0,0.0,,73.0,10.0,0.0,59.0,,0.0,197.0,90.0,,,,0.0,0.0,51.0,20.0,,,0.0,0.0,0.0,36.0,5106.0,5106.0,1753.0,,,1065.0,,0.0,0.0,0.0,0.0,919.0,0.0,0.0,1194.0,,,0.0,,175.0,0.0,0.0,0.0,51.0,6105.0,2110.0,41.0,2069.0,1398.0,671.0,81.0,35.0,0.0,,217.0,60.0,440.0,26.0,5.0,20.0,113.0,573.0,105.0,-17.0,485.0,0.0,485.0,2768.0,
VNM,Q12010,,,5530.0,221.0,221.0,0.0,2402.0,2487.0,-85.0,,897.0,579.0,174.0,0.0,0.0,,145.0,-1.0,,1738.0,1747.0,-8.0,272.0,36.0,39.0,194.0,0.0,4.0,3491.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2639.0,1865.0,92.0,-1.0,0.0,117.0,91.0,,,657.0,596.0,0.0,26.0,,-86.0,,656.0,165.0,117.0,47.0,,1.0,,0.0,9021.0,,2130.0,1882.0,773.0,36.0,462.0,39.0,206.0,0.0,0.0,,245.0,14.0,0.0,107.0,,0.0,248.0,111.0,,,,0.0,0.0,92.0,10.0,,,0.0,0.0,0.0,35.0,6856.0,6856.0,3531.0,,,0.0,,0.0,0.0,0.0,0.0,1887.0,0.0,0.0,1103.0,,,0.0,,335.0,0.0,0.0,0.0,35.0,9021.0,3305.0,55.0,3250.0,2110.0,1140.0,91.0,6.0,0.0,,242.0,73.0,910.0,60.0,2.0,58.0,0.0,968.0,145.0,7.0,817.0,-1.0,818.0,2323.0,
VNM,Q12011,,,7327.0,223.0,171.0,52.0,2318.0,2390.0,-72.0,,1503.0,788.0,422.0,0.0,0.0,,295.0,-2.0,,3185.0,3191.0,-6.0,97.0,46.0,48.0,0.0,0.0,3.0,4953.0,0.0,0.0,,0.0,0.0,,0.0,0.0,3545.0,3047.0,112.0,-10.0,0.0,176.0,102.0,,,322.0,1122.0,0.0,214.0,,-128.0,,1036.0,165.0,99.0,64.0,,1.0,,19.0,12280.0,,3375.0,3181.0,1161.0,37.0,273.0,47.0,264.0,0.0,0.0,,169.0,1035.0,0.0,195.0,,0.0,195.0,0.0,,,,0.0,52.0,92.0,0.0,,,0.0,0.0,0.0,51.0,8905.0,8905.0,3566.0,,,0.0,,0.0,-1.0,0.0,0.0,2316.0,0.0,0.0,2667.0,,,0.0,,357.0,0.0,0.0,0.0,0.0,12280.0,4629.0,94.0,4535.0,3026.0,1509.0,133.0,99.0,0.0,,342.0,89.0,1111.0,88.0,13.0,75.0,0.0,1186.0,181.0,-1.0,1006.0,0.0,1006.0,2838.0,
VNM,Q12012,,,10079.0,2983.0,871.0,2112.0,632.0,707.0,-75.0,,2384.0,1376.0,773.0,,,,237.0,-3.0,,3896.0,3900.0,-4.0,184.0,51.0,131.0,,0.0,2.0,7278.0,,,,,,,,,6162.0,3559.0,118.0,-18.0,,256.0,100.0,,,2347.0,895.0,,219.0,,-107.0,,784.0,107.0,21.0,85.0,,1.0,,15.0,17358.0,,3737.0,3578.0,2121.0,111.0,372.0,55.0,254.0,,,,64.0,417.0,,186.0,,0.0,159.0,,,,,,0.0,92.0,,,,,,,67.0,13621.0,13621.0,5561.0,,,1277.0,,,-3.0,,,1085.0,,,5144.0,,,,,556.0,,,,,17358.0,5985.0,108.0,5876.0,4077.0,1800.0,146.0,-13.0,0.0,,418.0,113.0,1427.0,109.0,9.0,100.0,13.0,1540.0,274.0,-4.0,1270.0,,1270.0,2286.0,
VNM,Q12013,,,11886.0,1633.0,773.0,85.0,3927.0,4063.0,-137.0,,2314.0,1179.0,752.0,,,,389.0,-6.0,,3763.0,3768.0,-4.0,249.0,94.0,153.0,,,2.0,8703.0,,,,,,,,,8168.0,4556.0,134.0,-22.0,,208.0,112.0,,,3405.0,283.0,,217.0,,-12.0,,79.0,132.0,35.0,96.0,,1.0,,8.0,20589.0,,3717.0,3658.0,1964.0,20.0,412.0,79.0,318.0,,,,674.0,,,192.0,,,60.0,,,,,,0.0,,,,,,,,60.0,16871.0,16871.0,8340.0,,,1277.0,,,-5.0,,,298.0,,,6297.0,,,,,665.0,,,,,20589.0,6817.0,141.0,6676.0,4220.0,2456.0,110.0,21.0,,,568.0,138.0,1838.0,35.0,11.0,24.0,6.0,1868.0,325.0,12.0,1531.0,,1531.0,1837.0,
VNM,Q12014,,,13567.0,1193.0,518.0,675.0,5776.0,5913.0,-137.0,,2589.0,1804.0,373.0,,,,419.0,-7.0,,3799.0,3810.0,-11.0,209.0,115.0,36.0,0.0,,58.0,9698.0,4.0,,,,,,4.0,,8795.0,7852.0,133.0,-28.0,,528.0,105.0,,,415.0,329.0,,295.0,,-10.0,,44.0,295.0,173.0,113.0,,8.0,,170.0,23264.0,,4404.0,4048.0,2056.0,27.0,399.0,90.0,502.0,,,,671.0,178.0,,124.0,,,356.0,,,,,,0.0,5.0,190.0,,,91.0,,,69.0,18796.0,18796.0,8340.0,,,1277.0,,,-5.0,,0.0,1086.0,,,7265.0,,,,,834.0,,,,64.0,23264.0,7844.0,166.0,7678.0,5114.0,2565.0,128.0,9.0,11.0,,821.0,171.0,1692.0,46.0,5.0,41.0,11.0,1743.0,347.0,2.0,1394.0,7.0,1387.0,1665.0,
