ACB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,043","2,258","2,369","2,365","2,496"
II. Tiền gửi tại NHNN,"3,065","3,078","2,252","1,305","3,358"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","7,216","7,267","8,451","6,133","4,559"
"1. Tiền, vàng gửi tại các TCTD khác","5,625","5,621","6,095","4,687","3,882"
2. Cho vay các TCTD khác,"1,985","2,093","2,788","1,878","1,381"
3. Dự phòng rủi ro cho vay các TCTD khác,-394,-447,-431,-431,-704
IV. Chứng khoán kinh doanh,"1,436","2,396","2,438","1,642","1,105"
1. Chứng khoán kinh doanh,"1,664","2,426","2,454","1,644","1,108"
2. Dự phòng giảm giá chứng khoán kinh doanh,-227,-30,-17,-2,-3
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,12,10,17,14
VI. Cho vay khách hàng,"105,642","105,250","108,810","111,269","114,745"
1. Cho vay và cho thuê tài chính khách hàng,"107,190","106,910","110,752","113,163","116,324"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,548","-1,660","-1,942","-1,894","-1,579"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"33,483","38,768","38,995","42,857","39,677"
1. Chứng khoán đầu tư sẵn sàng để bán,"7,232","9,600","10,601","15,088","23,683"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"26,502","29,395","28,747","28,105","16,386"
3. Dự phòng giảm giá chứng khoán đầu tư,-252,-226,-353,-335,-393
"VIII. Góp vốn, đầu tư dài hạn",923,928,937,903,887
1. Đầu tư vào công ty con,,,0,,
"2. Đầu tư vào công ty liên doanh, liên kết",2,2,2,2,2
3. Đầu tư dài hạn khác,"1,009","1,009","1,009",973,948
4. Dự phòng giảm giá đầu tư dài hạn,-88,-83,-74,-71,-63
IX. Tài sản cố định,"2,553","2,507","2,667","2,639","2,805"
1. Tài sản cố định hữu hình,"2,279","2,236","2,315","2,293","2,385"
