BCM,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"28,350","28,248","28,069","27,997","28,482"
I. Tiền và các khoản tương đương tiền,"1,580","1,221",436,407,593
1. Tiền,491,892,90,144,539
2. Các khoản tương đương tiền,"1,089",329,346,262,54
II.  Đầu tư tài chính ngắn hạn,290,285,404,335,265
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,290,285,404,335,265
III. Các khoản phải thu ngắn hạn,"5,145","5,394","5,598","5,439","5,277"
1. Phải thu ngắn hạn của khách hàng,"4,096","3,248","3,284","3,507","3,558"
2. Trả trước cho người bán ngắn hạn,97,151,333,315,298
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,6,6,5,5,5
6. Phải thu ngắn hạn khác,999,"2,036","2,024","1,663","1,466"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-55,-49,-49,-50,-50
8. Tài sản thiếu chờ xử lý,1,1,1,,
IV. Hàng tồn kho,"21,239","21,181","21,356","21,601","22,166"
1. Hàng tồn kho,"21,240","21,182","21,358","21,602","22,167"
2. Dự phòng giảm giá hàng tồn kho (*),-1,-1,-2,-1,-1
V. Tài sản ngắn hạn khác,96,167,276,215,181
1. Chi phí trả trước ngắn hạn,47,39,87,31,71
2. Thuế GTGT được khấu trừ,44,26,81,128,95
3. Thuế và các khoản khác phải thu của nhà nước,6,102,109,56,15
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"20,878","20,271","20,520","20,814","20,972"
I. Các khoản phải thu dài hạn,301,626,619,524,521
1. Phải thu dài hạn của khách hàng,291,290,233,138,135
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,10,336,386,386,386
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,"1,221","1,244","1,241","1,227","1,198"
1. Tài sản cố định hữu hình,"1,073","1,091","1,091","1,079","1,054"
- Nguyên giá,"2,498","2,545","2,583","2,607","2,620"
- Giá trị hao mòn lũy kế (*),"-1,425","-1,454","-1,492","-1,528","-1,567"
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,
