BID,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","11,029","10,422","10,283","11,014","10,773"
II. Tiền gửi tại NHNN,"51,616","36,834","52,441","47,436","92,341"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","211,809","231,694","266,800","257,504","279,972"
"1. Tiền, vàng gửi tại các TCTD khác","197,329","220,779","256,347","245,517","268,366"
2. Cho vay các TCTD khác,"14,564","10,998","10,544","12,082","11,686"
3. Dự phòng rủi ro cho vay các TCTD khác,-85,-83,-92,-94,-81
IV. Chứng khoán kinh doanh,"6,972","6,973","8,186","13,275","12,734"
1. Chứng khoán kinh doanh,"7,004","7,003","8,225","13,309","12,773"
2. Dự phòng giảm giá chứng khoán kinh doanh,-31,-30,-39,-34,-39
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,34,,56,663
VI. Cho vay khách hàng,"1,737,245","1,752,683","1,844,886","1,914,428","2,017,266"
1. Cho vay và cho thuê tài chính khách hàng,"1,777,665","1,793,930","1,882,815","1,953,065","2,056,082"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-40,420","-41,247","-37,929","-38,638","-38,816"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"222,393","220,214","252,221","252,241","277,838"
1. Chứng khoán đầu tư sẵn sàng để bán,"127,572","125,392","149,160","149,878","157,919"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"95,722","96,016","104,253","104,039","121,120"
3. Dự phòng giảm giá chứng khoán đầu tư,-902,"-1,193","-1,192","-1,677","-1,201"
"VIII. Góp vốn, đầu tư dài hạn","3,113","3,218","3,389","3,401","3,424"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","3,012","3,118","3,289","3,300","3,349"
3. Đầu tư dài hạn khác,215,215,215,215,183
4. Dự phòng giảm giá đầu tư dài hạn,-114,-115,-115,-114,-108
