CTG,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,835","3,730","4,344","3,674","4,631"
II. Tiền gửi tại NHNN,"10,160","6,715","18,015","5,097","9,876"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","73,079","69,042","54,066","60,470","75,434"
"1. Tiền, vàng gửi tại các TCTD khác","59,521","63,427","53,420","58,890","67,162"
2. Cho vay các TCTD khác,"13,661","5,658",646,"1,580","8,272"
3. Dự phòng rủi ro cho vay các TCTD khác,-102,-42,,,0
IV. Chứng khoán kinh doanh,820,"3,577","3,494","4,732","3,648"
1. Chứng khoán kinh doanh,823,"3,578","3,498","4,736","3,654"
2. Dự phòng giảm giá chứng khoán kinh doanh,-3,-1,-3,-3,-6
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,164,83,,,0
VI. Cho vay khách hàng,"372,989","349,838","372,499","393,467","435,523"
1. Cho vay và cho thuê tài chính khách hàng,"376,289","354,223","377,992","398,879","439,869"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-3,300","-4,385","-5,493","-5,413","-4,346"
VII. Hoạt động mua nợ,,,,,0
1. Mua nợ,,,,,0
2. Dự phòng rủi ro hoạt động mua nợ,,,,,0
VII. Chứng khoán đầu tư,"82,840","90,709","109,097","115,599","93,404"
1. Chứng khoán đầu tư sẵn sàng để bán,"80,462","88,336","106,767","108,070","87,339"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"2,587","2,587","2,587","7,781","6,709"
3. Dự phòng giảm giá chứng khoán đầu tư,-208,-213,-256,-252,-643
"VIII. Góp vốn, đầu tư dài hạn","3,114","3,152","3,727","3,779","3,785"
1. Đầu tư vào công ty con,,,,,0
"2. Đầu tư vào công ty liên doanh, liên kết","2,795","2,834","2,776","2,822","2,844"
3. Đầu tư dài hạn khác,321,321,"1,029","1,040","1,030"
4. Dự phòng giảm giá đầu tư dài hạn,-2,-3,-78,-84,-89
IX. Tài sản cố định,"7,080","6,716","7,289","7,148","8,872"
