FPT,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"18,373","16,919","17,850","18,432","19,038"
I. Tiền và các khoản tương đương tiền,"3,926","2,678","3,081","3,230","3,458"
1. Tiền,"2,704","2,131","2,808","2,417","2,613"
2. Các khoản tương đương tiền,"1,222",548,273,813,845
II.  Đầu tư tài chính ngắn hạn,"5,568","5,728","5,892","6,305","6,778"
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"5,568","5,728","5,892","6,305","6,778"
III. Các khoản phải thu ngắn hạn,"6,424","5,872","6,453","6,516","6,520"
1. Phải thu ngắn hạn của khách hàng,"5,561","4,935","5,398","5,587","5,740"
2. Trả trước cho người bán ngắn hạn,218,279,374,399,275
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,252,251,271,283,429
5. Phải thu về cho vay ngắn hạn,1,1,51,1,3
6. Phải thu ngắn hạn khác,656,677,641,544,435
7. Dự phòng phải thu ngắn hạn khó đòi (*),-265,-271,-281,-298,-362
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"1,341","1,465","1,509","1,425","1,284"
1. Hàng tồn kho,"1,401","1,526","1,580","1,491","1,350"
2. Dự phòng giảm giá hàng tồn kho (*),-61,-61,-72,-66,-66
V. Tài sản ngắn hạn khác,"1,114","1,174",915,955,998
1. Chi phí trả trước ngắn hạn,961,"1,014",737,754,694
2. Thuế GTGT được khấu trừ,139,143,126,120,176
3. Thuế và các khoản khác phải thu của nhà nước,15,17,52,81,128
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"11,352","11,830","12,526","13,845","14,621"
I. Các khoản phải thu dài hạn,110,126,114,250,222
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,0
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
